catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Sierra Leone,President,Ahmed Tejan Kabbah,Q336297,1998-03-10,2007-09-17,male,1932-02-16,2014-03-13,Ahmed Tejan Kabbah.jpg,Ahmad Tejan Kabbah
Sierra Leone,President,Ernest Bai Koroma,Q57460,2007-09-17,2018-04-04,male,1953-10-02,,Ernest Bai Koroma.jpg,Ernest Bai Koroma
Sierra Leone,President,Julius Maada Bio,Q283829,2018-04-04,,male,1964-05-12,,Julius Maada Bio USDA 2021.jpg,Julius Maada Bio
Sierra Leone,Vice President,Foday Sankoh,Q443070,1999,2000,male,1937-10-17,2003-07-29,,Foday Sankoh
Sierra Leone,Vice President,Albert Joe Demby,Q4710578,2000,2002-05,male,1934,,,Albert Joe Demby
Sierra Leone,Vice President,Solomon Berewa,Q724271,2002-05,2007-09-17,male,1938-08-06,2020-03-05,,Solomon Berewa
Sierra Leone,Vice President,Samuel Sam-Sumana,Q971440,2007-09-17,2015-03-17,male,1962-04-07,,,Samuel Sam-Sumana
Sierra Leone,Vice President,Victor Bockarie Foh,Q20090713,2015-03-17,2018-04-04,male,1946-06-12,,,Victor Bockarie Foh
Sierra Leone,Vice President,Mohamed Juldeh Jalloh,Q50242006,2018-04-04,,male,1970,,Mark Green and Mohamed Juldeh Jalloh at USAID HQ (1) (cropped).jpg,Mohamed Juldeh Jalloh
Sierra Leone,Chief Minister,David J. Francis,Q53863493,2018-04-20,2021-04-30,male,1965-10-05,,David J. Francis.jpg,David J. Francis (politician)
Sierra Leone,Chief Minister,Jacob Jusu Saffa,Q107067181,2021-04-30,,male,,,,Jacob Jusu Saffa
Sierra Leone,Minister of Agriculture,Joseph Ndanema,Q113976506,2018-05-04,2019-11-20,,,,,
Sierra Leone,Minister of Agriculture,Denis Vandi,Q113976495,2019-11-20,2021-04-30,,,,,
Sierra Leone,Minister of Agriculture,Abu Bakarr Karim,Q113976801,2021-04-30,,male,,,,
Sierra Leone,Minister of Defence,Kellie Conteh,Q113976508,2019-11-20,,,,,,
Sierra Leone,Minister of Education,Alpha Timbo,Q4735136,2018-05-04,2019-11-20,male,1961-04-27,,,Alpha Timbo
Sierra Leone,Minister of Education,Aiah Gbakima,Q113976489,2018-05-07,2021-01-18,,,,,
Sierra Leone,Minister of Education,David Sengeh,Q23728768,2019-11-20,,male,,,David Moinina Sengeh in Boston in 2013.jpg,David Moinina Sengeh
Sierra Leone,Minister of Energy,Kanja Ibrahim Sesay,Q6363364,2018-05-04,,male,1955,,,Kanja Sesay
Sierra Leone,Minister of the Environment,Foday Jaward,Q113976499,2019-11-20,,,,,,
Sierra Leone,Minister of Finance,David Carew,Q16727827,2007-10,2009-02,male,,,,David Carew
Sierra Leone,Minister of Finance,Samura Kamara,Q7413073,2009,2012,male,1951-04-30,,Samura Kamara 2014.jpg,Samura Kamara
Sierra Leone,Minister of Finance,Kaifala Marah,Q15127738,2012,2016,male,,,,Kaifala Marah
Sierra Leone,Minister of Finance,Momodu Kargbo,Q26923472,2016-03-13,2018-04,male,,,,Momodu Kargbo
Sierra Leone,Minister of Finance,Jacob Jusu Saffa,Q107067181,2018-05-04,2021-04-30,male,,,,Jacob Jusu Saffa
Sierra Leone,Minister of Finance,Denis Vandi,Q113976495,2021-05-07,,,,,,
Sierra Leone,Minister of Foreign Affairs,Sama Banya,Q98637396,1998,2001,male,,,,
Sierra Leone,Minister of Foreign Affairs,Ahmed Ramadan Dumbuya,Q4695974,2001,2002,male,1942,,,Ahmed Ramadan Dumbuya
Sierra Leone,Minister of Foreign Affairs,Momodu Koroma,Q3319770,2002,2007,male,1956,,,Momodu Koroma
Sierra Leone,Minister of Foreign Affairs,Zainab Hawa Bangura,Q58244,2007,2010,female,1959-12-18,,Zainab Bangura giving a radio interview in Kinshasa (8654821769).jpg,Zainab Bangura
Sierra Leone,Minister of Foreign Affairs,J. B. Dauda,Q6104671,2010,2012,male,1942-12-24,2017-06-01,J. B. Dauda 2011-05-11-2.jpg,J. B. Dauda
Sierra Leone,Minister of Foreign Affairs,Samura Kamara,Q7413073,2012,2017,male,1951-04-30,,Samura Kamara 2014.jpg,Samura Kamara
Sierra Leone,Minister of Foreign Affairs,Kaifala Marah,Q15127738,2017,2018,male,,,,Kaifala Marah
Sierra Leone,Minister of Foreign Affairs,David J. Francis,Q53863493,2018-04-18,2018-04-23,male,1965-10-05,,David J. Francis.jpg,David J. Francis (politician)
Sierra Leone,Minister of Foreign Affairs,Alie Kabba,Q55126210,2018-05-04,2019-05,male,,,,
Sierra Leone,Minister of Foreign Affairs,Nabeela Tunis,Q87471867,2019-05,2021-04,female,,,"Nabeela Tunis, 2019 (cropped).jpg",Nabeela Tunis
Sierra Leone,Minister of Foreign Affairs,David J. Francis,Q53863493,2021-04-30,,male,1965-10-05,,David J. Francis.jpg,David J. Francis (politician)
Sierra Leone,Minister of Gender and Child Welfare,Baindu Dassama,Q113976491,2018-05-04,2019-11-08,,,,,
Sierra Leone,Minister of Gender and Child Welfare,Manti Tarawalli,Q113976509,2019-11-20,,,,,,
Sierra Leone,Minister of Health,Alpha Wurie,Q113976490,2018-05-04,2021-01-18,,,,,
Sierra Leone,Minister of Health,Austin Demby,Q105725171,2021-01-18,,male,,,,
Sierra Leone,Minister of Information and Communication,Mohamed Rahman Swaray,Q104603374,2018-05-04,,male,,,Mohamed Rahman Swaray 2018 (cropped).jpg,
Sierra Leone,Minister of Internal Affairs,Edward Suluku,Q113976497,2018-05-04,2020-05,,,,,
Sierra Leone,Minister of Internal Affairs,David Panda-Noah,Q113976492,2020-05,,,,,,
Sierra Leone,Minister of Justice,Solomon Berewa,Q724271,1996,2002,male,1938-08-06,2020-03-05,,Solomon Berewa
Sierra Leone,Minister of Justice,Eke Ahmed Halloway,Q113975855,2002,2004,,,,,
Sierra Leone,Minister of Justice,Frederick Carew,Q113975857,2004,2006,,,,,
Sierra Leone,Minister of Justice,Abdul Serry-Kamal,Q4665725,2007,2010,male,1954-06-18,2014-01-18,,Abdul Serry-Kamal
Sierra Leone,Minister of Justice,Frank Kargbo,Q113975856,2010,2015,,,,,
Sierra Leone,Minister of Justice,Joseph Fitzgerald Kamara,Q113975858,2016,2018,,,,,
Sierra Leone,Minister of Justice,Charles Margai,Q5080659,2018-04-16,2018-06-11,male,1945-08-19,,,Charles Margai
Sierra Leone,Minister of Justice,Priscilla Schwartz,Q55065141,2018-06-11,2020-07-07,female,1967-03-18,,,Priscilla Schwartz
Sierra Leone,Minister of Justice,Anthony Yiehwoe Brewah,Q113975853,2020-07-07,2022-01,,,,,
Sierra Leone,Minister of Justice,Mohamed Lamin Tarawalley,Q113976511,2022-01-18,,,,,,
Sierra Leone,Minister of Labour and Social Security,Adekunle Milton King,Q113976488,2018-05-04,2019-11,,,,,
Sierra Leone,Minister of Labour and Social Security,Alpha Timbo,Q4735136,2019-11,,male,1961-04-27,,,Alpha Timbo
Sierra Leone,Minister of Lands and Country Planning,Denis Sandy,Q113976494,2018-05-04,2021-01-18,,,,,
Sierra Leone,Minister of Lands and Country Planning,Turad Senesie,Q113976854,2021-01-18,,male,,,,
Sierra Leone,Minister of Local Government and Rural Development,Anthony Yiehwoe Brewah,Q113975853,2018-05-04,2019-07,,,,,
Sierra Leone,Minister of Local Government and Rural Development,Tamba Lamina,Q80050898,2019-07,,male,,,,Tamba Lamina
Sierra Leone,Minister of Marine Resources,Emma Kowa-Jalloh,Q113976498,2018-05-04,,female,,,,
Sierra Leone,Minister of Mineral Resources,Morie Manyeh,Q113976512,2018-05-04,2019-05-31,,,,,
Sierra Leone,Minister of Mineral Resources,Foday Rado Yokie,Q113976500,2019-05-31,2020-08,,,,,
Sierra Leone,Minister of Mineral Resources,Musa Timothy Kabba,Q113976513,2020-08,,,,,,
Sierra Leone,Minister of Planning and Economic Development,Nabeela Tunis,Q87471867,2018-05-04,2019-06-20,female,,,"Nabeela Tunis, 2019 (cropped).jpg",Nabeela Tunis
Sierra Leone,Minister of Planning and Economic Development,Francis Kaikai,Q113976502,2019-06-20,,,,,,
Sierra Leone,Minister of Political and Public Affairs,Foday Yumkella,Q113976501,2018-05-07,,,,,,
Sierra Leone,Minister of Social Welfare,Baindu Dassama,Q113976491,2019-11-08,,,,,,
Sierra Leone,Minister of Sport,Ibrahim Nyelenkeh,Q113976503,2018-05-07,,,,,,
Sierra Leone,Minister of Technical and Higher Education,Alpha Wurie,Q113976490,2021-01-18,,,,,,
Sierra Leone,Minister of Tourism and Cultural Affairs,Memunatu Pratt,Q111522183,2018-05-04,,female,,,World Travel and Tourism Council - 0400-WTTC-2.11.21 (51652517100).jpg,
Sierra Leone,Minister of Trade and Industry,Peter Bayuku Conteh,Q113976514,2018-05-04,2019-05-31,male,,,,
Sierra Leone,Minister of Trade and Industry,Edward Sandy,Q113976496,2019-05-31,,,,,,
Sierra Leone,Minister of Transport and Aviation,Kabineh Kallon,Q113976507,2018-05-04,,,,,,
Sierra Leone,Minister of Water Resources,Jonathan Tengbeh,Q113976504,2018-05-04,2019-11-20,,,,,
Sierra Leone,Minister of Water Resources,Philip Lansana,Q113976516,2019-11-20,,,,,,
Sierra Leone,Minister of Works and Public Assets,Raymond de’Souza George,Q113976517,2018-05-04,2019-05-22,male,,,,
Sierra Leone,Minister of Works and Public Assets,Peter Bayuku Conteh,Q113976514,2019-05-22,,male,,,,
Sierra Leone,Minister of Youth,Mohamed Bangura,Q113976510,2018-05-04,,,,,,
Sierra Leone,First Lady,Fatima Maada Bio,Q55081550,2018-04-04,,female,1980-11-27,,,Fatima Maada Bio
