catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Gabon,President,Omar Bongo,Q172083,1967-12-02,2009-06-09,male,1935-12-30,2009-06-08,Omar Bongo cropped.jpg,Omar Bongo
Gabon,President,Didjob Divungi Di Ndinge,Q2662541,2009-06-08,2009-06-10,male,1946-05-05,,,Didjob Divungi Di Ndinge
Gabon,President,Rose Francine Rogombe,Q270645,2009-06-10,2009-10-16,female,1942-09-20,2015-04-10,,Rose Francine Rogombé
Gabon,President,Ali Bongo Ondimba,Q57521,2009-10-16,,male,1959-02-09,,Ali Bongo Ondimba.png,Ali Bongo Ondimba
Gabon,Vice President,Didjob Divungi Di Ndinge,Q2662541,1997-05,2009-10,male,1946-05-05,,,Didjob Divungi Di Ndinge
Gabon,Vice President,Pierre Claver Maganga Moussavou,Q3384461,2017-08-21,2019-05-21,male,1952-04-08,,,Pierre Claver Maganga Moussavou
Gabon,Prime Minister,Raymond Ndong Sima,Q57856,2012-02-27,2014-01-27,male,1955-01-23,,,Raymond Ndong Sima
Gabon,Prime Minister,Daniel Ona Ondo,Q3014508,2014-01-27,2016-09-29,male,1945-07-10,,,Daniel Ona Ondo
Gabon,Prime Minister,Emmanuel Issoze-Ngondet,Q5373253,2016-09-28,2019-01-12,male,1961-04-02,2020-06-11,,Emmanuel Issoze-Ngondet
Gabon,Prime Minister,Julien Nkoghe Békale,Q60594089,2019-01-12,2020-07-16,male,1958-08-23,,Julien Nkoghe Bekalé - 2019 (cropped).jpg,Julien Nkoghe Bekale
Gabon,Prime Minister,Rose Christiane Raponda,Q65556229,2020-07-16,,female,1964,,Rose Raponda 2015.png,Rose Christiane Raponda
Gabon,Minister of Defence,Michael Moussa Adamo,Q111718059,2020,2022-03-08,,,,,
Gabon,Minister of Defence,Félicité Ongouori Ngoubili,Q111718158,2022-03-08,,,,,,
Gabon,Minister of Finance and Economy,Emile Doumba,Q5371552,1999,2002,male,1944-10-29,,,Emile Doumba
Gabon,Minister of Finance and Economy,Paul Toungui,Q58208,2002,2008,male,1950-09-07,,"Paul Toungui, IMF 116SJ0504150090lg.jpg",Paul Toungui
Gabon,Minister of Finance and Economy,Blaise Louembe,Q4924282,2008,2012,male,1960-02-20,,Blaise Louembe (cropped).jpg,Blaise Louembe
Gabon,Minister of Finance and Economy,Rose Christiane Raponda,Q65556229,2012,2014,female,1964,,Rose Raponda 2015.png,Rose Christiane Raponda
Gabon,Minister of Finance and Economy,Christian Magnagna,Q106958800,2014,2016,male,,,,
Gabon,Minister of Finance and Economy,Mathias Otounga Ossibadjouo,Q26308938,2016,2017,male,1960-02-22,,Mathias Otounga Ossibadjouo - 2016 (cropped).jpg,
Gabon,Minister of Finance and Economy,Jean-Fidèle Otandault,Q56306715,2017,2019,male,1965-11,,,
Gabon,Minister of Finance and Economy,Roger Owono Mba,Q106958151,2019,2019-12,male,,,,
Gabon,Minister of Finance and Economy,Jean-Marie Ogandaga,Q106958062,2019-12,,male,,,,
Gabon,Minister for Foreign Affairs,Jean Ping,Q58286,1999,2008,male,1942-11-24,,Jean Ping 080202-F-1644L-081 0YWDF.jpg,Jean Ping
