catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Australia,Member of the Australian House of Representatives,Alan Cadman,Q4706304,1974-05-18,2007-10-17,male,1937-07-26,,,Alan Cadman
Australia,Member of the Australian House of Representatives,John Howard,Q51330,1974-05-18,2007-11-24,male,1939-07-26,,Howard John BANNER.jpg,John Howard
Australia,Member of the Australian House of Representatives,John Moore,Q6249252,1975-12-13,2001-02-05,male,1936-11-16,,John Moore 1999.jpg,John Moore (Australian politician)
Australia,Member of the Australian House of Representatives,Wilson Tuckey,Q8023238,1980-10-18,2010-08-21,male,1935-07-10,,Wilson Tuckey.jpg,Wilson Tuckey
Australia,Member of the Australian House of Representatives,Allan Morris,Q4730870,1983-03-05,2001-10-08,male,1940-07-26,,,Allan Morris
Australia,Member of the Australian House of Representatives,Neil Andrew,Q6988239,1983-03-05,2004-11-16,male,1944-06-07,,Neil Andrew 2019 Federal Election Volunteer (cropped).jpg,Neil Andrew
Australia,Member of the Australian House of Representatives,Peter McGauran,Q7175777,1983-03-05,2008-04-09,male,1955-11-16,,,Peter McGauran
Australia,Member of the Australian House of Representatives,David Hawker,Q2646347,1983-05-07,2010-07-19,male,1949-05-01,,,David Hawker
Australia,Member of the Australian House of Representatives,Stewart McArthur,Q7615871,1984-02-18,2007-11-24,male,1937-10-27,,,Stewart McArthur
Australia,Member of the Australian House of Representatives,Alexander Downer,Q1239291,1984-12-01,2008-07-14,male,1951-09-09,,Alexander Downer (1).jpg,Alexander Downer
Australia,Member of the Australian House of Representatives,Kathy Sullivan,Q16106114,1984-12-01,2001-10-08,female,1942-03-08,,,Kathy Sullivan (Australian politician)
Australia,Member of the Australian House of Representatives,Andrew Theophanous,Q4758704,1984-12-01,2001-11-10,male,1946-03-24,,,Andrew Theophanous
Australia,Member of the Australian House of Representatives,David Jull,Q5235784,1984-12-01,2007-10-17,male,1944-10-04,2011-09-13,,David Jull
Australia,Member of the Australian House of Representatives,Garry Nehl,Q5524195,1984-12-01,2001-10-08,male,1934-02-19,,,Garry Nehl
Australia,Member of the Australian House of Representatives,Michael Lee,Q6832154,1984-12-01,2001-11-10,male,1957-03-24,,,Michael Lee (Australian politician)
Australia,Member of the Australian House of Representatives,Neil O'Keefe,Q6989110,1984-12-01,2001-10-08,male,1947-05-07,,,Neil O'Keefe
Australia,Member of the Australian House of Representatives,Roger Price,Q7358801,1984-12-01,2010-07-19,male,1945-11-26,,Roger price mp 2007.jpg,Roger Price (Australian politician)
Australia,Member of the Australian House of Representatives,Tim Fischer,Q7803494,1984-12-01,2001-10-08,male,1946-05-03,2019-08-22,Tim Fischer.jpg,Tim Fischer
Australia,Member of the Australian House of Representatives,Harry Jenkins,Q5670053,1986-02-08,2013-08-05,male,1952-08-18,,Harry Jenkins.jpg,Harry Jenkins
Australia,Member of the Australian House of Representatives,Duncan Kerr,Q15525005,1987-07-11,2010-07-19,male,1952-02-26,,Duncan Kerr.jpg,Duncan Kerr
Australia,Member of the Australian House of Representatives,Geoff Prosser,Q5534277,1987-07-11,2007-10-17,male,1948-11-06,,,Geoff Prosser
Australia,Member of the Australian House of Representatives,Rod Sawford,Q7356353,1988-03-26,2007-10-17,male,1944-06-26,,,Rod Sawford
Australia,Member of the Australian House of Representatives,John Anderson,Q3180912,1989-04-15,2007-10-17,male,1956-11-14,,John Anderson at Newstead (cropped).jpg,John Anderson (Australian politician)
Australia,Member of the Australian House of Representatives,Simon Crean,Q1400580,1990-03-24,2013-08-05,male,1949-02-26,,Simon Crean (1).jpg,Simon Crean
Australia,Member of the Australian House of Representatives,Laurie Brereton,Q15525018,1990-03-24,2004-08-31,male,1946-05-29,,Laurie Brereton.jpg,Laurie Brereton
Australia,Member of the Australian House of Representatives,Peter Costello,Q2546246,1990-03-24,2009-10-19,male,1957-08-14,,Costello1.jpg,Peter Costello
Australia,Member of the Australian House of Representatives,Alex Somlyay,Q4717825,1990-03-24,2013-08-05,male,1946-01-18,,Alex Somlyay.jpg,Alex Somlyay
Australia,Member of the Australian House of Representatives,Arch Bevis,Q4785288,1990-03-24,2010-08-21,male,1955-04-10,,Arch Bevis.jpg,Arch Bevis
Australia,Member of the Australian House of Representatives,Bob Charles,Q4932052,1990-03-24,2004-08-31,male,1936-07-24,2016-04-17,,Bob Charles (politician)
Australia,Member of the Australian House of Representatives,Bruce Scott,Q4978267,1990-03-24,2016-05-09,male,1943-10-20,,Bruce Scott.jpg,Bruce Scott (Australian politician)
Australia,Member of the Australian House of Representatives,Daryl Melham,Q5226210,1990-03-24,2013-09-07,male,1954-11-26,,,Daryl Melham
Australia,Member of the Australian House of Representatives,David Kemp,Q5235919,1990-03-24,2004-08-31,male,1941-10-14,,,David Kemp (politician)
Australia,Member of the Australian House of Representatives,Warren Truss,Q591604,1990-03-24,2016-07-02,male,1948-10-08,,Warren Truss at a National Party candidate campaign launch.jpg,Warren Truss
Australia,Member of the Australian House of Representatives,Janice Crosio,Q6154225,1990-03-24,2004-10-31,female,1939-01-03,,,Janice Crosio
Australia,Member of the Australian House of Representatives,Laurie Ferguson,Q6501571,1990-03-24,2010-08-21,male,1952-07-07,,Laurie Ferguson.jpg,Laurie Ferguson
Australia,Member of the Australian House of Representatives,Michael Ronaldson,Q6833958,1990-03-24,2001-10-08,male,1954-02-13,,,Michael Ronaldson
Australia,Member of the Australian House of Representatives,Peter Nugent,Q7176142,1990-03-24,2001-04-24,male,1938-04-01,2001-04-24,,Peter Nugent
Australia,Member of the Australian House of Representatives,Kevin Andrews,Q6395733,1991-05-11,,male,1955-11-09,,Kevin Andrews - Anzac Day 2010 - 1 (cropped).jpg,Kevin Andrews (politician)
Australia,Member of the Australian House of Representatives,Stephen Smith,Q1376420,1993-03-13,2013-09-07,male,1955-12-12,,Stephen Smith.jpg,Stephen Smith (Australian politician)
Australia,Member of the Australian House of Representatives,John Forrest,Q16136059,1993-03-13,2013-08-05,male,1949-08-24,,John Alexander Forrest.jpg,John Forrest (Victorian politician)
Australia,Member of the Australian House of Representatives,Lindsay Tanner,Q1826293,1993-03-13,2010-07-19,male,1956-04-24,,Lindsay Tanner at Mosman Library (cropped).png,Lindsay Tanner
Australia,Member of the Australian House of Representatives,Philip Ruddock,Q3379071,1993-03-13,2016-05-09,male,1943-03-12,,Philip Ruddock.jpg,Philip Ruddock
Australia,Member of the Australian House of Representatives,Barry Wakelin,Q4864870,1993-03-13,2007-10-17,male,1946-05-07,,,Barry Wakelin
Australia,Member of the Australian House of Representatives,Bob Katter,Q4932983,1993-03-13,,male,1945-05-22,,Katter tally room.jpg,Bob Katter
Australia,Member of the Australian House of Representatives,Chris Gallus,Q5111025,1993-03-13,2004-08-31,female,1943-04-06,,,Chris Gallus
Australia,Member of the Australian House of Representatives,Daryl Williams,Q5226263,1993-03-13,2004-08-31,male,1942-08-21,,,Daryl Williams (politician)
Australia,Member of the Australian House of Representatives,Dick Adams,Q5272614,1993-03-13,2013-09-07,male,1951-04-29,,Dick Adams.png,Dick Adams (politician)
Australia,Member of the Australian House of Representatives,Gavan O'Connor,Q5527997,1993-03-13,2007-11-24,male,1947-12-02,,Gavan O'Connor MP 2005.jpg,Gavan O'Connor
Australia,Member of the Australian House of Representatives,Harry Quick,Q5671777,1993-03-13,2007-11-24,male,1941-06-28,,,Harry Quick
Australia,Member of the Australian House of Representatives,Judi Moylan,Q6302822,1993-03-13,2013-08-05,female,1944-02-24,,,Judi Moylan
Australia,Member of the Australian House of Representatives,Leo McLeay,Q6524050,1993-03-13,2004-08-31,male,1945-10-04,,,Leo McLeay
Australia,Member of the Australian House of Representatives,Lou Lieberman,Q6685602,1993-03-13,2001-10-08,male,1938-05-13,,,Lou Lieberman
Australia,Member of the Australian House of Representatives,Mark Vaile,Q6770126,1993-03-13,2008-07-30,male,1956-04-18,,Mark Vaile (TM).jpg,Mark Vaile
Australia,Member of the Australian House of Representatives,Paul Neville,Q7152703,1993-03-13,2013-08-05,male,1940-03-20,2019-01-01,Paul Neville.jpg,Paul Neville (politician)
Australia,Member of the Australian House of Representatives,Stephen Martin,Q7609911,1993-03-13,2002-08-16,male,1948-06-24,,,Stephen Martin (Australian politician)
Australia,Member of the Australian House of Representatives,Trish Worth,Q7844011,1993-03-13,2004-10-09,female,1946-04-21,,,Trish Worth
Australia,Member of the Australian House of Representatives,Christopher Pyne,Q978276,1993-03-13,2019-04-11,male,1967-08-13,,Christopher Pyne Policy Exchange 1 (cropped).jpg,Christopher Pyne
