catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
India,Member of the 12th West Bengal Legislative Assembly,Partha De,Q104587931,1996,2001,male,1940-01-01,,,Partha De
India,Member of the 12th West Bengal Legislative Assembly,Amar Chaudhuri,Q106238201,1996,2001,male,,,,
India,Member of the 12th West Bengal Legislative Assembly,Nirmal Das,Q106241341,1996,2001,male,,,,
India,Member of the 12th West Bengal Legislative Assembly,Shyamadas Banerjee,Q106243046,1996,2001,male,,,,
India,Member of the 12th West Bengal Legislative Assembly,Nirode Roy Choudhury,Q106255923,1996,2001,male,,,,
India,Member of the 12th West Bengal Legislative Assembly,Ramesh Roy,Q106309438,1996,2001,male,,,,
India,Member of the 12th West Bengal Legislative Assembly,Haradhan Bauri,Q106309612,1996,2001,male,,,,
India,Member of the 12th West Bengal Legislative Assembly,Nanda Dulal Majhi,Q106309809,1996,2001,male,,,,
India,Member of the 12th West Bengal Legislative Assembly,Gouripada Dutta,Q106310325,1996,2001,male,,,,
India,Member of the 12th West Bengal Legislative Assembly,Jayanta Chowdhury,Q106314503,1996,2001,male,,,,
India,Member of the 12th West Bengal Legislative Assembly,Anil Kumar Mukherjee,Q106314603,1996,2001,male,,,,
India,Member of the 12th West Bengal Legislative Assembly,Susmita Biswas,Q106314946,1996,2001,female,,,,
India,Member of the 12th West Bengal Legislative Assembly,Manoranjan Patra,Q106320582,1996,2001,male,,,,
India,Member of the 12th West Bengal Legislative Assembly,Upen Kisku,Q106328159,1996,2001,male,,,,
India,Member of the 12th West Bengal Legislative Assembly,Subhas Goswami,Q106352880,1996,2001,male,,,,
India,Member of the 12th West Bengal Legislative Assembly,Natabar Bagdi,Q106353829,1996,2001,male,,,,
India,Member of the 12th West Bengal Legislative Assembly,Bilasibala Sahis,Q106361311,1996,2001,female,,,,
India,Member of the 12th West Bengal Legislative Assembly,Rabindranath Hembram,Q106361585,1996,2001,male,,,,
India,Member of the 12th West Bengal Legislative Assembly,Kamalakanta Mahato,Q106362512,1996,2001,male,,,,
India,Member of the 12th West Bengal Legislative Assembly,Mamata Mukherjee,Q106366800,1996,2001,male,,,,
India,Member of the 12th West Bengal Legislative Assembly,Shantiram Mahato,Q106366962,1996,2001,male,,,,
India,Member of the 12th West Bengal Legislative Assembly,Bhandu Majhi,Q106367376,1996,2001,male,,,,
India,Member of the 12th West Bengal Legislative Assembly,Lakhiram Kisku,Q106370815,1996,2001,male,,,,
India,Member of the 12th West Bengal Legislative Assembly,Buddhadeb Bhakat,Q106376091,1996,2001,male,,,,
India,Member of the 12th West Bengal Legislative Assembly,Rana Shakti,Q106377090,1996,2001,male,,,,
India,Member of the 12th West Bengal Legislative Assembly,Jyoti Basu,Q335284,1996,2001,male,1914-07-08,2010-01-17,Jyotibasu.JPG,Jyoti Basu
India,Member of the 12th West Bengal Legislative Assembly,Gyan Singh Sohanpal,Q5623977,1996,2001,male,1925-01-11,2017-08-08,,Gyan Singh Sohanpal
India,Member of the 12th West Bengal Legislative Assembly,Hashim Abdul Halim,Q5678986,1996,2001,male,1935-06-05,2015-11-02,,Hashim Abdul Halim
India,Member of the 12th West Bengal Legislative Assembly,Tapas Banerjee,Q64859112,1996,2001,male,,,,Tapas Banerjee
India,Member of the 12th West Bengal Legislative Assembly,Sabitri Mitra,Q7396230,1996,2001,female,1960,,Sabitri Mitra.jpg,Sabitri Mitra
India,Member of the 12th West Bengal Legislative Assembly,Saugata Roy,Q7427196,1996,2001,male,1947-08-06,,Saugata Roy.png,Saugata Roy
India,Member of the 12th West Bengal Legislative Assembly,Kshiti Goswami,Q76399520,1996,2001,male,1943,2019-11-24,,Kshiti Goswami
India,Member of the 12th West Bengal Legislative Assembly,Rajesh Khaitan,Q78776188,1996,2001,male,1944,2019-12-15,,Rajesh Khaitan
India,Member of the 12th West Bengal Legislative Assembly,Deblina Hembram,Q99033236,1996,2001,female,,,,Deblina Hembram
India,Member of the 12th West Bengal Legislative Assembly,Chunibala Hansda,Q64003223,1999,2001,female,,,,Chunibala Hansda
India,Member of the 13th West Bengal Legislative Assembly,Amar Chaudhuri,Q106238201,2001,2006,male,,,,
India,Member of the 13th West Bengal Legislative Assembly,Nirmal Das,Q106241341,2001,2006,male,,,,
India,Member of the 13th West Bengal Legislative Assembly,Paresh Chandra Adhikary,Q106309421,2001,2006,male,,,,Paresh Chandra Adhikary
India,Member of the 13th West Bengal Legislative Assembly,Nanda Dulal Majhi,Q106309809,2001,2006,male,,,,
India,Member of the 13th West Bengal Legislative Assembly,Manasi Ghose,Q106310438,2001,2006,female,,,,
India,Member of the 13th West Bengal Legislative Assembly,Jayanta Chowdhury,Q106314503,2001,2006,male,,,,
India,Member of the 13th West Bengal Legislative Assembly,Anil Kumar Mukherjee,Q106314603,2001,2006,male,,,,
India,Member of the 13th West Bengal Legislative Assembly,Susmita Biswas,Q106314946,2001,2006,female,,,,
India,Member of the 13th West Bengal Legislative Assembly,Kashinath Mishra,Q106320115,2001,2006,male,,2012,,
India,Member of the 13th West Bengal Legislative Assembly,Manoranjan Patra,Q106320582,2001,2006,male,,,,
India,Member of the 13th West Bengal Legislative Assembly,Upen Kisku,Q106328159,2001,2006,male,,,,
India,Member of the 13th West Bengal Legislative Assembly,Makar Tudu,Q106329643,2001,2006,male,,,,
India,Member of the 13th West Bengal Legislative Assembly,Subhas Goswami,Q106352880,2001,2006,male,,,,
India,Member of the 13th West Bengal Legislative Assembly,Umarani Bauri,Q106353981,2001,2006,female,,,,
India,Member of the 13th West Bengal Legislative Assembly,Bilasibala Sahis,Q106361311,2001,2006,female,,,,
India,Member of the 13th West Bengal Legislative Assembly,Rabindranath Hembram,Q106361585,2001,2006,male,,,,
India,Member of the 13th West Bengal Legislative Assembly,Shamyapyari Mahata,Q106362529,2001,2006,female,,,,
India,Member of the 13th West Bengal Legislative Assembly,Nikhil Mukherjee,Q106366847,2001,2006,male,,,,
India,Member of the 13th West Bengal Legislative Assembly,Shantiram Mahato,Q106366962,2001,2006,male,,,,
India,Member of the 13th West Bengal Legislative Assembly,Bhandu Majhi,Q106367376,2001,2006,male,,,,
India,Member of the 13th West Bengal Legislative Assembly,Upendranath Hansda,Q106370825,2001,2006,male,,,,
India,Member of the 13th West Bengal Legislative Assembly,Sambhu Nath Mandi,Q106371386,2001,2006,male,,,,
India,Member of the 13th West Bengal Legislative Assembly,Mina Sanatani,Q106376116,2001,2006,female,,,,
India,Member of the 13th West Bengal Legislative Assembly,Bhabani Shankar Hatial,Q106377102,2001,2006,male,,,,
India,Member of the 13th West Bengal Legislative Assembly,Kalyan Banerjee,Q16979825,2001,2006,male,1957-01-04,,Kalyan Banerjee.png,Kalyan Banerjee (politician)
India,Member of the 13th West Bengal Legislative Assembly,Nepal Mahato,Q23761920,2001,2006,male,1961-10-26,,,Nepal Mahata
India,Member of the 13th West Bengal Legislative Assembly,Sonali Guha,Q46991437,2001,2006,female,1968-12-27,,,Sonali Guha
India,Member of the 13th West Bengal Legislative Assembly,Gyan Singh Sohanpal,Q5623977,2001,2006,male,1925-01-11,2017-08-08,,Gyan Singh Sohanpal
India,Member of the 13th West Bengal Legislative Assembly,Hashim Abdul Halim,Q5678986,2001,2006,male,1935-06-05,2015-11-02,,Hashim Abdul Halim
India,Member of the 13th West Bengal Legislative Assembly,Sukhendu Khan,Q63296809,2001,2006,male,1938-01-25,,,
India,Member of the 13th West Bengal Legislative Assembly,Tapas Roy,Q64858876,2001,2006,male,,,,Tapas Roy
India,Member of the 13th West Bengal Legislative Assembly,Badal Bhattacharya,Q66720421,2001,2006,male,1944,2015-11-01,,Badal Bhattacharya
India,Member of the 13th West Bengal Legislative Assembly,Moloy Ghatak,Q6896827,2001,2006,male,1956,,,Moloy Ghatak
India,Member of the 13th West Bengal Legislative Assembly,Sabitri Mitra,Q7396230,2001,2006,female,1960,,Sabitri Mitra.jpg,Sabitri Mitra
India,Member of the 13th West Bengal Legislative Assembly,Saugata Roy,Q7427196,2001,2006,male,1947-08-06,,Saugata Roy.png,Saugata Roy
India,Member of the 13th West Bengal Legislative Assembly,Tapas Paul,Q7684462,2001,2006,male,1958-09-29,2020-02-18,Tapas Paul younger.jpg,Tapas Paul
India,Member of the 14th West Bengal Legislative Assembly,Partha De,Q104587931,2006,2011,male,1940-01-01,,,Partha De
India,Member of the 14th West Bengal Legislative Assembly,Amar Chaudhuri,Q106238201,2006,2011,male,,,,
India,Member of the 14th West Bengal Legislative Assembly,Nirmal Das,Q106241341,2006,2011,male,,,,
India,Member of the 14th West Bengal Legislative Assembly,Amitava Mukhopadhyay,Q106243127,2006,2011,male,,,,
India,Member of the 14th West Bengal Legislative Assembly,Prativa Ranjan Mukherjee,Q106244271,2006,2011,male,,,,
India,Member of the 14th West Bengal Legislative Assembly,Sarmistha Dutta,Q106255938,2006,2011,female,,,,
India,Member of the 14th West Bengal Legislative Assembly,Paresh Chandra Adhikary,Q106309421,2006,2011,male,,,,Paresh Chandra Adhikary
India,Member of the 14th West Bengal Legislative Assembly,Niresh Bagdi,Q106309651,2006,2011,male,,,,
India,Member of the 14th West Bengal Legislative Assembly,Mahadeb Patra,Q106309833,2006,2011,male,,,,
India,Member of the 14th West Bengal Legislative Assembly,Kalpana Koley,Q106310505,2006,2011,male,,,,
India,Member of the 14th West Bengal Legislative Assembly,Swapan Ghosh,Q106314527,2006,2011,male,,,,
India,Member of the 14th West Bengal Legislative Assembly,Tarapada Chakrabarti,Q106314754,2006,2011,male,,,,
India,Member of the 14th West Bengal Legislative Assembly,Susmita Biswas,Q106314946,2006,2011,female,,,,
India,Member of the 14th West Bengal Legislative Assembly,Manoranjan Patra,Q106320582,2006,2011,male,,,,
India,Member of the 14th West Bengal Legislative Assembly,Upen Kisku,Q106328159,2006,2011,male,,,,
India,Member of the 14th West Bengal Legislative Assembly,Anath Bandhu Mondal,Q106352961,2006,2011,male,,,,
India,Member of the 14th West Bengal Legislative Assembly,Umarani Bauri,Q106353981,2006,2011,female,,,,
India,Member of the 14th West Bengal Legislative Assembly,Bilasibala Sahis,Q106361311,2006,2009,female,,,,
India,Member of the 14th West Bengal Legislative Assembly,Rabindranath Hembram,Q106361585,2006,2011,male,,,,
India,Member of the 14th West Bengal Legislative Assembly,Shamyapyari Mahata,Q106362529,2006,2011,female,,,,
India,Member of the 14th West Bengal Legislative Assembly,Nikhil Mukherjee,Q106366847,2006,2011,male,,,,
India,Member of the 14th West Bengal Legislative Assembly,Bindeswar Mahato,Q106366971,2006,2011,male,,,,
India,Member of the 14th West Bengal Legislative Assembly,Bhandu Majhi,Q106367376,2006,2011,male,,,,
India,Member of the 14th West Bengal Legislative Assembly,Upendranath Hansda,Q106370825,2006,2011,male,,,,
India,Member of the 14th West Bengal Legislative Assembly,Rabi Lal Maitra,Q106377110,2006,2011,male,,,,
India,Member of the 14th West Bengal Legislative Assembly,Nepal Mahato,Q23761920,2006,2011,male,1961-10-26,,,Nepal Mahata
India,Member of the 14th West Bengal Legislative Assembly,Abdus Sattar,Q4666319,2006,2011,male,,,,Abdus Sattar (West Bengal politician)
India,Member of the 14th West Bengal Legislative Assembly,Sonali Guha,Q46991437,2006,2011,female,1968-12-27,,,Sonali Guha
India,Member of the 14th West Bengal Legislative Assembly,Gyan Singh Sohanpal,Q5623977,2006,2011,male,1925-01-11,2017-08-08,,Gyan Singh Sohanpal
India,Member of the 14th West Bengal Legislative Assembly,Chunibala Hansda,Q64003223,2006,2011,female,,,,Chunibala Hansda
India,Member of the 14th West Bengal Legislative Assembly,Amar Basu,Q66632869,2006,2011,male,1939,2019-02-20,,Amar Basu
India,Member of the 14th West Bengal Legislative Assembly,Mohammad Sohrab,Q71436626,2006,2011,male,,,,Mohammad Sohrab
India,Member of the 14th West Bengal Legislative Assembly,Sabitri Mitra,Q7396230,2006,2011,female,1960,,Sabitri Mitra.jpg,Sabitri Mitra
India,Member of the 14th West Bengal Legislative Assembly,Kshiti Goswami,Q76399520,2006,2011,male,1943,2019-11-24,,Kshiti Goswami
India,Member of the 14th West Bengal Legislative Assembly,Tapas Paul,Q7684462,2006,2009,male,1958-09-29,2020-02-18,Tapas Paul younger.jpg,Tapas Paul
India,Member of the 14th West Bengal Legislative Assembly,Deblina Hembram,Q99033236,2006,2011,female,,,,Deblina Hembram
India,Member of the 14th West Bengal Legislative Assembly,Minu Bauri,Q106361323,2009,2011,female,,,,
India,Member of the 14th West Bengal Legislative Assembly,Firhad Hakim,Q4935088,2009,2011,male,1959-01-01,,Firhad Hakim.jpg,Firhad Hakim
India,Member of the 15th West Bengal Legislative Assembly,Purna Chandra Bauri,Q106354043,2006,2011,male,,,,
