catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Faroe Islands,Member of the Løgting,Annita á Fríðriksmørk,Q466097,1998,2011,female,1968-07-27,,Annita á Fríðriksmørk 2015.JPG,Annita á Fríðriksmørk
Faroe Islands,Member of the Løgting,Jógvan á Lakjuni,Q932304,1998,2022,male,1952-11-13,,Jogvan a Lakjuni 2.jpeg,Jógvan á Lakjuni
Faroe Islands,Member of the Løgting,Poul Michelsen,Q1416571,2002,2020,male,1944-07-22,,PoulMichelsen-norden.PNG,Poul Michelsen
Faroe Islands,Member of the Løgting,Olga Biskopstø,Q16175266,2008-02,2008-09,female,1957,,,
Faroe Islands,Member of the Løgting,Annika Olsen,Q754857,2008-02-02,,female,1975-03-13,,Annika Olsen.jpg,Annika Olsen
Faroe Islands,Member of the Løgting,Bjarni Hammer,Q20900614,2015-09-01,,male,1975-03-08,,Bjarni Hammer 2011.jpg,
Faroe Islands,Member of the Løgting,Ingilín Didriksen Strøm,Q67077020,2019,,female,1991-08-22,,,
Faroe Islands,Member of the Løgting,Beinir Johannesen,Q69304565,2019,,male,1997-02-12,,,
Faroe Islands,Member of the Løgting,Christian Andreasen,Q70503356,2019,,male,1959-12-10,,,
Faroe Islands,Member of the Løgting,Erhard Joensen,Q20607424,2019-09,,male,1965-07-06,,,
Faroe Islands,Member of the Løgting,Eyðdis Hartmann Niclasen,Q115677422,2022-12-08,,female,1972-08-01,,,
