catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Germany,member of the German Bundestag,Andreas Schmidt,Q500491,1990-12-20,2009-10-27,male,1956-11-04,,,
Germany,member of the German Bundestag,Angelika Krüger-Leißner,Q534414,1998,2013,female,1951-08-13,,,
Germany,member of the German Bundestag,Wolf Bauer,Q100250,1998-10-26,2002-10-17,male,1939-03-05,,Wolf Bauer (cropped).jpg,Wolf Bauer
Germany,member of the German Bundestag,Sabine Jünger,Q100357,1998-10-26,2002-10-17,female,1973-05-21,,,Sabine Jünger
Germany,member of the German Bundestag,Rolf Schwanitz,Q100617,1998-10-26,2002-10-17,male,1959-04-02,,"Bundesarchiv Bild 183-1990-0328-304, Rolf Schwanitz.jpg",Rolf Schwanitz
Germany,member of the German Bundestag,Hans-Peter Bartels,Q101192,1998-10-26,2002-10-17,male,1961-05-07,,Bartels-UA.jpg,Hans-Peter Bartels
Germany,member of the German Bundestag,Ottmar Schreiner,Q101206,1998-10-26,2002-10-17,male,1946-02-21,2013-04-06,Ottmar Schreiner in Darmstadt 2007-12-10.jpg,Ottmar Schreiner
Germany,member of the German Bundestag,Klaus-Peter Willsch,Q101504,1998-10-26,2002-10-17,male,1961-02-28,,Willsch-800.jpg,Klaus-Peter Willsch
Germany,member of the German Bundestag,Klaus Hagemann,Q101662,1998-10-26,2002-10-17,male,1947-12-31,,,
Germany,member of the German Bundestag,Bärbel Sothmann,Q1019050,1998-10-26,2002-10-17,female,1939-08-20,,Bärbel Sothmann (1990).jpg,
Germany,member of the German Bundestag,Christine Lucyga,Q101987,1998-10-26,2002-10-17,female,1944-04-06,,"Bundesarchiv Bild 183-1990-0705-317, Dr. Christine Lucyga.jpg",Christine Lucyga
Germany,member of the German Bundestag,Jochen-Konrad Fromme,Q102386,1998-10-26,2002-10-17,male,1949-07-08,,Jochen-Konrad Fromme - Rednerpult 2009-3.jpg,
Germany,member of the German Bundestag,Klaus Brandner,Q102471,1998-10-26,2002-10-17,male,1949-01-13,,Klaus Brandner.jpg,Klaus Brandner (politician)
Germany,member of the German Bundestag,Wolfgang Bosbach,Q102506,1998-10-26,2002-10-17,male,1952-06-11,,2014-09-11 - Wolfgang Bosbach MdB - 7946.jpg,Wolfgang Bosbach
Germany,member of the German Bundestag,Ulla Burchardt,Q102760,1998-10-26,2002-10-17,female,1954-04-22,,UllaBurchardtMdB.jpg,Ulla Burchardt
Germany,member of the German Bundestag,Klaus Brähmig,Q102992,1998-10-26,2002-10-17,male,1957-08-01,,2014-09-09 - Klaus Brähmig MdB - 7040.jpg,Klaus Brähmig
Germany,member of the German Bundestag,Antje Vollmer,Q103336,1998-10-26,2002-10-17,female,1943-05-31,,Antje Vollmer (8592931976).jpg,Antje Vollmer
Germany,member of the German Bundestag,Christine Scheel,Q103518,1998-10-26,2002-10-17,female,1956-12-31,,Scheel0071 klein.jpg,
Germany,member of the German Bundestag,Michael Meister,Q103523,1998-10-26,2002-10-17,male,1961-06-09,,2014-09-11 - Michael Meister MdB - 8099.jpg,Michael Meister
Germany,member of the German Bundestag,Carl-Detlev Freiherr von Hammerstein,Q1036430,1998-10-26,2002-10-17,male,1938-01-26,,Charly von Hammerstein (1998).jpg,
Germany,member of the German Bundestag,Carl-Ludwig Thiele,Q1036557,1998-10-26,2002-10-17,male,1953-08-09,,,
Germany,member of the German Bundestag,Ulla Jelpke,Q103740,1998-10-26,2002-10-17,female,1951-06-09,,2014-09-09 - Ulla Jelpke MdB - 7048.jpg,Ulla Jelpke
Germany,member of the German Bundestag,Alfred Hartenbach,Q103781,1998-10-26,2002-10-17,male,1943-03-05,2016-06-25,,
Germany,member of the German Bundestag,Monika Griefahn,Q104150,1998-10-26,2002-10-17,female,1954-10-03,,Monika griefahn.jpg,Monika Griefahn
Germany,member of the German Bundestag,Walter Hirche,Q104401,1998-10-26,2002-10-17,male,1941-02-13,,2013-01-20-niedersachsenwahl-207.jpg,
Germany,member of the German Bundestag,Joachim Poß,Q104422,1998-10-26,2002-10-17,male,1948-12-27,,Joachim Poß.jpg,
Germany,member of the German Bundestag,Karl Lamers,Q104428,1998-10-26,2002-10-17,male,1935-11-11,,,Karl Lamers
Germany,member of the German Bundestag,Ulrike Höfken,Q104434,1998-10-26,2002-10-17,female,1955-05-14,,Ulrike hoefken foto kerstin baensch.jpg,
Germany,member of the German Bundestag,Carsten Hübner,Q1045567,1998-10-26,2002-10-17,male,1969-07-19,,,
Germany,member of the German Bundestag,Carsten Schneider,Q1045665,1998-10-26,2002-10-17,male,1976-01-23,,"Carsten Schneider im Interview (Friedrich-Naumann-Stiftung, 2017) 03.png",Carsten Schneider
Germany,member of the German Bundestag,Eva Bulling-Schröter,Q104774,1998-10-26,2002-10-17,female,1956-02-22,,"Bulling-Schröter, Eva-9003.jpg",Eva Bulling-Schröter
