catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Tuvalu,monarch,Elizabeth II,Q9682,1978-10-01,2022-09-08,female,1926-04-21,2022-09-08,Queen Elizabeth II official portrait for 1959 tour (retouched) (cropped) (3-to-4 aspect ratio).jpg,Elizabeth II
Tuvalu,monarch,Charles III,Q43274,2022-09-08,,male,1948-11-14,,Prince Charles in Aotearoa (cropped).jpg,Charles III
Tuvalu,Governor-General,Tomasi Puapua,Q919316,1998-06-26,2003-09-09,male,1938-09-10,,,Tomasi Puapua
Tuvalu,Governor-General,Faimalaga Luka,Q164931,2003-09-09,2005-04-15,male,1940,2005-08-19,Faimalaga Luka 2003.jpg,Faimalaga Luka
Tuvalu,Governor-General,Filoimea Telito,Q451540,2005-04-15,2010-03-19,male,1945-03-19,2011-07-11,Filoimea Telito 2006.jpg,Filoimea Telito
Tuvalu,Governor-General,Kamuta Latasi,Q739504,2010-03-19,2010-04-16,male,1936-09-04,,Rt Hon Sir Kamuta Latasi (cropped).jpg,Kamuta Latasi
Tuvalu,Governor-General,Sir Iakoba Italeli,Q3147210,2010-04-16,2019-08-22,male,,,Iakoba Italeli May 2015.jpg,Iakoba Italeli
Tuvalu,Governor-General,Teniku Talesi Honolulu,Q104962757,2019-08-22,2021-01,female,,,Teniku Talesi.jpg,Teniku Talesi
Tuvalu,Governor-General,Samuelu Teo,Q21062794,2021-01,2021-09-28,male,1957,,Tuvalu MP Samuelu Penitala Teo speaking at the 144th IPU Assembly on March 2022 (cropped).jpg,Samuelu Teo
Tuvalu,Governor-General,Tofiga Vaevalu Falani,Q108906680,2021-09-29,,male,,,Tofiga Vaevalu Falani 2021.jpg,Tofiga Vaevalu Falani
Tuvalu,Prime Minister,Ionatana Ionatana,Q961043,1999-04-27,2000-12-08,male,1938-11-05,2000-12-08,Ionatana Ionatana.jpg,Ionatana Ionatana
Tuvalu,Prime Minister,Lagitupu Tuilimu,Q663723,2000-12-08,2001-02-24,male,,,,Lagitupu Tuilimu
Tuvalu,Prime Minister,Faimalaga Luka,Q164931,2001-02-24,2001-12-13,male,1940,2005-08-19,Faimalaga Luka 2003.jpg,Faimalaga Luka
Tuvalu,Prime Minister,Koloa Talake,Q965221,2001-12-14,2002-08-24,male,1934-06-07,2008-05-26,,Koloa Talake
Tuvalu,Prime Minister,Saufatu Sopoanga,Q384322,2002-08-24,2004-08-27,male,1952-02-22,2020-12-15,Saufatu Sopoanga 2003 (cropped).jpg,Saufatu Sopoanga
Tuvalu,Prime Minister,Maatia Toafa,Q287513,2004-08-27,2006-08-14,male,1954-05-01,,Maatia Toafa.jpg,Maatia Toafa
Tuvalu,Prime Minister,Apisai Ielemia,Q316267,2006-08-14,2010-09-29,male,1955-08-19,2018-11-19,Apisai Ielemia cropped.jpg,Apisai Ielemia
Tuvalu,Prime Minister,Maatia Toafa,Q287513,2010-09-29,2010-12-24,male,1954-05-01,,Maatia Toafa.jpg,Maatia Toafa
Tuvalu,Prime Minister,Willy Telavi,Q561559,2010-12-24,2013-08-01,male,1954-01-28,,Willy Telavi.jpg,Willy Telavi
Tuvalu,Prime Minister,Enele Sopoaga,Q330640,2013-08-01,2019-09-19,male,1956-02-10,,Enele Sopoaga 2014.jpg,Enele Sopoaga
Tuvalu,Prime Minister,Kausea Natano,Q6378927,2019-09-19,,male,1957-07-05,,PM Natano (cropped).jpg,Kausea Natano
Tuvalu,Deputy Prime Minister,Maatia Toafa,Q287513,2002-08-02,2004-08-27,male,1954-05-01,,Maatia Toafa.jpg,Maatia Toafa
Tuvalu,Deputy Prime Minister,Saufatu Sopoanga,Q384322,2004-08-27,2006-08-14,male,1952-02-22,2020-12-15,Saufatu Sopoanga 2003 (cropped).jpg,Saufatu Sopoanga
Tuvalu,Deputy Prime Minister,Tavau Teii,Q7689043,2006-08-14,2010-09-29,male,,,Tavau Teii at MEDEF.jpg,Tavau Teii
Tuvalu,Deputy Prime Minister,Enele Sopoaga,Q330640,2010-09-29,2010-12-24,male,1956-02-10,,Enele Sopoaga 2014.jpg,Enele Sopoaga
Tuvalu,Deputy Prime Minister,Kausea Natano,Q6378927,2010-12-24,2013-08-02,male,1957-07-05,,PM Natano (cropped).jpg,Kausea Natano
Tuvalu,Deputy Prime Minister,Vete Sakaio,Q7923554,2013-08-05,2015-04-10,male,,,,Vete Sakaio
Tuvalu,Deputy Prime Minister,Maatia Toafa,Q287513,2015-04-10,2019-09-09,male,1954-05-01,,Maatia Toafa.jpg,Maatia Toafa
Tuvalu,Deputy Prime Minister,Minute Alapati Taupo,Q85895228,2019-09-20,2022-05-23,male,1962-02-01,2022-05-23,"Minute Alapati Taupo, February 2020 (GPO035) (cropped).jpg",Minute Alapati Taupo
Tuvalu,Minister of Education,Amasone Kilei,Q108807890,2000-12-08,2001-02-24,male,,2005,,Amasone Kilei
Tuvalu,Minister of Education,Sir Iakoba Italeli,Q3147210,2006-08-14,2010-09-29,male,,,Iakoba Italeli May 2015.jpg,Iakoba Italeli
Tuvalu,Minister of Education,Namoliki Sualiki,Q6961984,2010-09-29,2010-12-24,male,,,,Namoliki Sualiki
Tuvalu,Minister of Education,Falesa Pitoi,Q2377016,2010-12-24,2013-08-02,male,,,,Falesa Pitoi
Tuvalu,Minister of Education,Fauoa Maani,Q15972515,2013-08-05,2019-09-19,male,,,,Fauoa Maani
Tuvalu,Minister of Education,Timi Melei,Q108805761,2019-09-20,,male,,,,
Tuvalu,Minister of Finance,Lagitupu Tuilimu,Q663723,2000-12-08,2001-02-24,male,,,,Lagitupu Tuilimu
Tuvalu,Minister of Finance,Saufatu Sopoanga,Q384322,2001-12-14,2002-08-02,male,1952-02-22,2020-12-15,Saufatu Sopoanga 2003 (cropped).jpg,Saufatu Sopoanga
Tuvalu,Minister of Finance,Bikenibeu Paeniu,Q126443,2002-08-02,2004-08-27,male,1956-05-10,,Bikenibeu Paeniu 2022.jpg,Bikenibeu Paeniu
Tuvalu,Minister of Finance,Bikenibeu Paeniu,Q126443,2004-08-27,2006-08-14,male,1956-05-10,,Bikenibeu Paeniu 2022.jpg,Bikenibeu Paeniu
Tuvalu,Minister of Finance,Lotoala Metia,Q2378838,2006-08-16,2010-09-29,male,,2012-12-21,,Lotoala Metia
Tuvalu,Minister of Finance,Monise Laafai,Q6900427,2010-09-29,2010-12-24,male,,,Monise Laafai - ITU Telecom World 2016 - Ministerial Roundtable (25363407029) (cropped).jpg,Monise Laafai
Tuvalu,Minister of Finance,Lotoala Metia,Q2378838,2010-12-24,2012-12-21,male,,2012-12-21,,Lotoala Metia
Tuvalu,Minister of Finance,Maatia Toafa,Q287513,2013-08-05,2019-09-09,male,1954-05-01,,Maatia Toafa.jpg,Maatia Toafa
Tuvalu,Minister of Finance,Seve Paeniu,Q7457133,2019-09-20,,male,1965-02-11,,,Seve Paeniu
Tuvalu,Minister of Fisheries,Taukelina Finikaso,Q7688699,2010-09-29,2010-12-24,male,1959,,,Taukelina Finikaso
Tuvalu,Minister of Fisheries,Minute Alapati Taupo,Q85895228,2019-09-20,2022-05-23,male,1962-02-01,2022-05-23,"Minute Alapati Taupo, February 2020 (GPO035) (cropped).jpg",Minute Alapati Taupo
Tuvalu,Minister of Foreign Affairs,Koloa Talake,Q965221,2001-12-14,2002-08-02,male,1934-06-07,2008-05-26,,Koloa Talake
Tuvalu,Minister of Foreign Affairs,Saufatu Sopoanga,Q384322,2002-08-02,2004-08-27,male,1952-02-22,2020-12-15,Saufatu Sopoanga 2003 (cropped).jpg,Saufatu Sopoanga
Tuvalu,Minister of Foreign Affairs,Maatia Toafa,Q287513,2004-08-27,2006-08-14,male,1954-05-01,,Maatia Toafa.jpg,Maatia Toafa
Tuvalu,Minister of Foreign Affairs,Apisai Ielemia,Q316267,2006-08-14,2010-09-29,male,1955-08-19,2018-11-19,Apisai Ielemia cropped.jpg,Apisai Ielemia
Tuvalu,Minister of Foreign Affairs,Enele Sopoaga,Q330640,2010-09-29,2010-12-24,male,1956-02-10,,Enele Sopoaga 2014.jpg,Enele Sopoaga
Tuvalu,Minister of Foreign Affairs,Apisai Ielemia,Q316267,2010-12-24,2013-08-01,male,1955-08-19,2018-11-19,Apisai Ielemia cropped.jpg,Apisai Ielemia
Tuvalu,Minister of Foreign Affairs,Taukelina Finikaso,Q7688699,2013-08-05,2019-09-09,male,1959,,,Taukelina Finikaso
Tuvalu,Minister of Foreign Affairs,Simon Kofe,Q67199457,2019-09-20,,male,1984,,11.20 總統接見「吐瓦魯國外交部長柯飛伉儷」 (49092781028).jpg,Simon Kofe
Tuvalu,Minister of Health,Amasone Kilei,Q108807890,2000-12-08,2001-02-24,male,,2005,,Amasone Kilei
Tuvalu,Minister of Health,Alesana Seluka,Q21062847,2001-12-14,2004-08-27,male,,,,Alesana Seluka
Tuvalu,Minister of Health,Sir Iakoba Italeli,Q3147210,2006-08-14,2010-09-29,male,,,Iakoba Italeli May 2015.jpg,Iakoba Italeli
Tuvalu,Minister of Health,Fauoa Maani,Q15972515,2010-09-29,2010-12-24,male,,,,Fauoa Maani
Tuvalu,Minister of Health,Taom Tanukale,Q7684285,2010-12-24,2013-07-30,male,,,,Taom Tanukale
Tuvalu,Minister of Health,Fauoa Maani,Q15972515,2013-08-05,2019-09-19,male,,,,Fauoa Maani
Tuvalu,Minister of Health,Satini Manuella,Q18355480,2015-04-10,2019-09-09,male,1958-08-21,,,Satini Manuella
Tuvalu,Minister of Health,Isaia Vaipuna Taape,Q108805787,2019-09-20,,male,,,,
Tuvalu,Minister for Home Affairs,Otinielu Tausi,Q7108741,2001-12-14,2004-08-27,male,,,,Otinielu Tausi
Tuvalu,Minister for Home Affairs,Willy Telavi,Q561559,2006-08-14,2010-09-29,male,1954-01-28,,Willy Telavi.jpg,Willy Telavi
Tuvalu,Minister for Home Affairs,Willy Telavi,Q561559,2010-09-29,2011-07-01,male,1954-01-28,,Willy Telavi.jpg,Willy Telavi
Tuvalu,Minister for Home Affairs,Pelenike Isaia,Q7161303,2011-09-23,2013-08-02,female,,,,Pelenike Isaia
Tuvalu,Minister for Home Affairs,Namoliki Sualiki,Q6961984,2013-08-05,2019-09-19,male,,,,Namoliki Sualiki
Tuvalu,Minister for Home Affairs,Katepu Laoi,Q108805768,2019-09-20,,male,,,,
Tuvalu,Minister of Justice,Simon Kofe,Q67199457,2019-09-20,,male,1984,,11.20 總統接見「吐瓦魯國外交部長柯飛伉儷」 (49092781028).jpg,Simon Kofe
Tuvalu,Minister of Natural Resources,Namoto Kelisiano,Q110594679,2000-12-08,2001-02-24,,,,,
Tuvalu,Minister of Natural Resources,Samuelu Teo,Q21062794,2001-12-14,2004-08-27,male,1957,,Tuvalu MP Samuelu Penitala Teo speaking at the 144th IPU Assembly on March 2022 (cropped).jpg,Samuelu Teo
Tuvalu,Minister of Natural Resources,Tavau Teii,Q7689043,2006-08-14,2010-09-29,male,,,Tavau Teii at MEDEF.jpg,Tavau Teii
Tuvalu,Minister of Natural Resources,Vete Sakaio,Q7923554,2010-09-29,2010-12-24,male,,,,Vete Sakaio
