catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Djibouti,President,Ismail Omar Guelleh,Q57390,1999-05-08,,male,1947-11-27,,Ismail Omar Guelleh 2010.jpg,Ismaïl Omar Guelleh
Djibouti,Prime Minister,Barkat Gourad Hamadou,Q727071,1978-10-02,2001-03-07,male,1930-01-01,2018-03-18,,Barkat Gourad Hamadou
Djibouti,Prime Minister,Dileita Mohamed Dileita,Q57683,2001-03-07,2013-04-01,male,1958-03-12,,Dileita Mohamed Dileita detail 090114-F-3682S-269.jpg,Dileita Mohamed Dileita
Djibouti,Prime Minister,Abdoulkader Kamil Mohamed,Q10522744,2013-04-01,,male,1951-07-01,,Abdoulkader Kamil Mohamed.jpg,Abdoulkader Kamil Mohamed
Djibouti,Minister of Agriculture,Mohamed Ahmed Awaleh,Q110573017,2013-03-31,,male,,,,
Djibouti,Minister of Budget,Isman Ibrahim Robleh,Q110573012,2013-03-31,,male,,,,
Djibouti,Minister of the City,Amina Abdi Aden,Q110573027,2013-03-31,,female,,,,
Djibouti,Minister of Commerce and Tourism,Mohamed Warsama Dirieh,Q110573031,2013-03-31,,male,,,,
Djibouti,Minister of Communication,Radwan Abdillahi Bahdon,Q110573030,2013-03-31,,male,,,,
Djibouti,Minister of Defence,Ougoureh Kifleh Ahmed,Q3358119,1999,2011,male,1955-11-18,,"Ougoureh Kifleh detail, 021211-D-2987S-053.jpg",Ougoureh Kifleh Ahmed
Djibouti,Minister of Defence,Abdoulkader Kamil Mohamed,Q10522744,2011,2013,male,1951-07-01,,Abdoulkader Kamil Mohamed.jpg,Abdoulkader Kamil Mohamed
Djibouti,Minister of Defence,Hassan Omar Mohamed Bourhan,Q110572953,2013-03-31,,male,,,,
Djibouti,Minister of Economy and Finance,Ilyas Moussa Dawaleh,Q86735441,2013-03-31,,male,1966-10-26,,,
Djibouti,Minister of Energy,Yonis Ali Guedi,Q110573022,2013-03-31,,male,,,,
Djibouti,Minister of the Environment,Mohamed Abdoulkader Moussa Helem,Q110573025,2013-03-31,,male,,,,
Djibouti,Minister of Foreign Affairs,Ali Abdi Farah,Q2836075,1999-05-12,2005-05-22,male,1947-02-16,,,Ali Abdi Farah
Djibouti,Minister of Foreign Affairs,Mahamoud Ali Youssouf,Q58256,2005-05-22,,male,1965-09,,Mahamoud Ali Youssouf.jpg,Mahamoud Ali Youssouf
Djibouti,Minister of Health,Ahmed Robleh Abdilleh,Q110573013,2013-03-31,,male,,,,
Djibouti,Minister of Higher Education,Nabil Mohamed Ahmed,Q110573015,2013-03-31,,male,,,,
Djibouti,Minsiter of Infrastructure and Equipment,Hassan Houmed Ibrahim,Q110573018,2013-03-31,,male,,,,
Djibouti,Minister of the Interior,Said Nouh Hassan,Q110572966,2013-03-31,,male,,,,
Djibouti,Minister of Justice,Ali Hassan Bahdon,Q27038707,2019-05-05,,male,,,Ali Hassan Bahdon - 2016 (cropped).jpg,
Djibouti,Minister of Labour,Omar Abdi Said,Q110573024,2013-03-31,,male,,,,
Djibouti,Minister of Muslim Affairs,Moumin Hassan Barreh,Q110573019,2013-03-31,,male,,,,
Djibouti,Minister of National Education,Moustapha Mohamed Mahamoud,Q110573014,2013-03-31,,male,,,,
Djibouti,Minister of Social Affairs,Ouloufa Ismail Abdo,Q110573021,2013-03-31,,female,,,,
Djibouti,Minister of Women and Family,Mouna Osman Aden,Q110573016,2013-03-31,,female,,,,
Djibouti,Minister of Youth and Culture,Hibo Moumin Assoweh,Q110573032,2013-03-31,,female,,,,
Djibouti,Minister Delegate responsible for Decentralization,Kassim Haroun Ali,Q110573034,2013-03-31,,male,,,,
Djibouti,Minister Delegate reponsiblse for the Digial Economy and Innovation,Mariam Hamadou Ali,Q110573036,2013-03-31,,female,,,,
Djibouti,State Secretary for Invements,Safia Mohamed Ali Gadileh,Q110573038,2013-03-31,,female,,,,
Djibouti,State Secretary for Sports,Hassan Mohamed Kamil,Q110573039,2013-03-31,,male,,,,
Djibouti,Speaker of the National Assembly,Mohamed Ali Houmed,Q110573500,2015-03-01,,male,1973,,,
Djibouti,Governor of the Central Bank,Ahmed Osman Ali,Q110573665,2013,,male,,,,
