catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Congo-Kinshasa,Member of the Senate,Henri-Thomas Lokondo Yoka,Q43106474,2006,2011,male,1955-07-27,2021-03-10,,Henri-Thomas Lokondo
Congo-Kinshasa,Member of the Senate,Pierre Lumbi Okongo,Q3386032,2018,2020,male,1950-03-11,2020-06-14,"MONUSCO Headquarters, Kinshasa, RD Congo- president of the G7, Pierre Lumbi. (cropped).jpg",Pierre Lumbi
Congo-Kinshasa,Member of the Senate,Eddy Mundela,Q109072260,2019,,male,1976-04-08,,"USG for peacekeeping operations, Jean-Pierre Lacroix, on official visit to DRCongo – October 2021 (51616643786).jpg",
Congo-Kinshasa,Member of the Senate,Carole Agito Amela,Q106323857,2019-04-05,,female,,,,
Congo-Kinshasa,Member of the Senate,Francine Muyumba,Q23007983,2019-04-05,,female,1987-02-18,,Francine Muyumba - 2017 (cropped).jpg,Francine Muyumba
Congo-Kinshasa,Member of the Senate,Guy Loando Mboyo,Q104600997,2019-05-14,2021-04-26,male,1983-02-05,,Guy Loando (Politician).jpg,Guy Loando Mboyo
Congo-Kinshasa,Member of the National Assembly,Henriette Wamu Atamina,Q104771218,2006,,female,1966-03-28,,,Henriette Wamu
Congo-Kinshasa,Member of the National Assembly,Alex Kande Mupompa,Q84265238,2006,2012,male,1950-09-23,,Alexkande.jpg,
Congo-Kinshasa,Member of the National Assembly,Henri-Thomas Lokondo Yoka,Q43106474,2011,2021-03-10,male,1955-07-27,2021-03-10,,Henri-Thomas Lokondo
Congo-Kinshasa,Member of the National Assembly,Félix Tshisekedi,Q29032770,2011-11-28,2013-06-18,male,1963-06-13,,Félix Tshisekedi - 2019 (cropped).jpg,Félix Tshisekedi
Congo-Kinshasa,Member of the National Assembly,Bienvenu Kalunga Mawazo Ga Nghombe,Q29351876,2011-11-28,,male,1956-02-26,,KALUNGA-MAWAZO-01.jpg,
Congo-Kinshasa,Member of the National Assembly,Martin Fayulu,Q3295417,2011-11-28,2019-03-07,male,1956-11-21,,Martin Fayulu.JPG,Martin Fayulu
Congo-Kinshasa,Member of the National Assembly,Geneviève Inagosi,Q63349528,2011-11-28,,female,,,"Geneviève Inagosi, Minister of Gender, Family and Children from DR Congo addresses the meeting (10841449794).jpg",
Congo-Kinshasa,Member of the National Assembly,Aminata Namasia,Q106505759,2018,,female,1993-03-10,,Aminata Namasia (PROTRAIT).jpg,Aminata Namasia
Congo-Kinshasa,Member of the National Assembly,Jean-Marie Lukulasi Massamba,Q106163828,2018-12-30,,male,1968-08-08,,Jean Marie LUKULASI MASSAMBA.jpg,
Congo-Kinshasa,Member of the National Assembly,Gael Bussa,Q107368856,2019,,male,1993-08-02,,Hon. Gael Bussa Obambule.jpg,Gael Bussa
