catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Central African Republic,President,Ange-Félix Patassé,Q314524,1993-10-22,2003-03-15,male,1937-01-25,2011-04-05,,Ange-Félix Patassé
Central African Republic,President,François Bozizé,Q57452,2003-03-15,2013-03-24,male,1946-10-14,,Francois Bozize headshot.jpg,François Bozizé
Central African Republic,President,Michel Djotodia,Q8202995,2013-03-24,2014-01-10,male,1949,,Michel Djotodia in 2020.jpg,Michel Djotodia
Central African Republic,President,Alexandre-Ferdinand Nguendet,Q15618369,2014-01-10,2014-01-23,male,1972-05-23,,Alexandre Ferdinand Nguendet VOA.jpg,Alexandre-Ferdinand Nguendet
Central African Republic,President,Catherine Samba-Panza,Q15633683,2014-01-23,2016-03-30,female,1954-06-26,,Catherine Samba-Panza 2014-09-26.jpg,Catherine Samba-Panza
Central African Republic,President,Faustin-Archange Touadéra,Q57758,2016-03-30,,male,1957-04-21,,Faustin-Archange Touadera Summit 2018 (cropped).jpg,Faustin-Archange Touadéra
Central African Republic,Vice President,Abel Goumba,Q318433,2003-12,2005-03,male,1926-09-18,2009-05-11,AbelGoumba.png,Abel Goumba
Central African Republic,Prime Minister,Anicet-Georges Dologuélé,Q546278,1999-01-04,2001-04-01,male,1957-04-17,,Anicet Georges Dologuele 2015.jpg,Anicet-Georges Dologuélé
Central African Republic,Prime Minister,Martin Ziguélé,Q1648403,2001-04-01,2003-03-15,male,1957-02-12,,Martin ZIGUELE.JPG,Martin Ziguélé
Central African Republic,Prime Minister,Abel Goumba,Q318433,2003-03-15,2003-12-11,male,1926-09-18,2009-05-11,AbelGoumba.png,Abel Goumba
Central African Republic,Prime Minister,Célestin Gaombalet,Q1150346,2003-12-12,2005-06-11,male,1942-01-01,2017-12-19,CGaombalet.jpg,Célestin Gaombalet
Central African Republic,Prime Minister,Élie Doté,Q274641,2005-06-13,2008-01-18,male,1948-07-09,,Elie Dote.jpg,Élie Doté
Central African Republic,Prime Minister,Faustin-Archange Touadéra,Q57758,2008-01-22,2013-01-17,male,1957-04-21,,Faustin-Archange Touadera Summit 2018 (cropped).jpg,Faustin-Archange Touadéra
Central African Republic,Prime Minister,Nicolas Tiangaye,Q3277446,2013-02-03,2014-01-10,male,1956-09-13,,Nicolas Tiangaye VOA.jpg,Nicolas Tiangaye
Central African Republic,Prime Minister,André Nzapayeké,Q15652682,2014-01-25,2014-08-10,male,1951-08-20,,André Nzapayéké 2006.jpg,André Nzapayeké
Central African Republic,Prime Minister,Mahamat Kamoun,Q17497078,2014-08-10,2016-04-02,male,1961-11-13,,Mahamat Kamoun (cropped).jpg,Mahamat Kamoun
Central African Republic,Prime Minister,Simplice Sarandji,Q23729455,2016-04-02,2019-02-22,male,1955-04-04,,CAR Prime Minister Simplice Mathieu Sarandji in Bangui 2016.jpg,Simplice Sarandji
Central African Republic,Prime Minister,Firmin Ngrébada,Q61889435,2019-02-25,2021-06-15,male,1968-05-24,,NgrebadaFirmin.png,Firmin Ngrébada
Central African Republic,Prime Minister,Henri-Marie Dondra,Q107273326,2021-06-15,2022-02-07,male,1966-08-14,,PMDondra.jpg,Henri-Marie Dondra
Central African Republic,Prime Minister,Félix Moloua,Q88310768,2022-02-07,,male,,,,Félix Moloua
Central African Republic,Minister of Agricultural Modernisation and Development,Pierre Guianza,Q112062433,2003-03-31,2003-12-15,,,,,
Central African Republic,Minister of Agricultural Modernisation and Development,Daniel Emery Dede,Q112062392,2003-12-15,2004-09-02,,,,,
Central African Republic,Minister of Agriculture and Livestock,Daniel Emery Dede,Q112062392,1999-11-02,2000-04-17,,,,,
Central African Republic,Minister of Civil Service and Employment,Laurent Gonbala,Q112062415,2001-04-06,2003-03-15,,,,,
Central African Republic,"Minister of Civil Service, Labour and Social Security",Jacques Voti,Q112062406,2003-03-31,2013-03-24,,,,,
Central African Republic,"Minister of Civil Service, Posts and Telecommunications",Bruno Vickos,Q112062391,1999-11-02,2001-04-06,,,,,
Central African Republic,"Minister of Communication, National Reconciliation, Democratic Culture and Promotion of Human Rights",Job Izima,Q112062412,2005-06-19,2013-03-24,,,,,
Central African Republic,Minister of Communications,Francis Albert Ouakanga,Q112062399,1999-11-02,2001-04-06,,,,,
Central African Republic,"Minister of Communications, National Reconciliation and Democratic and Civic Culture",Parfait Mbaye,Q112062430,2003-03-31,2004-09-02,,,,,
Central African Republic,Minister of Culture and Relations with the Parliament,Michel Docko,Q112062424,2001-04-06,2003-03-15,,,,,
Central African Republic,Minister of Defence,Jean -Jacques Demafouth,Q112062408,1999-11-02,2001-08-26,,,,,
Central African Republic,Minister of Defence,Pierre Angoua,Q112062432,2001-08-31,2003-01-15,,,,,
Central African Republic,Minister of Defence,Maurice Regonessa,Q112062421,2003-01-15,2003-03-15,,,,,
Central African Republic,"Minister of Economy, Finance and Planning",Jean-Pierre Lebouder,Q1685227,2003-12-15,2004-09-02,male,1944,,Lebouder.jpg,Jean-Pierre Lebouder
Central African Republic,"Minister of Economy, Finance and Planning",Daniel Nditifei Boysembe,Q112062393,2004-09-02,2005-06-19,,,,,
Central African Republic,"Minister of Economy, Planning and Cooperation",Alexis Gomba,Q112062380,2001-04-06,2003-03-15,,,,,
Central African Republic,"Minister of Economy, Planning and International Cooperation",Sylvain Maliko,Q112062438,2005-06-19,2013-03-24,,,,,
Central African Republic,Minister of Education,Éloi Anguimaté,Q19629676,1999-11-02,2001-04-06,male,1953-04-20,,,
Central African Republic,Minister of Education,Timoleon Mbaikoua,Q112062442,2005-06-19,2013-03-24,,,,,
Central African Republic,Minister of Energy and Mines,Andre Latou,Q112062381,1999-11-02,2001-04-06,,,,,
Central African Republic,Minister of Energy and Mines,Sylvain Mbutingaye,Q112062439,2003-03-31,2013-03-24,,,,,
Central African Republic,"Minister of Environment, Sustainable Development and National Economy",Joseph Ki Tiki Kouamba,Q112062413,2003-03-31,2004-09-02,,,,,
Central African Republic,"Minister of Environment, Water, Forests, Hunting and Fisheries",Jean-Baptiste Nouganga,Q6168974,1999-11-02,2000-04-17,male,,,,Jean-Baptiste Nouganga
Central African Republic,Minister of Equipment and Transport,Mpokomanji Soli,Q112062427,2003-03-31,2005-06-19,,,,,
Central African Republic,"Minister of Equipment, Territorial Development and Town Planning",Aristide Sokambi,Q112062386,1999-11-02,2000-04-17,,,,,
Central African Republic,"Minister of Equipment, Territorial Development and Town Planning",Joseph Kalite,Q15844911,2000-04-17,2001-04-06,male,,2014-01-24,Ministre Dr Joseph KALITE +á bord SNLE le Redoutable.jpg,Joseph Kalite
Central African Republic,Minister of Family and Social Affairs,Rachel Dea Nambonu,Q112062434,1999-11-02,2000-04-17,,,,,
Central African Republic,Minister of Family and Social Affairs,Ibrahim nee Ndoma Francoise,Q112062403,2001-04-06,2003-03-15,,,,,
Central African Republic,"Minister of Family, Social Affairs and National Solidarity",Lea Doumbta,Q112062417,2003-03-31,2004-09-02,,,,,
Central African Republic,"Minister of Family, Social Affairs and National Solidarity",Solange Pagonéndji N'dackala,Q112062437,2004-09-02,2013-03-24,,,,,
Central African Republic,Minister of Finance,Eric Sorongope,Q112062396,2001-04-06,2003-03-15,,,,,
Central African Republic,Minister of Finance,Théodore Dabanga,Q112062441,2005-06-19,2013-03-24,,,,,
Central African Republic,Minister of Foreign Affairs,Marcel Metefara,Q6756173,1999,2001,male,,2009,,Marcel Metefara
Central African Republic,Minister of Foreign Affairs,Agba Otikpo Mézodé,Q2826508,2001,2003,male,,,,Agba Otikpo Mézodé
Central African Republic,Minister of Foreign Affairs,Karim Meckassoua,Q21965872,2003,2003,male,1953-12-31,,Abdoul Karim Meckassoua May 2016.jpg,Karim Meckassoua
Central African Republic,Minister of Foreign Affairs,Charles Hervé Wénézoui,Q2959355,2003,2005,male,1949,2007-04-16,,
Central African Republic,Minister of Foreign Affairs,Martial Beti Marace,Q6774698,2003,2003,male,,,,Martial Beti Marace
Central African Republic,Minister of Foreign Affairs,Marcel Beti Maras,Q112062419,2003-01-15,2003-03-15,,,,,
Central African Republic,Minister of Foreign Affairs,Jean-Paul Ngoupandé,Q58276,2005,2006,male,1948-12-06,2014-05-04,,Jean-Paul Ngoupandé
Central African Republic,Minister of Foreign Affairs,Côme Zoumara,Q3010597,2006,2008,male,1959,,Côme Zoumara.jpg,Côme Zoumara
Central African Republic,Minister of Foreign Affairs,Dieudonné Kombo Yaya,Q108292457,2008,2009,,,,,
Central African Republic,Minister of Foreign Affairs,Parfait Anicet Mbay,Q108292458,2013,2013,,,,,
Central African Republic,Minister of Foreign Affairs,Charles-Armel Doubane,Q11855176,2013-03-31,2013-06,male,1966-11-12,,Charles-Armel Doubane.jpg,Charles-Armel Doubane
Central African Republic,Minister of Foreign Affairs,Léonie Banga-Bothy,Q27898988,2013-06,2013-06,female,,,,Léonie Banga-Bothy
Central African Republic,Minister of Foreign Affairs,Toussaint Kongo-Doudou,Q108292459,2014,2015,,,,,
