catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Albania,ambassador to France,Ylljet Aliçka,Q3299803,2007,2013,male,1951-06-23,,Ylljet Aliçka 2012GE close.jpg,Ylljet Aliçka
Albania,ambassador to Hungary,Arian Spasse,Q108709737,2016-03,,male,1971-08-16,,,
Albania,ambassador to the Russian Federation,Halit Furriku,Q33316432,2008,2008,male,1951-04-26,2008,,
Albania,President,Rexhep Meidani,Q294250,1997-07-24,2002-07-24,male,1944-08-17,,Rexhep Meidani.jpg,Rexhep Meidani
Albania,President,Alfred Moisiu,Q190889,2002-07-24,2007-07-24,male,1929-12-01,,AlfredMoisiu.png,Alfred Moisiu
Albania,President,Bamir Topi,Q57300,2007-07-24,2012-07-24,male,1957-04-24,,Bamir Topi 2.jpg,Bamir Topi
Albania,President,Bujar Nishani,Q57526,2012-07-24,2017-07-24,male,1966-09-29,2022-05-28,Bujar Nishani at meeting with Michael Spindelegger.jpg,Bujar Nishani
Albania,President,Ilir Meta,Q727132,2017-07-24,2022-07-24,male,1969-03-24,,Ilir Meta (portret).jpg,Ilir Meta
Albania,President,Bajram Begaj,Q107422711,2022-07-24,,male,1967-03-20,,Major General Bajram Begaj.png,Bajram Begaj
Albania,Prime Minister,Ilir Meta,Q727132,1999-10-29,2002-02-22,male,1969-03-24,,Ilir Meta (portret).jpg,Ilir Meta
Albania,Prime Minister,Pandeli Majko,Q381214,2002-02-22,2002-07-25,male,1967-11-15,,Defense.gov News Photo 050202-D-2987S-008.jpg,Pandeli Majko
Albania,Prime Minister,Fatos Nano,Q311596,2002-07-31,2005-09-10,male,1952-09-16,,Фатос Нано (20-01-2004).jpg,Fatos Nano
Albania,Prime Minister,Sali Berisha,Q57625,2005-09-11,2013-09-15,male,1944-10-15,,Sali Berisha (cropped).jpg,Sali Berisha
Albania,Prime Minister,Edi Rama,Q316901,2013-09-15,,male,1964-07-04,,Edi Rama (portret).jpg,Edi Rama
Albania,Deputy Prime Minister,Ermelinda Meksi,Q30315479,2003-06,2003-12,female,1957-01-05,,Ermelinda Meksi.png,Ermelinda Meksi
Albania,Deputy Prime Minister,Senida Mesi,Q31965727,2017-09-13,2019-01-17,female,1977-12-16,,Senida Mesi (portret).jpg,Senida Mesi
Albania,Deputy Prime Minister,Erion Braçe,Q13038669,2019-01-17,2021-09-18,male,1972-04-02,,,Erion Braçe
Albania,Deputy Prime Minister,Arben Ahmetaj,Q13037063,2021-09-18,2022-07-25,male,1969-06-28,,Επίσκεψη Υπουργού Εξωτερικών Ν. Κοτζιά στην Αλβανία (14-16.07.2015) (19719282911) (cropped).jpg,Arben Ahmetaj
Albania,Deputy Prime Minister,Belinda Balluku,Q70480584,2022-07-25,,female,1973-10-09,,Belinda Balluku (cropped).jpg,Belinda Balluku
Albania,Minister of Agriculture and Rural Development,Milva Ekonomi,Q25570422,2020-12-17,2021-09-18,female,1962,,"Milva Ekonomi, Minister of Economic Development, Tourism, Trade and Entrepreneurship.JPG",Milva Ekonomi
Albania,Minister of Agriculture and Rural Development,Frida Krifca,Q108597695,2021-09-18,,female,1978-03-20,,,Frida Krifca
Albania,Minister of Culture,Mirela Kumbaro,Q15724978,2013-09-15,2019-01-17,female,1966-03-04,,Mirela Kumbaro-Furxhi (cropped).jpg,Mirela Kumbaro
Albania,Minister of Culture,Elva Margariti,Q61080034,2019-01-17,,female,1980-06-14,,,Elva Margariti
Albania,Minister of Culture,Elva Margariti,Q61080034,2019-01-17,2021-09-17,female,1980-06-14,,,Elva Margariti
Albania,Minister of Defence,Luan Hajdaraga,Q13042223,1998-04-24,2000-07-08,male,1948-08-02,2018-07-30,,
Albania,Minister of Defence,Ilir Gjoni,Q13040130,2000-07-08,2000-11-09,male,1962-04-20,,Ilir Gjoni (portret).jpg,Ilir Gjoni
Albania,Minister of Defence,Ismail Lleshi,Q13040243,2000-11-09,2001-09-06,male,1947-10-02,,,Ismail Lleshi
Albania,Minister of Defence,Pandeli Majko,Q381214,2001-09-06,2002-01-29,male,1967-11-15,,Defense.gov News Photo 050202-D-2987S-008.jpg,Pandeli Majko
Albania,Minister of Defence,Luan Rama,Q16363070,2002-02-22,2002-07-25,male,1966-03-09,,,
Albania,Minister of Defence,Pandeli Majko,Q381214,2002-07-29,2005-09-10,male,1967-11-15,,Defense.gov News Photo 050202-D-2987S-008.jpg,Pandeli Majko
Albania,Minister of Defence,Fatmir Mediu,Q983272,2005-09-11,2008-03-21,male,1967-01-21,,Mediu - Rumsfeld 060926-F-5586B-311.jpg,Fatmir Mediu
Albania,Minister of Defence,Gazmend Oketa,Q531457,2008-03-28,2009-09-17,male,1968-12-14,,Gazmend Oketa 080522-D-9880W-017.jpg,Gazmend Oketa
Albania,Minister of Defence,Arben Imami,Q531489,2009-09-17,2013-09-15,male,1958-01-21,,Arben Imami 091113-D-9880W-054.jpg,Arben Imami
Albania,Minister of Defence,Mimi Kodheli,Q16855243,2013-09-15,2017-09-13,female,1964-09-11,,Mimi Kodheli (cropped).jpg,Mimi Kodheli
Albania,Minister of Defence,Olta Xhaçka,Q13043722,2017-09-13,2020-12-31,female,1979-12-25,,Olta Xhaçka in 2018.jpg,Olta Xhaçka
Albania,Minister of Defence,Niko Peleshi,Q13043483,2020-12-31,,male,1970-11-11,,Evangelos Venizelos and Niko Peleshi 2013.jpg,Niko Peleshi
Albania,Minister of Defence,Niko Peleshi,Q13043483,2020-12-31,2021-09-17,male,1970-11-11,,Evangelos Venizelos and Niko Peleshi 2013.jpg,Niko Peleshi
Albania,"Minister of Education, Sport and Youth",Lindita Nikolla,Q15193651,2013-09-15,2017-05-11,female,1965-10-22,,Lindita Nikolla (portret).jpg,Lindita Nikolla
Albania,"Minister of Education, Sport and Youth",Lindita Nikolla,Q15193651,2017-09-13,2019-01-17,female,1965-10-22,,Lindita Nikolla (portret).jpg,Lindita Nikolla
Albania,"Minister of Education, Sport and Youth",Evis Kushi,Q31880612,2020-09-15,,female,1975-10-07,,Evis Kushi.jpg,Evis Kushi
Albania,"Minister of Education, Sport and Youth",Evis Kushi,Q31880612,2020-09-15,2021-09-17,female,1975-10-07,,Evis Kushi.jpg,Evis Kushi
Albania,Minister of European Integration,Klajda Gjosha,Q16359755,2013-09-15,2017-09-13,female,1983-07-28,,Klajda Gjosha April 2014 (cropped).jpg,Klajda Gjosha
Albania,Minister of Finance,Shkëlqim Cani,Q75582,2013-09-15,2016-02-17,male,1956-05-06,,,Shkëlqim Cani
Albania,Minister of Finance,Arben Ahmetaj,Q13037063,2016-02-26,2017-05-22,male,1969-06-28,,Επίσκεψη Υπουργού Εξωτερικών Ν. Κοτζιά στην Αλβανία (14-16.07.2015) (19719282911) (cropped).jpg,Arben Ahmetaj
Albania,Minister of Finance,Anila Denaj,Q97241319,2017-09-11,2021-09-02,female,1973-09-18,,,Anila Denaj
Albania,Minister of Finance,Arben Ahmetaj,Q13037063,2017-09-13,2019-01-05,male,1969-06-28,,Επίσκεψη Υπουργού Εξωτερικών Ν. Κοτζιά στην Αλβανία (14-16.07.2015) (19719282911) (cropped).jpg,Arben Ahmetaj
Albania,Minister of Finance,Delina Ibrahimaj,Q108698181,2021-09-18,,female,1983-12-23,,,Delina Ibrahimaj
Albania,Minister of Foreign Affairs,Ilir Meta,Q727132,2002,2003,male,1969-03-24,,Ilir Meta (portret).jpg,Ilir Meta
Albania,Minister of Foreign Affairs,Kastriot Islami,Q1722312,2003-12-29,2005-09-12,male,1952-08-18,,Kastriot Islami.jpg,Kastriot Islami
Albania,Minister of Foreign Affairs,Ilir Meta,Q727132,2009,2010,male,1969-03-24,,Ilir Meta (portret).jpg,Ilir Meta
Albania,Minister of Foreign Affairs,Olta Xhaçka,Q13043722,2020-12-31,,female,1979-12-25,,Olta Xhaçka in 2018.jpg,Olta Xhaçka
Albania,Minister of Foreign Affairs,Olta Xhaçka,Q13043722,2020-12-31,2021-09-17,female,1979-12-25,,Olta Xhaçka in 2018.jpg,Olta Xhaçka
Albania,Minister of Health and Social Protection,Ilir Beqja,Q16735644,2013-09-15,2017-03-19,male,1968-02-18,,Ilir Beqaj (portret).jpg,Ilir Beqaj
Albania,Minister of Health and Social Protection,Ogerta Manastirliu,Q31669464,2017-03-13,,female,1978-12-31,,Ogerta Manastirliu (portret).jpg,Ogerta Manastirliu
Albania,Minister of Infrastructure and Energy,Damian Gjiknuri,Q5212255,2017-09-13,2019-01-17,male,1972-05-25,,Dan Brouillette meets with Damian Gjiknuri at Energy HQ (2) (cropped).jpg,Damian Gjiknuri
Albania,Minister of Infrastructure and Energy,Belinda Balluku,Q70480584,2019-01-17,,female,1973-10-09,,Belinda Balluku (cropped).jpg,Belinda Balluku
Albania,Minister of Infrastructure and Energy,Belinda Balluku,Q70480584,2019-01-17,2021-09-17,female,1973-10-09,,Belinda Balluku (cropped).jpg,Belinda Balluku
Albania,Minister of Internal Affairs,Bujar Nishani,Q57526,2007-03-20,2009-09-17,male,1966-09-29,2022-05-28,Bujar Nishani at meeting with Michael Spindelegger.jpg,Bujar Nishani
Albania,Minister of Internal Affairs,Bujar Nishani,Q57526,2011-04-21,2012-06-12,male,1966-09-29,2022-05-28,Bujar Nishani at meeting with Michael Spindelegger.jpg,Bujar Nishani
Albania,Minister of Internal Affairs,Flamur Noka,Q5457338,2012-07-03,2013-09-15,male,1971-03-03,,,Flamur Noka
Albania,Minister of Internal Affairs,Fatmir Xhafaj,Q16354928,2017-03-19,2017-05-24,male,1959-05-17,,,Fatmir Xhafaj
Albania,Minister of Internal Affairs,Dritan Demiraj,Q61079768,2017-05-24,2017-09-22,male,1969-05-24,,,
Albania,Minister of Internal Affairs,Fatmir Xhafaj,Q16354928,2017-09-22,2018-11-23,male,1959-05-17,,,Fatmir Xhafaj
Albania,Minister of Internal Affairs,Sander Lleshi,Q84323692,2018-11-23,2020-12-10,male,1963-01-25,,Sandër Lleshaj (portret).jpg,Sandër Lleshaj
Albania,Minister of Internal Affairs,Bledi Çuçi,Q16350979,2020-12-17,,male,1970-11-14,,,Bledar Çuçi
Albania,Minister of Internal Affairs,Bledi Çuçi,Q16350979,2020-12-17,2021-09-17,male,1970-11-14,,,Bledar Çuçi
Albania,Minister of Justice,Bujar Nishani,Q57526,2009-09-17,2011-04-25,male,1966-09-29,2022-05-28,Bujar Nishani at meeting with Michael Spindelegger.jpg,Bujar Nishani
Albania,Minister of Justice,Eduard Halimi,Q5340403,2011-07-21,2013-09-11,male,1972-12-08,,,Eduard Halimi
Albania,Minister of Justice,Etilda Gjonaj,Q41448850,2017-09-13,2021-09-18,female,1981-05-06,,"Etilda Gjonaj, U.S. Ambassador Yuri Kim and Jorida Tabaku (cropped).jpg",Etilda Gjonaj
Albania,Minister of Justice,Ulsi Manja,Q31970269,2021-09-18,,male,,,Ulsi Manja (portret).jpg,Ulsi Manja
Albania,Minister of Social Welfare and Youth,Erion Veliaj,Q16354049,2013-09-15,2015-04-30,male,1979-12-17,,Erion Veliaj.jpg,Erion Veliaj
Albania,Minister of State for Diaspora,Pandeli Majko,Q381214,2017-09-11,2021-09-18,male,1967-11-15,,Defense.gov News Photo 050202-D-2987S-008.jpg,Pandeli Majko
