catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Sudan,Member of the Council of States,Abu al-Gasim Mohammed Ibrahim,Q110917207,2010-05-24,2015-04-13,male,1937,,,
Sudan,Member of the Council of States,Abdel Jabbar Adam Abd El Karim Khamis,Q112678224,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,Abla Mehadi Abd El Moniem Ahmed,Q112678225,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,Aldu Aju Deng,Q112678226,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,Alid Dyak Makul,Q112678227,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,Ambly Abdallah El Ajab Ambly,Q112678228,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,Amnah Adam Barakah Abo,Q112678229,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,Anbi Ngok Anbi,Q112678230,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,Awad Hag Alim Ahmed A. Razig,Q112678231,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,Badawi El‐Khair Idris A. El‐Nour,Q112678232,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,Chan Malwal Chan,Q112678233,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,Diyakon Ricardu Augali,Q112678234,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,Donatu Dimo Wol,Q112678235,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,El Sir Yousuf Abdallah El Karyiel,Q112678236,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,Gur Ghol Ngo Deng,Q112678237,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,Hajir Awad El Seed Ahmed Masoud,Q112678238,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,Hamid Mohammed Adam Hamid,Q112678239,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,Hassan Abbas Abu Ras,Q112678240,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,Husham Mohammed Ahmed El‐Birair,Q112678241,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,Ismail El Hag Mousa,Q112678242,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,Izak Sumu Kalium Ramadan,Q112678243,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,Jabir Abdel Gadir A. El Mohsen Osman,Q112678244,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,Jabr Allah Khamseen Fidaily Mohammed,Q112678245,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,Jadain Jada Solomon,Q112678246,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,James Magok Atier,Q112678247,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,James Tok Aryal,Q112678248,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,John Goyal Paul,Q112678249,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,Joseph Abang Deng,Q112678250,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,Kanu Celement Janda,Q112678251,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,LG. Adam Hamid Mousa,Q112678252,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,Lweis Vitu Akwar,Q112678253,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,Mahmoud Mohammed Mahmoud Hamid,Q112678254,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,Majak Machar Dulbai,Q112678255,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,Marco Luhai Lubuki,Q112678256,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,Mirghani El‐Muzamil El Faki Mukhtar,Q112678257,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,Mohammed El Sharif Ibrahim El Tuhami,Q112678258,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,Mohammed Ishaq Ali Osman,Q112678259,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,Mousa Jalis Adam Yagoub,Q112678260,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,Remi Ular AluRung,Q112678261,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,Riyao Ghalit Gai,Q112678262,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,Saadiah Mulah Mohammed Osman,Q112678263,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,Salah Ali El Ghaly Taj El Din,Q112678264,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,Salah El‐ Mohammed El Hassan Mustafa,Q112678265,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,Sharif Mohamadain Adam Sabi,Q112678266,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,Victor Edward,Q112678267,2010-05-24,2015-04-13,,,,,
Sudan,Member of the Council of States,Widad Yaboub Ibrahim Osman,Q112678268,2010-05-24,2015-04-13,,,,,
