catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Malta,President,Guido de Marco,Q167724,1999-04-04,2004-04-04,male,1931-07-22,2010-08-12,Guido de Marco 2003 crop.jpg,Guido de Marco
Malta,President,Eddie Fenech Adami,Q152511,2004-04-04,2009-04-04,male,1934-02-07,,Edward Fenech Adami.jpg,Eddie Fenech Adami
Malta,President,George Abela,Q57502,2009-04-04,2014-04-04,male,1948-04-22,,George Abela.jpg,George Abela
Malta,President,Marie Louise Coleiro Preca,Q6762928,2014-04-04,2019-04-04,female,1958-12-07,,Marie-Louise Coleiro Preca (cropped).jpg,Marie-Louise Coleiro Preca
Malta,President,George William Vella,Q1508402,2019-04-04,,male,1942-04-24,,Sebastian Kurz George Vella Federica Mogherini April 2017 (34279674916) (cropped).jpg,George Vella
Malta,Prime Minister,Eddie Fenech Adami,Q152511,1998-09-06,2004-03-23,male,1934-02-07,,Edward Fenech Adami.jpg,Eddie Fenech Adami
Malta,Prime Minister,Lawrence Gonzi,Q57620,2004-03-23,2013-03-11,male,1953-07-01,,Lawrence Gonzi 2009.jpg,Lawrence Gonzi
Malta,Prime Minister,Joseph Muscat,Q938224,2013-03-09,2020-01-13,male,1974-01-22,,"Joseph Muscat, cropped.jpg",Joseph Muscat
Malta,Prime Minister,Robert Abela,Q37860840,2020-01-13,,male,1977-12-07,,Pm robert abela malta 21022020.jpg,Robert Abela
Malta,Deputy Prime Minister,Lawrence Gonzi,Q57620,1999,2004,male,1953-07-01,,Lawrence Gonzi 2009.jpg,Lawrence Gonzi
Malta,Deputy Prime Minister,Tonio Borg,Q58176,2004-03-23,2012-11-28,male,1957-05-12,,Tonio Borg.jpg,Tonio Borg
Malta,Deputy Prime Minister,Louis Grech,Q1871727,2013-03-13,2017-06-05,male,1947-03-22,,Louis Grech (cropped).jpg,Louis Grech
Malta,Deputy Prime Minister,Chris Fearne,Q18206002,2017-07-17,,male,1963-03-12,,Informal meeting of health ministers (iEPSCO). Arrivals Chris Fearne (35653640850).jpg,Chris Fearne
Malta,"Minister for Agriculture, Fisheries, Food and Animal Rights",Anton Refalo,Q37861279,2020-01-21,,male,1956,,,
Malta,Minister for the Economy and Industry,Christian Cardona,Q16213896,2013-03-11,2020-01-15,male,1972,,Hon. Minister Dr. Christian Cardona.jpg,Chris Cardona
Malta,Minister for the Economy and Industry,Silvio Schembri,Q23881652,2020-01-15,,male,1985-05-21,,Silvio Schembri.jpg,Silvio Schembri
Malta,Minister for Education,Justyne Caruana,Q37861067,2020-11-23,2021-12-22,female,,,,Justyne Caruana
Malta,Minister for Education,Clifton Grima,Q37861219,2021-12-27,,male,,,,
Malta,Minister for Education and Employment,Evarist Bartolo,Q5416069,2013-03-13,2020-01-15,male,1952-10-14,,HAND SHAKE 2016-07-14 (28222985071) (cropped).jpg,Evarist Bartolo
Malta,Minister for Education and Employment,Owen Bonnici,Q16199692,2020-01-15,2020-11-23,male,1980-05-24,,"Hon. Owen Bonnici MP - Minister for Justice, Culture and Local Government Malta at the Europeana Strategy meeting “Migration and culture- how can our past educate our present” (34024402984).jpg",Owen Bonnici
Malta,"Minister for Energy, Enterprise and Sustainable Development",Miriam Dalli,Q17315715,2020-11-21,,female,1976-05-19,,,Miriam Dalli
Malta,"Minister for the Environment, Climate Change and Planning",Aaron Farrugia,Q4661996,2020-01-15,,male,1980-01-01,,Aafrga.jpg,Aaron Farrugia
Malta,"Minister for Equality, Research and Innovation",Owen Bonnici,Q16199692,2008-05-10,,male,1980-05-24,,"Hon. Owen Bonnici MP - Minister for Justice, Culture and Local Government Malta at the Europeana Strategy meeting “Migration and culture- how can our past educate our present” (34024402984).jpg",Owen Bonnici
Malta,Minister for European Affairs,Louis Grech,Q1871727,2013-03-13,2017-06-05,male,1947-03-22,,Louis Grech (cropped).jpg,Louis Grech
Malta,Minister for European Affairs and Equality,Helena Dalli,Q19958063,2017-06-09,2019-07-24,female,1962-09-29,,"Hearing with Helena Dalli (MT), candidate commissioner for equality (48832245446) (cropped).jpg",Helena Dalli
Malta,Minister for European Affairs and Equality,Edward Zammit Lewis,Q37861343,2019-07,2020-01,male,1973-06-21,,15th EUROPEAN TOURISM FORUM Edward Zammit Lewis (30278550415).jpg,Edward Zammit Lewis
Malta,Minister for Family and Social Solidarity,Michael Farrugia,Q37861149,2014-03-29,2017-06-09,male,,,,
Malta,Minister for Finance,John Dalli,Q518375,1998-09-08,2004-03-23,male,1948-10-05,,John Dalli 2011 (cropped).jpg,John Dalli
Malta,Minister for Finance,Lawrence Gonzi,Q57620,2004-03-23,2008-03-12,male,1953-07-01,,Lawrence Gonzi 2009.jpg,Lawrence Gonzi
Malta,Minister for Finance,Tonio Fenech,Q247348,2008-03-11,2013-03-10,male,1969-05-05,,,Tonio Fenech
Malta,Minister for Finance,Edward Scicluna,Q173958,2013-03-13,2020-11-22,male,1946-10-12,,Informal meeting of economic and financial affairs ministers (ECOFIN). Arrivals Edward Scicluna (36441334033).jpg,Edward Scicluna
Malta,Minister for Finance,Clyde Caruana,Q108384543,2020-11-22,,male,1985-02-21,,,Clyde Caruana
Malta,Minister for Foreign Affairs,Joe Borg,Q549456,1999-03-24,2004-03-23,male,1952-03-19,,Joe Borg2.jpg,Joe Borg
Malta,Minister for Foreign Affairs,John Dalli,Q518375,2004-03-23,2004-07-03,male,1948-10-05,,John Dalli 2011 (cropped).jpg,John Dalli
Malta,Minister for Foreign Affairs,Michael Frendo,Q1275788,2004-07-03,2008-03-12,male,1955-07-29,,Michael Frendo.jpg,Michael Frendo
Malta,Minister for Foreign Affairs,Tonio Borg,Q58176,2008-03-12,2012-11-28,male,1957-05-12,,Tonio Borg.jpg,Tonio Borg
Malta,Minister for Foreign Affairs,Francis Zammit Dimech,Q16545829,2012-11-28,2013-03-13,male,1954-10-23,,Francis Zammit-Dimech.jpg,Francis Zammit Dimech
Malta,Minister for Foreign Affairs,George William Vella,Q1508402,2013-03-13,2017-06-07,male,1942-04-24,,Sebastian Kurz George Vella Federica Mogherini April 2017 (34279674916) (cropped).jpg,George Vella
Malta,Minister for Foreign Affairs,Carmelo Abela,Q5043368,2017-06-09,2020-01-15,male,1972-02-10,,Carmelo Abela at 2016 Prague Process press conference.jpg,Carmelo Abela
Malta,Minister for Foreign Affairs,Evarist Bartolo,Q5416069,2020-01-15,,male,1952-10-14,,HAND SHAKE 2016-07-14 (28222985071) (cropped).jpg,Evarist Bartolo
