catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Togo,Member of the National Assembly,Adjaratou Abdoulaye,Q4683147,2007,2013,female,,,,Adjaratou Abdoulaye
Togo,Member of the National Assembly,Isabelle Ameganvi,Q510104,2007,2010-11,female,1961-09-03,,,Isabelle Ameganvi
Togo,Member of the National Assembly,Antoine Lekpa Gbegbeni,Q114441751,2007-10,2013-07,male,,,,
Togo,Member of the National Assembly,Isabelle Ameganvi,Q510104,2013-07-25,,female,1961-09-03,,,Isabelle Ameganvi
Togo,Member of the National Assembly,Zouréhatou Kassah-Traoré,Q110251228,2018,2019-03-22,female,,,,
Togo,Member of the National Assembly,Koffi Sodokin,Q115769403,2018-12-20,,male,,,,
Togo,Member of the National Assembly,Mantöde De Poukn,Q115797299,2018-12-21,,male,,,,
Togo,Member of the National Assembly,Yempabe Bonsa,Q115797315,2018-12-21,,male,,,,
Togo,Member of the National Assembly,Léonardina Rita Doris de Souza,Q115780925,2019,,female,,,,
Togo,Member of the National Assembly,Tchatomby Ouro-Bawinay,Q65128871,2019-01,,male,1947-12,,,
Togo,Member of the National Assembly,Gerry Taama,Q115942854,2019-01-08,,male,1975-02-02,,Gerry Taama.jpg,
Togo,Member of the National Assembly,Yawovi Missiame Amenyo Adjourouvi,Q115770889,2019-01-25,,male,,,,
Togo,Member of the National Assembly,Dziwonu Koffi Degboe,Q115780859,2019-03-22,,male,,,,
Togo,Member of the National Assembly,Molgah Abougnima,Q115769871,2019-04-16,,female,,,,
Togo,Member of the National Assembly,Kossi Koku Adjaklo,Q115770014,2019-04-16,,male,,,,
Togo,Member of the National Assembly,Adjaratou Abdoulaye,Q4683147,2019-04-16,,female,,,,Adjaratou Abdoulaye
