catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Afghanistan,Supreme Leader,Akhtar Mansour,Q2829007,2015-07-29,2016-05-21,male,1968,2016-05-21,,Akhtar Mansour
Afghanistan,Supreme Leader,Hibatullah Akhundzada,Q24237654,2016-05-25,,male,1961,,,Hibatullah Akhundzada
Afghanistan,Deputy Leader,Abdul Ghani Baradar,Q317219,2002-05,2010-02-08,male,1968-09-29,,Abdul Ghani Baradar.jpg,Abdul Ghani Baradar
Afghanistan,Deputy Leader,Obaidullah Akhund,Q764159,2002-05,2007-02,male,1968,2010-03-05,,Obaidullah Akhund
Afghanistan,Deputy Leader,Akhtar Mansour,Q2829007,2007,2010-03-24,male,1968,2016-05-21,,Akhtar Mansour
Afghanistan,Deputy Leader,Akhtar Mansour,Q2829007,2010-03-24,2015-07-29,male,1968,2016-05-21,,Akhtar Mansour
Afghanistan,Deputy Leader,Sirajuddin Haqqani,Q2246940,2015-07-29,2016-05-25,male,1970,,Sirajuddin Haqqani.png,Sirajuddin Haqqani
Afghanistan,Deputy Leader,Sirajuddin Haqqani,Q2246940,2016-05-25,2016-05-25,male,1970,,Sirajuddin Haqqani.png,Sirajuddin Haqqani
Afghanistan,Deputy Leader,Mohammad Yaqoob,Q24572400,2016-05-25,2016-05-25,male,1990,,Mullah Yaqoob in January 2022.png,Mullah Yaqoob
Afghanistan,Deputy Leader,Abdul Ghani Baradar,Q317219,2019-01-24,2019-01-24,male,1968-09-29,,Abdul Ghani Baradar.jpg,Abdul Ghani Baradar
Afghanistan,Deputy Leader,Sirajuddin Haqqani,Q2246940,2021-08-15,,male,1970,,Sirajuddin Haqqani.png,Sirajuddin Haqqani
Afghanistan,Deputy Leader,Mohammad Yaqoob,Q24572400,2021-08-15,,male,1990,,Mullah Yaqoob in January 2022.png,Mullah Yaqoob
Afghanistan,Deputy Leader,Abdul Ghani Baradar,Q317219,2021-08-15,,male,1968-09-29,,Abdul Ghani Baradar.jpg,Abdul Ghani Baradar
Afghanistan,President,Burhanuddin Rabbani,Q188667,1992-06-28,2001-12-22,male,1940-09-20,2011-09-20,Burhanuddin Rabbani Cropped DVIDS.jpg,Burhanuddin Rabbani
Afghanistan,President,Hamid Karzai,Q43944,2004-12-07,2014-09-29,male,1957-12-24,,Hamid Karzai listens to Barack Obama in Kabul 2012 (cropped).jpg,Hamid Karzai
Afghanistan,President,Ashraf Ghani,Q172388,2014-09-29,2021-08-15,male,1949-05-19,,Aschraf Ghani MSC 2017 2 (cropped).jpg,Ashraf Ghani
Afghanistan,Vice President,Haji Abdul Qadeer,Q167139,2002-06-19,2002-07-06,male,1951,2002-07-06,Haji qadeer wiki 2.jpg,Haji Abdul Qadeer
Afghanistan,Vice President,Karim Khalili,Q115596,2004-12-07,2014-09-29,male,1950-01-01,,Karim Khalili - 2018 (39297711844) (cropped).jpg,Karim Khalili
Afghanistan,Vice President,Ahmad Zia Massoud,Q218863,2004-12-07,2009-11-19,male,1956-05-01,,AhmadZiaMassoud.JPG,Ahmad Zia Massoud
Afghanistan,Vice President,Muhammad Fahim,Q167526,2009-11-19,2014-03-09,male,1957,2014-03-09,Mohammed Qasim Fahim.jpg,Mohammed Fahim
Afghanistan,Vice President,Yunus Qanuni,Q134069,2014-03-11,2014-09-29,male,1957-05-10,,Mohammad Younis Qanooni Senate of Poland.JPG,Yunus Qanuni
Afghanistan,Vice President,Abdul Rashid Dostum,Q331702,2014-09-29,2020-02-19,male,1954-03-25,,Abdul Rashid Dostum in September 2014.jpg,Abdul Rashid Dostum
Afghanistan,Vice President,Sarwar Danish,Q7424823,2014-09-29,2021-08-15,male,1961,,Sarwar Danish in 2011-cropped.jpg,Sarwar Danish
Afghanistan,Vice President,Amrullah Saleh,Q477828,2020-02-19,2021-08-15,male,1972-10-15,,Amrullah Saleh (5).jpg,Amrullah Saleh
Afghanistan,Prime Minister,Mohammed Omar,Q193968,1996-09-27,2001-11-13,male,1960,2013-04-23,,Mullah Omar
Afghanistan,Prime Minister,Mohammad Rabbani,Q2995293,1996-09-27,2001-04-13,male,1955-09,2001-04-15,,Mohammad Rabbani
Afghanistan,Prime Minister,Abdul Kabir,Q4665452,2001-04-16,2001-11-13,male,1958,,,Abdul Kabir
Afghanistan,Prime Minister,Mohammad Hasan Akhund,Q108444479,2021-09-07,,male,1945,,Hasan Akhund.png,Hasan Akhund
Afghanistan,Deputy Prime Minister,Mohammad Hasan Akhund,Q108444479,1996-09-27,2001-11-13,male,1945,,Hasan Akhund.png,Hasan Akhund
Afghanistan,Deputy Prime Minister,Abdul Ghani Baradar,Q317219,2021-09-07,,male,1968-09-29,,Abdul Ghani Baradar.jpg,Abdul Ghani Baradar
Afghanistan,Minister of Commerce and Industries,Anwar ul-Haq Ahady,Q3270084,2010-06-28,2013-11,male,1951-08-12,,Anwarul Haq Ahadi.JPG,Anwar ul-Haq Ahady
