catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Bolivia,President,Hugo Banzer,Q269039,1997-08-06,2001-08-07,male,1926-05-10,2002-05-05,GralHugoBanzerSuarez.jpg,Hugo Banzer
Bolivia,President,Jorge Quiroga,Q468805,2001-08-07,2002-08-06,male,1960-05-05,,Jorge Quiroga-1.jpg,Jorge Quiroga
Bolivia,President,Gonzalo Sánchez de Lozada,Q379645,2002-08-06,2003-10-17,male,1930-07-01,,Gonzálo Sánchez de Lozada-Agencia BrasilAntonio Cruz.jpg,Gonzalo Sánchez de Lozada
Bolivia,President,Carlos de Mesa,Q312668,2003-10-17,2005-06-09,male,1953-08-12,,"Carlos Mesa. Suárez, Antonio. 2004, Antonio Suárez collection, La Paz.jpg",Carlos Mesa
Bolivia,President,Eduardo Rodríguez,Q312761,2005-06-09,2005-09-22,male,1956-03-02,,Eduardo Rodríguez Veltzé en la XV Cumbre Iberoamericana (cropped).jpg,Eduardo Rodríguez Veltzé
Bolivia,President,Evo Morales,Q42410,2006-01-22,2019-11-10,male,1959-10-26,,Evo Morales Ayma (cropped).jpg,Evo Morales
Bolivia,President,Jeanine Áñez,Q16581287,2019-11-12,2020-11-08,female,1967-06-13,,"Jeanine Áñez Chávez (Official Photo, 2015) Alejandra Vaca, Chamber of Senators of Bolivia.jpg",Jeanine Áñez
Bolivia,President,Luis Arce,Q16149892,2020-11-08,,male,1963-09-28,,"Luis Arce (Official Photo, 2020) Cropped II.png",Luis Arce
Bolivia,Vice President,Jorge Quiroga,Q468805,1997-08-06,2001-08-07,male,1960-05-05,,Jorge Quiroga-1.jpg,Jorge Quiroga
Bolivia,Vice President,Carlos de Mesa,Q312668,2002-08-06,2003-10-17,male,1953-08-12,,"Carlos Mesa. Suárez, Antonio. 2004, Antonio Suárez collection, La Paz.jpg",Carlos Mesa
Bolivia,Vice President,Álvaro García Linera,Q250993,2006-01-22,2019-11-10,male,1962-10-19,,Álvaro García Linera - 51867585043.png,Álvaro García Linera
Bolivia,Vice President,David Choquehuanca,Q58136,2020-11-08,,male,1961-05-07,,David Choquehuanca (cropped).jpg,David Choquehuanca
Bolivia,"Minister of Cultures, Decolonization and Depatriarchalization",Sabina Orellana,Q104019011,2020-11-20,,female,1970,,,Sabina Orellana
Bolivia,Minister of Defence,Edmundo Novillo,Q5339974,2020-11-09,,male,1963-01-28,,Edmundo Novillo speaking.JPG,Edmundo Novillo
Bolivia,Minister of Development Planning,Gabriela Mendoza,Q110419343,2020-11-09,,female,,,,
Bolivia,Minister of Education,Adrián Quelca,Q107663000,2020-11-19,2021-11-12,male,1967-11-30,,Adrián Quelca.jpg,Adrián Quelca
Bolivia,Minister of Education,Edgar Pary,Q109655518,2021-11-19,,male,,,,
Bolivia,"Minister of Education, Sports, and Cultures",Adrián Quelca,Q107663000,2020-11-09,2020-11-19,male,1967-11-30,,Adrián Quelca.jpg,Adrián Quelca
Bolivia,Minister of Economy and Public Finance,Marcelo Montenegro,Q110419344,2020-11-09,,male,,,,
Bolivia,Minister of Energies,Franklin Molina Ortiz,Q110419351,2020-11-12,2020-11-19,male,,,,
Bolivia,Minister of Environment and Water,Juan Santos Cruz,Q110419349,2020-11-09,,male,,,,
Bolivia,Minister of Foreign Affairs,Javier Murillo de la Rocha,Q108292413,1997,2001,,,,,
Bolivia,Minister of Foreign Affairs,Carlos Saavedra Bruno,Q108292414,2002,2003,,,,,
