catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Botswana,President,Festus Mogae,Q193238,1998-04-01,2008-04-01,male,1939-08-21,,Festus Mogae.jpg,Festus Mogae
Botswana,President,Ian Khama,Q57449,2008-04-01,2018-03-31,male,1953-02-27,,Ian Khama (2014).jpg,Ian Khama
Botswana,President,Mokgweetsi Masisi,Q18618891,2018-04-01,,male,1962-07-21,,Illegal Wildlife Trade Conference London 2018 (45245990491) (cropped).jpg,Mokgweetsi Masisi
Botswana,Vice-President,Slumber Tsogwane,Q52714790,2018-04-04,,male,1960-09-21,,"The Vice President, Shri M. Venkaiah Naidu meeting the Vice President and the Acting President of Botswana, Mr. Slumber Tsogwane, at the Office of the President of Botswana, in Gaborone, Botswana on November 01, 2018.JPG",Slumber Tsogwane
Botswana,Minister of Agricultural Development and Food Security,Edwin Dikoloti,Q110210162,2019-11-06,2020-08-26,male,,,,
Botswana,Minister of Agricultural Development and Food Security,Karabo Gare,Q110210457,2020-08-26,2022-04-22,male,,,,
Botswana,Minister of Agricultural Development and Food Security,Fedelis Molao,Q110210164,2022-04-22,,male,,,,
Botswana,"Minister of Communications, Knowledge and Technology",Thulaganyo Segokgo,Q110210180,2022-04-22,,,,,,
Botswana,Minister of Defence,Kagiso Mmusi,Q110210140,2019-11-06,,,1965-10-25,,,Kagiso Mmusi
Botswana,Minister of Education,Fedelis Molao,Q110210164,2019-11-06,2022-04-22,male,,,,
Botswana,Minister of Education,Douglas Letsholathebe,Q110210191,2022-04-22,,,,,,
Botswana,"Minister of Employment, Labour Productivity and Skills Development",Mpho Balopi,Q104839258,2019-11-06,2022-04-22,male,,,,Mpho Balopi
Botswana,Minister of Entrepreneurship,Karabo Gare,Q110210457,2022-04-22,,male,,,,
Botswana,"Minister of Environment, Natural Resources Conservation and Tourism",Phildah Kereng,Q110210165,2019-11-06,,female,,,,
Botswana,Minister of Finance,Baledzi Gaolathe,Q56822869,1999,2009-08-01,male,1942-03-04,2010-05-25,"Baledzi Gaolathe, IMF 2008.jpg",
Botswana,Minister of Finance,Kenneth Matambo,Q88220856,2009-08-01,2019-11-06,male,1947-12-01,,,Kenneth Matambo
Botswana,Minister of Finance,Thapelo Matsheka,Q96626889,2019-11-06,2021-04-16,male,,,,Thapelo Matsheka
Botswana,Minister of Finance,Peggy Serame,Q104837118,2021-04-16,,female,,,,Peggy Serame
Botswana,Minister of Foreign Affairs,Mompati Merafhe,Q2436517,1994,2008,male,1936-06-06,2015-01-07,Mompati Merafhe 071203-F-9074R-083 0YE9L.jpg,Mompati Merafhe
