catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Comoros,President,Azali Assoumani,Q515602,1999-04-30,2001-01-21,male,1959-01-01,,President Azali Assoumani.jpg,Azali Assoumani
Comoros,President,Azali Assoumani,Q515602,2001-05-26,2006-05-26,male,1959-01-01,,President Azali Assoumani.jpg,Azali Assoumani
Comoros,President,Hamada Madi,Q3111209,2002-01-21,2002-05-26,male,1965,,Hamada Madi 2018.jpg,Hamada Madi
Comoros,President,Ahmed Abdallah Mohamed Sambi,Q311129,2006-05-26,2011-05-26,male,1958-06-05,,Sambialone17 07 08.jpg,Ahmed Abdallah Mohamed Sambi
Comoros,President,Ikililou Dhoinine,Q57458,2011-05-26,2016-05-26,male,1962-08-14,,Ikililou Dhoinine 2012.jpg,Ikililou Dhoinine
Comoros,President,Azali Assoumani,Q515602,2016-05-26,2019-02-03,male,1959-01-01,,President Azali Assoumani.jpg,Azali Assoumani
Comoros,President,Moustadroine Abdou,Q28370112,2019-02-13,2019-04-03,male,1969-06-14,,,Moustadroine Abdou
Comoros,President,Azali Assoumani,Q515602,2019-05-26,,male,1959-01-01,,President Azali Assoumani.jpg,Azali Assoumani
Comoros,Vice President,Caabi El-Yachroutu Mohamed,Q1024670,2002-05-26,2006-05-26,male,1950-03-23,,,Caabi El-Yachroutu Mohamed
Comoros,Vice President,Rachidi ben Massonde,Q113953782,2002-05-26,2006-05-26,,,,,
Comoros,Vice President,Idi Nadhoim,Q113953781,2006-05-26,2011-05-26,,,,,
Comoros,Vice President,Ikililou Dhoinine,Q57458,2006-05-26,2011-05-26,male,1962-08-14,,Ikililou Dhoinine 2012.jpg,Ikililou Dhoinine
Comoros,Vice President,Fouad Mohadji,Q113953780,2011-05-26,2016-05-26,male,1959,,,Fouad Mohadji
Comoros,Vice President,Nourdine Bourhane,Q12811186,2011-05-26,2016-05-26,male,1958-10-28,,,Nourdine Bourhane
Comoros,Vice President,Mohamed Ali Soilihi,Q24930192,2011-05-26,2016-05-26,male,1950,,,Mohamed Ali Soilihi
Comoros,Vice President,Abdallah Said Sarouma,Q28194816,2016-05-26,2019-05-26,male,1956-12-31,,,Abdallah Said Sarouma
Comoros,Vice President,Djaffar Ahnwd Said Hassani,Q28222039,2016-05-26,2019-05-26,male,1966-02-20,,,Djaffar Ahmed Said
Comoros,Vice President,Moustadroine Abdou,Q28370112,2016-05-26,2019-05-26,male,1969-06-14,,,Moustadroine Abdou
Comoros,Prime Minister,Bianrifi Tarmidi,Q855447,1999-12-01,2000-11-29,male,1958-03-15,,,Bianrifi Tarmidi
Comoros,Prime Minister,Hamada Madi,Q3111209,2000-11-29,2002-04-15,male,1965,,Hamada Madi 2018.jpg,Hamada Madi
Comoros,Minister of Agriculture,Bianrifi Tarmidi,Q855447,2020,2021-08-28,male,1958-03-15,,,Bianrifi Tarmidi
Comoros,Minister of Agriculture,Houmed M'Saidié Ahmed,Q114568420,2021-08-26,,male,,,,
Comoros,Minister of Economy,Aboudou Mohamed Chanfiou,Q114566891,2021-08-28,2022-05-09,male,,,,
Comoros,Minister of Economy,Ahmed Ali Bazi,Q114566893,2022-05-09,,male,,,,
Comoros,Minister of Education,Djaffar Salim,Q114566895,2021-08-28,2022-05-09,male,,,,
Comoros,Minister of Education,Takiddine Youssouf,Q114566901,2022-05-09,,male,,,,
Comoros,"Minister of Employment, Youth and Sports",Ladaenti Houmadi,Q106088222,2018-08,2019-06,female,1983-06-23,,,Ladaenti Houmadi
Comoros,"Minister of Energy, Water, and Hydrocarbons",Ali Ibouroi,Q114566894,2021-08-28,,male,,,,
Comoros,Minister of Finance,Caabi El-Yachroutu Mohamed,Q1024670,2002,2004,male,1950-03-23,,,Caabi El-Yachroutu Mohamed
Comoros,Minister of Finance,Hassane Hamadi,Q5679938,2006-05-28,2007-03,male,,,,Hassane Hamadi
Comoros,Minister of Finance,Mohamed Ali Soilihi,Q24930192,2007-03-22,2009-06-24,male,1950,,,Mohamed Ali Soilihi
Comoros,Minister of Finance,Kamaldini Souef,Q114566896,2021-08-28,2022-05-09,male,,,,
Comoros,Minister of Finance,Aboudou Mohamed Chanfiou,Q114566891,2022-05-09,,male,,,,
Comoros,Minister of Foreign Affairs,Mohamed El-Amine Souef,Q3318507,1999,2002,male,1962-07-28,,Souef El-Amine (cropped).jpg,Mohamed El-Amine Souef
Comoros,Minister of Foreign Affairs,Halidi Charif,Q108344792,2002,2002,male,,,,
Comoros,Minister of Foreign Affairs,Mohamed El-Amine Souef,Q3318507,2002,2005,male,1962-07-28,,Souef El-Amine (cropped).jpg,Mohamed El-Amine Souef
Comoros,Minister of Foreign Affairs,Aboudou Soefou,Q108344794,2005,2006,male,,,,
Comoros,Minister of Foreign Affairs,Ahmed Ben Said Jaffar,Q2827661,2006-05-28,2010-05-26,male,1966-08-26,,"Ahmed Ben Said Jaffar detail, AFRICOM.jpg",Ahmed Ben Said Jaffar
Comoros,Minister of Foreign Affairs,Fahmi Said Ibrahim El Maceli,Q5429564,2010,2011,male,1963-11-01,,Fahmi Said Ibrahim.jpg,Fahmi Said Ibrahim
Comoros,Minister of Foreign Affairs,Mohamed Bakri Ben Abdoulfatah Charif,Q108344795,2011,2013,male,,,,
Comoros,Minister of Foreign Affairs,El-Anrif Said Hassane,Q108344797,2013,2015,male,,,,
Comoros,Minister of Foreign Affairs,Abdoulkarim Mohamed,Q108344798,2015,2016,male,,,,
Comoros,Minister of Foreign Affairs,Mohamed Bacar Dossar,Q108344800,2016,2017,male,,,,
Comoros,Minister of Foreign Affairs,Mohamed El-Amine Souef,Q3318507,2017-07-17,2020-07-29,male,1962-07-28,,Souef El-Amine (cropped).jpg,Mohamed El-Amine Souef
Comoros,Minister of Foreign Affairs,Dhoihir Dhoulkamal,Q113555299,2020,,male,,,,
Comoros,Minister of Health,Sounhadj Attoumane,Q89480130,2010-05,2011-05,,1962,,Sounhadj Attoumane.jpg,
Comoros,Minister of Health,Rashid Mohamed Mbaraka Fatma,Q106092242,2017-07,2019-06-22,female,,,,
Comoros,Minister of Health,Loub Yacout Zaïdou,Q100364484,2019-06-22,,female,1961,,,Loub Yacout Zaïdou
