catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Timor-Leste,President,Xanana Gusmão,Q11509,2002-05-20,2007-05-20,male,1946-06-20,,Xanana 2011.jpg,Xanana Gusmão
Timor-Leste,President,José Ramos-Horta,Q11665,2007-05-20,2012-05-20,male,1949-12-26,,EastTimor.JoseRamosHorta.01.jpg,José Ramos-Horta
Timor-Leste,President,Taur Matan Ruak,Q57519,2012-05-20,2017-05-20,male,1956-10-10,,President Taur Matan Ruak.jpg,Taur Matan Ruak
Timor-Leste,President,Francisco Guterres,Q897790,2017-05-20,,male,1954-09-07,,2017-08-14 Francisco Guterres.jpg,Francisco Guterres
Timor-Leste,Prime Minister,Mari Alkatiri,Q11664,2002-05-20,2006-06-26,male,1949-11-26,,Marí Alkatiri 2020-01-24.jpg,Mari Alkatiri
Timor-Leste,Prime Minister,José Ramos-Horta,Q11665,2006-06-26,2007-05-19,male,1949-12-26,,EastTimor.JoseRamosHorta.01.jpg,José Ramos-Horta
Timor-Leste,Prime Minister,Estanislau da Silva,Q727119,2007-05-19,2007-08-08,male,1952-08-04,,2016-02-04 Estanislau da Silva.jpg,Estanislau da Silva
Timor-Leste,Prime Minister,Xanana Gusmão,Q11509,2007-08-08,2015-02-16,male,1946-06-20,,Xanana 2011.jpg,Xanana Gusmão
Timor-Leste,Prime Minister,Rui Maria de Araújo,Q1647887,2015-02-16,2017-09-15,male,1964-05-21,,"Prime Minister of Timor Leste, Rui Maria de Araújo.jpg",Rui Maria de Araújo
Timor-Leste,Prime Minister,Mari Alkatiri,Q11664,2017-09-15,2018-06-22,male,1949-11-26,,Marí Alkatiri 2020-01-24.jpg,Mari Alkatiri
Timor-Leste,Prime Minister,Taur Matan Ruak,Q57519,2018-06-22,,male,1956-10-10,,President Taur Matan Ruak.jpg,Taur Matan Ruak
Timor-Leste,Vice Prime Minister,Armanda Berta dos Santos,Q33638236,2020-05-29,,female,1974-10-11,,Armanda Berta dos Santos 2018.jpg,Armanda Berta dos Santos
