catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Austria,member of the National Council of Austria,Jakob Auer,Q1678897,1983-05-19,2017-11-08,male,1948-08-31,,Jakob Auer 01.jpg,
Austria,member of the National Council of Austria,Heinz Fischer,Q11753,1987-01-27,2004-06-16,male,1938-10-09,,Heinz Fischer 2012 (cropped).jpg,Heinz Fischer
Austria,member of the National Council of Austria,Rainer Wimmer,Q2128476,1993-12-01,2008-10-27,male,1955-08-10,,Rainer Wimmer (14316487469).jpg,
Austria,member of the National Council of Austria,Karlheinz Kopf,Q1410282,1994-11-07,,male,1957-06-27,,Karlheinz Kopf 2014.jpg,Karlheinz Kopf
Austria,member of the National Council of Austria,Karlheinz Kopf,Q1410282,1994-11-07,2002-12-19,male,1957-06-27,,Karlheinz Kopf 2014.jpg,Karlheinz Kopf
Austria,member of the National Council of Austria,Karlheinz Kopf,Q1410282,1994-11-07,2006-10-29,male,1957-06-27,,Karlheinz Kopf 2014.jpg,Karlheinz Kopf
Austria,member of the National Council of Austria,Karlheinz Kopf,Q1410282,1994-11-07,2008-10-27,male,1957-06-27,,Karlheinz Kopf 2014.jpg,Karlheinz Kopf
Austria,member of the National Council of Austria,Karlheinz Kopf,Q1410282,1994-11-07,2013-10-28,male,1957-06-27,,Karlheinz Kopf 2014.jpg,Karlheinz Kopf
Austria,member of the National Council of Austria,Karlheinz Kopf,Q1410282,1994-11-07,2017-11-08,male,1957-06-27,,Karlheinz Kopf 2014.jpg,Karlheinz Kopf
Austria,member of the National Council of Austria,Karlheinz Kopf,Q1410282,1994-11-07,2019-10-23,male,1957-06-27,,Karlheinz Kopf 2014.jpg,Karlheinz Kopf
Austria,member of the National Council of Austria,Alexander Van der Bellen,Q78869,1994-11-07,2012-07-05,male,1944-01-18,,Alexander Van der Bellen (13-07-2021) (cropped).jpg,Alexander Van der Bellen
Austria,member of the National Council of Austria,Brigitte Povysil,Q916576,1996-01-15,2002-12-19,female,1954-03-05,,,
Austria,member of the National Council of Austria,Otto Pendl,Q1230237,1998-09-17,2017-11-08,male,1951-10-29,2021-11-10,Otto Pemdl.jpg,Otto Pendl
Austria,member of the National Council of Austria,Christof Zernatto,Q113530,1999-10-29,2002-12-19,male,1949-06-11,,ChristofZernatto.jpg,
Austria,member of the National Council of Austria,Elisabeth Gehrer,Q113609,1999-10-29,2000-02-07,female,1942-05-11,,Gehrer Elisabeth 2006 DSCN2500.jpg,Elisabeth Gehrer
Austria,member of the National Council of Austria,Reinhard Bösch,Q1373001,1999-10-29,2002-12-19,male,1957-01-16,,2014 Reinhard Eugen Bösch (15593674748).jpg,Reinhard Eugen Bösch
Austria,member of the National Council of Austria,Irina Schoettel-Delacher,Q1555072,1999-10-29,2002-12-19,female,1962-10-22,,,
Austria,member of the National Council of Austria,Hermann Gahr,Q1611160,1999-10-29,2002-12-19,male,1960-07-15,,150909 - Hermann Gahr - 204.jpg,
Austria,member of the National Council of Austria,Karl Schlögl,Q1732838,1999-10-29,2000-10-05,male,1955-01-28,,2015 Karl Schlögl (16947735265).jpg,
Austria,member of the National Council of Austria,Nikolaus Prinz,Q1991637,1999-10-29,2002-12-19,male,1962-07-25,,Nikolaus Prinz 01.jpg,
Austria,member of the National Council of Austria,Wolfgang Schüssel,Q2125645,1999-10-29,2000-02-07,male,1945-06-07,,W Schuessel7.jpg,Wolfgang Schüssel
Austria,member of the National Council of Austria,Werner Kogler,Q2561778,1999-10-29,2017-11-08,male,1961-11-20,,2020 Werner Kogler (50670439058).jpg,Werner Kogler
Austria,member of the National Council of Austria,Patrick Ortlieb,Q694640,1999-10-29,2002-12-19,male,1967-05-17,,Patrick Ortlieb - Gala Nacht des Sports 2010.jpg,Patrick Ortlieb
Austria,member of the National Council of Austria,Benita Ferrero-Waldner,Q78575,1999-10-29,2000-02-07,female,1948-09-05,,Benita Ferrero-Waldner.jpg,Benita Ferrero-Waldner
Austria,member of the National Council of Austria,Doris Bures,Q85433,1999-10-29,2002-12-19,female,1962-08-03,,GuentherZ 2012-07-04 0047 Wien03 Strandbar Hermann Danube-Day Doris Bures.jpg,Doris Bures
Austria,member of the National Council of Austria,Johanna Mikl-Leitner,Q87130,1999-10-29,2003-04-18,female,1964-02-09,,WahlNÖ2013 MiklLeitner 5003.jpg,Johanna Mikl-Leitner
Austria,member of the National Council of Austria,Caspar Einem,Q89223,1999-10-29,2007-10-31,male,1948-05-06,2021-09-09,Caspar einem.jpg,Caspar Einem
Austria,member of the National Council of Austria,Ulrike Lunacek,Q89398,1999-10-29,2002-12-19,female,1957-05-26,,Ulrike Lunacek April 2014 (cropped).jpg,Ulrike Lunacek
Austria,member of the National Council of Austria,Gabriele Heinisch-Hosek,Q90404,1999-10-29,2002-12-19,female,1961-12-16,,GuentherZ 2012-06-05 0054 Wien06 Johanna-Dohnal-Platz Gabriele Heinisch-Hosek.jpg,Gabriele Heinisch-Hosek
Austria,member of the National Council of Austria,Eva Glawischnig-Piesczek,Q93870,1999-10-29,2017-05-23,female,1969-02-28,,Eva Glawischnig.jpeg,Eva Glawischnig-Piesczek
Austria,member of the National Council of Austria,Werner Amon,Q1771151,2000-02-08,2002-12-19,male,1969-05-28,,,
Austria,member of the National Council of Austria,Peter Wittmann,Q1732861,2000-02-24,,male,1957-03-08,,"Peter Wittmann - Abgeordneter zum Nationalrat, Österreich (2).jpg",
Austria,member of the National Council of Austria,Elisabeth Gehrer,Q113609,2002-12-20,2003-03-04,female,1942-05-11,,Gehrer Elisabeth 2006 DSCN2500.jpg,Elisabeth Gehrer
Austria,member of the National Council of Austria,Dietmar Hoscher,Q1223426,2002-12-20,2006-10-29,male,1962-06-05,,,
Austria,member of the National Council of Austria,Elisabeth Scheucher-Pichler,Q1330250,2002-12-20,2006-10-29,female,1954-02-28,,,
Austria,member of the National Council of Austria,Reinhard Bösch,Q1373001,2002-12-20,2006-04-27,male,1957-01-16,,2014 Reinhard Eugen Bösch (15593674748).jpg,Reinhard Eugen Bösch
Austria,member of the National Council of Austria,Franz Eßl,Q1435943,2002-12-20,2006-10-29,male,1957-07-19,,,
Austria,member of the National Council of Austria,Hermann Gahr,Q1611160,2002-12-20,2006-10-29,male,1960-07-15,,150909 - Hermann Gahr - 204.jpg,
Austria,member of the National Council of Austria,Johann Rädler,Q1696056,2002-12-20,2019-06-11,male,1952-06-13,,"Johann Rädler - Bürgermeister von Bad Erlach, Abgeordneter zum Nationalrat (01).jpg",
Austria,member of the National Council of Austria,Werner Amon,Q1771151,2002-12-20,2006-10-29,male,1969-05-28,,,
Austria,member of the National Council of Austria,Norbert Sieber,Q1997216,2002-12-20,2006-10-29,male,1969-01-12,,Norbert Sieber 2016.JPG,
Austria,member of the National Council of Austria,Petra Bayr,Q2080110,2002-12-20,2006-10-29,female,1968-04-28,,"Petra Bayr, Portrait (14576255593).jpg",
Austria,member of the National Council of Austria,Wolfgang Schüssel,Q2125645,2002-12-20,2003-03-04,male,1945-06-07,,W Schuessel7.jpg,Wolfgang Schüssel
Austria,member of the National Council of Austria,Ruth Becher,Q2177565,2002-12-20,2006-10-29,female,1956-01-28,,Mag.a. Ruth Becher (14503112195).jpg,
Austria,member of the National Council of Austria,Sabine Mandak,Q2209817,2002-12-20,2008-10-27,female,1956-09-10,,Sabine Mandak.jpg,
Austria,member of the National Council of Austria,Ingrid Wendl,Q438475,2002-12-20,2006-10-29,female,1940-05-17,,"Ingrid Wendl, dancer against cancer 2010 (cropped).jpg",Ingrid Wendl
Austria,member of the National Council of Austria,Anna Franz,Q560435,2002-12-20,2013-10-28,female,1953-10-23,,,
Austria,member of the National Council of Austria,August Wöginger,Q764838,2002-12-20,2006-10-29,male,1974-11-02,,2020 August Wöginger Ministerrat am 8.1.2020 (49351572787) (cropped).jpg,August Wöginger
Austria,member of the National Council of Austria,Ernst Strasser,Q79063,2002-12-20,2003-04-25,male,1956-04-29,,Ernst Strasser at EPP Conference on Cyber Security (5389731063) (cropped).jpg,Ernst Strasser
Austria,member of the National Council of Austria,Bettina Stadlbauer,Q850059,2002-12-20,2006-10-29,female,1967-04-22,,Bettina Stadlbauer - Bundesfrauenkonferenz 2008 in Linz.jpg,
Austria,member of the National Council of Austria,Doris Bures,Q85433,2002-12-20,2006-10-29,female,1962-08-03,,GuentherZ 2012-07-04 0047 Wien03 Strandbar Hermann Danube-Day Doris Bures.jpg,Doris Bures
Austria,member of the National Council of Austria,Gabriele Heinisch-Hosek,Q90404,2002-12-20,2006-10-29,female,1961-12-16,,GuentherZ 2012-06-05 0054 Wien06 Johanna-Dohnal-Platz Gabriele Heinisch-Hosek.jpg,Gabriele Heinisch-Hosek
Austria,member of the National Council of Austria,Josef Pröll,Q78806,2003-04-23,2003-04-25,male,1968-09-14,,Josef Proell.jpg,Josef Pröll
Austria,member of the National Council of Austria,Wolfgang Zinggl,Q2591844,2004-07-09,2006-10-29,male,1954-12-12,,Zinggl Porträt.jpg,
Austria,member of the National Council of Austria,Karlheinz Klement,Q1733812,2006,2008,male,1963-05-08,,,
Austria,member of the National Council of Austria,Wolfgang Katzian,Q89489,2006-03-28,2006-10-29,male,1956-10-28,,Wolfgang Katzian (14501938152).jpg,Wolfgang Katzian
Austria,member of the National Council of Austria,Reinhard Bösch,Q1373001,2006-04-28,2006-10-29,male,1957-01-16,,2014 Reinhard Eugen Bösch (15593674748).jpg,Reinhard Eugen Bösch
Austria,member of the National Council of Austria,Franz Hörl,Q1275622,2006-10-30,2008-10-27,male,1956-12-04,,Sankt Gallenkirch-Valiserabahn-Franz Hörl-03ASD.jpg,
Austria,member of the National Council of Austria,Elmar Mayer,Q1332784,2006-10-30,2017-11-08,male,1953-03-13,,Elmar Mayer (14523208623).jpg,
Austria,member of the National Council of Austria,Reinhard Bösch,Q1373001,2006-10-30,2008-10-27,male,1957-01-16,,2014 Reinhard Eugen Bösch (15593674748).jpg,Reinhard Eugen Bösch
Austria,member of the National Council of Austria,Herbert Kickl,Q1395041,2006-10-30,2008-10-27,male,1968-10-19,,Herbert Kickl - FPÖ-Neujahrstreffen 2019.JPG,Herbert Kickl
Austria,member of the National Council of Austria,Franz Eßl,Q1435943,2006-10-30,2008-10-27,male,1957-07-19,,,
Austria,member of the National Council of Austria,Gernot Darmann,Q1514377,2006-10-30,2009-03-30,male,1975-07-07,,,
Austria,member of the National Council of Austria,Gernot Darmann,Q1514377,2006-10-30,2016-06-22,male,1975-07-07,,,
Austria,member of the National Council of Austria,Hermann Gahr,Q1611160,2006-10-30,2008-10-27,male,1960-07-15,,150909 - Hermann Gahr - 204.jpg,
Austria,member of the National Council of Austria,Johann Höfinger,Q1694654,2006-10-30,2008-10-27,male,1969-07-18,,,
Austria,member of the National Council of Austria,Werner Amon,Q1771151,2006-10-30,2008-10-27,male,1969-05-28,,,
Austria,member of the National Council of Austria,Veit Schalle,Q1805576,2006-10-30,2008-10-27,male,1942-10-24,,VeitSchalle1.jpg,
Austria,member of the National Council of Austria,Manfred Haimbuchner,Q1889439,2006-10-30,2008-10-27,male,1978-08-12,,2011 Manfred Haimbuchner (cropped).jpg,Manfred Haimbuchner
Austria,member of the National Council of Austria,Norbert Hofer,Q1996861,2006-10-30,2008-10-27,male,1971-03-02,,Norbert Hofer - FPÖ-Neujahrstreffen 2019.JPG,Norbert Hofer
Austria,member of the National Council of Austria,Norbert Sieber,Q1997216,2006-10-30,2008-10-27,male,1969-01-12,,Norbert Sieber 2016.JPG,
Austria,member of the National Council of Austria,Petra Bayr,Q2080110,2006-10-30,2008-10-27,female,1968-04-28,,"Petra Bayr, Portrait (14576255593).jpg",
Austria,member of the National Council of Austria,Wolfgang Schüssel,Q2125645,2006-10-30,2008-10-27,male,1945-06-07,,W Schuessel7.jpg,Wolfgang Schüssel
Austria,member of the National Council of Austria,Ruth Becher,Q2177565,2006-10-30,2008-10-27,female,1956-01-28,,Mag.a. Ruth Becher (14503112195).jpg,
Austria,member of the National Council of Austria,Sabine Oberhauser,Q2209835,2006-10-30,2008-10-27,female,1963-08-30,2017-02-23,"Dr.in Sabine Oberhauser, MAS (14501931222).jpg",Sabine Oberhauser
Austria,member of the National Council of Austria,Wolfgang Zanger,Q2591817,2006-10-30,2008-10-27,male,1968-12-04,,,Wolfgang Zanger
Austria,member of the National Council of Austria,Wolfgang Zinggl,Q2591844,2006-10-30,2008-10-27,male,1954-12-12,,Zinggl Porträt.jpg,
Austria,member of the National Council of Austria,Heinz-Christian Strache,Q44733,2006-10-30,2018-01-26,male,1969-06-12,,Heinz-Christian Strache - DAÖ-Aschermittwochtreffen 2020.JPG,Heinz-Christian Strache
Austria,member of the National Council of Austria,Bettina Stadlbauer,Q850059,2006-10-30,2008-10-27,female,1967-04-22,,Bettina Stadlbauer - Bundesfrauenkonferenz 2008 in Linz.jpg,
Austria,member of the National Council of Austria,Alexander Zach,Q85346,2006-10-30,2008-09-23,male,1976-09-10,,Alexander Zach Wien-4-9-2008b.jpg,Alexander Zach
Austria,member of the National Council of Austria,Harald Vilimsky,Q90244,2006-10-30,2008-10-27,male,1966-07-22,,Harald Vilimsky - FPÖ-Neujahrstreffen 2019.JPG,Harald Vilimsky
Austria,member of the National Council of Austria,Gabriele Heinisch-Hosek,Q90404,2006-10-30,2008-04-08,female,1961-12-16,,GuentherZ 2012-06-05 0054 Wien06 Johanna-Dohnal-Platz Gabriele Heinisch-Hosek.jpg,Gabriele Heinisch-Hosek
Austria,member of the National Council of Austria,Dagmar Belakowitsch,Q90426,2006-10-30,2008-10-27,female,1968-08-24,,Dagmar Belakowitsch - Pressekonferenz am 13. März 2020.JPG,Dagmar Belakowitsch-Jenewein
Austria,member of the National Council of Austria,Stefan Petzner,Q93772,2008,2013,male,1981-01-17,,Stefan Petzner.jpg,Stefan Petzner
Austria,member of the National Council of Austria,Doris Bures,Q85433,2008-07-03,2008-10-27,female,1962-08-03,,GuentherZ 2012-07-04 0047 Wien03 Strandbar Hermann Danube-Day Doris Bures.jpg,Doris Bures
Austria,member of the National Council of Austria,Carmen Gartelgruber,Q1043648,2008-10-28,2013-10-28,female,1965-06-25,,Carmen Schimanek.jpg,Carmen Schimanek
Austria,member of the National Council of Austria,Christoph Hagen,Q1085077,2008-10-28,2017-11-08,male,1968-12-28,,,
Austria,member of the National Council of Austria,Daniela Musiol,Q1163485,2008-10-28,2016-04-27,female,1970-09-08,,Musiol daniela port.jpg,
Austria,member of the National Council of Austria,Franz Hörl,Q1275622,2008-10-28,2013-10-28,male,1956-12-04,,Sankt Gallenkirch-Valiserabahn-Franz Hörl-03ASD.jpg,
Austria,member of the National Council of Austria,Herbert Kickl,Q1395041,2008-10-28,2013-10-28,male,1968-10-19,,Herbert Kickl - FPÖ-Neujahrstreffen 2019.JPG,Herbert Kickl
