catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Bulgaria,member of the Bulgarian National Assembly,Vladimir Dzhaferov,Q110637666,2001-07-05,2004-03-05,male,1948-08-21,2008-11-18,,
Bulgaria,member of the Bulgarian National Assembly,Snezhana Grozdilova,Q116055933,2001-07-05,2005-06-17,female,1950-10-26,,,
Bulgaria,member of the Bulgarian National Assembly,Lyubomir Panteleev,Q116055934,2001-07-05,2005-06-17,male,1952-10-17,,,
Bulgaria,member of the Bulgarian National Assembly,Boyko Velikov,Q116055940,2001-07-05,2005-06-17,male,1954-07-07,,,
Bulgaria,member of the Bulgarian National Assembly,Mariana Kostadinova,Q116055943,2001-07-05,2005-06-17,female,1960-09-07,,,
Bulgaria,member of the Bulgarian National Assembly,Dimitur Yordanov,Q116055946,2001-07-05,2004-02-25,male,1964-04-23,,,
Bulgaria,member of the Bulgarian National Assembly,Todor Kosturski,Q116055952,2001-07-05,2005-06-17,male,1955-01-12,,,
Bulgaria,member of the Bulgarian National Assembly,Encho Malev,Q116055953,2001-07-05,2005-06-17,male,1954-08-16,,,
Bulgaria,member of the Bulgarian National Assembly,Vanya Tsvetkova,Q116055954,2001-07-05,2005-06-17,female,1952-04-27,,,
Bulgaria,member of the Bulgarian National Assembly,Vasil Kalinov,Q116055956,2001-07-05,2005-06-17,male,1956-01-16,,,
Bulgaria,member of the Bulgarian National Assembly,Margarita Kuneva,Q116055960,2001-07-05,2005-06-17,female,1948-08-24,,,
Bulgaria,member of the Bulgarian National Assembly,Valentin Miltenov,Q116055963,2001-07-05,2005-06-17,male,1968-08-09,,,
Bulgaria,member of the Bulgarian National Assembly,Radoslav Ilievski,Q116055967,2001-07-05,2005-06-17,male,1955-07-19,,,
Bulgaria,member of the Bulgarian National Assembly,Aneliya Mingova,Q116055968,2001-07-05,2005-06-17,female,1957-12-21,,,
Bulgaria,member of the Bulgarian National Assembly,Plamen Mollov,Q116055974,2001-07-05,2005-06-17,male,1958-09-09,,,
Bulgaria,member of the Bulgarian National Assembly,Krustanka Shakliyan,Q116055983,2001-07-05,2005-06-17,female,1955-09-06,,,
Bulgaria,member of the Bulgarian National Assembly,Mariya Koleva,Q116055986,2001-07-05,2005-06-17,female,1969-01-15,,,
Bulgaria,member of the Bulgarian National Assembly,Yordan Mitev,Q116055988,2001-07-05,2005-06-17,male,1940-12-04,,,
Bulgaria,member of the Bulgarian National Assembly,Dimitur Kamburov,Q116056004,2001-07-05,2005-03-25,male,1938-04-23,,,
Bulgaria,member of the Bulgarian National Assembly,Borislav Vladimirov,Q116056007,2001-07-05,2005-06-17,male,1969-04-27,,,
Bulgaria,member of the Bulgarian National Assembly,Petya Gegova,Q116056008,2001-07-05,2003-01-15,female,1971-02-22,,,
Bulgaria,member of the Bulgarian National Assembly,Ahmed Yusein,Q116056009,2001-07-05,2005-06-17,male,1948-09-17,,,
Bulgaria,member of the Bulgarian National Assembly,Svetoslav Spasov,Q116056013,2001-07-05,2005-06-17,male,1973-09-12,,,
Bulgaria,member of the Bulgarian National Assembly,Aleksandur Marinov,Q116056015,2001-07-05,2004-02-25,male,1950-07-03,,,
Bulgaria,member of the Bulgarian National Assembly,Boyko Radoev,Q116056016,2001-07-05,2005-06-17,male,1951-06-19,,,
