catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Nauru,President,René Harris,Q560557,1999-04-27,2000-04-20,male,1947-11-11,2008-07-05,,René Harris
Nauru,President,Bernard Dowiyogo,Q715836,2000-04-20,2001-03-30,male,1946-02-14,2003-03-09,,Bernard Dowiyogo
Nauru,President,René Harris,Q560557,2001-03-30,2003-01-09,male,1947-11-11,2008-07-05,,René Harris
Nauru,President,Bernard Dowiyogo,Q715836,2003-01-09,2003-01-17,male,1946-02-14,2003-03-09,,Bernard Dowiyogo
Nauru,President,René Harris,Q560557,2003-01-17,2003-01-18,male,1947-11-11,2008-07-05,,René Harris
Nauru,President,Bernard Dowiyogo,Q715836,2003-01-18,2003-03-10,male,1946-02-14,2003-03-09,,Bernard Dowiyogo
Nauru,President,Derog Gioura,Q888033,2003-03-10,2003-05-29,male,1932-09-01,2008-09-25,,Derog Gioura
Nauru,President,Ludwig Scotty,Q313003,2003-05-29,2003-08-08,male,1948-06-20,,Ludwig Scotty (cropped 3x4).jpg,Ludwig Scotty
Nauru,President,René Harris,Q560557,2003-08-08,2004-06-22,male,1947-11-11,2008-07-05,,René Harris
Nauru,President,Ludwig Scotty,Q313003,2004-06-22,2007-12-19,male,1948-06-20,,Ludwig Scotty (cropped 3x4).jpg,Ludwig Scotty
Nauru,President,Marcus Stephen,Q274174,2007-12-19,2011-11-10,male,1969-10-01,,President Marcus Stephen of Nauru.jpg,Marcus Stephen
Nauru,President,Frederick Pitcher,Q917601,2011-11-10,2011-11-15,male,1967-02-05,,Frederick Pitcher (cropped).jpg,Freddie Pitcher
Nauru,President,Sprent Dabwido,Q57543,2011-11-15,2013-06-11,male,1972-09-16,2019-05-08,Sprent Dabwido (cropped).jpg,Sprent Dabwido
Nauru,President,Baron Waqa,Q563297,2013-06-11,2019-08-27,male,1959-12-31,,Baron Waqa.jpg,Baron Waqa
Nauru,President,Lionel Aingimea,Q66765492,2019-08-27,2022-09-28,male,1965-09-02,,Lionel Aingimea.jpg,Lionel Aingimea
Nauru,President,Russ J Kun,Q109781648,2022-09-28,,male,1975-09-08,,Russ Kun 2020.jpg,Russ Kun
Nauru,Minister Assisting the Presdident,Martin Hunt,Q107100545,2019-08-28,2022-09-29,male,,,,Martin Hunt (politician)
Nauru,Minister for Climate Change,Rennier Gadabu,Q66754706,2019-08-28,,male,,,,Rennier Gadabu
Nauru,"Minister for Commerce, Industry & Environment",Rennier Gadabu,Q66754706,2019-08-28,2022-09-29,male,,,,Rennier Gadabu
Nauru,Minister for Education,Richard-Hyde Menke,Q109781557,2022-09-29,,male,,,,
Nauru,Minister for Eigigu Holding Corporation,Martin Hunt,Q107100545,2022-09-29,,male,,,,Martin Hunt (politician)
Nauru,Minister for Eigigu Procurement Limited,Martin Hunt,Q107100545,2022-09-29,,male,,,,Martin Hunt (politician)
Nauru,Minister for Environmental Management,Rennier Gadabu,Q66754706,2022-09-29,,male,,,,Rennier Gadabu
Nauru,Minister for Finance and Sustainable Development,Remy Namaduk,Q11834186,1999-10,2000-03,male,1949,,,Remy Namaduk
Nauru,Minister for Finance and Sustainable Development,Nimrod Botelanga,Q11792277,2000-03,2000-04,male,,,,
Nauru,Minister for Finance and Sustainable Development,Bernard Dowiyogo,Q715836,2000-04,2000-05,male,1946-02-14,2003-03-09,,Bernard Dowiyogo
Nauru,Minister for Finance and Sustainable Development,Kinza Clodumar,Q888025,2000-05,2000-08,male,1945-02-08,2021-11-29,Clodumar at PALM 2000 reception (cropped).jpg,Kinza Clodumar
Nauru,Minister for Finance and Sustainable Development,Remy Namaduk,Q11834186,2000-08,2001-03,male,1949,,,Remy Namaduk
Nauru,Minister for Finance and Sustainable Development,Vassal Gadoengin,Q322362,2001-03,2001-03,male,1943-05-01,2004-12-15,,Vassal Gadoengin
Nauru,Minister for Finance and Sustainable Development,Aloysius Amwano,Q4734692,2001-03,2001-05,male,1955-06-21,,,Aloysius Amwano
Nauru,Minister for Finance and Sustainable Development,Nimrod Botelanga,Q11792277,2001-05,2001-06,male,,,,
Nauru,Minister for Finance and Sustainable Development,Remy Namaduk,Q11834186,2001-05,2001-05,male,1949,,,Remy Namaduk
Nauru,Minister for Finance and Sustainable Development,Aloysius Amwano,Q4734692,2001-06,2003-01,male,1955-06-21,,,Aloysius Amwano
Nauru,Minister for Finance and Sustainable Development,Remy Namaduk,Q11834186,2003-01,2003-01,male,1949,,,Remy Namaduk
Nauru,Minister for Finance and Sustainable Development,Remy Namaduk,Q11834186,2003-01,2003-03,male,1949,,,Remy Namaduk
Nauru,Minister for Finance and Sustainable Development,Aloysius Amwano,Q4734692,2003-01,2003-01,male,1955-06-21,,,Aloysius Amwano
Nauru,Minister for Finance and Sustainable Development,Remy Namaduk,Q11834186,2003-03,2003-04,male,1949,,,Remy Namaduk
Nauru,Minister for Finance and Sustainable Development,Dogabe Jeremiah,Q1234643,2003-04,2003-05,male,1940,,,
Nauru,Minister for Finance and Sustainable Development,David Adeang,Q58096,2003-05,2003-06,male,1969-11-24,,David Adeang (cropped).jpg,David Adeang
Nauru,Minister for Finance and Sustainable Development,Kieren Keke,Q1391207,2003-06,2003-08,male,1971-06-27,,,Kieren Keke
Nauru,Minister for Finance and Sustainable Development,Marcus Stephen,Q274174,2003-08,2004-03,male,1969-10-01,,President Marcus Stephen of Nauru.jpg,Marcus Stephen
Nauru,Minister for Finance and Sustainable Development,Kinza Clodumar,Q888025,2004-03,2004-05,male,1945-02-08,2021-11-29,Clodumar at PALM 2000 reception (cropped).jpg,Kinza Clodumar
Nauru,Minister for Finance and Sustainable Development,Nimrod Botelanga,Q11792277,2004-05,2004-06,male,,,,
Nauru,Minister for Finance and Sustainable Development,Kinza Clodumar,Q888025,2004-06,2004-08,male,1945-02-08,2021-11-29,Clodumar at PALM 2000 reception (cropped).jpg,Kinza Clodumar
Nauru,Minister for Finance and Sustainable Development,Marcus Stephen,Q274174,2004-08,2005-11,male,1969-10-01,,President Marcus Stephen of Nauru.jpg,Marcus Stephen
Nauru,Minister for Finance and Sustainable Development,Ludwig Scotty,Q313003,2005-11,2006-09,male,1948-06-20,,Ludwig Scotty (cropped 3x4).jpg,Ludwig Scotty
Nauru,Minister for Finance and Sustainable Development,Frederick Pitcher,Q917601,2006-09,2007-12,male,1967-02-05,,Frederick Pitcher (cropped).jpg,Freddie Pitcher
Nauru,Minister for Finance and Sustainable Development,Frederick Pitcher,Q917601,2007-12,2008-01,male,1967-02-05,,Frederick Pitcher (cropped).jpg,Freddie Pitcher
Nauru,Minister for Finance and Sustainable Development,Kieren Keke,Q1391207,2008-01,2011-02,male,1971-06-27,,,Kieren Keke
Nauru,Minister for Finance and Sustainable Development,Roland Kun,Q2162897,2011-02,2011-07,male,1970-05-06,,,Roland Kun
