catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Uganda,President,Yoweri Museveni,Q57274,1986-01-29,,male,1944-09-15,,Yoweri Museveni September 2015.jpg,Yoweri Museveni
Uganda,Vice President,Specioza Kazibwe,Q544606,1994-11,2003-05-21,female,1955-07-01,,Specioza Wandira Kazibwe (cropped).jpg,Specioza Kazibwe
Uganda,Vice President,Gilbert Bukenya,Q3105642,2003-05-23,2011-05-23,male,1949-05-08,,Dr. Gilbert Balibaseka Bukenya (cropped).jpg,Gilbert Bukenya
Uganda,Vice President,Edward Ssekandi,Q5345394,2011-05-24,,male,1943-01-19,,Edward Ssekandi.jpg,Edward Ssekandi
Uganda,Prime Minister,Apolo Nsibambi,Q320005,1999-04-05,2011-05-24,male,1940-10-25,2019-05-28,Apolo Nsibambi.jpg,Apolo Nsibambi
Uganda,Prime Minister,Amama Mbabazi,Q57873,2011-05-24,2014-09-18,male,1949-01-16,,Amama Mbabazi.jpg,Amama Mbabazi
Uganda,Prime Minister,Ruhakana Rugunda,Q1740843,2014-09-18,2021-06-21,male,1947-11-07,,Ruhakana Rugunda.jpg,Ruhakana Rugunda
Uganda,Prime Minister,Robinah Nabbanja,Q62481397,2021-06-21,,female,1969-12-17,,Robinah Nabbanja.jpg,Robinah Nabbanja
Uganda,Deputy Prime Minister,Moses Ali,Q1949128,2021-06-09,,male,1939-04-05,,,Moses Ali
Uganda,Deputy Prime Minister,Lukia Isanga Nakadama,Q6702541,2021-06-09,,female,1970-02-02,,,Lukia Isanga Nakadama
Uganda,Deputy Prime Minister,Rebecca Kadaga,Q1026465,2021-06-21,,female,1956-05-24,,"Rebecca Kadaga, December 2017 (5122) (cropped2).jpg",Rebecca Kadaga
Uganda,"Minister of Agriculture, Animal Industry and Fisheries",Frank Tumwebaze,Q5490025,2021-06-09,,male,1976-01-01,,,Frank Tumwebaze
Uganda,Minister of Defence and Veterans Affairs,Vincent Ssempijja,Q19666374,2021-06-09,,male,1956-11-28,,,Vincent Ssempijja
Uganda,Minister of Disaster Preparedness and Refugees,Hilary Onek,Q5761037,2021-06-09,,male,1948-05-05,,,Hilary Onek
Uganda,Minister for East African Community Affairs,Rebecca Kadaga,Q1026465,2021-06-09,,female,1956-05-24,,"Rebecca Kadaga, December 2017 (5122) (cropped2).jpg",Rebecca Kadaga
