catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Czechia,President,Václav Havel,Q36233,1993-02-02,2003-02-02,male,1936-10-05,2011-12-18,Václav Havel cut out.jpg,Václav Havel
Czechia,President,Václav Klaus,Q57434,2003-03-07,2013-03-07,male,1941-06-19,,Vaclav Klaus headshot.jpg,Václav Klaus
Czechia,President,Miloš Zeman,Q29032,2013-03-08,,male,1944-09-28,,Prezident Zeman MSV.jpg,Miloš Zeman
Czechia,Prime Minister,Miloš Zeman,Q29032,1998-07-17,2002-07-15,male,1944-09-28,,Prezident Zeman MSV.jpg,Miloš Zeman
Czechia,Prime Minister,Vladimír Špidla,Q32777,2002-07-15,2004-08-04,male,1951-04-22,,"Vladimir Spidla, 2007 crop.jpg",Vladimír Špidla
Czechia,Prime Minister,Stanislav Gross,Q348896,2004-08-04,2005-04-25,male,1969-10-30,2015-04-16,Stanislav gross.jpg,Stanislav Gross
Czechia,Prime Minister,Jiří Paroubek,Q161671,2005-04-25,2006-09-04,male,1952-08-21,,Jiří Paroubek.JPG,Jiří Paroubek
Czechia,Prime Minister,Mirek Topolánek,Q155880,2006-08-16,2009-05-08,male,1956-05-15,,Mirek Topolanek.jpg,Mirek Topolánek
Czechia,Prime Minister,Jan Fischer,Q193675,2009-04-09,2010-07-10,male,1951-01-02,,Jan Fischer KVIFF-2.jpg,Jan Fischer (politician)
Czechia,Prime Minister,Petr Nečas,Q35786,2010-06-28,2013-07-10,male,1964-11-19,,Petr Nečas - O2067168633.jpg,Petr Nečas
Czechia,Prime Minister,Jiří Rusnok,Q12025475,2013-06-25,2014-01-29,male,1960-10-16,,Rusnok Jiří 2013.JPG,Jiří Rusnok
Czechia,Prime Minister,Bohuslav Sobotka,Q890971,2014-01-17,2017-12-13,male,1971-10-23,,B Sobotka 2015 Praha.JPG,Bohuslav Sobotka
Czechia,Prime Minister,Andrej Babiš,Q10819807,2017-12-06,2021-12-17,male,1954-09-02,,Andrej Babiš v roce 2020.jpg,Andrej Babiš
Czechia,Prime Minister,Petr Fiala,Q3377548,2021-11-28,,male,1964-09-01,,Petr Fiala 2019 Praha.jpg,Petr Fiala
Czechia,Deputy Prime Minister,Pavel Mertlík,Q12044174,1998-07-22,2001-04-12,male,1961-05-07,,Pavel Mertlik trim.jpg,
Czechia,Deputy Prime Minister,Vladimír Špidla,Q32777,1998-07-22,2002-07-14,male,1951-04-22,,"Vladimir Spidla, 2007 crop.jpg",Vladimír Špidla
Czechia,Deputy Prime Minister,Pavel Rychetský,Q3511760,1998-07-22,2002-07-14,male,1943-08-17,,Pavel Rychetský (2020).jpg,Pavel Rychetský
Czechia,Deputy Prime Minister,Jan Kavan,Q1397396,1999-12-10,2002-07-14,male,1946-10-17,,"Jan Kavan, IEIS conference «Russia and the EU the question of trust»-104.jpg",Jan Kavan
Czechia,Deputy Prime Minister,Stanislav Gross,Q348896,2002-06-15,2004-08-04,male,1969-10-30,2015-04-16,Stanislav gross.jpg,Stanislav Gross
Czechia,Deputy Prime Minister,Petr Mareš,Q12044963,2002-07-15,2004-08-04,male,1953-01-15,,Petr Mareš (politician).jpg,
