catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Fiji,President,Frank Bainimarama,Q57830,2000-05-29,2000-07-13,male,1954-04-27,,Frank Bainimarama September 2014.jpg,Frank Bainimarama
Fiji,President,Josefa Iloilo,Q316317,2000-07-13,2006-12-05,male,1920-12-29,2011-02-06,Josefa Iloilo.jpg,Josefa Iloilo
Fiji,President,Frank Bainimarama,Q57830,2006-12-05,2007-01-04,male,1954-04-27,,Frank Bainimarama September 2014.jpg,Frank Bainimarama
Fiji,President,Josefa Iloilo,Q316317,2007-01-04,2009-07-30,male,1920-12-29,2011-02-06,Josefa Iloilo.jpg,Josefa Iloilo
Fiji,President,Epeli Nailatikau,Q373605,2009-07-30,2015-11-12,male,1941-07-05,,Nailatikau.jpg,Epeli Nailatikau
Fiji,President,Jioji (George) Konrote,Q5541411,2015-11-12,2021-11-12,male,1947-12-26,,Jioji Konrote December 2017.jpg,Jioji Konrote
Fiji,President,Wiliame Katonivere,Q109012733,2021-11-12,,male,1964-04-20,,Wiliame Katonivere 2022.jpg,Wiliame Katonivere
Fiji,Vice-President,Joni Madraiwiwi,Q3183575,2004-12-15,2006-12-05,male,1957,2016-09-29,,Joni Madraiwiwi
Fiji,Vice-President,Epeli Nailatikau,Q373605,2009-04-17,2009-07-30,male,1941-07-05,,Nailatikau.jpg,Epeli Nailatikau
Fiji,Prime Minister,Kamisese Mara,Q469507,1994-01-18,2000-05-29,male,1920-05-06,2004-04-18,Kamisese Mara.jpg,Kamisese Mara
Fiji,Prime Minister,Mahendra Chaudhry,Q558880,1999-05-19,2000-05-27,male,1942-02-09,,Mahendra Chaudhry 2007.jpg,Mahendra Chaudhry
Fiji,Prime Minister,Tevita Momoedonu,Q3519293,2001-03-14,2001-03-16,male,1946-01-13,2020-11-26,,Tevita Momoedonu
Fiji,Prime Minister,Laisenia Qarase,Q473214,2001-03-16,2006-12-05,male,1941-02-04,2020-04-21,Laisenia Qarase 2005.jpg,Laisenia Qarase
Fiji,Prime Minister,Jona Senilagakali,Q1374014,2006-12-05,2007-01-04,male,1929-11-08,2011-10-26,,Jona Senilagakali
Fiji,Prime Minister,Frank Bainimarama,Q57830,2007-01-05,2022-12-24,male,1954-04-27,,Frank Bainimarama September 2014.jpg,Frank Bainimarama
Fiji,Prime Minister,Sitiveni Rabuka,Q981549,2022-12-24,,male,1948-09-13,,Sitiveni Rabuka 2020.jpg,Sitiveni Rabuka
Fiji,Deputy Prime Minister,Manoa Kamikamica,Q115867510,2022-12-24,,male,1967,,,Manoa Kamikamica
Fiji,Deputy Prime Minister,Viliame Gavoka,Q19957862,2022-12-24,,male,1950-07-08,,Bill Gavoka 2018.jpg,Viliame Gavoka
Fiji,"Minister for Agriculture, Waterways and Environment",Mahendra Reddy,Q19665719,2017-12-11,2022-12-24,male,,,Mahendra Reddy April 2015.jpg,Mahendra Reddy
Fiji,Minister for Civil Service,Aiyaz Sayed-Khaiyum,Q4699401,2014-10-06,2022-12-24,male,1965-09-24,,Aiyaz Sayed-Khaiyum May 2020.jpg,Aiyaz Sayed-Khaiyum
Fiji,"Minister for Commerce, Trade, Tourism and Transport",Faiyaz Koya,Q18210195,2020-04-16,2022-12-24,male,,,Faiyaz Koya June 2015.jpg,Faiyaz Koya
Fiji,Minister for Communications and Public Enterprise,Aiyaz Sayed-Khaiyum,Q4699401,2014-10-06,2022-12-24,male,1965-09-24,,Aiyaz Sayed-Khaiyum May 2020.jpg,Aiyaz Sayed-Khaiyum
Fiji,"Minister for Defence, National Security and Policing",Inia Seruiratu,Q59149050,2018-11-22,2022-12-24,male,,,Inia Seruiratu 2022.jpg,Inia Seruiratu
