catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Japan,Emperor,Akihito,Q37979,1989-01-07,2019-04-30,male,1933-12-23,,Emperor Akihito of Japan.jpg,Akihito
Japan,Emperor,Naruhito,Q217096,2019-05-01,,male,1960-02-23,,Emperor Naruhito and Empress Masako (cropped).jpg,Naruhito
Japan,Prime Minister,Keizō Obuchi,Q313339,1998-07-30,2000-04-05,male,1937-06-25,2000-05-14,Keizo Obuchi cropped 1 Keizo Obuchi 19980730.jpg,Keizō Obuchi
Japan,Prime Minister,Yoshirō Mori,Q233499,2000-04-05,2000-07-04,male,1937-07-14,,Yoshiro Mori 20000405.jpg,Yoshirō Mori
Japan,Prime Minister,Yoshirō Mori,Q233499,2000-04-05,2001-04-26,male,1937-07-14,,Yoshiro Mori 20000405.jpg,Yoshirō Mori
Japan,Prime Minister,Yoshirō Mori,Q233499,2000-07-04,2001-04-26,male,1937-07-14,,Yoshiro Mori 20000405.jpg,Yoshirō Mori
Japan,Prime Minister,Jun'ichirō Koizumi,Q130852,2001-04-26,2003-11-19,male,1942-01-08,,Junichiro Koizumi 20010426.jpg,Junichiro Koizumi
Japan,Prime Minister,Jun'ichirō Koizumi,Q130852,2003-11-19,2005-09-21,male,1942-01-08,,Junichiro Koizumi 20010426.jpg,Junichiro Koizumi
Japan,Prime Minister,Jun'ichirō Koizumi,Q130852,2005-09-21,2006-09-26,male,1942-01-08,,Junichiro Koizumi 20010426.jpg,Junichiro Koizumi
Japan,Prime Minister,Shinzō Abe,Q132345,2006-09-26,2007-09-25,male,1954-09-21,,Shinzō Abe Official.jpg,Shinzo Abe
Japan,Prime Minister,Yasuo Fukuda,Q101137,2007-09-26,2008-09-24,male,1936-07-16,,Yasuo Fukuda 200709.jpg,Yasuo Fukuda
Japan,Prime Minister,Tarō Asō,Q132596,2008-09-24,2009-09-16,male,1940-09-20,,Taro Aso cropped.jpg,Tarō Asō
Japan,Prime Minister,Yukio Hatoyama,Q131077,2009-09-16,2010-06-08,male,1947-02-11,,Yukio Hatoyama 20090916.jpg,Yukio Hatoyama
Japan,Prime Minister,Naoto Kan,Q47846,2010-06-08,2011-09-02,male,1946-10-10,,Kan Naoto.jpg,Naoto Kan
Japan,Prime Minister,Yoshihiko Noda,Q57647,2011-09-02,2012-12-26,male,1957-05-20,,Yoshihiko Noda 20110902.jpg,Yoshihiko Noda
Japan,Prime Minister,Shinzō Abe,Q132345,2012-12-26,2014-12-24,male,1954-09-21,,Shinzō Abe Official.jpg,Shinzo Abe
Japan,Prime Minister,Shinzō Abe,Q132345,2014-12-24,2017-11-01,male,1954-09-21,,Shinzō Abe Official.jpg,Shinzo Abe
Japan,Prime Minister,Shinzō Abe,Q132345,2017-11-01,2020-09-16,male,1954-09-21,,Shinzō Abe Official.jpg,Shinzo Abe
Japan,Prime Minister,Yoshihide Suga,Q122465,2020-09-16,2021-10-04,male,1948-12-06,,Yoshihide Suga 20200916.jpg,Yoshihide Suga
Japan,Prime Minister,Fumio Kishida,Q359480,2021-10-04,,male,1957-07-29,,Fumio Kishida 20211004.jpg,Fumio Kishida
Japan,Deputy Prime Minister,Naoto Kan,Q47846,2009-09-16,2010-06-08,male,1946-10-10,,Kan Naoto.jpg,Naoto Kan
Japan,Deputy Prime Minister,Katsuya Okada,Q513317,2012-01-13,2012-12-26,male,1953-07-14,,Katsuya Okada (2010).jpg,Katsuya Okada
Japan,Deputy Prime Minister,Tarō Asō,Q132596,2012-12-26,2021-10-04,male,1940-09-20,,Taro Aso cropped.jpg,Tarō Asō
Japan,"Minister of Agriculture, Forestry and Fisheries",Tadamori Oshima,Q49998,2002-09-30,2003-04-01,male,1946-09-06,,Queen's Birthsday Party 2016 (26830017170).jpg,Tadamori Ōshima
Japan,"Minister of Agriculture, Forestry and Fisheries",Jun'ichirō Koizumi,Q130852,2005-08-08,2005-08-11,male,1942-01-08,,Junichiro Koizumi 20010426.jpg,Junichiro Koizumi
Japan,"Minister of Agriculture, Forestry and Fisheries",Norihiko Akagi,Q351832,2007-06-01,2007-08-01,male,1959-04-18,,Norihiko Akagi.jpg,Norihiko Akagi
Japan,"Minister of Agriculture, Forestry and Fisheries",Shigeru Ishiba,Q1335527,2008-09-24,2009-09-16,male,1957-02-04,,Shigeru Ishiba in Yamanashi City September 2017 (cropped).jpg,Shigeru Ishiba
Japan,"Minister of Agriculture, Forestry and Fisheries",Yoshimasa Hayashi,Q1141271,2012-12-26,2014-09-03,male,1961-01-19,,Yoshimasa Hayashi 20211110.jpg,Yoshimasa Hayashi
Japan,"Minister of Agriculture, Forestry and Fisheries",Yoshimasa Hayashi,Q1141271,2015-02-23,2015-10-07,male,1961-01-19,,Yoshimasa Hayashi 20211110.jpg,Yoshimasa Hayashi
Japan,"Minister of Agriculture, Forestry and Fisheries",Ken Saitō,Q11679075,2017-08-03,2018-10-02,male,1959-06-14,,Saito ken.jpg,Ken Saitō
Japan,"Minister of Agriculture, Forestry and Fisheries",Takamori Yoshikawa,Q7677156,2018-10-02,2019-09-11,male,1950-10-20,,Takamori Yoshikawa.jpg,Takamori Yoshikawa
Japan,"Minister of Agriculture, Forestry and Fisheries",Genjirō Kaneko,Q1502275,2021-10-04,,male,1944-05-08,,20211004kaneko genjiro.jpg,Genjirō Kaneko
Japan,Minister of Defence,Fumio Kyūma,Q943732,2007-01-09,2007-07-04,male,1940-12-04,,Fumio Kyuma in Pentagon.jpg,Fumio Kyūma
Japan,Minister of Defence,Yuriko Koike,Q261703,2007-07-04,2007-08-27,female,1952-07-15,,平成29年5月11日東京都知事との面会1 (cropped).jpg,Yuriko Koike
Japan,Minister of Defence,Masahiko Kōmura,Q697969,2007-08-27,2007-09-26,male,1942-03-15,,,Masahiko Kōmura
Japan,Minister of Defence,Shigeru Ishiba,Q1335527,2007-09-26,2008-08-02,male,1957-02-04,,Shigeru Ishiba in Yamanashi City September 2017 (cropped).jpg,Shigeru Ishiba
Japan,Minister of Defence,Yoshimasa Hayashi,Q1141271,2008-08-02,2008-09-24,male,1961-01-19,,Yoshimasa Hayashi 20211110.jpg,Yoshimasa Hayashi
Japan,Minister of Defence,Yasukazu Hamada,Q1132836,2008-09-24,2009-09-16,male,1955-10-21,,Yasukazu Hamada cropped Yasukazu Hamadand and John Hamre 19981103.jpg,Yasukazu Hamada
Japan,Minister of Defence,Toshimi Kitazawa,Q1155846,2009-09-24,2011-09-02,male,1938-03-06,,"Toshimi Kitazawa Oct. 21, 2009.jpg",Toshimi Kitazawa
Japan,Minister of Defence,Yasuo Ichikawa,Q1138728,2011-09-02,2012-01-13,male,1942-02-06,,Yasuo Ichikawa cropped 1 Yasuo Ichikawa 20111025.jpg,Yasuo Ichikawa
Japan,Minister of Defence,Naoki Tanaka,Q212373,2012-01-13,2012-06-04,male,1940-06-19,,Naoki Tanaka-1.jpg,Naoki Tanaka (politician)
Japan,Minister of Defence,Satoshi Morimoto,Q1190328,2012-06-04,2012-12-26,male,1941-03-15,,"Satoshi Morimoto at the Pentagon August 3, 2012 crop.jpg",Satoshi Morimoto
Japan,Minister of Defence,Itsunori Onodera,Q49969,2012-12-26,2014-09-03,male,1960-05-05,,"Minister of Defense for Japan Itsunori Onodera in Washington, D.C., August 17, 2017 (36238435810) (cropped).jpg",Itsunori Onodera
Japan,Minister of Defence,Akinori Eto,Q49999,2014-09-03,2014-12-24,male,1955-10-12,,Akinori Eto 071217-N-8772M-001 0YH9U.jpg,Akinori Eto
Japan,Minister of Defence,Gen Nakatani,Q5530859,2014-12-24,2016-08-03,male,1957-10-14,,Gen Nakatani 4 Apr 2007 without US flag.jpg,Gen Nakatani
Japan,Minister of Defence,Tomomi Inada,Q1654408,2016-08-03,2017-07-28,female,1959-02-20,,Tomomi Inada 20161027.jpg,Tomomi Inada
Japan,Minister of Defence,Fumio Kishida,Q359480,2017-07-28,2017-08-03,male,1957-07-29,,Fumio Kishida 20211004.jpg,Fumio Kishida
Japan,Minister of Defence,Itsunori Onodera,Q49969,2017-08-03,2018-10-02,male,1960-05-05,,"Minister of Defense for Japan Itsunori Onodera in Washington, D.C., August 17, 2017 (36238435810) (cropped).jpg",Itsunori Onodera
Japan,Minister of Defence,Takeshi Iwaya,Q1654639,2018-10-02,2019-09-11,male,1957-08-24,,Takeshi Iwaya (cropped).jpg,Takeshi Iwaya
Japan,Minister of Defence,Taro Kono,Q1161024,2019-09-11,2020-09-16,male,1963-01-10,,Taro Kono 20200916.jpg,Taro Kono
Japan,Minister of Defence,Nobuo Kishi,Q1995125,2020-09-16,,male,1959-04-01,,Nobuo Kishi 20211004.jpg,Nobuo Kishi
Japan,Minister for Digital Transformation,Takuya Hirai,Q7678622,2021-09-01,2021-10-04,male,1958-01-25,,Takuya Hirai.jpg,Takuya Hirai
Japan,Minister for Digital Transformation,Karen Makishima,Q11570409,2021-10-04,,female,1976-11-01,,Karen Makishima 20211008.png,Karen Makishima
Japan,Minister for Economic Cooperation with Russia,Koichi Hagiuda,Q6426211,2021-10-04,,male,1963-08-31,,Koichi Hagiuda 20211004.jpg,Kōichi Hagiuda
Japan,"Minister of Economy, Trade and Industry",Yukio Edano,Q732087,2011-09-12,2012-12-26,male,1964-05-31,,Yukio Edano In front of Tenjin Twin Building (2020.10.18).jpg,Yukio Edano
Japan,"Minister of Economy, Trade and Industry",Toshimitsu Motegi,Q1655453,2012-12-26,2014-09-03,male,1955-10-07,,Toshimitsu Motegi 20200916.jpg,Toshimitsu Motegi
Japan,"Minister of Economy, Trade and Industry",Isshu Sugawara,Q11619136,2019-09-11,2019-10-25,male,1962-01-07,,Isshu Sugawara cropped 2 Yukiya Amano Isshu Sugawara and Toshiro Ozawa 20130627.jpg,Isshu Sugawara
Japan,"Minister of Economy, Trade and Industry",Hiroshi Kajiyama,Q5770884,2019-10-25,2021-10-04,male,1955-10-18,,Hiroshi Kajiyama.jpg,Hiroshi Kajiyama (politician)
Japan,"Minister of Economy, Trade and Industry",Koichi Hagiuda,Q6426211,2021-10-04,,male,1963-08-31,,Koichi Hagiuda 20211004.jpg,Kōichi Hagiuda
Japan,"Minister of Education, Culture, Sports, Science and Technology",Nobutaka Machimura,Q697258,2001-01-06,2001-04-26,male,1944-10-17,2015-06-01,Machimura Nobutaka 2015.jpg,Nobutaka Machimura
Japan,"Minister of Education, Culture, Sports, Science and Technology",Atsuko Tōyama,Q6147883,2001-04-26,2003-09-22,female,1938-12-10,,Atsuko Tōyama.jpg,Toyama Atsuko
Japan,"Minister of Education, Culture, Sports, Science and Technology",Takeo Kawamura,Q382311,2003-09-22,2004-09-27,male,1942-11-10,,Takeo Kawamura.jpg,Takeo Kawamura (politician)
Japan,"Minister of Education, Culture, Sports, Science and Technology",Nariaki Nakayama,Q382089,2004-09-27,2005-10-31,male,1943-06-07,,Nariaki Nakayama 20090825.JPG,Nariaki Nakayama
Japan,"Minister of Education, Culture, Sports, Science and Technology",Kenji Kosaka,Q5365896,2005-10-31,2006-09-26,male,1946-03-12,2016-10-21,Kenji Kosaka.jpg,Kenji Kosaka
Japan,"Minister of Education, Culture, Sports, Science and Technology",Bunmei Ibuki,Q729599,2006-09-26,2007-09-26,male,1938-01-09,,사본 -8632564647 fb1ba67294 o.jpg,Bunmei Ibuki
Japan,"Minister of Education, Culture, Sports, Science and Technology",Kisaburo Tokai,Q1133136,2007-09-26,2008-08-02,male,1948-02-11,,Kisaburō Tokai.jpg,Kisaburo Tokai
Japan,"Minister of Education, Culture, Sports, Science and Technology",Tsuneo Suzuki,Q372833,2008-08-02,2008-09-24,male,1941-02-10,,Tsuneo Suzuki.jpg,Tsuneo Suzuki
Japan,"Minister of Education, Culture, Sports, Science and Technology",Ryu Shionoya,Q935199,2008-09-24,2009-09-16,male,1950-02-18,,Ryu Shionoya Monbukagakudaijin.jpg,Ryū Shionoya
Japan,"Minister of Education, Culture, Sports, Science and Technology",Tatsuo Kawabata,Q1131518,2009-09-16,2010-09-17,male,1945-01-24,,Tatsuo Kawabata cropped 1 Tatsuo Kawabata and David Warren 20120606.jpg,Tatsuo Kawabata
Japan,"Minister of Education, Culture, Sports, Science and Technology",Yoshiaki Takaki,Q472792,2010-09-17,2011-09-02,male,1945-12-22,,Yoshiaki Takaki.jpg,Yoshiaki Takaki
Japan,"Minister of Education, Culture, Sports, Science and Technology",Masaharu Nakagawa,Q1906668,2011-09-02,2012-01-13,male,1950-06-10,,Nakagawa 210.jpg,Masaharu Nakagawa (House of Representatives)
Japan,"Minister of Education, Culture, Sports, Science and Technology",Hirofumi Hirano,Q1155448,2012-01-13,2012-10-01,male,1949-03-19,,Hirofumi Hirano Monbudaijin.jpg,Hirofumi Hirano
Japan,"Minister of Education, Culture, Sports, Science and Technology",Makiko Tanaka,Q465217,2012-10-01,2012-12-26,female,1944-01-14,,Makiko Tanaka in Hawaii cropped.jpg,Makiko Tanaka
Japan,"Minister of Education, Culture, Sports, Science and Technology",Hakubun Shimomura,Q1655220,2012-12-26,2015-10-07,male,1954-05-23,,Hirofumi Shimomura cropped 2 Hirofumi Shimomura and Ernest Moniz 20131031.jpg,Hakubun Shimomura
Japan,"Minister of Education, Culture, Sports, Science and Technology",Hiroshi Hase,Q3136350,2015-10-07,2016-08-03,male,1961-05-05,,Hase271007.jpg,Hiroshi Hase
Japan,"Minister of Education, Culture, Sports, Science and Technology",Hirokazu Matsuno,Q5770251,2016-08-03,2017-08-03,male,1962-09-13,,20211110matsuno hirokazu.jpg,Hirokazu Matsuno
Japan,"Minister of Education, Culture, Sports, Science and Technology",Yoshimasa Hayashi,Q1141271,2017-08-03,2018-10-02,male,1961-01-19,,Yoshimasa Hayashi 20211110.jpg,Yoshimasa Hayashi
Japan,"Minister of Education, Culture, Sports, Science and Technology",Masahiko Shibayama,Q6782350,2018-10-02,2019-09-11,male,1965-12-05,,Masahiko Shibayama (cropped).jpg,Masahiko Shibayama
Japan,"Minister of Education, Culture, Sports, Science and Technology",Koichi Hagiuda,Q6426211,2019-09-11,2021-10-04,male,1963-08-31,,Koichi Hagiuda 20211004.jpg,Kōichi Hagiuda
Japan,"Minister of Education, Culture, Sports, Science and Technology",Shinsuke Suematsu,Q7497773,2021-10-04,,male,1955-12-17,,Shinsuke Suematsu 20211004.jpg,Shinsuke Suematsu
Japan,Minister of the Environment,Yoriko Kawaguchi,Q444899,2001-01-06,2002-02-08,female,1941-01-20,,Yoriko Kawaguchi cropped.jpg,Yoriko Kawaguchi
Japan,Minister of the Environment,Hiroshi Ōki,Q6140479,2002-02-08,2002-09-30,male,1927-06-30,2015-11-13,Hiroshi Ōki.jpg,
Japan,Minister of the Environment,Shun'ichi Suzuki,Q3482658,2002-09-30,2003-09-22,male,1953-04-13,,Shunichi Suzuki 20211004.jpg,Shun'ichi Suzuki (politician)
Japan,Minister of the Environment,Yuriko Koike,Q261703,2003-09-22,2006-09-26,female,1952-07-15,,平成29年5月11日東京都知事との面会1 (cropped).jpg,Yuriko Koike
Japan,Minister of the Environment,Masatoshi Wakabayashi,Q260536,2006-09-26,2007-08-27,male,1934-07-04,,Masatoshi Wakabayashi 200708.jpg,Masatoshi Wakabayashi
Japan,Minister of the Environment,Ichirō Kamoshita,Q730991,2007-08-27,2008-08-02,male,1949-01-16,,Ichiro Kamoshita 200210.jpg,Ichirō Kamoshita
Japan,Minister of the Environment,Tetsuo Saito,Q926287,2008-08-02,2009-09-16,male,1952-02-05,,Tetsuo Saitō.jpg,Tetsuo Saito
Japan,Minister of the Environment,Sakihito Ozawa,Q978256,2009-09-16,2010-09-21,male,1954-05-31,,Sakihito Ozawa cropped 1 Members of the Global Legislators Organization for a Balanced Environment Edward Davey and Tim Hitchens 20130530.jpg,Sakihito Ozawa
Japan,Minister of the Environment,Ryu Matsumoto,Q1518904,2010-09-21,2011-09-02,male,1951-05-17,2018-07-21,Ryū Matsumoto.jpg,Ryu Matsumoto
Japan,Minister of the Environment,Satsuki Eda,Q212305,2011-06-27,2011-09-02,male,1941-05-22,2021-07-28,Satsuki Eda cropped.jpg,Satsuki Eda
Japan,Minister of the Environment,Goshi Hosono,Q1135729,2011-09-02,2012-12-26,male,1971-08-21,,Goshi Hosono Minshu IMG 5474 20130707.JPG,Goshi Hosono
Japan,Minister of the Environment,Nobuteru Ishihara,Q992930,2012-09-26,2014-09-03,male,1957-04-19,,Ishihara Nobuteru - Wakaba Station - 20100703.JPG,Nobuteru Ishihara
Japan,Minister of the Environment,Yoshio Mochizuki,Q8056243,2014-09-03,2015-10-07,male,1947-05-02,2019-12-19,Yoshio Mochizuki.jpg,Yoshio Mochizuki
Japan,Minister of the Environment,Tamayo Marukawa,Q7680979,2015-10-07,2016-08-03,female,1971-01-19,,Tamayo Murakawa 20210218.jpg,Tamayo Marukawa
Japan,Minister of the Environment,Koichi Yamamoto,Q6426244,2016-08-03,2017-08-03,male,1947-09-04,,Kōichi Yamamoto.jpg,Koichi Yamamoto
Japan,Minister of the Environment,Masaharu Nakagawa,Q474554,2017-08-03,2018-10-02,male,1947-02-22,,Nakagawa masaharu.jpg,Masaharu Nakagawa (House of Councillors)
Japan,Minister of the Environment,Yoshiaki Harada,Q8055970,2018-10-02,2019,male,1944-10-01,,Yoshiaki Harada 2019.jpg,Yoshiaki Harada
Japan,Minister of the Environment,Shinjirō Koizumi,Q661410,2019-09-11,2021-10-04,male,1981-04-14,,Shinjirō Koizumi in 2020(Suga Cabinet).jpg,Shinjirō Koizumi
Japan,Minister of the Environment,Tsuyoshi Yamaguchi,Q704345,2021-10-04,,male,1954-10-03,,Tsuyoshi Yamaguchi cropped.jpg,Tsuyoshi Yamaguchi (politician)
Japan,Minister of Finance,Kiichi Miyazawa,Q315565,2001-01-06,2001-04-26,male,1919-10-08,2007-06-28,Kiichi Miyazawa cropped 1 Kiichi Miyazawa 19911105.jpg,Kiichi Miyazawa
Japan,Minister of Finance,Masajuro Shiokawa,Q1133913,2001-04-26,2003-09-22,male,1921-10-13,2015-09-19,Masajuro Shiokawa cropped 2 Finance Ministers of G7 20030412.jpg,Masajuro Shiokawa
Japan,Minister of Finance,Sadakazu Tanigaki,Q463331,2003-09-22,2006-09-26,male,1945-03-07,,Tanigaki Sadakazu.jpg,Sadakazu Tanigaki
Japan,Minister of Finance,Koji Omi,Q1132669,2006-09-26,2007-08-27,male,1932-12-14,2022-04-14,Koji Omi.jpg,Kōji Omi
Japan,Minister of Finance,Fukushiro Nukaga,Q1207174,2007-08-27,2008-08-02,male,1944-01-11,,Nukaga Fukushiro 1-2.jpg,Fukushiro Nukaga
Japan,Minister of Finance,Bunmei Ibuki,Q729599,2008-08-02,2008-09-24,male,1938-01-09,,사본 -8632564647 fb1ba67294 o.jpg,Bunmei Ibuki
Japan,Minister of Finance,Shōichi Nakagawa,Q440571,2008-09-24,2009-02-17,male,1953-07-19,2009-10-04,Shoichi Nakagawa 1998.jpg,Shōichi Nakagawa
Japan,Minister of Finance,Kaoru Yosano,Q1156675,2009-02-17,2009-09-16,male,1938-08-22,2017-05-23,Kaoru Yosano cropped 1 Timothy Geithner and Kaoru Yosano 20090424.jpg,Kaoru Yosano
Japan,Minister of Finance,Hirohisa Fujii,Q290890,2009-09-16,2010-01-07,male,1932-06-24,,Hisahiro Fujii cropped 1 G7 Finance Ministers and Central Bank Governors meeting 20091003.jpg,Hirohisa Fujii
Japan,Minister of Finance,Naoto Kan,Q47846,2010-01-06,2010-06-08,male,1946-10-10,,Kan Naoto.jpg,Naoto Kan
Japan,Minister of Finance,Jun Azumi,Q212400,2011-09-02,2012-10-01,male,1962-01-17,,Minister Azumi.jpg,Jun Azumi
Japan,Minister of Finance,Koriki Jojima,Q552388,2012-10-01,2012-12-26,male,1947-01-01,,Koriki Jojima.jpg,Koriki Jojima
Japan,Minister of Finance,Tarō Asō,Q132596,2012-12-26,2021-10-04,male,1940-09-20,,Taro Aso cropped.jpg,Tarō Asō
Japan,Minister of Finance,Shun'ichi Suzuki,Q3482658,2021-10-04,,male,1953-04-13,,Shunichi Suzuki 20211004.jpg,Shun'ichi Suzuki (politician)
Japan,Minister for Foreign Affairs,Yōhei Kōno,Q186146,1999-10-05,2001-04-26,male,1937-01-15,,Yōhei Kōno.jpg,Yōhei Kōno
Japan,Minister for Foreign Affairs,Makiko Tanaka,Q465217,2001,2002,female,1944-01-14,,Makiko Tanaka in Hawaii cropped.jpg,Makiko Tanaka
Japan,Minister for Foreign Affairs,Makiko Tanaka,Q465217,2001-04-26,2002-01-30,female,1944-01-14,,Makiko Tanaka in Hawaii cropped.jpg,Makiko Tanaka
Japan,Minister for Foreign Affairs,Yoriko Kawaguchi,Q444899,2002,2004,female,1941-01-20,,Yoriko Kawaguchi cropped.jpg,Yoriko Kawaguchi
Japan,Minister for Foreign Affairs,Jun'ichirō Koizumi,Q130852,2002-01-30,2002-02-01,male,1942-01-08,,Junichiro Koizumi 20010426.jpg,Junichiro Koizumi
Japan,Minister for Foreign Affairs,Nobutaka Machimura,Q697258,2004-09-27,2005-10-31,male,1944-10-17,2015-06-01,Machimura Nobutaka 2015.jpg,Nobutaka Machimura
Japan,Minister for Foreign Affairs,Nobutaka Machimura,Q697258,2007-08-27,2007-09-26,male,1944-10-17,2015-06-01,Machimura Nobutaka 2015.jpg,Nobutaka Machimura
Japan,Minister for Foreign Affairs,Hirofumi Nakasone,Q937682,2008-09-24,2009-09-16,male,1945-11-28,,,Hirofumi Nakasone
Japan,Minister for Foreign Affairs,Seiji Maehara,Q132280,2010-09-17,2011-03-07,male,1962-04-30,,Maehara Crop.jpg,Seiji Maehara
Japan,Minister for Foreign Affairs,Yukio Edano,Q732087,2011-03-07,2011-03-09,male,1964-05-31,,Yukio Edano In front of Tenjin Twin Building (2020.10.18).jpg,Yukio Edano
Japan,Minister for Foreign Affairs,Takeaki Matsumoto,Q1315762,2011-03-09,2011-09-02,male,1959-04-25,,,Takeaki Matsumoto
Japan,Minister for Foreign Affairs,Kōichirō Genba,Q58213,2011-09-02,2012-12-26,male,1964-05-20,,Minister Gemba.jpg,Kōichirō Genba
Japan,Minister for Foreign Affairs,Fumio Kishida,Q359480,2012-12-26,2017-08-03,male,1957-07-29,,Fumio Kishida 20211004.jpg,Fumio Kishida
Japan,Minister for Foreign Affairs,Taro Kono,Q1161024,2017-08-03,2019-09-11,male,1963-01-10,,Taro Kono 20200916.jpg,Taro Kono
Japan,Minister for Foreign Affairs,Toshimitsu Motegi,Q1655453,2019-09-11,2021-11-04,male,1955-10-07,,Toshimitsu Motegi 20200916.jpg,Toshimitsu Motegi
Japan,Minister for Foreign Affairs,Yoshimasa Hayashi,Q1141271,2021-11-10,,male,1961-01-19,,Yoshimasa Hayashi 20211110.jpg,Yoshimasa Hayashi
Japan,"Minister of Health, Labour and Welfare",Chikara Sakaguchi,Q5097389,2001-01-06,2004-09-27,male,1934-04-01,,Chikara Sakaguchi 200012.jpg,Chikara Sakaguchi
Japan,"Minister of Health, Labour and Welfare",Hidehisa Otsuji,Q5752333,2004-09-27,2005-10-31,male,1940-10-02,,Hidehisa Otsuji cropped 2 Hidehisa Otsuji 200409.jpg,Hidehisa Otsuji
