catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Sri Lanka,Member of the Parliament of Sri Lanka,D. M. Jayaratne,Q559898,1989-02-15,2019-11-19,male,1931-06-07,2019-11-19,Nimal Korale PM- cropped.jpg,D. M. Jayaratne
Sri Lanka,Member of the Parliament of Sri Lanka,Mahinda Rajapaksa,Q57338,1989-02-15,2005-11-19,male,1945-11-18,,Mahinda Rajapaksa 1.jpg,Mahinda Rajapaksa
Sri Lanka,Member of the Parliament of Sri Lanka,Maithripala Sirisena,Q6737124,1989-02-15,2015-01-09,male,1951-09-03,,Maithripala Sirisena (cropped).jpg,Maithripala Sirisena
Sri Lanka,Member of the Parliament of Sri Lanka,Ranil Wickremesinghe,Q983402,1994,,male,1949-03-24,,"Prime Minister of the Democratic Socialist Republic of Sri Lanka, Mr. Ranil Wickremesinghe, at Hyderabad House, in New Delhi on November 23, 2017.jpg",Ranil Wickremesinghe
Sri Lanka,Member of the Parliament of Sri Lanka,Dharmalingam Siddarthan,Q16312221,1994-08-16,2000-10-10,male,1948-09-10,,D. Siddarthan.jpg,D. Siddarthan
Sri Lanka,Member of the Parliament of Sri Lanka,Lakshman Kadirgamar,Q206638,1994-08-16,2000-10-10,male,1932-04-12,2005-08-12,"The Minister for Foreign Affairs, Sri Lanka, Mr. Lakshman Kadirgamar meeting with Union Minister of Commerce and Industry, Shri Kamal Nath in New Delhi on December 7, 2004 (cropped).jpg",Lakshman Kadirgamar
Sri Lanka,Member of the Parliament of Sri Lanka,Mangala Samaraweera,Q3285700,1994-08-16,2000-10-10,male,1956-04-21,2021-08-24,Mangala Samaraweera.jpg,Mangala Samaraweera
Sri Lanka,Member of the Parliament of Sri Lanka,Gamini Jayawickrama Perera,Q3529157,1994-08-16,2000-10-10,male,1941-01-29,,,Gamini Jayawickrama Perera
Sri Lanka,Member of the Parliament of Sri Lanka,Nimal Siripala de Silva,Q3529279,1994-08-16,2000-10-10,male,1944-09-06,,Nimal Siripala de Silva.jpg,Nimal Siripala de Silva
Sri Lanka,Member of the Parliament of Sri Lanka,Douglas Devananda,Q3536605,1994-08-16,2000-10-10,male,1957-11-10,,Douglas Devananda 2014.jpg,Douglas Devananda
Sri Lanka,Member of the Parliament of Sri Lanka,Athauda Seneviratne,Q4813287,1994-08-16,2000-10-10,male,1931-09-19,,,Athauda Seneviratne
Sri Lanka,Member of the Parliament of Sri Lanka,Jeewan Kumaranatunga,Q6173129,1994-08-16,2000-10-10,male,1958-11-07,,,Jeewan Kumaranatunga
Sri Lanka,Member of the Parliament of Sri Lanka,Joseph Pararajasingham,Q6286065,1994-08-16,2000-10-10,male,1934-11-26,2005-12-25,,Joseph Pararajasingham
Sri Lanka,Member of the Parliament of Sri Lanka,K. N. Choksy,Q6323633,1994-08-16,2000-10-10,male,1933-02-07,2015-02-05,K.N Choksy.JPG,K. N. Choksy
Sri Lanka,Member of the Parliament of Sri Lanka,P. Selvarasa,Q7117534,1994-08-16,2000-10-10,male,1946-07-25,,,P. Selvarasa
Sri Lanka,Member of the Parliament of Sri Lanka,Rauff Hakeem,Q7296130,1994-08-16,2000-10-10,male,1960-04-13,,Rauff Hakeem.jpg,Rauff Hakeem
Sri Lanka,Member of the Parliament of Sri Lanka,Ravi Karunanayake,Q7296640,1994-08-16,2000-10-10,male,1963-02-19,,Ravi Karunanayake.jpg,Ravi Karunanayake
Sri Lanka,Member of the Parliament of Sri Lanka,Vajira Abeywardena,Q7908926,1994-08-16,2000-10-10,male,1960-09-02,,,Vajira Abeywardena
Sri Lanka,Member of the Parliament of Sri Lanka,Vasudeva Nanayakkara,Q7917018,1994-08-16,2000-10-10,male,1939-01-03,,Vasudeva Nanayakkara.jpg,Vasudeva Nanayakkara
Sri Lanka,Member of the Parliament of Sri Lanka,Periyasamy Chandrasekaran,Q983737,1994-08-16,2000-10-10,male,1957-04-16,2010-01-01,Periyasamy Chandrasekaran.jpg,P. Chandrasekaran
Sri Lanka,Member of the Parliament of Sri Lanka,Sirimavo Bandaranaike,Q194291,1994-08-19,2000-08-10,female,1916-04-17,2000-10-10,Sirimavo Ratwatte Dias Bandaranayaka (1916-2000) (Hon.Sirimavo Bandaranaike with Hon.Lalith Athulathmudali Crop).jpg,Sirimavo Bandaranaike
Sri Lanka,Member of the Parliament of Sri Lanka,Mavai Senathirajah,Q1425123,1999,2000-10-10,male,1942-10-27,,Mavai Senathirajah.jpg,Mavai Senathirajah
Sri Lanka,Member of the Parliament of Sri Lanka,Sajith Premadasa,Q7402667,2000,,male,1967-01-12,,Sajith Premadasa.jpg,Sajith Premadasa
Sri Lanka,Member of the Parliament of Sri Lanka,Mavai Senathirajah,Q1425123,2000-10-10,2001-12-05,male,1942-10-27,,Mavai Senathirajah.jpg,Mavai Senathirajah
