catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
South Korea,President,Kim Dae-jung,Q45785,1998-02-25,2003-02-24,male,1924-01-06,2009-08-18,Kim Dae-jung presidential portrait.jpg,Kim Dae-jung
South Korea,President,Roh Moo-hyun,Q14345,2003-02-25,2008-02-24,male,1946-08-06,2009-05-23,Roh Moo-hyun presidential portrait.jpg,Roh Moo-hyun
South Korea,President,Lee Myung-bak,Q14342,2008-02-25,2013-02-24,male,1941-12-19,,Lee Myung-bak presidential portrait.jpg,Lee Myung-bak
South Korea,President,Park Geun-hye,Q138048,2013-02-25,2017-03-10,female,1952-02-02,,Park Geun-hye presidential portrait.png,Park Geun-hye
South Korea,President,Moon Jae-in,Q21001,2017-05-10,,male,1953-01-24,,Moon Jae-in (2017-10-01) cropped.jpg,Moon Jae-in
South Korea,Prime Minister,Lee Hae Chan,Q319920,2004-07-30,2006-03-15,male,1952-07-10,,Lee Hae-chan prime ministerial portriat (cropped).jpg,Lee Hae-chan
South Korea,Prime Minister,Chung Un-chan,Q336417,2009-09-29,2010-08-11,male,1946-02-29,,ChungUnChan(060515)Cropped.jpg,Chung Un-chan
South Korea,Prime Minister,Yoon Jeung-hyun,Q498266,2010-08-11,2010-10-01,male,1946-09-19,,Yoon Jeung-Hyun.jpg,Yoon Jeung-hyun
South Korea,Prime Minister,Jung Hong-won,Q4352214,2013-02-26,2015-02-16,male,1944-10-09,,Chung Hong won.jpg,Chung Hong-won
South Korea,Prime Minister,Lee Wan-koo,Q12612132,2015-02-17,2015-04-27,male,1950-06-02,2021-10-14,이완구 전 총리.png,Lee Wan-koo
South Korea,Prime Minister,Hwang Kyo-ahn,Q12625765,2015-06-18,2017-05-11,male,1957-04-15,,Hwang Kyo-ahn.PNG,Hwang Kyo-ahn
South Korea,Prime Minister,Lee Nak-yon,Q12611134,2017-05-31,2020-01-14,male,1952-12-20,,South Korean Prime Minister Lee - 2017 (36235112603) (cropped).jpg,Lee Nak-yon
South Korea,Prime Minister,Chung Sye-kyun,Q11270093,2020-01-14,2021-04-17,male,1950-11-05,,Chung Sye-kyun.jpg,Chung Sye-kyun
South Korea,Prime Minister,Hong Nam-ki,Q31180640,2021-04-17,2021-05-14,male,1960-07-29,,"Hong Nam-ki, Deputy Prime Minister and Minister of Economy and Finance.jpg",Hong Nam-ki
South Korea,Prime Minister,Kim Boo-kyum,Q12587534,2021-05-14,,male,1956-12-01,,Kim Boo-kyum - 20170119 k (cropped).jpg,Kim Boo-kyum
South Korea,Deputy Prime Minister,Kim Sang-gon,Q16080247,2017-07-05,2018-10-02,male,1949-12-05,,Kim Sang gon.jpg,Kim Sang-gon
South Korea,Deputy Prime Minister,Yoo Eun-hae,Q16079929,2018-10-02,,female,1962-10-02,,"Yoo Eun-hae, Deputy Prime MInister and MInister of Education.jpg",Yoo Eun-hae
South Korea,Deputy Prime Minister,Hong Nam-ki,Q31180640,2018-12-11,,male,1960-07-29,,"Hong Nam-ki, Deputy Prime Minister and Minister of Economy and Finance.jpg",Hong Nam-ki
South Korea,"Minister of Agriculture, Food and Rural Affairs",Kim Yung-rok,Q16176504,2017-07-03,2018-03-15,male,1955-02-17,,,Kim Yung-rok
South Korea,"Minister of Agriculture, Food and Rural Affairs",Lee Kai-ho,Q17401410,2018-08-09,2019-08-30,male,1959-06-23,,,Lee Gae-ho
South Korea,"Minister of Agriculture, Food and Rural Affairs",Kim Hyeon-soo,Q69696972,2019-08-31,,male,1961,,,Kim Hyeon-soo
South Korea,"Minister of Culture, Sports and Tourism",Lee Chang-dong,Q239656,2003-02-27,2004-06-30,male,1954-04-01,,Lee Chang-dong 2010.jpg,Lee Chang-dong
South Korea,"Minister of Culture, Sports and Tourism",Do Jong-hwan,Q12593087,2017-06-16,2019-04-03,male,1955-09-27,,도종환 국회 교육문화체육관광위원회 간사.jpg,Do Jong-hwan
South Korea,"Minister of Culture, Sports and Tourism",Park Yang-woo,Q16081865,2019-04-03,2021-02-10,male,1958-11-20,,,Park Yang-woo
South Korea,"Minister of Culture, Sports and Tourism",Hwang Hee,Q24856300,2021-02-11,,male,1967-07-28,,"Minister of Culture, Sports and Tourism Hwang Hee taking a commemorative photo with the Speaker of the National Assembly.jpg",Hwang Hee (politician)
South Korea,Minister of Defence,Han Min-goo,Q5646647,2014-06-30,2017-07-13,male,1951-08-30,,Han Min-koo.jpg,Han Min-goo
South Korea,Minister of Defence,Song Young-moo,Q31179461,2017-07-13,2018-09-21,male,1949-02-24,,170919-A-ZZ999-001 MINDEF Song 국방장관 송영무.jpg,Song Young-moo
South Korea,Minister of Defence,Jeong Kyeong-doo,Q22974878,2018-09-21,2020-09-18,male,1960,,Air Force (ROKAF) General Jeong Kyeong-doo 공군대장 정경두 (UNC-CFC-USFK photo 170625-A-HU462-383).jpg,Jeong Kyeong-doo
South Korea,Minister of Defence,Suh Wook,Q61117556,2020-09,,male,1962,,Suh Wook in 2020.jpg,Suh Wook
South Korea,Minister of Education,Kim Sang-gon,Q16080247,2017-07-04,2018-10-02,male,1949-12-05,,Kim Sang gon.jpg,Kim Sang-gon
South Korea,Minister of Education,Yoo Eun-hae,Q16079929,2018-10-02,,female,1962-10-02,,"Yoo Eun-hae, Deputy Prime MInister and MInister of Education.jpg",Yoo Eun-hae
South Korea,Minister of Employment and Labour,Kim Young-joo,Q16080318,2017-08-14,2018-09-21,female,1955-07-27,,,Kim Young-joo (politician)
South Korea,Minister of Employment and Labour,Lee Jae-gap,Q56824997,2018-09-21,2021-05-06,male,1958,,,Lee Jae-gap
South Korea,Minister of Employment and Labour,An Kyung-duk,Q106514351,2021-05-07,,male,1963,,Minister of Employment and Labour An Kyung-duk taking a commemorative photo with the Speaker of the National Assembly.jpg,An Kyung-duk
South Korea,Minister of the Environment,윤성규,Q12610308,2013-03-11,2016-09-04,male,1956-05-08,,Yoon Sung-Kyu from acrofan.jpg,
South Korea,Minister of the Environment,조경규,Q48421040,2016-09-05,2017-07-03,male,,,,
South Korea,Minister of the Environment,Kim Eunkyung,Q31178699,2017-07-04,2018-11-09,female,1956-06-09,,,Kim Eun-kyung (politician)
South Korea,Minister of the Environment,Han Jeoung-ae,Q12624300,2021-01-22,,female,1965-01-08,,Han Jeoung-ae 2021.jpg,Han Jeoung-ae
South Korea,Minister of Finance,Yoon Jeung-hyun,Q498266,2009-02-10,2011-06-01,male,1946-09-19,,Yoon Jeung-Hyun.jpg,Yoon Jeung-hyun
South Korea,Minister of Finance,Kim Dong-yeon,Q16080198,2017-06-09,2018-12-10,male,1957-01-28,,,Kim Dong-yeon
South Korea,Minister of Finance,Hong Nam-ki,Q31180640,2018-11,,male,1960-07-29,,"Hong Nam-ki, Deputy Prime Minister and Minister of Economy and Finance.jpg",Hong Nam-ki
South Korea,Minister of Food and Drink Safety,Kim Ganglip,Q105076339,2020-11-02,,male,1965-11-09,,,Kim Ganglip
South Korea,Minister of Foreign Affairs,Hong Soon-young,Q5895672,1998-08-04,2000-01-14,male,1937-01-30,2014-04-30,,Hong Soon-young
South Korea,Minister of Foreign Affairs,Lee Joung-binn,Q12612564,2000-01-14,2001-03-26,male,1937-12-16,,Lee Jung-Bin.jpg,
South Korea,Minister of Foreign Affairs,Han Seung-soo,Q356675,2001-03-26,2002-02-04,male,1936-12-28,,Han Seung-soo.jpg,Han Seung-soo
South Korea,Minister of Foreign Affairs,Choi Sung-hong,Q12619619,2002-02-04,2003-02-27,male,1938,2020-09-17,,
South Korea,Minister of Foreign Affairs,Yoon Young-kwan,Q8055228,2003-02-27,2004-01-17,male,1951-01-12,,Yoon Young Kwan.jpg,Yoon Young-kwan
South Korea,Minister of Foreign Affairs,Ban Ki-moon,Q1253,2004-01-17,2006-11-10,male,1944-06-13,,Ban Ki-moon 1-2.jpg,Ban Ki-moon
South Korea,Minister of Foreign Affairs,Song Minsoon,Q490657,2006-11-10,2008-02-29,male,1948-07-28,,송민순편집.JPG,Song Min-soon
South Korea,Minister of Foreign Affairs,Yu Myung-hwan,Q487250,2008-02-29,2010-09-04,male,1946-04-08,,Yu Myung-hwan 080327-D-9880W-016 0ZFII.jpg,Yu Myung-hwan
South Korea,Minister of Foreign Affairs,Kim Sung-hwan,Q492723,2010-10-08,2013-03-11,male,1953-04-13,,Kim Sung Hwan-1.jpg,Kim Sung-hwan (diplomat)
South Korea,Minister of Foreign Affairs,Yun Byung-se,Q8325594,2013-03-11,2017-06-18,male,1953-08-03,,Yun Byung-se.jpg,Yun Byung-se
South Korea,Minister of Foreign Affairs,Kang Kyung-hwa,Q6362240,2017-06-18,2021-02-08,female,1955-04-07,,Kang Kyung-wha - 2019 (48499197706) (cropped).jpg,Kang Kyung-wha
South Korea,Minister of Foreign Affairs,Chung Eui-yong,Q19941071,2021-02-09,,male,1946-04-14,,Chung Eui-yong (cropped).jpg,Chung Eui-yong
South Korea,Minister of Gender Equality and Family,Baek Hee-young,Q50125247,2010-03-19,2011-09-15,female,1950,,2019May22 GISTeR.jpg,
South Korea,Minister of Gender Equality and Family,Chung Hyun-back,Q50125291,2017-07-07,2018-09-21,female,1953-04-09,,,Chung Hyun-back
South Korea,Minister of Gender Equality and Family,Chung Young-ai,Q104525309,2020-12-29,,female,1955,,Minister of Gender Equality and Family Chung Young-ai taking a commemorative photo with the Speaker of the National Assembly.jpg,Chung Young-ai
South Korea,Minister for Government Legislation,Lee Kang-seop,Q105706103,2020-08,,male,1964,,,
South Korea,Minister for Government Policy Coordination,Kim Dong-yeon,Q16080198,2013-03-25,2014-07-22,male,1957-01-28,,,Kim Dong-yeon
South Korea,Minister for Government Policy Coordination,Hong Nam-ki,Q31180640,2017-05-11,2018-11-09,male,1960-07-29,,"Hong Nam-ki, Deputy Prime Minister and Minister of Economy and Finance.jpg",Hong Nam-ki
South Korea,Minister for Government Policy Coordination,Koo Yun-cheol,Q106301454,2020-05-09,,male,1965,,,Koo Yun-cheol
South Korea,Minister of Health and Welfare,Rhyu Si-min,Q488339,2006-02-10,2007-05-22,male,1959-07-28,,160824 Rhyu Si-min.png,Rhyu Si-min
South Korea,Minister of Health and Welfare,Chung Chin-youb,Q21710487,2015-08-27,2017-07-21,male,1955-03-10,,,
South Korea,Minister of Health and Welfare,Park Neung-hoo,Q48315800,2017-07-22,2020-12-24,male,1956-06-24,,,Park Neung-hoo
South Korea,Minister of Health and Welfare,Kwon Deok-chul,Q104450768,2020-12-24,,male,1961-03-22,,Minister of Health and Welfare Kwon Deok-chul taking a commemorative photo with the Speaker of the National Assembly.jpg,Kwon Deok-chul
South Korea,Minister of the Interior and Safety,Kim Boo-kyum,Q12587534,2017-06-16,2019-04-06,male,1956-12-01,,Kim Boo-kyum - 20170119 k (cropped).jpg,Kim Boo-kyum
South Korea,Minister of the Interior and Safety,Jeon Hae-cheol,Q16091570,2020-12-24,,male,1962-05-18,,Minister of the Interior and Safety Jeon Hae-cheol taking a commemorative photo with the Speaker of the National Assembly.jpg,Jeon Hae-cheol
South Korea,Minister of Justice,Hwang Kyo-ahn,Q12625765,2013-03-11,2015-06-18,male,1957-04-15,,Hwang Kyo-ahn.PNG,Hwang Kyo-ahn
South Korea,Minister of Justice,Park Sang-ki,Q42836875,2017-07-19,2019-09-08,male,1952,,,Park Sang-ki
South Korea,Minister of Justice,Cho Kuk,Q12616590,2019-09-09,2019-10-14,male,1965-04-06,,Cho Kuk ministerial portrait.jpg,Cho Kuk
South Korea,Minister of Justice,Kim Oh-soo,Q60467132,2019-10-14,2020-01-01,male,1963,,,Kim Oh-soo
South Korea,Minister of Justice,Choo Mi-ae,Q11274387,2020-01-02,2021-01-27,female,1958-10-23,,Choo Mi-ae ministerial portrait.png,Choo Mi-ae
South Korea,Minister of Justice,Park Beom-kye,Q12596659,2021-01-28,,male,1963-04-27,,Park Beom-gye ministerial portrait.png,Park Beom-kye
South Korea,"Minister of Land, Infrastructure and Transport",Seo Sunghwan,Q11444444,2013-03-13,2015-03-13,male,1956-06-28,,,
South Korea,"Minister of Land, Infrastructure and Transport",Yoo Il-ho,Q16090573,2015-03-16,2015-11-10,male,1955-03-30,,Deputy PM Yoo Ilho Press Conference 04.jpg,Yoo Il-ho
South Korea,"Minister of Land, Infrastructure and Transport",Kang Hoin,Q16080050,2015-11-11,2017-06-21,male,1956-12-03,,,
South Korea,"Minister of Land, Infrastructure and Transport",Kim Hyun-mee,Q16080678,2017-06-21,2020-12-28,female,1962-11-29,,Minister Kim Hyun-mee.jpg,Kim Hyun-mee (politician)
South Korea,"Minister of Land, Infrastructure and Transport",Noh Hyeong-ouk,Q31178685,2021-05-14,,male,1962,,"Minister of Land, Infrastructure and Transport Noh Hyeong-ouk taking a commemorative photo with the Speaker of the National Assembly.jpg",Noh Hyeong-ouk
South Korea,Minister of Oceans and Fisheries,Roh Moo-hyun,Q14345,2000-08-07,2001-03-25,male,1946-08-06,2009-05-23,Roh Moo-hyun presidential portrait.jpg,Roh Moo-hyun
South Korea,Minister of Oceans and Fisheries,Chung Woo-taik,Q12615868,2001-03-26,2001-09-06,male,1953-02-18,,,Chung Woo-taik
South Korea,Minister of Oceans and Fisheries,Yoon Jin-sook,Q16090673,2013-04-17,2014-02-12,female,1955-05-27,,Yoon Jin-sook.jpg,
South Korea,Minister of Oceans and Fisheries,Lee Ju-young,Q12612708,2014-03-05,2014-12-24,male,1951-09-30,,,
South Korea,Minister of Oceans and Fisheries,Yoo Ki-june,Q12609690,2015-03-16,2015-11-10,male,1959-08-10,,,
South Korea,Minister of Oceans and Fisheries,Kim Young-suk,Q19939516,2015-11-11,2017-06-15,male,1959-02-25,,,
South Korea,Minister of Oceans and Fisheries,Kim Young-choon,Q12588095,2017-06-16,2019-04-02,male,1962-02-05,,Kim young-chun 2020.png,Kim Young-choon
South Korea,Minister of Oceans and Fisheries,Moon Seong-hyeok,Q63378324,2019-04-03,,male,1958,,Seong-Hyeok Moon - 2019 (cropped).jpg,Moon Seong-hyeok
South Korea,Minister of Patriots and Veterans Affairs,안주섭,Q16084791,2003-03-03,2004-09-23,male,1947,,,
South Korea,Minister of Patriots and Veterans Affairs,Park Yoo-cheol,Q16094929,2004-09-24,2007-04-19,male,1938-01-15,,,
South Korea,Minister of Patriots and Veterans Affairs,김정복,Q16080386,2007-04-20,2008-02-28,male,1946-02-16,,,
South Korea,Minister of Patriots and Veterans Affairs,Kim Yang,Q16080301,2008-02-29,2011-02-23,,1953-02-24,,,
South Korea,Minister of Patriots and Veterans Affairs,Park Sung-choon,Q16081832,2011-02-24,2017-05-11,male,1947-12-25,,UNC-CFC-USFK photo 171207-A-CA172-201 (Flickr id 24108479077).jpg,
South Korea,Minister of Patriots and Veterans Affairs,Pi Woo-jin,Q18444725,2017-05-17,2019-08-14,female,1956-08-20,,Minister Pi Woo-jin.jpg,Pi Woo-jin
South Korea,Minister of Patriots and Veterans Affairs,박삼득,Q81226575,2019-08-16,2020-12-30,,1956,,,
South Korea,Minister of Patriots and Veterans Affairs,Hwang Ki-chul,Q16092691,2020-12-31,,male,1956-07-28,,Vice Adm. Hwang Ki-Chul 100724.jpg,Hwang Ki-chul
South Korea,Minister of Personnel Management,Hwang Seo-chong,Q61098900,2018-12-14,2021-03-26,,1961,,,
South Korea,Minister of Reunification,Cho Myoung-gyon,Q31180634,2017-07-03,2019-04-08,male,1957-11-17,,Republic of Korea Minister of Unification Cho Myoung-gyon Signs Secretary Pompeo's Guestbook (30969798637).jpg,Cho Myoung-gyon
South Korea,Minister of Reunification,Kim Yeon-chul,Q65238771,2019-04-08,2020-06-19,male,1964-03-26,,,Kim Yeon-chul
South Korea,Minister of Reunification,Lee In-young,Q16091058,2020-07-27,,male,1964-06-28,,Lee In-young in 2020.jpg,Lee In-young
South Korea,Minister of Science and ICT,You Young-min,Q24856203,2017-07-11,2019-09-08,male,1951-08-27,,유영민20160401.225px.jpg,You Young-min
South Korea,Minister of Science and ICT,Choi Ki-young,Q81226776,2019-09-09,2021-05-13,male,1955,,,Choi Ki-young
South Korea,Minister of Science and ICT,Lim Hyesook,Q97198407,2021-05-14,,female,1963,,Lim Hyesook Minister of Science and ICT in June 2021.jpg,Lim Hyesook
South Korea,Minister of SMEs and Startups,Hong Jonghak,Q16180333,2017-11-21,2019-04-08,male,1959-05-12,,,Hong Jong-hak
South Korea,Minister of SMEs and Startups,Park Young-sun,Q11521597,2019-04-08,2021-01-20,female,1960-01-22,,20211118 - 박영선.jpg,Park Young-sun
