catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Guyana,President,Bharrat Jagdeo,Q212760,1999-08-11,2011-12-03,male,1964-01-23,,Jabdeo 2022 (cropped).jpg,Bharrat Jagdeo
Guyana,President,Donald Ramotar,Q57422,2011-12-03,2015-05-16,male,1950-10-22,,Donald Ramotar.png,Donald Ramotar
Guyana,President,David A. Granger,Q5230470,2015-05-16,2020-08-02,male,1945-07-15,,David Granger at 48th Mercosur Summit (cropped).jpg,David A. Granger
Guyana,President,Irfaan Ali,Q64840184,2020-08-02,,male,1980-04-25,,Irfaan Ali in 2020.jpg,Irfaan Ali
Guyana,Vice President,Sam Hinds,Q57697,1997-12,2015-05,male,1943-12-27,,Sam Hinds 2006.jpg,Sam Hinds
Guyana,Vice President,Reepu Daman Persaud,Q7306955,1999-08,2011-12,male,1936,2013,,Reepu Daman Persaud
Guyana,Vice President,Carl Barrington Greenidge,Q53848199,2015-05,2019-04-25,male,1949-03-03,,Carl Barrington Greenidge (cropped).jpg,Carl Barrington Greenidge
Guyana,Vice President,Khemraj Ramjattan,Q62733422,2015-05,2020-08-02,male,1960-10-12,,Khemraj Ramjattan.png,Khemraj Ramjattan
Guyana,Vice President,Sydney C. Allicock,Q62733439,2015-05,2020-08-02,male,,,Allicock 2 (cropped).jpg,Sydney Allicock
Guyana,Vice President,Moses Nagamootoo,Q6915896,2015-05,2020-08-02,male,1947-11-30,,Fotografía Oficial Cumbre de Jefas y Jefes de Estados Partes del MERCOSUR y Estados Asociados (23265837203) cropped.jpg,Moses Nagamootoo
Guyana,Vice President,Bharrat Jagdeo,Q212760,2020-08-02,,male,1964-01-23,,Jabdeo 2022 (cropped).jpg,Bharrat Jagdeo
Guyana,Vice President,Mark Phillips,Q98053664,2020-08-02,,male,1961-10-05,,PM Mark Phillips (cropped).jpg,Mark Phillips (Guyanese politician)
Guyana,Prime Minister,Sam Hinds,Q57697,1999-08-11,2015-05-20,male,1943-12-27,,Sam Hinds 2006.jpg,Sam Hinds
