catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Kenya,President,Daniel arap Moi,Q193492,1978-08-22,2002-12-30,male,1924-09-02,2020-02-04,Daniel arap Moi 1979b.jpg,Daniel arap Moi
Kenya,President,Mwai Kibaki,Q57291,2002-12-30,2013-04-09,male,1931-11-15,2022-04-21,Mwai Kibaki (cropped).jpg,Mwai Kibaki
Kenya,President,Uhuru Kenyatta,Q196070,2013-04-09,2022-09-13,male,1961-10-26,,Uhuru Kenyatta.jpg,Uhuru Kenyatta
Kenya,President,William Ruto,Q195725,2022-09-13,,male,1966-12-21,,William Ruto at WTO Public Forum 2014.jpg,William Ruto
Kenya,Vice-President,George Saitoti,Q733817,1999-04-03,2002-08-30,male,1945-08-03,2012-06-10,George Saitoti (cropped).jpg,George Saitoti
Kenya,Vice-President,Musalia Mudavadi,Q1954003,2002-11-04,2003-01-03,male,1960-09-21,,Musalia Mudavadi.JPG,Musalia Mudavadi
Kenya,Vice-President,Michael Kijana Wamalwa,Q593552,2003-01-03,2003-08-23,male,1944-11-25,2003-08-23,Wamalwapotr.jpg,Michael Kijana Wamalwa
Kenya,Vice-President,Moody Awori,Q4358037,2003-09-25,2008-01-09,male,1927-12-05,,,Moody Awori
Kenya,Vice-President,Kalonzo Musyoka,Q1395018,2008-01-09,2013-04-09,male,1953-12-24,,Kalonzo Musyoka1.jpg,Kalonzo Musyoka
Kenya,Vice-President,William Ruto,Q195725,2013-04-09,2022-09-13,male,1966-12-21,,William Ruto at WTO Public Forum 2014.jpg,William Ruto
Kenya,Vice-President,Rigathi Gachagua,Q47494765,2022-09-13,,male,1965,,,Rigathi Gachagua
Kenya,Prime Minister,Raila A Odinga,Q57657,2008-04-17,2013-04-09,male,1945-01-07,,Raila Odinga speaking at visit to Peace Corps.jpg,Raila Odinga
Kenya,Deputy Prime Minister,Musalia Mudavadi,Q1954003,2008-04-13,2013-04-09,male,1960-09-21,,Musalia Mudavadi.JPG,Musalia Mudavadi
