catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Palestine,President,Mahmoud Abbas,Q127998,2005-05-08,,male,1935-11-15,,Mahmoud Abbas May 2018.jpg,Mahmoud Abbas
Palestine,Prime Minister,Rami Hamdallah,Q13415154,2013-06-06,2019-03-10,male,1958-08-10,,Rami Hamdallah October 2013.jpg,Rami Hamdallah
Palestine,Prime Minister,Mohammad Shtayyeh,Q16192933,2019-04-13,,male,1958-01-17,,Mohammad Shtayyeh 01 (cropped).jpg,Mohammad Shtayyeh
Palestine,Prime Minister of the Palestinian National Authority,Mahmoud Abbas,Q127998,2003-03-19,2003-09-06,male,1935-11-15,,Mahmoud Abbas May 2018.jpg,Mahmoud Abbas
Palestine,Minister of Endowments and Religious Affairs,جمال بواطنة,Q99894482,2007,2009-05-19,male,,,,
Palestine,Minister of Endowments and Religious Affairs,حسين الترتوري,Q99911759,2007-03-17,2007-06-14,male,,,,
Palestine,Minister of Endowments and Religious Affairs,Youssef Edais,Q99175741,2014-06-02,2019-04-13,male,1964-04-19,,,
Palestine,Minister of Endowments and Religious Affairs,Mohammad Shtayyeh,Q16192933,2019-04-13,2022-01-01,male,1958-01-17,,Mohammad Shtayyeh 01 (cropped).jpg,Mohammad Shtayyeh
Palestine,Minister of Endowments and Religious Affairs,حاتم البكري,Q110370970,2022-01-01,,male,1964-03-09,,,
Palestine,Minister of Foreign Affairs,Riyad al-Maliki,Q2895694,2009-05-19,2012-05-16,male,1955-05-31,,Riad Al-Maliki.jpg,Riyad al-Maliki
Palestine,Minister of Foreign Affairs,Riyad al-Maliki,Q2895694,2012-05-16,2013-06-06,male,1955-05-31,,Riad Al-Maliki.jpg,Riyad al-Maliki
Palestine,Minister of Foreign Affairs,Riyad al-Maliki,Q2895694,2013-06,2014-06-02,male,1955-05-31,,Riad Al-Maliki.jpg,Riyad al-Maliki
Palestine,Minister of Foreign Affairs,Riyad al-Maliki,Q2895694,2013-06-06,2013-09-19,male,1955-05-31,,Riad Al-Maliki.jpg,Riyad al-Maliki
Palestine,Minister of Foreign Affairs,Riyad al-Maliki,Q2895694,2014-06-02,2019-04-13,male,1955-05-31,,Riad Al-Maliki.jpg,Riyad al-Maliki
Palestine,Minister of Foreign Affairs,Riyad al-Maliki,Q2895694,2019-04-13,,male,1955-05-31,,Riad Al-Maliki.jpg,Riyad al-Maliki
Palestine,Minister of Jerusalem Affairs,Hind Khoury,Q2345173,2005-02-24,2006-03-27,female,1953-06-12,,,Hind Khoury
Palestine,Minister of Jerusalem Affairs,Khaled Abu Arafeh,Q1276034,2006-03-27,2007-03-17,male,1961,,,
Palestine,Minister of Jerusalem Affairs,حاتم عبد القادر,Q99894495,2009-05,2009-06,male,1953-05-20,,,
Palestine,Minister of Jerusalem Affairs,Adnan al-Husayni,Q4683929,2012-05-16,2013-06-06,male,1947,,,Adnan al-Husayni
Palestine,Minister of Jerusalem Affairs,Adnan al-Husayni,Q4683929,2013-06-06,2013-09-19,male,1947,,,Adnan al-Husayni
Palestine,Minister of Jerusalem Affairs,Adnan al-Husayni,Q4683929,2013-09-19,2014-06-02,male,1947,,,Adnan al-Husayni
Palestine,Minister of Jerusalem Affairs,Adnan al-Husayni,Q4683929,2014-06-02,2019-04-13,male,1947,,,Adnan al-Husayni
Palestine,Minister of Jerusalem Affairs,Fadi al-Hadami,Q99078658,2019-04-13,,male,1977-11-04,,فادي الهدمي.jpg,Fadi al-Hadami
Palestine,Minister of Local Government,Saeb Erekat,Q970706,1994-03-05,2003-03-30,male,1955-04-28,2020-11-10,Saeb Erekat December 2014.jpg,Saeb Erekat
Palestine,Minister of Local Government,Jamal Al Shobaki,Q89281074,2003-03-30,2003-10-07,male,1952,,,Jamal Al Shobaki
Palestine,Minister of Local Government,Jamal Al Shobaki,Q89281074,2003-10-07,2003-11-12,male,1952,,,Jamal Al Shobaki
Palestine,Minister of Local Government,Jamal Al Shobaki,Q89281074,2003-11-12,2005-02-24,male,1952,,,Jamal Al Shobaki
Palestine,Minister of Local Government,خالد القواسمي,Q99336721,2005-02-24,2006-03-27,male,1964-06-25,,,
Palestine,Minister of Local Government,Isa Jabari,Q66023995,2006-03-27,2007-03-17,male,1966-12-11,,,
Palestine,Minister of Local Government,زياد البندك,Q99911348,2007-06-14,2009-05-19,male,1960,,,
Palestine,Minister of Local Government,خالد القواسمي,Q99336721,2009-05-19,2013-06-06,male,1964-06-25,,,
Palestine,Minister of Local Government,سائد الكوني,Q64913001,2013-06-06,2014-06-02,male,1960-03-14,,,
Palestine,Minister of Local Government,نايف أبو خلف,Q99175748,2014-06-02,2015-07-31,male,1949-01-06,,,
Palestine,Minister of Local Government,Hussein al-Araj,Q5949870,2015-06-30,2019-04-13,male,1951-01-26,,حسين الأعرج.png,Hussein al-Araj
Palestine,Minister of Local Government,Majdi al-Saleh,Q99017695,2019-04-13,,male,1963-04-01,,,
Palestine,Minister of Negotiations,Saeb Erekat,Q970706,2003-03-30,2005-02-24,male,1955-04-28,2020-11-10,Saeb Erekat December 2014.jpg,Saeb Erekat
Palestine,Minister of Public Works and Housing,حمدان عاشور,Q99215501,2003-03-30,2003-10-07,male,1940-03-31,2016-03-22,,
Palestine,Minister of Public Works and Housing,Abdul Rahman Hamad,Q89792760,2003-10-07,2005-02-24,male,1944-01-01,,,
Palestine,Minister of Public Works and Housing,Mohammad Shtayyeh,Q16192933,2005-02-24,2006-03-27,male,1958-01-17,,Mohammad Shtayyeh 01 (cropped).jpg,Mohammad Shtayyeh
Palestine,Minister of Public Works and Housing,Abdul Rahman Zidan,Q73903258,2006-03-28,2007-03-17,male,1960-04-29,,,
Palestine,Minister of Public Works and Housing,سميح العبد,Q99911808,2007-03-17,2007-06-14,male,,,,
Palestine,Minister of Public Works and Housing,Muhammad Kamal Hassouna,Q96449608,2007-06-14,2009-05-19,male,1942-03-21,,,
Palestine,Minister of Public Works and Housing,Mohammad Shtayyeh,Q16192933,2009-05-19,2012-05-16,male,1958-01-17,,Mohammad Shtayyeh 01 (cropped).jpg,Mohammad Shtayyeh
Palestine,Minister of Public Works and Housing,Maher Ghoneim,Q99979978,2012-05-16,2014-06-02,male,1960-08-15,,,
Palestine,Minister of Public Works and Housing,مفيد الحساينة,Q99175737,2014-06-02,2019-04-13,male,1964-04-18,,مفيد الحساينة.jpg,
Palestine,Minister of Public Works and Housing,محمد زيارة,Q70358563,2019-04-13,,male,1956-06-26,,,
Palestine,Minister of Social Development,فخري تركمان,Q99910712,2006-03-27,2007-03-17,male,1940-04-11,,,
Palestine,Minister of Social Development,Majida Al-Masri,Q6737870,2009-05-19,2013-06-06,female,,,,Majida Al-Masri
Palestine,Minister of Social Development,Ibrahim Al-Shaer,Q40379694,2015-12,2019-04-13,male,,,,
Palestine,Minister of Social Development,Ahmed Majdalani,Q4695901,2019-04-13,,male,1955-04-23,,"Ahmed Majdalani, An-Najah Nbc - Jun 19, 2021.jpg",Ahmed Majdalani
Palestine,Minister of Tourism and Antiquities,زياد البندك,Q99911348,2005-02-24,2006-03-27,male,1960,,,
Palestine,Minister of Tourism and Antiquities,Joudeh George Murqos,Q99910720,2006-03-27,2007-03-17,male,1959-03-01,,,Joudeh George Murqos
Palestine,Minister of Tourism and Antiquities,Khouloud Daibes,Q431835,2007-03-17,2007-06-14,female,1965-04-16,,Besuch der Botschafterin Palästinas im Rathaus Köln-1839.jpg,Khouloud Daibes
Palestine,Minister of Tourism and Antiquities,Khouloud Daibes,Q431835,2007-06-14,2009-05-19,female,1965-04-16,,Besuch der Botschafterin Palästinas im Rathaus Köln-1839.jpg,Khouloud Daibes
Palestine,Minister of Tourism and Antiquities,Khouloud Daibes,Q431835,2009-05-19,2012-05-16,female,1965-04-16,,Besuch der Botschafterin Palästinas im Rathaus Köln-1839.jpg,Khouloud Daibes
Palestine,Minister of Tourism and Antiquities,Rula Maayah,Q96482147,2012-05-16,2013-06-06,female,,,,
Palestine,Minister of Tourism and Antiquities,Rula Maayah,Q96482147,2013-06-06,2013-09-19,female,,,,
Palestine,Minister of Tourism and Antiquities,Rula Maayah,Q96482147,2013-09-19,2014-06-02,female,,,,
Palestine,Minister of Tourism and Antiquities,Rula Maayah,Q96482147,2014-06-02,2019-04-13,female,,,,
Palestine,Minister of Tourism and Antiquities,Rula Maayah,Q96482147,2019-04-13,,female,,,,
Palestine,Minister of Women's Affairs,Zahira Kamal,Q42897037,2003-11-12,2005-02-24,female,1945,,Zahira Kamal 2010 (1) (cropped).jpg,Zahira Kamal
Palestine,Minister of Women's Affairs,Zahira Kamal,Q42897037,2005-02-24,2006-03-27,female,1945,,Zahira Kamal 2010 (1) (cropped).jpg,Zahira Kamal
Palestine,Minister of Women's Affairs,Amal Syam,Q4739202,2007-03-17,2007-06-14,female,1962-12-14,,,Amal Syam
Palestine,Minister of Women's Affairs,Khouloud Daibes,Q431835,2007-06-14,2009-05-19,female,1965-04-16,,Besuch der Botschafterin Palästinas im Rathaus Köln-1839.jpg,Khouloud Daibes
Palestine,Minister of Women's Affairs,Rabiha Diab,Q19661451,2009-05-19,2012-05-16,female,1954,2016-04-22,,Rabiha Diab
Palestine,Minister of Women's Affairs,Rabiha Diab,Q19661451,2012-05-16,2013-06-06,female,1954,2016-04-22,,Rabiha Diab
Palestine,Minister of Women's Affairs,Rabiha Diab,Q19661451,2013-06-06,2013-09-19,female,1954,2016-04-22,,Rabiha Diab
Palestine,Minister of Women's Affairs,Rabiha Diab,Q19661451,2013-09-19,2014-06-02,female,1954,2016-04-22,,Rabiha Diab
Palestine,Minister of Women's Affairs,Haifa al-Agha,Q18686540,2014-06-02,2019-04-13,female,,,,Haifa al-Agha
Palestine,Minister of Women's Affairs,Amal Hamad,Q96240826,2019-04-13,,female,1963-07-12,,,
Palestine,Minister of Youth and Sports,علي القواسمي,Q99826717,2002-06-13,2002-10-29,male,,,,
Palestine,Minister of Youth and Sports,Abdel Fatah Hamayel,Q37201567,2003-03-30,2003-10-07,male,1950-02-22,,,
Palestine,Minister of Youth and Sports,Jamal Al Shobaki,Q89281074,2003-10-07,2003-11-12,male,1952,,,Jamal Al Shobaki
Palestine,Minister of Youth and Sports,Salah Tamari,Q89488504,2003-11-12,2005-02-24,male,1942-10-27,2022-04-23,,
Palestine,Minister of Youth and Sports,Ahmad Sakhr Bisisu,Q99947421,2005-02-24,2006-03-27,male,1944,,,
Palestine,Minister of Youth and Sports,Tahani Abu Dagga,Q99894490,2007,2009-05-19,female,1960-07-22,,,
Palestine,Speaker of the Palestinian Legislative Council,Rafiq Shakir Natshah,Q22932808,2003-11-03,2004-03-10,male,1934-09-11,,,
Palestine,Speaker of the Palestinian Legislative Council,Rawhi Fattouh,Q962747,2004-03-10,2004-11-11,male,1949-08-23,,,Rawhi Fattouh
Palestine,Speaker of the Palestinian Legislative Council,Rawhi Fattouh,Q962747,2005-01-15,2006-02-18,male,1949-08-23,,,Rawhi Fattouh
Palestine,Speaker of the Palestinian Legislative Council,Aziz Duwaik,Q307142,2006-03-29,,male,1947-01-12,,,Aziz Dweik
Palestine,Prosecutor General,محمد العويوي,Q102177403,2012,2016-01,male,,,,
Palestine,Prosecutor General,أحمد براك,Q87276954,2016-01,2019-01-15,male,1970-01-17,,,
Palestine,Prosecutor General,Akram Al-Khateeb,Q97651631,2019-03-12,,male,1972-12-17,,,
Palestine,Director of Palestinian Preventive Security,زهير المناصرة,Q99980497,2002-07,2003-07,male,1943,,,
Palestine,Chair of the Anti-Corruption Commission,Rafiq Shakir Natshah,Q22932808,2010,2019-03,male,1934-09-11,,,
Palestine,Chair of the Anti-Corruption Commission,أحمد براك,Q87276954,2019-05-13,2021-01-06,male,1970-01-17,,,
Palestine,Chair of the Anti-Corruption Commission,رائد رضوان,Q104773125,2021-01-06,,male,1971-06-12,,,
Palestine,Governor of Bethlehem,Mohammed Rashid Ja'abari,Q104092855,1996-08-01,2001-10-04,male,1942-05-01,2020-05-06,,
Palestine,Governor of Bethlehem,محمد المدني,Q104092978,2001-10-04,2003-11-20,male,1946-10-01,,,
Palestine,Governor of Bethlehem,زهير المناصرة,Q99980497,2003,2005,male,1943,,,
Palestine,Governor of Bethlehem,Salah Tamari,Q89488504,2005,2009,male,1942-10-27,2022-04-23,,
Palestine,Governor of Bethlehem,Abdel Fatah Hamayel,Q37201567,2009,2014,male,1950-02-22,,,
Palestine,Governor of Bethlehem,جبرين البكري,Q97328201,2014-05-31,2018-10-01,male,1961-01-08,,,
Palestine,Governor of Bethlehem,Kamel Hemeid,Q12234348,2018,,male,1963-11-01,,كامل حميد (cropped).jpg,
Palestine,Governor of Gaza,Muhammad al-Qudwa,Q104214449,1996-08-13,2014-07,male,1946-08-06,2021-12-16,,Muhammad al-Qudwa
Palestine,Governor of Gaza,Abdallah Frangi,Q307585,2014-07-07,2017-12-10,male,1943-11-15,,Abdallah Frangi auf dem Blauen Sofa der LBM 2012.jpg,
Palestine,Governor of Gaza,Ibrahim Abu Al-Naja,Q98918783,2017-12-31,,male,1941-01-10,,,
Palestine,Governor of Genin,زهير المناصرة,Q99980497,1996,2002,male,1943,,,
