catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Kyrgyzstan,President,Askar Akayev,Q489893,1990-10-27,2005-03-24,male,1944-11-10,,Askar Akaev MoscowRia 08-2016.jpg,Askar Akayev
Kyrgyzstan,President,Ishenbai Kadyrbekov,Q24669,2005-03-24,2005-03-25,male,1949-07-16,,Ishenbai Kadyrbekov.jpg,Ishenbai Kadyrbekov
Kyrgyzstan,President,Kurmanbek Bakiyev,Q484816,2005-03-25,2010-04-15,male,1949-08-01,,"President of Kyrgyzstan, Kurmanbek Bakiyev.jpg",Kurmanbek Bakiyev
Kyrgyzstan,President,Roza Otunbayeva,Q485136,2010-04-07,2011-12-01,female,1950-08-23,,Roza Otunbayeva - World Economic Forum on Europe 2011 (cropped).jpg,Roza Otunbayeva
Kyrgyzstan,President,Almazbek Atambayev,Q24692,2011-12-01,2017-11-24,male,1956-09-17,,2012-03-20 Almazbek Atambayev.jpeg,Almazbek Atambayev
Kyrgyzstan,President,Sooronbay Jeenbekov,Q23810819,2017-11-24,2020-10-15,male,1958-11-16,,"Sooronbay Jeenbekov at the Eurasian Intergovernmental Council meeting, 7 March 2017.jpg",Sooronbay Jeenbekov
Kyrgyzstan,President,Sadyr Zhaparov,Q25597826,2020-10-16,2020-11-14,male,1968-12-06,,President of Kyrgyzstan Sadyr Japarov.jpg,Sadyr Japarov
Kyrgyzstan,President,Talant Mamytov,Q25597831,2020-11-14,2021-01-27,male,1976-03-14,,Talant Mamytov.jpg,Talant Mamytov
Kyrgyzstan,President,Sadyr Zhaparov,Q25597826,2021-01-28,,male,1968-12-06,,President of Kyrgyzstan Sadyr Japarov.jpg,Sadyr Japarov
Kyrgyzstan,Chairman of the Cabinet of Ministers (Prime Minister),Amangeldy Muraliyev,Q24678,1999-04-12,2000-12-21,male,1947-08-07,,Muraliev.jpg,Amangeldy Muraliyev
Kyrgyzstan,Chairman of the Cabinet of Ministers (Prime Minister),Kurmanbek Bakiyev,Q484816,2000-12-21,2002-05-22,male,1949-08-01,,"President of Kyrgyzstan, Kurmanbek Bakiyev.jpg",Kurmanbek Bakiyev
