catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Uganda,Member of the Parliament,Joyce Mpanga,Q55583703,1996,2001,female,1934-01-22,,,Joyce Mpanga
Uganda,Member of the Parliament,Aggrey Awori,Q393388,2001,2006,male,1939-02-23,2021-07-05,Aggrey-awori.jpg,Aggrey Awori
Uganda,Member of the Parliament,Amama Mbabazi,Q57873,2003-02-11,2016-02-18,male,1949-01-16,,Amama Mbabazi.jpg,Amama Mbabazi
Uganda,Member of the Parliament,Jacob Oulanyah,Q6119076,2011,,male,1965-03-23,,,Jacob Oulanyah
Uganda,Member of the Parliament,Jane Aceng,Q24572616,2016,,female,1968-05-11,,Ugandan Health Minister Dr. Jane Aceng (37922701691).jpg,Jane Aceng
Uganda,Member of the Parliament,Ibrahim Abiriga,Q54874973,2016,2018-06-08,male,1956-06-05,2018-06-08,,Ibrahim Abiriga
Uganda,Member of the Parliament,Loy Katali,Q62099975,2016,,female,1975-10-12,,,Loy Katali
Uganda,Member of the Parliament,Rose Kabagyeni,Q89370497,2016,,female,1974-08-04,,,Rose Kabagyeni
Uganda,Member of the Parliament,Lawrence Akugizibwe,Q30110261,2016-05-16,,male,1985-11-02,,,Lawrence Akugizibwe
Uganda,Member of the Parliament,Bobi Wine,Q4935806,2017-07-11,,male,1982-02-12,,Nalukoola talks with Bobi Wine (cropped).jpg,Bobi Wine
