catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Saint Lucia,monarch,Elizabeth II,Q9682,1979-02-22,,female,1926-04-21,,Queen Elizabeth II of New Zealand (cropped).jpg,Elizabeth II
Saint Lucia,Governor-General,Pearlette Louisy,Q239717,1997-09-17,2017-12-31,female,1946-06-08,,Calliopa Pearlette Louisy.png,Pearlette Louisy
Saint Lucia,Governor-General,Neville Cenac,Q16727889,2018-01-12,2021-10-31,male,1939-11-24,,Sir Emmanuel Neville Cenac.jpg,Neville Cenac
Saint Lucia,Governor-General,Errol Charles,Q109557998,2021-11-11,,male,1942-12-10,,Errol Charles May 2022.jpg,Errol Charles
Saint Lucia,Prime Minister,Kenny Anthony,Q57750,1997-05-24,2006-12-15,male,1951-01-08,,"Kenny Anthony, Sta. Lucía.jpg",Kenny Anthony
Saint Lucia,Prime Minister,Stephenson King,Q708289,2007-05-01,2011-11-30,male,1958-11-13,,Stephenson King.jpg,Stephenson King
Saint Lucia,Prime Minister,Kenny Anthony,Q57750,2011-11-30,2016-06-07,male,1951-01-08,,"Kenny Anthony, Sta. Lucía.jpg",Kenny Anthony
Saint Lucia,Prime Minister,Allen Chastanet,Q16203640,2016-06-07,2021-07-26,male,1960-11-20,,Allen Chastanet 2016.jpg,Allen Chastanet
Saint Lucia,Prime Minister,Philip Pierre,Q7184214,2021-07-28,,male,,,Philip J Pierre Christmas 2020 (cropped).png,Philip J. Pierre
Saint Lucia,"Minister for Agriculture, Fisheries, Food Security and Rural Development",Alfred Prospere,Q109641213,2021-08-05,,male,,,,
Saint Lucia,"Minister for Agriculture, Fisheries, Natural Resources and Co-operatives",Ezechiel Joseph,Q773795,2016-06,2021-07-28,male,,,Ezechiel Joseph (cropped).png,Ezechiel Joseph
Saint Lucia,"Minister for Commerce, Industry, Investment, Enterprise Development and Consumer Affairs",Bradley Felix,Q107486429,2016-06,2021-07-26,male,,,,
Saint Lucia,"Minister for Commerce, Manufacturing, Business Development, Cooperatives and Consumer Affairs",Emma Hippolyte,Q5372840,2021-08-05,,female,,,,Emma Hippolyte
Saint Lucia,"Minister for Economic Development, Housing, Urban Renewal, Transport and Civil Aviation",Guy Joseph,Q5622382,2016-06,2021-07-26,male,1957,,,Guy Joseph
Saint Lucia,"Minister for Education, Innovation, Gender Relations and Sustainable Development",Gale Rigobert,Q5518285,2016-06,2021-07-26,female,,,Gale Rigobert MinEd (cropped).png,Gale Rigobert
Saint Lucia,"Minister for Education, Sustainable Development, Innovation, Science, Technology and Vocational Training",Shawn Edward,Q108444156,2021-08-05,,male,,,Shawn Edward.jpg,Shawn Edward
Saint Lucia,"Minister for Equity, Social Justice and Empowerment",Joachim Henry,Q107664100,2021-08-05,,male,,,,Joachim Henry
Saint Lucia,"Minister for Equity, Social Justice, Local Government and Empowerment",Lenard Montoute,Q6522265,2016-06,2021-07-28,male,1962-06-30,,Lenard Montoute message (cropped).png,Lenard Montoute
Saint Lucia,Minister for External Affairs,Julian Hunte,Q1232767,2001-04,2004-10,male,1940-03-14,,Julian Hunte.jpg,Julian Hunte
Saint Lucia,Minister for External Affairs,Petrus Compton,Q7179200,2004-10-26,2006,male,,,,Petrus Compton
Saint Lucia,Minister for External Affairs,Rufus Bousquet,Q58308,2009-01-30,2011-11,male,1958-11-28,,,Rufus Bousquet
Saint Lucia,Minister for External Affairs,Alva Baptiste,Q4737616,2011,2016,male,,,Alva Baptiste (cropped).jpg,Alva Baptiste
Saint Lucia,Minister for External Affairs,Alva Baptiste,Q4737616,2021-08-05,,male,,,Alva Baptiste (cropped).jpg,Alva Baptiste
Saint Lucia,Minister with responsibility for External Affairs,Sarah Flood-Beaubrun,Q16201615,2016-06,2021-07-28,female,1969-01-08,,Secretary Pompeo Meets with Saint Lucia Foreign Minister Flood-Beaubrun (49429623198) (cropped).jpg,Sarah Flood-Beaubrun
Saint Lucia,"Minister for Finance, Economic Development and the Youth Economy",Philip Pierre,Q7184214,2021-08-05,,male,,,Philip J Pierre Christmas 2020 (cropped).png,Philip J. Pierre
