catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Qatar,Emir,Hamad bin Khalifa Al Thani,Q57360,1995-06-26,2013-06-25,male,1952-01-01,,Hamad bin Khalifa Al Thani (cropped).jpg,Hamad bin Khalifa Al Thani
Qatar,Emir,Tamim bin Hamad Al Thani,Q1855372,2013-06-25,,male,1980-06-03,,Tamim bin Hamad Al Thani in 2018.jpg,Tamim bin Hamad Al Thani
Qatar,Prime Minister,Abdullah bin Khalifa Al Thani,Q317771,1996-10-29,2007-04-03,male,1958-02-11,,,Abdullah bin Khalifa Al Thani
Qatar,Prime Minister,Hamad bin Jassim bin Jaber Al Thani,Q57734,2007-04-03,2013-06-26,male,1958-01-10,,Hamad Bin Jassim.png,Hamad bin Jassim bin Jaber Al Thani
Qatar,Prime Minister,Abdullah bin Nasser bin Khalifa Al Thani,Q4666105,2013-06-26,2020-01-28,male,1960,,Sheikh Abdullah bin Nasser bin Khalifa Al Thani.jpeg,Abdullah bin Nasser bin Khalifa Al Thani
Qatar,Prime Minister,Khalid bin Khalifa bin Abdul Aziz Al Thani,Q83849153,2020-01-28,,male,1968,,Steven Mnuchin and Qatari PM Sheikh Khalid Feb 2020 (cropped).jpg,Khalid bin Khalifa bin Abdul Aziz Al Thani
Qatar,Deputy Prime Minister,Abdullah bin Hamad Al Attiyah,Q2820939,2007-04-03,2011-01-18,male,1952-12-05,,Abdullah bin Hamad al-Attiyah 2006.jpg,Abdullah bin Hamad Al Attiyah
Qatar,Deputy Prime Minister,Ahmad bin Abdullah Al Mahmoud,Q16242594,2011-09,2017-11-01,male,,,Посещение на министър Николай Младенов в Катар (2-4 октомври 2011) (6210640593).jpg,Ahmad bin Abdullah Al Mahmoud
Qatar,Deputy Prime Minister,Khalid bin Mohammad Al Attiyah,Q13560046,2016-01-27,,male,1967-03-09,,Khalid bin Mohammad Al Attiyah - 20181113-D-SV709-0201 (31993029468) (cropped).jpg,Khalid bin Mohammad Al Attiyah
Qatar,Deputy Prime Minister,Mohammed bin Abdulrahman Al Thani,Q23020336,2016-01-27,,male,1980-11-01,,Qatari Foreign Minister Sheikh Mohammed bin Abdulrahman Al Thani - 2017.jpg,Mohammed bin Abdulrahman bin Jassim Al Thani
Qatar,Minister of Commerce and Industry,Ali bin Ahmed Al Kuwari,Q103821494,2018-11,2021-10-19,male,,,Ali bin Ahmed Al Kuwari (2019) (cropped).jpg,Ali bin Ahmed Al Kuwari
Qatar,Minister of Commerce and Industry,Mohammed bin Hamad bin Qassim Al Abdullah Al Thani,Q110183219,2021-10-19,,male,,,,
Qatar,Minister of Culture,Sheikh Abdulrahman bin Hamad bin Jassim bin Hamad Al Thani,Q110183229,2021-10-19,,male,,,,
Qatar,Minister of Defence,Hamad bin Ali Al Attiyah,Q21004768,2013-06,2016-01-27,male,,,Hamad bin Ali Al Attiyah.jpg,Hamad bin Ali Al Attiyah
Qatar,Minister of Defence,Khalid bin Mohammad Al Attiyah,Q13560046,2016-01-27,,male,1967-03-09,,Khalid bin Mohammad Al Attiyah - 20181113-D-SV709-0201 (31993029468) (cropped).jpg,Khalid bin Mohammad Al Attiyah
Qatar,Minister of Education and Higher Education,Buthaina Bint Ali Al Jabr Al Nuaimi,Q110183223,2021-10-19,,female,,,,
Qatar,Minister of Energy,Saad Sherida al-Kaabi,Q19662881,2018-11-04,,male,1967,,Saad Sherida al-Kaabi.jpg,Saad Sherida al-Kaabi
Qatar,Minister of the Environment,Faleh bin Nasser bin Ahmed bin Ali Al Thani,Q110183231,2021-10-19,,male,,,,
Qatar,Minister of Finance,Ali bin Ahmed Al Kuwari,Q103821494,2021-10-19,,male,,,Ali bin Ahmed Al Kuwari (2019) (cropped).jpg,Ali bin Ahmed Al Kuwari
Qatar,Minister of Foreign Affairs,Khalid bin Mohammad Al Attiyah,Q13560046,2013-06-26,2016-01-27,male,1967-03-09,,Khalid bin Mohammad Al Attiyah - 20181113-D-SV709-0201 (31993029468) (cropped).jpg,Khalid bin Mohammad Al Attiyah
Qatar,Minister of Foreign Affairs,Mohammed bin Abdulrahman Al Thani,Q23020336,2016-01-27,,male,1980-11-01,,Qatari Foreign Minister Sheikh Mohammed bin Abdulrahman Al Thani - 2017.jpg,Mohammed bin Abdulrahman bin Jassim Al Thani
Qatar,Minister of Industry and Energy,Abdullah bin Hamad Al Attiyah,Q2820939,1999-01-12,2011-01-18,male,1952-12-05,,Abdullah bin Hamad al-Attiyah 2006.jpg,Abdullah bin Hamad Al Attiyah
Qatar,Minister of Industry and Energy,Mohammed Saleh Al Sada,Q6893312,2011-01-18,,male,,,Dr. Mohammed bin Saleh Al-Sada.jpg,Mohammed Saleh Al Sada
Qatar,Minister of Information and Communications Technology,Mohammed bin Ali bin Mohammed Al Mannai,Q110183236,2021-10-19,,male,,,,
Qatar,Minister of the Interior,Khalid bin Khalifa bin Abdul Aziz Al Thani,Q83849153,2020-01-28,,male,1968,,Steven Mnuchin and Qatari PM Sheikh Khalid Feb 2020 (cropped).jpg,Khalid bin Khalifa bin Abdul Aziz Al Thani
Qatar,Minister of Islamic Affairs,Ghanem bin Shaheen bin Ghanem Al Ghanim,Q110183214,2021-10-19,,male,,,,
Qatar,Minister of Labour,Ali bin Samikh Al Marri,Q109731310,2021-10-19,,male,1972-11-30,,HE Dr. Ali bin Saeed bin Smaikh Al Marri.jpg,Ali bin Samikh Al Marri
Qatar,Minister of Municipality,Abdullah bin Abdulaziz bin Turki Al Subaie,Q110183209,2021-10-19,,male,,,,
Qatar,Minister of Public Health,Hanan Mohamed Al Kuwari,Q90943396,2016-01,,female,,,,Hanan Mohamed Al Kuwari
Qatar,Minister of Social Development and Family,Mariam bint Ali bin Nasser Al Misnad,Q110183238,2021-10-19,,female,,,,
Qatar,Minister of Sports and Youth,Salah bin Ghanem Al Ali,Q110183205,2021-10-19,,male,,,,
Qatar,Minister of Transport,Jassim bin Saif bin Ahmed Al Sulaiti,Q110183196,2021-10-19,,male,,,,
Qatar,Minister of State for Cabinet Affairs,Mohammed bin Abdullah bin Mohammed Al Yousef Al-Sulaiti,Q110183243,2021-10-19,,male,,,,
Qatar,Speaker of the Shura Council,Hassan Abdulla Al-Ghanim,Q110183288,2021-10-26,,male,1955,,,
Qatar,Governor of the Central Bank,Bandar bin Mohamed bin Saud al-Thani,Q110183414,2021-11-17,,male,,,,
Qatar,Chief of Armed Forces,Hamad bin Ali Al Attiyah,Q21004768,1990,2013-06,male,,,Hamad bin Ali Al Attiyah.jpg,Hamad bin Ali Al Attiyah
Qatar,Chief of Armed Forces,Salem bin Hamad bin Mohammed bin Aqeel Al Nabit,Q110183422,2021-10-19,,male,,,,
