catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Yemen,member of the House of Representatives,Sadiq al-Ahmar,Q475105,1993,2003,male,1956-10-06,2023-01-06,Sheikh sadiq al-ahmar.jpg,Sadiq al-Ahmar
Yemen,member of the House of Representatives,Oras Sultan Naji,Q16121830,1997-04-27,2015-02-25,female,1962,2015-02-25,,Oras Sultan Naji
Yemen,member of the House of Representatives,علي عشال,Q16123201,2003,,male,1967,,,
Yemen,member of the House of Representatives,Sakhr Al Wajih,Q12219876,2003-04-27,,male,1962-01-01,,,
Yemen,member of the House of Representatives,عبد الرحمن بافضل,Q12222730,2003-04-27,2015,male,1948-04-09,2015,,
Yemen,member of the House of Representatives,Ali Ahmed Al Amrani,Q12227830,2003-04-27,,male,1957-01-01,,,
Yemen,member of the House of Representatives,Awd al-sqtry,Q12228803,2003-04-27,2017-08-31,male,1957,2017-08-31,,
Yemen,member of the House of Representatives,عبد الحميد محمد فرحان الشرعبي,Q16117607,2003-04-27,,male,1956,,,
Yemen,member of the House of Representatives,عبد الخالق عبد الحافظ بن شيهون,Q16117624,2003-04-27,,male,1948,,,
Yemen,member of the House of Representatives,عبد الخالق عبده أحمد البركاني,Q16117628,2003-04-27,,male,1958-07-02,,,
Yemen,member of the House of Representatives,عبد الرحمن إبراهيم عبده نشطان,Q16117677,2003-04-27,,male,1961,,,
Yemen,member of the House of Representatives,قاسم محمد قاسم الكسادي,Q16117796,2003-04-27,,male,1970-06-01,,,
Yemen,member of the House of Representatives,قاسم ناصر أحمد حبيش,Q16117804,2003-04-27,,male,1973,,,
Yemen,member of the House of Representatives,Abu Bakr Ahmed Abad Omar Abad,Q16117858,2003-04-27,,male,1948,,,
Yemen,member of the House of Representatives,عبد الرحمن صالح مصلح معزب,Q16117869,2003-04-27,,male,1972,,,
Yemen,member of the House of Representatives,Abd al-Rahman Abdullah Hussein al-Mahbashi,Q16117886,2003-04-27,2020-05-24,male,1951,2020-05-24,,
Yemen,member of the House of Representatives,عبد الرحمن علي العشبي,Q16117893,2003-04-27,,male,1960,,,
Yemen,member of the House of Representatives,عبد الرحمن محمد عبد الله الأكوع,Q16117917,2003-04-27,,male,1952,,,
Yemen,member of the House of Representatives,محسن علي عمر باصره,Q16117998,2003-04-27,,male,1964-09-14,,,
Yemen,member of the House of Representatives,Hamoud hammoud Yahya atef,Q16118003,2003-04-27,,male,1944-01-01,,,
Yemen,member of the House of Representatives,محسن محمد أحمد الأنسي,Q16118032,2003-04-27,,male,1948,,,
Yemen,member of the House of Representatives,عبد السلام أحمد الدهبلي,Q16118086,2003-04-27,,male,1966,,,
Yemen,member of the House of Representatives,Hameed Abdullah sghaier Al-jabarti,Q16118097,2003-04-27,,male,1962,,,
Yemen,member of the House of Representatives,حميد محمد علي أحمد شعبين,Q16118105,2003-04-27,,male,1968,,,
Yemen,member of the House of Representatives,عبد السلام صالح هشول زابية,Q16118142,2003-04-27,,male,1969,,,
Yemen,member of the House of Representatives,Abdul Aziz Jubari,Q16118166,2003-04-27,,male,1963-01-01,,,
