catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Antigua and Barbuda,monarch,Elizabeth II,Q9682,1981-11-01,2022-09-08,female,1926-04-21,2022-09-08,Queen Elizabeth II official portrait for 1959 tour (retouched) (cropped) (3-to-4 aspect ratio).jpg,Elizabeth II
Antigua and Barbuda,monarch,Charles III,Q43274,2022-09-08,,male,1948-11-14,,Prince Charles in Aotearoa (cropped).jpg,Charles III
Antigua and Barbuda,Governor-General,James Carlisle,Q431167,1993-06-10,2007-06-30,male,1937-08-05,,,James Carlisle
Antigua and Barbuda,Governor-General,Louise Lake-Tack,Q232610,2007-07-17,2014-08-13,female,1944-07-26,,DameLouiseLake-Tack.jpg,Louise Lake-Tack
Antigua and Barbuda,Governor-General,Rodney Williams,Q17566330,2014-08-14,,male,1947-11-02,,Governor General Of Antigua And Barbuda (37250652361) (cropped).jpg,Rodney Williams (governor-general)
Antigua and Barbuda,Prime Minister,Lester Bird,Q365451,1994-03-09,2004-03-24,male,1938-02-21,2021-08-09,Former Prime Minister Honourable Lester B. Bird speak to the audience.jpg,Lester Bird
Antigua and Barbuda,Prime Minister,Baldwin Spencer,Q57602,2004-03-24,2014-06-13,male,1948-10-08,,Baldwin Spencer.jpg,Baldwin Spencer (politician)
Antigua and Barbuda,Prime Minister,Gaston Browne,Q17177542,2014-06-13,,male,1967-02-09,,PM Gaston Browne (36764147103).jpg,Gaston Browne
Antigua and Barbuda,Deputy Prime Minister,Robin Yearwood,Q7352892,2002-09-09,2004,male,,,,Robin Yearwood
Antigua and Barbuda,"Minister of Agriculture, Lands, Fisheries and Barbuda Affairs",Dean Jonas,Q20172576,2018-03-22,2020-01-20,male,1961-05-23,,,
Antigua and Barbuda,"Minister of Agriculture, Lands, Fisheries and Barbuda Affairs",Samantha Marshall,Q20192069,2020-01-20,,female,,,,Samantha Marshall
Antigua and Barbuda,"Minister of Education, Science and Technology",Michael Sherwin Harris Browne,Q20171315,2018-03-22,,male,,,,
Antigua and Barbuda,Minister of Finance,Robin Yearwood,Q7352892,2003,2004,male,,,,Robin Yearwood
Antigua and Barbuda,Minister of Finance,Errol Cort,Q5395562,2004,2009,male,,,,Errol Cort
Antigua and Barbuda,Minister of Finance,Harold Lovell,Q5661574,2009,2014,male,1955-09-27,,,Harold Lovell
Antigua and Barbuda,Minister of Finance,Gaston Browne,Q17177542,2018-03-22,,male,1967-02-09,,PM Gaston Browne (36764147103).jpg,Gaston Browne
Antigua and Barbuda,Minister of Foreign Affairs,Harold Lovell,Q5661574,2004-08,2005-01,male,1955-09-27,,,Harold Lovell
Antigua and Barbuda,Minister of Foreign Affairs,Baldwin Spencer,Q57602,2005-01-06,2014-06-13,male,1948-10-08,,Baldwin Spencer.jpg,Baldwin Spencer (politician)
