catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Cameroon,Member of the Senate of Cameroon,Claude Kemayou,Q63224523,2013-04-14,2018-03-24,male,,,Claude Kemayou.jpg,
Cameroon,Member of the Senate of Cameroon,Nicole Okala Bilaï,Q41672851,2013-04-29,2018-03-24,female,1949-05-26,,NicoleOkala 2012.jpg,Nicole Okala Bilaï
Cameroon,Member of the Senate of Cameroon,Abbo Hamadou,Q111355834,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Aboulahi Maikano,Q111355835,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Agnès Ndode Ntube,Q111355836,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Andrew Moffa Otte,Q111355838,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Baba Hamadou,Q111355839,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Badel Ndinga Ndinga,Q111355840,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Benjamin Amama Amama,Q111355841,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Bernard Tantse Tagne,Q111355842,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Boukar Abba,Q111355843,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Calvin Zang Oyono,Q111355844,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Charles Mbella Moki,Q111355845,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Daniel Matute,Q111355848,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,David Etame Massoma,Q111355849,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,David Wallang,Q111355850,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Delphine Metiedje Nguifo Tchetagne,Q111355851,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Elie Essomba Tsoungui,Q111355852,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Emma Eno Lafon,Q111355853,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Emmanuel Nemde,Q111355854,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Etienne Sonkin,Q111355855,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,François Xavier Menye Ondo,Q111355856,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Ganyoufa Fon Doh,Q111355858,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Grégoire Mba Mba,Q111355859,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Hamadou Alioum Aladji,Q111355860,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Ignatus Bayin Dinga,Q111355861,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Jean Mboundjo,Q111355862,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Jean Tsomelou,Q111355863,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Jean-Jules Ebongue Ngoh,Q111355864,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Jean-Marie Mama,Q111355865,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Jean-Marie Pongmoni,Q111355866,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Joseph Mata,Q111355867,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Joël Nguimbe,Q111355868,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Julienne Djakaou,Q111355870,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Laurent Nkodo,Q111355871,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Lucas Fontem Njifua,Q111355872,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Manouf Mahamat Bhar,Q111355873,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Marava Abdoulaye Wouyack,Q111355874,2013-10-29,2018-03-24,,,,,
Cameroon,Member of the Senate of Cameroon,Marie Armande Din Bell,Q111355875,2013-10-29,2018-03-24,,,,,
