catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Czechia,Olomouc Region Assembly member,Alexander Černý,Q10771346,2000-11-12,2020-10-03,male,1953-05-21,,,
Czechia,Olomouc Region Assembly member,Ivan Kosatík,Q12021947,2000-11-12,,male,1957-10-13,,,
Czechia,Olomouc Region Assembly member,Ivo Vykydal,Q12022133,2000-11-12,2004-01,male,1964-10-01,2020-09-27,,Ivo Vykydal
Czechia,Olomouc Region Assembly member,Jindřich Valouch,Q12024848,2000-11-12,2008-11-06,male,1947-10-31,2010-03-01,,
Czechia,Olomouc Region Assembly member,Jitka Seitlová,Q12024961,2000-11-12,2004-11-06,female,1954-04-17,,Jitka Seitlová 2020.jpg,Jitka Seitlová
Czechia,Olomouc Region Assembly member,Ladislav Mlčák,Q12032562,2000-11-12,2004-11-12,male,1947-01-05,,,
Czechia,Olomouc Region Assembly member,Martin Tesařík,Q12035853,2000-11-12,2004-11-12,male,1954-07-03,,Martin Tesařík 2011.jpg,
Czechia,Olomouc Region Assembly member,Jaroslav Faltýnek,Q15124034,2000-11-12,2004-11-12,male,1962-04-28,,Jaroslav Faltynek.jpg,
Czechia,Olomouc Region Assembly member,Jan Březina,Q710830,2000-11-12,2008-11-06,male,1954-04-14,,Jan Březina.jpg,Jan Březina
Czechia,Olomouc Region Assembly member,Jitka Chalánková,Q12024945,2004-11-06,2014-06-13,female,1957-03-23,,Jitka Chalánková in 2019.tif,Jitka Chalánková
Czechia,Olomouc Region Assembly member,Jiří Krátký,Q12025307,2004-11-06,2008-11-06,male,1945-02-14,,"Jiří Krátký, debata Respekt.jpg",
Czechia,Olomouc Region Assembly member,Josef Nekl,Q12026421,2004-11-06,2016-10-13,male,1953-05-28,2021-03-29,,
Czechia,Olomouc Region Assembly member,Karel Korytář,Q12028328,2004-11-06,2008-11-06,male,1949-10-09,,,
Czechia,Olomouc Region Assembly member,Martin Major,Q15905791,2004-11-06,2008-11-06,male,1979-09-26,,,
Czechia,Olomouc Region Assembly member,Dalibor Horák,Q22162608,2004-11-06,2012-10-18,male,1965-06-04,,,
Czechia,Olomouc Region Assembly member,Pavel Horák,Q7155625,2004-11-06,2016-10-13,male,1964-07-25,,,
Czechia,Olomouc Region Assembly member,Alois Mačák,Q93974257,2004-11-06,2015-09-15,male,1964-03-10,,,
Czechia,Olomouc Region Assembly member,František Mezihorák,Q12017306,2008,2012,male,1937-10-06,,,
Czechia,Olomouc Region Assembly member,Jiří Zemánek,Q12025622,2008-10-18,2020-10-08,male,1965-01-03,,,
Czechia,Olomouc Region Assembly member,Martin Novotný,Q12035804,2008-10-18,2012-10-18,male,1972-01-21,,"Martin Novotný, LIBRI 2009, 1.jpg",
Czechia,Olomouc Region Assembly member,Martin Tesařík,Q12035853,2008-10-18,2016-10-13,male,1954-07-03,,Martin Tesařík 2011.jpg,
Czechia,Olomouc Region Assembly member,Miroslava Vlčková,Q12038070,2008-10-18,2016-10-13,female,1950-11-25,,,
Czechia,Olomouc Region Assembly member,Pavel Holík,Q12044075,2008-10-18,2012-10-18,male,1957-05-23,,,
Czechia,Olomouc Region Assembly member,Jaroslav Faltýnek,Q15124034,2008-10-18,2012-10-18,male,1962-04-28,,Jaroslav Faltynek.jpg,
Czechia,Olomouc Region Assembly member,Ivo Slavotínek,Q21877554,2008-10-18,,male,1976-01-31,,,
Czechia,Olomouc Region Assembly member,Bořivoj Šarapatka,Q11239958,2012-10-13,2016-10-13,male,1959-07-01,,,
Czechia,Olomouc Region Assembly member,Jiří Rozbořil,Q11775207,2012-10-13,2016-10-13,male,1962-02-16,,Jirirozboril.jpg,
Czechia,Olomouc Region Assembly member,Markéta Záleská,Q12035627,2012-10-13,2016-10-13,female,1966-12-18,,Markéta Záleská.jpg,
Czechia,Olomouc Region Assembly member,Miroslav Kapoun,Q12037858,2012-10-13,2016-10-13,male,1945-08-03,2017-11-26,,
Czechia,Olomouc Region Assembly member,Marian Jurečka,Q13434626,2012-10-13,2015-03-31,male,1981-03-15,,Marian Jurecka - portrait.jpg,Marian Jurečka
Czechia,Olomouc Region Assembly member,Jaroslav Fidrmuc,Q18113380,2012-10-13,2016-10-13,male,1958-04-26,,Fidrrmuc 2018.jpg,
Czechia,Olomouc Region Assembly member,Alena Rašková,Q21034087,2012-10-13,2016-10-13,female,1949-10-27,,,
Czechia,Olomouc Region Assembly member,Adolf Jílek,Q10708875,2014-06-14,2016-10-13,male,1949-03-19,2020-01-18,,
Czechia,Olomouc Region Assembly member,Jiří Roubík,Q20755208,2015-04-01,2016-10-13,male,1974-10-07,,,
Czechia,Olomouc Region Assembly member,Tomáš Müller,Q104123386,2016-10-08,,male,1966-04-28,,,
Czechia,Olomouc Region Assembly member,Jitka Seitlová,Q12024961,2016-10-08,,female,1954-04-17,,Jitka Seitlová 2020.jpg,Jitka Seitlová
Czechia,Olomouc Region Assembly member,Radim Fiala,Q12048555,2016-10-08,,male,1969-07-24,,Radim fiala politik.jpg,Radim Fiala
