catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Sweden,monarch,Carl XVI Gustaf of Sweden,Q45068,1973-09-15,,male,1946-04-30,,Crafoord Prize D81 9141 (42282165922) (cropped).jpg,Carl XVI Gustaf
Sweden,Prime Minister,Göran Persson,Q53747,1996-03-22,2006-10-06,male,1949-01-20,,Goran persson swedish pm election rally 2006-sept-05 gothenburg closeup img2.jpg,Göran Persson
Sweden,Prime Minister,Fredrik Reinfeldt,Q52920,2006-10-06,2014-10-03,male,1965-08-04,,Nordisk-baltisk statsministermote under Nordiska radets session i Helsingfors (3) (cropped).jpg,Fredrik Reinfeldt
Sweden,Prime Minister,Stefan Löfven,Q2740012,2014-10-03,2021-11-30,male,1957-07-21,,Stefan Löfven efter slutdebatten i SVT 2014 (cropped).jpg,Stefan Löfven
Sweden,Prime Minister,Magdalena Andersson,Q4935873,2021-11-30,2022-10-18,female,1967-01-23,,Swedish Prime Minister Andersson (2021).jpg,Magdalena Andersson
Sweden,Prime Minister,Ulf Kristersson,Q1780398,2022-10-18,,male,1963-12-29,,"Ulf Kristersson in 2018 Swedish general election, 2018 (cropped).jpg",Ulf Kristersson
Sweden,Vice Prime Minister of Sweden,Åsa Romson,Q271230,2014-10-03,2016-05-25,female,1972-03-22,,Åsa Romson 2014.jpg,Åsa Romson
Sweden,Vice Prime Minister of Sweden,Isabella Lövin,Q241208,2019-01-21,2021-02-05,female,1963-02-03,,Isabella Lövin.jpg,Isabella Lövin
Sweden,Vice Prime Minister of Sweden,Per Bolund,Q5581337,2021-02-05,2021-11-30,male,1971-07-03,,Per Bolund 2014.jpg,Per Bolund
Sweden,Vice Prime Minister of Sweden,Ebba Busch,Q4941329,2022-10-18,,female,1987-02-11,,"Ebba Busch - Into the Woods - November 24, 2022 (52520720684) (cropped).jpg",Ebba Busch
Sweden,Deputy Prime Minister of Sweden,Lena Hjelm-Wallén,Q460919,1995-11-17,2002-10-21,female,1943-01-14,,,Lena Hjelm-Wallén
Sweden,Deputy Prime Minister of Sweden,Margareta Winberg,Q3430022,2002-10-21,2003-10-30,female,1947-08-13,,"MargaretaWinberg, June 12, 2013.jpg",Margareta Winberg
Sweden,Deputy Prime Minister of Sweden,Marita Ulvskog,Q3115681,2003-10-31,2004-05-31,female,1951-09-04,,Marita Ulvskog 2009.jpg,Marita Ulvskog
Sweden,Deputy Prime Minister of Sweden,Lars Engqvist,Q5854875,2004-06-01,2004-10-01,male,1945-08-13,,Lars Engqvist 1992.jpg,Lars Engqvist
Sweden,Deputy Prime Minister of Sweden,Laila Freivalds,Q291648,2004-10-01,2004-11-01,female,1942-06-22,,"Laila Freivalds, Sveriges utrikesminister (Bilden ar tagen vid Nordiska radets session i Oslo, 2003) (1).jpg",Laila Freivalds
Sweden,Deputy Prime Minister of Sweden,Bosse Ringholm,Q321595,2004-11-01,2006-10-06,male,1942-08-18,,Bosse Ringholm.jpg,Bosse Ringholm
Sweden,Deputy Prime Minister of Sweden,Maud Olofsson,Q253640,2006-10-06,2010-10-05,female,1955-08-09,,Maud Olofsson2.jpg,Maud Olofsson
Sweden,Deputy Prime Minister of Sweden,Jan Björklund,Q911372,2010-10-05,2014-10-03,male,1962-04-18,,Jan Björklund in Sept 2014.jpg,Jan Björklund
Sweden,Deputy Prime Minister of Sweden,Margot Wallström,Q237522,2014-10-03,2019-09-10,female,1954-09-28,,Margot Wahlstrom Sveriges EU-kommissionar.jpg,Margot Wallström
Sweden,Deputy Prime Minister of Sweden,Morgan Johansson,Q5887217,2019-09-10,2021-11-30,male,1970-05-14,,Morgan Johansson i GAPF-manifestation 2014.jpg,Morgan Johansson
Sweden,Minister of Agriculture,Margareta Winberg,Q3430022,1998-10-07,2002-10-21,female,1947-08-13,,"MargaretaWinberg, June 12, 2013.jpg",Margareta Winberg
Sweden,Minister of Agriculture,Ann-Christin Nykvist,Q547580,2002-10-21,2006-10-06,female,1948-04-04,,,Ann-Christin Nykvist
Sweden,Minister of Agriculture,Eskil Erlandsson,Q3058054,2006-10-06,2010-10-05,male,1957-01-25,,"Eskil Erlandsson, 2010-09-19.jpg",Eskil Erlandsson
Sweden,Minister for Church Affairs,Marita Ulvskog,Q3115681,1994-10-07,2004-09-13,female,1951-09-04,,Marita Ulvskog 2009.jpg,Marita Ulvskog
Sweden,Minister for Church Affairs,Lena Hallengren,Q3431836,2004-09-13,2006-10-06,female,1973-12-25,,Visit of Swedish Minister for Health and Social Affairs (49468165378) (cropped).jpg,Lena Hallengren
Sweden,Minister for Church Affairs,Cecilia Stegö Chilò,Q447653,2006-10-06,2006-10-16,female,1959-03-25,,,Cecilia Stegö Chilò
Sweden,Minister for Church Affairs,Lena Adelsohn Liljeroth,Q297821,2006-10-24,2010-10-05,female,1955-11-24,,Modegalan2011 1c554 5259.Lena Adelsohn Liljeroth.jpg,Lena Adelsohn Liljeroth
Sweden,Minister for Church Affairs,Stefan Attefall,Q966884,2010-10-05,2014-10-03,male,1960-08-21,,"Stefan Attefall, 2014.jpg",Stefan Attefall
Sweden,Minister for Church Affairs,Alice Bah Kuhnke,Q4725739,2014-10-03,2019-01-21,female,1971-12-21,,Alice Bah Kuhnke 2014-12-17 001.jpg,Alice Bah Kuhnke
Sweden,Minister of Civil Affairs,Stefan Attefall,Q966884,2010-10-05,2014-10-03,male,1960-08-21,,"Stefan Attefall, 2014.jpg",Stefan Attefall
Sweden,Minister of Civil Affairs,Ardalan Shekarabi,Q4787806,2014-10-03,2019-09-30,male,1978-11-28,,Ardalan Shekarabi.jpg,Ardalan Shekarabi
Sweden,Minister of Civil Affairs,Lena Micko,Q4967237,2019-10-01,2021-11-30,female,1955-06-18,,Lena Micko.jpg,Lena Micko
Sweden,Minister of Civil Affairs,Ida Karkiainen,Q18451082,2021-11-30,2022-10-18,female,1988-05-10,,"Andersson Cabinet, nov 30, 2021 (cropped).jpg",Ida Karkiainen
Sweden,Minister of Civil Affairs,Erik Slottner,Q6181121,2022-10-18,,male,1980-04-16,,Erik Slottner 2014.jpg,Erik Slottner
Sweden,Minister for Civil Defence,Carl-Oskar Bohlin,Q5580727,2022-10-18,,male,1986-01-08,,Carl-Oskar Bohlin in 2022.jpg,Carl-Oskar Bohlin
Sweden,Minister for the Climate,Per Bolund,Q5581337,2021-02-05,2021-11-30,male,1971-07-03,,Per Bolund 2014.jpg,Per Bolund
Sweden,Minister for the Climate,Annika Strandhäll,Q4980750,2021-11-30,2022-10-18,female,1975-04-30,,Annika Strandhäll 2014.jpg,Annika Strandhäll
Sweden,Minister for the Climate,Romina Pourmokhtari,Q66493422,2022-10-18,,female,1995-11-12,,Romina Pourmokhtari 2019 (cropped).jpg,Romina Pourmokhtari
Sweden,Minister for Communications and Regional Policy,Björn Rosengren,Q3374466,1998-10-07,2002-10-16,male,1942-04-14,,Björn Rosengren.jpg,Björn Rosengren
Sweden,Minister for Consumer Affairs,Britta Lejon,Q4961658,1998-10-07,2002-10-15,female,1964-11-02,,Britta Lejon.JPG,Britta Lejon
Sweden,Minister for Consumer Affairs,Ann-Christin Nykvist,Q547580,2002-10-21,2006-10-06,female,1948-04-04,,,Ann-Christin Nykvist
Sweden,Minister for Consumer Affairs,Nyamko Sabuni,Q241851,2006-10-06,2010-10-05,female,1969-03-31,,Nyamko Sabuni (cropped).jpg,Nyamko Sabuni
Sweden,Minister for Consumer Affairs,Birgitta Ohlsson,Q429001,2010-10-05,2014-10-03,female,1975-07-20,,Birgitta Ohlsson.EU-dagen2011 1c379 6285.jpg,Birgitta Ohlsson
Sweden,Minister for Consumer Affairs,Per Bolund,Q5581337,2014-10-03,2019-01-21,male,1971-07-03,,Per Bolund 2014.jpg,Per Bolund
Sweden,Minister for Culture,Marita Ulvskog,Q3115681,1996-03-22,2004-09-13,female,1951-09-04,,Marita Ulvskog 2009.jpg,Marita Ulvskog
Sweden,Minister for Culture,Pär Nuder,Q320842,2004-09-13,2004-11-01,male,1963-02-27,,"Par Nuder, finansminister Sverige, under nordiskt finansministermote vid Nordiska radets session i Stockholm.jpg",Pär Nuder
Sweden,Minister for Culture,Leif Pagrotsky,Q3296958,2004-11-01,2006-10-06,male,1951-10-20,,Leif Pagrotsky.1c447 5167.jpg,Leif Pagrotsky
Sweden,Minister for Culture,Cecilia Stegö Chilò,Q447653,2006-10-06,2006-10-16,female,1959-03-25,,,Cecilia Stegö Chilò
Sweden,Minister for Culture,Lars Leijonborg,Q946818,2006-10-16,2006-10-24,male,1949-11-21,,"Lars Leijonborg, director of the Teskedsorden Foundation.jpg",Lars Leijonborg
Sweden,Minister for Culture,Lena Adelsohn Liljeroth,Q297821,2006-10-24,2014-10-03,female,1955-11-24,,Modegalan2011 1c554 5259.Lena Adelsohn Liljeroth.jpg,Lena Adelsohn Liljeroth
Sweden,Minister for Culture,Alice Bah Kuhnke,Q4725739,2014-10-03,2019-01-21,female,1971-12-21,,Alice Bah Kuhnke 2014-12-17 001.jpg,Alice Bah Kuhnke
Sweden,Minister for Culture,Amanda Lind,Q24018140,2019-01-21,2021-11-30,female,1980-08-02,,Amanda Lind - 2019 (48176996067) (cropped).jpg,Amanda Lind
Sweden,Minister for Culture,Jeanette Gustafsdotter,Q109828321,2021-11-30,2022-10-18,female,1965-12-24,,Kulturminister Jeanette Gustafsdotter.jpg,Jeanette Gustafsdotter
Sweden,Minister for Culture,Parisa Liljestrand,Q40321803,2022-10-18,,female,1983-03-15,,Parisa Liljestrand in 2022.jpg,Parisa Liljestrand
Sweden,Minister for Defence,Björn von Sydow,Q879773,1997-02-01,2002-09-30,male,1945-11-26,,"Bjorn von Sydow, talman Sveriges riksdag.jpg",Björn von Sydow
Sweden,Minister for Defence,Lena Hjelm-Wallén,Q460919,2002-09-30,2002-10-21,female,1943-01-14,,,Lena Hjelm-Wallén
Sweden,Minister for Defence,Pär Nuder,Q320842,2002-10-21,2002-11-03,male,1963-02-27,,"Par Nuder, finansminister Sverige, under nordiskt finansministermote vid Nordiska radets session i Stockholm.jpg",Pär Nuder
Sweden,Minister for Defence,Leni Björklund,Q547534,2002-11-04,2006-10-06,female,1944-07-05,,"Leni Bjorklund, forsvarsminister, Sverige (Bilden ar tagen vid Nordiska radets session i Oslo, 2003).jpg",Leni Björklund
Sweden,Minister for Defence,Mikael Odenberg,Q719015,2006-10-06,2007-09-05,male,1953-12-14,,Mikael Odenberg.jpg,Mikael Odenberg
Sweden,Minister for Defence,Sten Tolgfors,Q984112,2007-09-05,2012-03-29,male,1966-07-17,,Sten Tolgfors 080417-N-2855B-015 0ZNTX.jpg,Sten Tolgfors
