catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Moldova,President,Petru Lucinschi,Q355874,1997-01-15,2001-04-07,male,1940-01-27,,Petru Lucinschi 2000.jpg,Petru Lucinschi
Moldova,President,Vladimir Voronin,Q189435,2001-04-07,2009-09-11,male,1941-05-25,,"Msc 2008-Saturday, 16.00 - 18.00 Uhr-Zwez 002 Voronin.jpg",Vladimir Voronin
Moldova,President,Mihai Ghimpu,Q294473,2009-09-11,2010-12-28,male,1951-11-19,,Mihai Ghimpu Imagine.jpg,Mihai Ghimpu
Moldova,President,Vlad Filat,Q57685,2010-12-28,2010-12-30,male,1969-05-06,,Vladimir Filat.jpg,Vlad Filat
Moldova,President,Marian Lupu,Q312340,2010-12-30,2012-03-23,male,1966-06-20,,Marian Lupu Senate of Poland.JPG,Marian Lupu
Moldova,President,Nicolae Nasoc,Q57478,2012-03-22,2016-12-23,male,1948-12-22,,Nicolae Timofti.jpg,Nicolae Timofti
Moldova,President,Igor Dodon,Q4164146,2016-12-23,2020-12-24,male,1975-02-18,,Igor Dodon in the Russian State Duma (2018-11-21) 11.jpg,Igor Dodon
Moldova,President,Maia Sandu,Q15071069,2020-12-24,,female,1972-05-24,,Maia Sandu in October 2021.jpg,Maia Sandu
Moldova,Prime Minister,Dumitru Braghiș,Q1265040,1999-12-21,2001-03-19,male,1957-12-28,,Braghis.jpg,Dumitru Braghiș
Moldova,Prime Minister,Vasile Tarlev,Q182230,2001-04-19,2008-03-31,male,1963-10-06,,Василий Тарлев (23-02-2004).jpg,Vasile Tarlev
Moldova,Prime Minister,Zinaida Greceanîi,Q61299,2008-03-31,2009-09-14,female,1956-02-07,,"Zinaida Greceanîi, 2014 (cropped).jpg",Zinaida Greceanîi
Moldova,Prime Minister,Vitalie Pîrlog,Q1371619,2009-09-14,2009-09-25,male,1974-07-28,,,Vitalie Pîrlog
Moldova,Prime Minister,Vlad Filat,Q57685,2009-09-25,2013-03-25,male,1969-05-06,,Vladimir Filat.jpg,Vlad Filat
Moldova,Prime Minister,Iurie Leancă,Q58087,2013-04-25,2013-05-30,male,1963-10-20,,Iurie Leancă Senate of Poland.JPG,Iurie Leancă
Moldova,Prime Minister,Iurie Leancă,Q58087,2013-05-30,2015-02-18,male,1963-10-20,,Iurie Leancă Senate of Poland.JPG,Iurie Leancă
Moldova,Prime Minister,Chiril Gaburici,Q19281444,2015-02-18,2015-06-20,male,1976-11-23,,Кирилл Габурич (27-02-2015).jpg,Chiril Gaburici
Moldova,Prime Minister,Natalia Gherman,Q6968023,2015-06-22,2015-07-30,female,1969-03-20,,NataliaGherman̠Wien.jpg,Natalia Gherman
Moldova,Prime Minister,Valeriu Streleț,Q7911417,2015-07-30,2015-10-30,male,1970-03-08,,Валерий Стрелец (10-12-2015).jpg,Valeriu Streleț
Moldova,Prime Minister,Gheorghe Brega,Q15715802,2015-10-30,2016-01-20,male,1951-09-25,,Gheorghe Brega (01).png,Gheorghe Brega
Moldova,Prime Minister,Pavel Filip,Q7155601,2016-01-20,2019-06-08,male,1966-04-10,,Pavel Filip (11322438465) cropped.jpg,Pavel Filip
Moldova,Prime Minister,Maia Sandu,Q15071069,2019-06-08,2019-11-14,female,1972-05-24,,Maia Sandu in October 2021.jpg,Maia Sandu
Moldova,Prime Minister,Ion Chicu,Q75020865,2019-11-14,2020-12-31,male,1972-02-28,,Ion Chicu (2020-01-31).jpg,Ion Chicu
Moldova,Prime Minister,Aureliu Ciocoi,Q4822275,2020-12-31,2021-08-05,male,1968-06-05,,Aureliu Ciocoi (13-04-2021).jpg,Aureliu Ciocoi
Moldova,Prime Minister,Natalia Gavrilița,Q105193792,2021-08-06,,female,1977-09-21,,Natalia Gavrilița September 2021.jpg,Natalia Gavrilița
Moldova,First Deputy Prime Minister,Igor Dodon,Q4164146,2008-03-31,2009-09-14,male,1975-02-18,,Igor Dodon in the Russian State Duma (2018-11-21) 11.jpg,Igor Dodon
Moldova,Deputy Prime Minister,Valeriu Lazăr,Q7911407,2009-09-25,2013-05-30,male,1968-05-20,,Valeriu Lazăr (2015-06-19).png,Valeriu Lazăr
Moldova,Deputy Prime Minister,Mihail Moldovanu,Q6845152,2011-01-14,2013-05-16,male,1965-06-07,,,Mihai Moldovanu
Moldova,Deputy Prime Minister,Natalia Gherman,Q6968023,2013-05-30,2016-01-20,female,1969-03-20,,NataliaGherman̠Wien.jpg,Natalia Gherman
Moldova,Deputy Prime Minister,Tatiana Potîng,Q13461378,2013-05-31,2015-02-18,female,1971-02-04,,,Tatiana Potîng
Moldova,Deputy Prime Minister,Gheorghe Brega,Q15715802,2015-07-30,2017-05-30,male,1951-09-25,,Gheorghe Brega (01).png,Gheorghe Brega
Moldova,Deputy Prime Minister,Andrei Galbur,Q22236317,2016-01-20,2017-12-21,male,1975-07-05,,Andrei Galbur.jpg,Andrei Galbur
Moldova,Deputy Prime Minister,Andrei Năstase,Q21746918,2019-06-08,2019-11-12,male,1975-08-06,,Andrei Năstase in November 2017.jpg,Andrei Năstase
Moldova,Deputy Prime Minister,Andrei Spînu,Q108051533,2021-08-06,,male,1986-06-10,,,Andrei Spînu
Moldova,Deputy Prime Minister,Nicu Popescu,Q65640221,2021-08-06,,male,1981-04-25,,Rick Perry and Nicu Popescu in September 2019 (cropped).jpg,Nicu Popescu
Moldova,Deputy Prime Minister for Digitization,Iurie Țurcanu,Q108051891,2021-08-06,,male,1973-06-21,,,Iurie Țurcanu
Moldova,Deputy Prime Minister for Reintegration,Vladislav Kulminski,Q108051638,2021-08-06,2021-11-05,male,1972-10-24,,"Onica, Kulminski, Socor.jpg",Vladislav Kulminski
Moldova,Minister of Agriculture and Food Industry,Vasile Bîtca,Q20429568,2017-07-25,2017-12-21,male,1971-12-01,,,Vasile Bîtca
Moldova,Minister of Agriculture and Food Industry,Georgeta Mincu,Q105516319,2019-06-08,2019-11-14,female,,,,Georgeta Mincu
Moldova,Minister of Agriculture and Food Industry,Ion Perju,Q85981914,2019-11-14,2021-08-05,male,1971-11-05,,,Ion Perju
Moldova,Minister of Agriculture and Food Industry,Viorel Gherciu,Q108213032,2021-08-05,,male,1979-11-29,,,Viorel Gherciu
Moldova,Minister of Culture,Artur Cozma,Q12721040,2005-04-19,2008-12-01,male,1967-04-22,,,
Moldova,Minister of Culture,Mihail Barbulat,Q18537708,2009-06-10,2009-09-25,male,1971-02-19,,,
Moldova,Minister of Culture,Boris Focșa,Q4945252,2009-09-25,2013-05-30,male,1968-05-10,,,Boris Focșa
Moldova,Minister of Culture,Monica Babuc,Q15071201,2013-05-30,2017-07-26,female,1964-03-29,,Monica Babuc (01).jpg,Monica Babuc
Moldova,Minister of Culture,Sergiu Prodan,Q108215636,2021-08-05,,male,1963-12-09,,,Sergiu Prodan
Moldova,Minister of Defence,Boris Gămurari,Q12722888,1999-05,2001-03,male,1946-12-01,,,
