catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
China,member of the National People's Congress,Tömür Dawamat,Q7862340,1964,2003,male,1927-06-16,2018-12-19,1964-11 1964年 左侧为新疆副主席铁木尔·达瓦买提.jpg,Tömür Dawamat
China,member of the National People's Congress,Teng Weiping,Q10396715,2003-03-05,,male,1952,,,
China,member of the National People's Congress,Peter Wong Man-kong,Q10414618,2003-03-05,2019-03-11,male,1949-01-09,2019-03-11,,Peter Wong Man-kong
China,member of the National People's Congress,Dong Wanrui,Q10513400,2003-03-05,2017-02-09,male,1941-03,2017-02-09,,
China,member of the National People's Congress,Li Zhi,Q1055012,2003-03-05,,male,1950-11,,Li Zhi CPC.jpg,Li Zhi (politician)
China,member of the National People's Congress,Wei Liucheng,Q1055351,2003-03-05,,male,1946-08-17,,,Wei Liucheng
China,member of the National People's Congress,Su Rong,Q1059126,2003-03-05,,male,1948,,,Su Rong
China,member of the National People's Congress,Yang Chuantang,Q1059497,2003-03-05,,male,1954-05,,Yang Chuantang.png,Yang Chuantang
China,member of the National People's Congress,Cheng Siwei,Q1069897,2003-03-05,2015-07-12,male,1935,2015-07-12,Flickr - World Economic Forum - Cheng Siwei - Annual Meeting of the New Champions Tianjin 2008.jpg,Cheng Siwei
China,member of the National People's Congress,冯月菊,Q10895362,2003-03-05,,female,1955,,,
China,member of the National People's Congress,刘淑莹,Q10897765,2003-03-05,,female,1943,,,
China,member of the National People's Congress,刘秀梵,Q10897863,2003-03-05,,,1941,,,
China,member of the National People's Congress,刘立军,Q10897873,2003-03-05,,,1953,,,
China,member of the National People's Congress,吴新春,Q10919538,2003-03-05,,female,1972,,,
China,member of the National People's Congress,唐晓青,Q10922813,2003-03-05,,female,1953,,,
China,member of the National People's Congress,夜礼斌,Q10933258,2003-03-05,,,1957,,,
China,member of the National People's Congress,宋作文,Q10947377,2003-03-05,,,1947,,,
China,member of the National People's Congress,Zhang Xinqi,Q11067178,2003-03-05,,male,1956,,,Zhang Xinqi
China,member of the National People's Congress,明生,Q11088147,2003-03-05,,,1960-09,,,
China,member of the National People's Congress,李定国 (医生),Q11096079,2003-03-05,,male,1946,,,
China,member of the National People's Congress,楊業功,Q11118544,2003-03-05,2004-07,,1945,2004-07,,
China,member of the National People's Congress,Wu Sihai,Q11123918,2003-03-05,,male,1945,,,
China,member of the National People's Congress,永仲嘎瓦,Q11131091,2003-03-05,2007-12-24,,1937-01,2007-12-24,,
China,member of the National People's Congress,Wang Yu,Q11137009,2003-03-05,,male,1964,,,Wang Yu (general)
China,member of the National People's Congress,Shen Chunyao,Q11138405,2003-03-05,,male,1960,,,
China,member of the National People's Congress,Joseph Huang Bingzhang,Q11177990,2003-03-05,,male,1967-01,,,Joseph Huang Bingzhang
China,member of the National People's Congress,龚敬政,Q11181951,2003-03-05,,,1959,,,
China,member of the National People's Congress,Meng Xuenong,Q1138806,2003-03-05,,male,1949-08-08,,,Meng Xuenong
China,member of the National People's Congress,Raymond Wu,Q12117497,2003-03-05,2006-10-03,male,1936-05-15,2006-10-03,,Raymond Wu (politician)
China,member of the National People's Congress,Ding Shisun,Q1226358,2003-03-05,2019-10-12,male,1927-09-05,2019-10-12,,Ding Shisun
China,member of the National People's Congress,Zhang Haipeng,Q13625800,2003-03-05,,male,1939-05,,,
China,member of the National People's Congress,Ismail Amat,Q1412041,2003-03-05,2018-10-16,male,1935-09,2018-10-16,,Ismail Amat
China,member of the National People's Congress,刘佩琼,Q1440846,2003-03-05,,female,1945,,劉佩瓊.jpg,
China,member of the National People's Congress,Hu Jintao,Q15029,2003-03-05,,male,1942-12-21,,Hu Jintao at White House 2011.jpg,Hu Jintao
China,member of the National People's Congress,Xi Jinping,Q15031,2003-03-05,,male,1953-06-15,,Xi Jinping 2019 (49060546152) 2.jpg,Xi Jinping
China,member of the National People's Congress,Ng Leung-sing,Q1522364,2003-03-05,,male,1949-07-11,,,Ng Leung-sing
China,member of the National People's Congress,Wang Hongzhang,Q1526821,2003-03-05,,male,1954-07,,,Wang Hongzhang
China,member of the National People's Congress,Han Qide,Q1574134,2003-03-05,,male,1945,,Gundars Daudze tiekas ar Ķīnas parlamenta priekšsēdētāja vietnieku (5739855908).jpg,Han Qide
China,member of the National People's Congress,Jiang Zuojun,Q15910622,2003-03-05,,male,1955,,,
China,member of the National People's Congress,Jiang Minhua,Q15914021,2003-03-05,2011-05-06,male,1935-08-16,2011-05-06,,
China,member of the National People's Congress,Xu Shaohua,Q15914073,2003-03-05,,male,1958-01,,,Xu Shaohua (politician)
China,member of the National People's Congress,马克宁,Q15915361,2003-03-05,,female,1952,,,
China,member of the National People's Congress,Zhang Jian,Q15916993,2003-03-05,,,1952,,,
China,member of the National People's Congress,He Luli,Q1592181,2003-03-05,2022-03-19,female,1934-06-07,2022-03-19,,He Luli
China,member of the National People's Congress,Huang Wei,Q15923191,2003-03-05,,female,1952-08,,,
China,member of the National People's Congress,陈忠林,Q15924010,2003-03-05,,,1951,,,
China,member of the National People's Congress,Tian Jie,Q15925224,2003-03-05,,male,1958,,,
China,member of the National People's Congress,Fang Ming,Q15928795,2003-03-05,,male,1941,,,
China,member of the National People's Congress,Li Jinzao,Q15930235,2003-03-05,,male,1958,,,Li Jinzao
