catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Turkey,Member of the Grand National Assembly of Turkey,Mesut Yılmaz,Q366692,1983-11-24,2002-11-03,male,1947-11-06,2020-10-30,,Mesut Yılmaz
Turkey,Member of the Grand National Assembly of Turkey,Abdullah Gül,Q42852,1991,2007,male,1950-10-29,,Abdullah Gül (cropped version).jpg,Abdullah Gül
Turkey,Member of the Grand National Assembly of Turkey,Sema Tutar Pişkinsut,Q106233798,1999-04-18,2002-11-14,female,1952,,,
Turkey,Member of the Grand National Assembly of Turkey,Gönül Saray,Q106233964,1999-04-18,2002-11-14,female,,,,
Turkey,Member of the Grand National Assembly of Turkey,Ayşe Gürocak,Q106233975,1999-04-18,2002-11-14,female,,,,
Turkey,Member of the Grand National Assembly of Turkey,Nesrin Ünal,Q106233988,1999-04-18,2002-11-14,female,,,,
Turkey,Member of the Grand National Assembly of Turkey,Sebahat Vardar,Q106234053,1999-04-18,2002-11-14,female,1943,,,
Turkey,Member of the Grand National Assembly of Turkey,Melek Karaca,Q106234054,1999-04-18,2002-11-14,female,1944,,,
Turkey,Member of the Grand National Assembly of Turkey,Yücel Erdener,Q106234055,1999-04-18,2002-11-14,female,,,,
Turkey,Member of the Grand National Assembly of Turkey,Ayşe Nazlı Ilıcak,Q106234056,1999-04-18,2002-11-14,female,,,,
Turkey,Member of the Grand National Assembly of Turkey,Sulhiye Şanslı,Q106234057,1999-04-18,2002-11-14,female,,,,
Turkey,Member of the Grand National Assembly of Turkey,Perihan Yılmaz Köse,Q106234058,1999-04-18,2002-11-14,female,,,,
Turkey,Member of the Grand National Assembly of Turkey,Güler Aslan,Q106234059,1999-04-18,2002-11-14,female,,,,
Turkey,Member of the Grand National Assembly of Turkey,Sevgi Esen,Q106234060,1999-04-18,2002-11-14,female,1947,,,
Turkey,Member of the Grand National Assembly of Turkey,Tayyibe Gülek,Q12812097,1999-04-18,2002-11-14,female,1968,,,Tayyibe Gülek
Turkey,Member of the Grand National Assembly of Turkey,Melda Bayer,Q6021213,1999-04-18,2002-11-14,female,1950,,,Melda Bayer
Turkey,Member of the Grand National Assembly of Turkey,Oya Akgönenç Muğisuddin,Q6042760,1999-04-18,2002-11-14,female,1939-01-11,2018-10-17,,
Turkey,Member of the Grand National Assembly of Turkey,Bekir Aksoy,Q6045220,1999-04-18,2002-11-14,male,1950-09-15,,,
Turkey,Member of the Grand National Assembly of Turkey,Lütfi Doğan,Q6078831,1999-04-18,2002-11-14,male,1930,,,
Turkey,Member of the Grand National Assembly of Turkey,İsmail Kahraman,Q6043452,1999-05-02,2002-11-03,male,1940-12-07,,İsmail Kahraman MeclisBaskani.jpg,İsmail Kahraman
Turkey,Member of the Grand National Assembly of Turkey,Oğuzhan Asiltürk,Q6076713,1999-05-02,2002-10-01,male,1935-05-25,2021-10-01,Oğuzhan Asiltürk.jpg,Oğuzhan Asiltürk
Turkey,Member of the Grand National Assembly of Turkey,Dengir Mir Mehmet Fırat,Q611851,1999-05-02,2002-11-14,male,1943-08-08,2019-07-11,Dengir Mir Mehmet Fırat 2015-March (cropped).jpg,Dengir Mir Mehmet Fırat
Turkey,Member of the Grand National Assembly of Turkey,Muharrem İnce,Q6080205,2002,2018,male,1964-05-04,,Muharrem İnce.jpg,Muharrem İnce
Turkey,Member of the Grand National Assembly of Turkey,Burhan Kuzu,Q12808962,2002-11-03,2015-06-07,male,1955-01-01,2020-11-01,Burhankuzu.png,Burhan Kuzu
Turkey,Member of the Grand National Assembly of Turkey,Fatma Şahin,Q524109,2002-11-03,2015-06-07,female,1966-06-20,,"Fatma Sahin - World Economic Forum on the Middle East, North Africa and Eurasia 2012.jpg",Fatma Şahin
Turkey,Member of the Grand National Assembly of Turkey,Binali Yıldırım,Q863496,2002-11-03,2007-07-22,male,1955-12-20,,Portrait of Binali Yıldırım (cropped).jpg,Binali Yıldırım
Turkey,Member of the Grand National Assembly of Turkey,Nevingaye Erbatur,Q106238985,2002-11-14,2007-07-23,female,1950,,,
Turkey,Member of the Grand National Assembly of Turkey,Ayhan Zeynep Tekin Börü,Q106238986,2002-11-14,2007-07-23,female,1950,,,
Turkey,Member of the Grand National Assembly of Turkey,Reyhan Tugay,Q106238987,2002-11-14,2007-07-23,female,1969,,,
Turkey,Member of the Grand National Assembly of Turkey,Remziye Öztoprak,Q106238988,2002-11-14,2007-07-23,female,1949,,,
Turkey,Member of the Grand National Assembly of Turkey,Zeynep Damla Gürel,Q106238989,2002-11-14,2007-07-23,female,,,,
Turkey,Member of the Grand National Assembly of Turkey,Güldal Okuducu,Q106238990,2002-11-14,2007-07-23,female,1958,,,
Turkey,Member of the Grand National Assembly of Turkey,Inci Özdemir,Q106239092,2002-11-14,2007-07-23,female,1952,,,
Turkey,Member of the Grand National Assembly of Turkey,Sıdıka Sarıbekir,Q106239093,2002-11-14,2007-07-23,female,,,,
Turkey,Member of the Grand National Assembly of Turkey,Gülseren Topuz,Q106239094,2002-11-14,2007-07-23,female,,,,
Turkey,Member of the Grand National Assembly of Turkey,Zeynep Armağan Uslu,Q106239095,2002-11-14,2007-07-23,female,,,,
Turkey,Member of the Grand National Assembly of Turkey,Fatma Seniha Nükhet Hotar,Q106239096,2002-11-14,2007-07-23,female,1961,,,
Turkey,Member of the Grand National Assembly of Turkey,Türkân Miçooğulları,Q106239097,2002-11-14,2007-07-23,female,,,,
Turkey,Member of the Grand National Assembly of Turkey,Mustafa Sait Yazıcıoğlu,Q1955567,2002-11-14,2007-07-23,male,1949-02-22,,,Mustafa Sait Yazıcıoğlu
Turkey,Member of the Grand National Assembly of Turkey,Özlem Çerçioğlu,Q6061075,2002-11-14,2019-03-31,female,1968-08-11,,ÖzlemÇerçioğlu.jpg,Özlem Çerçioğlu
Turkey,Member of the Grand National Assembly of Turkey,Tayyar Altıkulaç,Q6083175,2002-11-14,2007-07-23,male,1938,,,
Turkey,Member of the Grand National Assembly of Turkey,Dengir Mir Mehmet Fırat,Q611851,2002-11-14,2007-07-23,male,1943-08-08,2019-07-11,Dengir Mir Mehmet Fırat 2015-March (cropped).jpg,Dengir Mir Mehmet Fırat
Turkey,Member of the Grand National Assembly of Turkey,Kemal Kılıçdaroğlu,Q44332,2002-11-18,,male,1948-12-17,,Kemal Kılıçdaroğlu cropped.jpg,Kemal Kılıçdaroğlu
Turkey,Member of the Grand National Assembly of Turkey,Recep Tayyip Erdoğan,Q39259,2003-03-09,2014-08-28,male,1954-02-26,,Meeting between the President of the Republic of Turkey and President of Ukraine in 2022 (7) (cropped).jpg,Recep Tayyip Erdoğan
Turkey,Member of the Grand National Assembly of Turkey,Mesut Yılmaz,Q366692,2007-07-22,2011-06-12,male,1947-11-06,2020-10-30,,Mesut Yılmaz
Turkey,Member of the Grand National Assembly of Turkey,Binali Yıldırım,Q863496,2007-07-22,2011-06-12,male,1955-12-20,,Portrait of Binali Yıldırım (cropped).jpg,Binali Yıldırım
Turkey,Member of the Grand National Assembly of Turkey,Mehmet Şimşek,Q945364,2007-07-22,,male,1967-01-01,,Turkey's Minister of Finance Mehmet Simsek (15943285911) (cropped).jpg,Mehmet Şimşek
Turkey,Member of the Grand National Assembly of Turkey,Fatma Seniha Nükhet Hotar,Q106239096,2007-07-23,2011-06-28,female,1961,,,
Turkey,Member of the Grand National Assembly of Turkey,Selahattin Demirtaş,Q1395724,2007-07-23,2011-04-23,male,1973-04-10,,Selahattin Demirtaş 2015-12-18 (cropped).jpg,Selahattin Demirtaş
Turkey,Member of the Grand National Assembly of Turkey,Aysel Tuğluk,Q179582,2007-07-23,2011-06-28,female,1965-07-17,,AyselTugluk.jpg,Aysel Tuğluk
Turkey,Member of the Grand National Assembly of Turkey,Mustafa Sait Yazıcıoğlu,Q1955567,2007-07-23,2011-06-28,male,1949-02-22,,,Mustafa Sait Yazıcıoğlu
Turkey,Member of the Grand National Assembly of Turkey,Ahmet Türk,Q401947,2007-07-23,2011-04-23,male,1942-07-02,,Ahmet Türk.jpg,Ahmet Türk
Turkey,Member of the Grand National Assembly of Turkey,Sebahat Tuncel,Q464682,2007-07-23,2011-06-28,female,1975-07-05,,Sebahat Tuncel.jpg,Sebahat Tuncel
Turkey,Member of the Grand National Assembly of Turkey,Şahin Mengü,Q6029691,2007-07-23,2011-04-23,male,1948-04-04,,,
Turkey,Member of the Grand National Assembly of Turkey,Bekir Aksoy,Q6045220,2007-07-23,2011-06-28,male,1950-09-15,,,
Turkey,Member of the Grand National Assembly of Turkey,Zeynep Dağı,Q6084792,2007-07-23,2011-06-28,female,1964-12-20,,,
Turkey,Member of the Grand National Assembly of Turkey,Dengir Mir Mehmet Fırat,Q611851,2007-07-23,2011-06-28,male,1943-08-08,2019-07-11,Dengir Mir Mehmet Fırat 2015-March (cropped).jpg,Dengir Mir Mehmet Fırat
Turkey,Member of the Grand National Assembly of Turkey,Recep Gürkan,Q17431732,2011,2014,male,1964-08-01,,Recep Gürkan.jpg,Recep Gürkan
Turkey,Member of the Grand National Assembly of Turkey,Aykan Erdemir,Q6082834,2011,2015,male,1974-07-28,,Aykar Aydemir in 2020 (7).png,Aykan Erdemir
Turkey,Member of the Grand National Assembly of Turkey,Hakan Şükür,Q192974,2011-06-12,2015-06-23,male,1971-09-01,,Hakan.jpg,Hakan Şükür
Turkey,Member of the Grand National Assembly of Turkey,Mustafa Şentop,Q21044620,2011-06-12,,male,1968-08-06,,Mustafa Şentop.jpg,Mustafa Şentop
Turkey,Member of the Grand National Assembly of Turkey,Binali Yıldırım,Q863496,2011-06-12,2015-06-07,male,1955-12-20,,Portrait of Binali Yıldırım (cropped).jpg,Binali Yıldırım
Turkey,Member of the Grand National Assembly of Turkey,Selahattin Demirtaş,Q1395724,2011-06-20,2014,male,1973-04-10,,Selahattin Demirtaş 2015-12-18 (cropped).jpg,Selahattin Demirtaş
Turkey,Member of the Grand National Assembly of Turkey,Ertuğrul Kürkcü,Q1362522,2011-06-28,2015-04-23,male,1948-05-05,,Ertuğrul Kürkçü (cropped).jpg,Ertuğrul Kürkçü
Turkey,Member of the Grand National Assembly of Turkey,Aysel Tuğluk,Q179582,2011-06-28,2015-06-23,female,1965-07-17,,AyselTugluk.jpg,Aysel Tuğluk
Turkey,Member of the Grand National Assembly of Turkey,Ahmet Salih Dal,Q21523939,2011-06-28,2015-06-23,male,1971-03-02,,,
Turkey,Member of the Grand National Assembly of Turkey,Pervin Buldan,Q458740,2011-06-28,2014-04-28,female,1967-11-06,,"Pervin Buldan, 3 July 2022 (cropped).jpg",Pervin Buldan
Turkey,Member of the Grand National Assembly of Turkey,Sebahat Tuncel,Q464682,2011-06-28,2014-04-28,female,1975-07-05,,Sebahat Tuncel.jpg,Sebahat Tuncel
Turkey,Member of the Grand National Assembly of Turkey,Murat Bozlak,Q6040992,2011-06-28,2015-01-04,male,1952-12-30,2015-01-04,Murat Bozlak.jpg,Murat Bozlak
Turkey,Member of the Grand National Assembly of Turkey,Şirin Ünal,Q65499589,2011-06-28,2015-06-23,male,1954-08-11,,,
Turkey,Member of the Grand National Assembly of Turkey,Sırrı Süreyya Önder,Q982389,2011-06-28,2014-04-28,male,1962-07-07,,Sırrı Süreyya Önder.jpg,Sırrı Süreyya Önder
Turkey,Member of the Grand National Assembly of Turkey,Şafak Pavey,Q8082384,2012,2017-09-15,female,1976-07-10,,Şafak Pavey (cropped).jpg,Şafak Pavey
Turkey,Member of the Grand National Assembly of Turkey,Selahattin Demirtaş,Q1395724,2014,2015-04-23,male,1973-04-10,,Selahattin Demirtaş 2015-12-18 (cropped).jpg,Selahattin Demirtaş
Turkey,Member of the Grand National Assembly of Turkey,Pervin Buldan,Q458740,2014-04-28,2015-04-23,female,1967-11-06,,"Pervin Buldan, 3 July 2022 (cropped).jpg",Pervin Buldan
Turkey,Member of the Grand National Assembly of Turkey,Sebahat Tuncel,Q464682,2014-04-28,2015-06-23,female,1975-07-05,,Sebahat Tuncel.jpg,Sebahat Tuncel
Turkey,Member of the Grand National Assembly of Turkey,Sırrı Süreyya Önder,Q982389,2014-04-28,2015-04-23,male,1962-07-07,,Sırrı Süreyya Önder.jpg,Sırrı Süreyya Önder
Turkey,Member of the Grand National Assembly of Turkey,Faruk Çaturoğlu,Q43303407,2015,2018-06-24,male,1961-09-09,,,
Turkey,Member of the Grand National Assembly of Turkey,Garo Paylan,Q20164837,2015-06-07,,male,1972-10-03,,Garo Paylan interview.jpg,Garo Paylan
Turkey,Member of the Grand National Assembly of Turkey,Ertan Aydın,Q31188530,2015-06-07,,male,1971-06-06,,,
Turkey,Member of the Grand National Assembly of Turkey,Berat Albayrak,Q6052158,2015-06-07,,male,1978-01-01,,Berat Albayrak at the EU-Turkey High Level Economic Dialogue.jpg,Berat Albayrak
Turkey,Member of the Grand National Assembly of Turkey,Fatma Seniha Nükhet Hotar,Q106239096,2015-06-23,2015-11-01,female,1961,,,
Turkey,Member of the Grand National Assembly of Turkey,Ertuğrul Kürkcü,Q1362522,2015-06-23,2015-10-01,male,1948-05-05,,Ertuğrul Kürkçü (cropped).jpg,Ertuğrul Kürkçü
Turkey,Member of the Grand National Assembly of Turkey,Selahattin Demirtaş,Q1395724,2015-06-23,2015-10-01,male,1973-04-10,,Selahattin Demirtaş 2015-12-18 (cropped).jpg,Selahattin Demirtaş
Turkey,Member of the Grand National Assembly of Turkey,Gülser Yıldırım,Q17045708,2015-06-23,2015-11-01,female,1963,,,Gülser Yıldırım
Turkey,Member of the Grand National Assembly of Turkey,Mithat Sancar,Q20472571,2015-06-23,2015-11-01,male,1963,,"Mithat Sancar, March 2022 (cropped).jpg",Mithat Sancar
Turkey,Member of the Grand National Assembly of Turkey,Dilek Öcalan,Q20640548,2015-06-23,2015-11-01,female,1987-10-03,,Dilek Öcalan.jpg,Dilek Öcalan
Turkey,Member of the Grand National Assembly of Turkey,Eren Erdem,Q20790440,2015-06-23,2015-11-01,male,1986-08-14,,Eren Erdem Adalet Kurultayı.jpg,Eren Erdem
Turkey,Member of the Grand National Assembly of Turkey,Selin Sayek Böke,Q21044822,2015-06-23,2015-11-01,female,1972-08-28,,Selin Sayek Böke (cropped).png,Selin Sayek Böke
Turkey,Member of the Grand National Assembly of Turkey,Ravza Kavakcı Kan,Q21540262,2015-06-23,2015-11-01,female,1972-03-30,,Ravza Kavakçı Kan.jpg,Ravza Kavakçı Kan
Turkey,Member of the Grand National Assembly of Turkey,Mehmet Ali Aslan,Q21931907,2015-06-23,2015-11-01,male,1975,,,Mehmet Ali Aslan
Turkey,Member of the Grand National Assembly of Turkey,Özlem Zengin,Q24572182,2015-06-23,2015-10-01,female,1969-09-09,,,Özlem Zengin
Turkey,Member of the Grand National Assembly of Turkey,Leyla Birlik,Q24651544,2015-06-23,2015-11-01,female,1974-03-03,,Layla Birlik budget speech.jpg,Leyla Birlik
Turkey,Member of the Grand National Assembly of Turkey,Abdurrahman Öz,Q31188708,2015-06-23,2015-11-01,male,1971-04-26,,,
Turkey,Member of the Grand National Assembly of Turkey,Orhan Miroğlu,Q379868,2015-06-23,2015-11-01,male,1952-03-11,,,Orhan Miroğlu
Turkey,Member of the Grand National Assembly of Turkey,Erol Dora,Q521980,2015-06-23,2015-11-01,male,1964-02-02,,,Erol Dora
Turkey,Member of the Grand National Assembly of Turkey,Osman Baydemir,Q735674,2015-06-23,2015-10-01,male,1971-01-01,,Osman Baydemir-2017.jpg,Osman Baydemir
Turkey,Member of the Grand National Assembly of Turkey,Mücahit Durmuşoğlu,Q95385159,2015-06-23,2015-11-01,male,1965,,,
Turkey,Member of the Grand National Assembly of Turkey,Sırrı Süreyya Önder,Q982389,2015-06-23,2015-11-01,male,1962-07-07,,Sırrı Süreyya Önder.jpg,Sırrı Süreyya Önder
Turkey,Member of the Grand National Assembly of Turkey,Burhan Kuzu,Q12808962,2015-11-01,2018-06-24,male,1955-01-01,2020-11-01,Burhankuzu.png,Burhan Kuzu
Turkey,Member of the Grand National Assembly of Turkey,Muharrem Erkek,Q24028989,2015-11-01,2018-06-24,male,1969-08-31,,Muharrem Erkek (cropped).png,
Turkey,Member of the Grand National Assembly of Turkey,Celal Doğan,Q1052749,2015-11-17,2018-06-24,male,1943-08-01,,Celaldoğan.png,
Turkey,Member of the Grand National Assembly of Turkey,Muhammet Balta,Q105773278,2015-11-17,2018-06-24,male,1966,,,
Turkey,Member of the Grand National Assembly of Turkey,Mustafa Yel,Q106147927,2015-11-17,2018-06-24,male,1968-07-21,,,
Turkey,Member of the Grand National Assembly of Turkey,Yusuf Beyazıt,Q106148029,2015-11-17,2018-06-24,male,1962,,,
