catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Kazakhstan,President,Nursultan Nazarbayev,Q57394,1991-12-16,2019-03-20,male,1940-07-06,,Nazarbayev Portrait.jpg,Nursultan Nazarbayev
Kazakhstan,President,Kassym-Jomart Tokayev,Q200881,2019-03-20,,male,1953-05-17,,Kassym-Jomart Tokayev (19-08-2022).jpg,Kassym-Jomart Tokayev
Kazakhstan,Prime Minister,Imangali Tasmagambetov,Q1377525,2002-01-22,2003-06-11,male,1956-12-09,,Тасмагамбетов Имангали Нургалиевич (cropped).jpg,Imangali Tasmagambetov
Kazakhstan,Prime Minister,Serik Akhmetov,Q57863,2012-09-24,2014-04-02,male,1958-06-25,,Serik Ahmetov.jpg,Serik Akhmetov
Kazakhstan,Prime Minister,Karim Massimov,Q209639,2014-04-02,2016-09-08,male,1965-06-15,,Karim Masimov.jpg,Karim Massimov
Kazakhstan,Prime Minister,Bakhytzhan Sagintayev,Q4404442,2016-09-08,2019-02-21,male,1963-10-13,,Sagintayev 2016.jpg,Bakhytjan Sagintayev
Kazakhstan,Prime Minister,Askar Mamin,Q527063,2019-02-21,2022-01-05,male,1965-10-23,,Askar Mamin official portrait.jpg,Asqar Mamin
Kazakhstan,Prime Minister,Alihan Smaiylov,Q56825894,2022-01-05,,male,1972-12-18,,Älihan Smaiylov (2022-01-24) (cropped).jpg,Älihan Smaiylov
Kazakhstan,Deputy Prime Minister,Karim Massimov,Q209639,2001-11-27,2003-06,male,1965-06-15,,Karim Masimov.jpg,Karim Massimov
Kazakhstan,Deputy Prime Minister,Karim Massimov,Q209639,2006-01-18,2007-01-10,male,1965-06-15,,Karim Masimov.jpg,Karim Massimov
Kazakhstan,Deputy Prime Minister,Serik Akhmetov,Q57863,2009-03-03,2009-11-16,male,1958-06-25,,Serik Ahmetov.jpg,Serik Akhmetov
Kazakhstan,Deputy Prime Minister,Dariga Nazarbayeva,Q376532,2015-09-11,2016-09-13,female,1963-05-07,,Dariga Nazarbayeva 2019-10-17 (cropped).jpg,Dariga Nazarbayeva
Kazakhstan,Deputy Prime Minister,Erbolat Dosaev,Q4167136,2017-08-29,2019-02-25,male,1970-05-21,,Erbolat Dosaev (2018-05-10) (cropped).jpg,Erbolat Dosaev
Kazakhstan,Deputy Prime Minister,Mukhtar Tleuberdi,Q70254110,2019-09-08,,male,1968-06-30,,Mukhtar Tileuberdi (2020-02-02).jpg,Mukhtar Tleuberdi
Kazakhstan,Deputy Prime Minister,Sklyar Roman Vasilyevich,Q16436743,2019-09-18,2022-01-05,male,1971-05-08,,Roman Sklyar (2017-09-26) (cropped).jpg,Roman Sklyar
Kazakhstan,Deputy Prime Minister,Eraly Togjanov,Q16436597,2020-02-11,2022-08-31,male,1963-05-13,,Eraly Tugjanov (2016-04-06).jpg,Eraly Togjanov
Kazakhstan,Deputy Prime Minister,Bakhyt Sultanov,Q4445713,2022-01-11,2022-08-15,male,1971-11-29,,Бахыт Султанов (16-11-2021).jpg,Bakhyt Sultanov
Kazakhstan,Deputy Prime Minister,Erulan Jamaubaev,Q97185700,2022-03-29,,male,1974-03-25,,,Erulan Jamaubaev
Kazakhstan,Deputy Prime Minister,Serik Zhumangarin,Q113548929,2022-08-15,,male,1969-07-22,,,
Kazakhstan,First Deputy Prime Minister,Serik Akhmetov,Q57863,2012-01-20,2012-09-24,male,1958-06-25,,Serik Ahmetov.jpg,Serik Akhmetov
Kazakhstan,First Deputy Prime Minister,Krymbek Kusherbayev,Q4250192,2012-09-26,2013-01-16,male,1955-05-20,,Kusherbayev Krymbek.jpg,Krymbek Kusherbayev
Kazakhstan,First Deputy Prime Minister,Bakhytzhan Sagintayev,Q4404442,2013-01-16,2016-09-08,male,1963-10-13,,Sagintayev 2016.jpg,Bakhytjan Sagintayev
Kazakhstan,First Deputy Prime Minister,Alihan Smaiylov,Q56825894,2019-02-25,2022-01-05,male,1972-12-18,,Älihan Smaiylov (2022-01-24) (cropped).jpg,Älihan Smaiylov
Kazakhstan,First Deputy Prime Minister,Sklyar Roman Vasilyevich,Q16436743,2022-01-11,,male,1971-05-08,,Roman Sklyar (2017-09-26) (cropped).jpg,Roman Sklyar
Kazakhstan,Minister of Agriculture,Sauat Mynbayev,Q2226968,1999-07-26,2001-05-18,male,1962-11-19,,Azarov.jpg,Sauat Mynbayev
Kazakhstan,Minister of Agriculture,Akhmetzhan Yessimov,Q340561,2001-05-18,2004-05-15,male,1950-12-15,,AEsimov2013.jpg,Akhmedjan Essimov
Kazakhstan,Minister of Agriculture,Askar Myrzakhmetov,Q4309432,2005-08-25,2006-01-19,male,1962-10-01,,Askar Myrzakhmetov.jpg,Askar Myrzakhmetov
Kazakhstan,Minister of Agriculture,Akhmetzhan Yessimov,Q340561,2006-01-19,2008-04-04,male,1950-12-15,,AEsimov2013.jpg,Akhmedjan Essimov
Kazakhstan,Minister of Agriculture,Asyljan Mamytbekov,Q12530375,2011-04-11,2016-05-06,male,1968-09-17,,,Asyljan Mamytbekov
Kazakhstan,Minister of Agriculture,Askar Myrzakhmetov,Q4309432,2016-05-06,2017-12-15,male,1962-10-01,,Askar Myrzakhmetov.jpg,Askar Myrzakhmetov
Kazakhstan,Minister of Agriculture,Umirzak Shukeyev,Q4527445,2017-12-15,2019-02-25,male,1964-03-12,,"Omirzaq Shukeev, April 2013.jpg",Umirzak Shukeyev
Kazakhstan,Minister of Agriculture,Saparhan Omarov,Q62714154,2019-02-25,2021-07-10,male,1968-05-05,,SaparhanOmarov01 (cropped).jpg,Saparhan Omarov
Kazakhstan,Minister of Agriculture,Yerbol Karashukeev,Q108391615,2021-07,,male,1976,,,
Kazakhstan,Minister of Culture and Sports,Arystanbek Muhamediuly,Q16678820,2014-08-06,2019-06-17,male,1963-02-11,,ArystanbekMuhamediuly 01 (cropped).jpg,Arystanbek Muhamediuly
Kazakhstan,Minister of Culture and Sports,Aqtoty Raiymqulova,Q12532220,2019-06-17,2022-01-05,female,1964-05-02,,Mcsgovrkmks.jpg,Aqtoty Raiymqulova
Kazakhstan,Minister of Culture and Sports,Dauren Abaev,Q24350696,2022-01-11,,male,1979-04-18,,Dauren Abayev (37573770292) (cropped).jpg,Dauren Abaev
Kazakhstan,Minister of Defence,Sät Toqpaqbajew,Q4459616,1999-10-13,2001-12-08,male,1939-09-17,,,
Kazakhstan,Minister of Defence,Mukhtar Altynbayev,Q1045853,2001-12-08,2007-01-08,male,1945-12-10,,"Mukhtar Altynbayev detail, 040225-F-6655M-376.jpg",Mukhtar Altynbayev
Kazakhstan,Minister of Defence,Daniyal Akhmetov,Q324950,2007-01-10,2009-06-17,male,1954-06-15,,Daniyal Akhmetov.jpg,Daniyal Akhmetov
Kazakhstan,Minister of Defence,Adilbek Dzhaksybekov,Q357241,2009-06-24,2014-04-02,male,1954-07-26,,Adilbek Dzhaksybekov (2013).jpg,Adilbek Zhaksybekov
Kazakhstan,Minister of Defence,Serik Akhmetov,Q57863,2014-04-03,2014-10-22,male,1958-06-25,,Serik Ahmetov.jpg,Serik Akhmetov
Kazakhstan,Minister of Defence,Imangali Tasmagambetov,Q1377525,2014-10-22,2016-09-13,male,1956-12-09,,Тасмагамбетов Имангали Нургалиевич (cropped).jpg,Imangali Tasmagambetov
Kazakhstan,Minister of Defence,Saken Zhasuzakov,Q4178351,2016-09-13,2018-08-07,male,1957-10-25,,Saken Zhasuzakov.jpg,Saken Zhasuzakov
Kazakhstan,Minister of Defence,Nurlan Ermekbaev,Q1775487,2018-08-07,2021-08-31,male,1963-01-01,,N.Ermekbaev.B.jpg,Nurlan Yermekbayev
Kazakhstan,Minister of Defence,Murat Bektanov,Q28496487,2021-08-31,2022-01-19,male,1965-09-18,,Bektanov in 2017.jpeg,Murat Bektanov
