catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Iraq,President,Saddam Hussein,Q1316,1979-07-16,2003-04-09,male,1937-04-28,2006-12-30,"Saddam Hussein at trial, July 2004.JPEG",Saddam Hussein
Iraq,President,Ghazi Mashal Ajil al-Yawer,Q180911,2004-06-28,2005-04-07,male,1958-03-11,,Ghazi al Jawar.jpg,Ghazi Mashal Ajil al-Yawer
Iraq,President,Jalal Talabani,Q57306,2005-04-07,2014-07-24,male,1933-11-12,2017-10-03,"Meetings of Presidents participated in Nowruz with Ali Khamenei - Tehran, Iran (Cropped on Talabani).jpg",Jalal Talabani
Iraq,President,Fuad Masum,Q17410819,2014-07-24,2018-10-02,male,1938-01-01,,Fuad Masum 2014.jpg,Fuad Masum
Iraq,President,Barham Salih,Q808173,2018-10-02,,male,1960-09-12,,Barham Salih (cropped).jpg,Barham Salih
Iraq,Vice President,Taha Yassin Ramadan,Q359319,1991-03,2003-04-09,male,1938-02-22,2007-03-20,Taha Yassin Ramadan in 1998.png,Taha Yassin Ramadan
Iraq,Vice President,Rowsch Shaways,Q332544,2004-06-01,2005-04-07,male,1947,2021-02-15,Rowsch Shaways.jpg,Rowsch Shaways
Iraq,Vice President,Ghazi Mashal Ajil al-Yawer,Q180911,2005-04-07,2006-04-22,male,1958-03-11,,Ghazi al Jawar.jpg,Ghazi Mashal Ajil al-Yawer
Iraq,Vice President,Adil Abdul-Mahdi,Q357116,2005-04-07,2011-07-11,male,1942-01-01,,Adil Abdul-Mahdi portrait.jpg,Adil Abdul-Mahdi
Iraq,Vice President,Ayad Allawi,Q313816,2014-09-09,2015-08-11,male,1945-05-31,,2014 Allawi.jpg,Ayad Allawi
Iraq,Vice President,Ayad Allawi,Q313816,2016-10-10,,male,1945-05-31,,2014 Allawi.jpg,Ayad Allawi
Iraq,Prime Minister,Saddam Hussein,Q1316,1994-05-29,2003-04-09,male,1937-04-28,2006-12-30,"Saddam Hussein at trial, July 2004.JPEG",Saddam Hussein
Iraq,Prime Minister,Jalal Talabani,Q57306,2003-11-01,2003-11-30,male,1933-11-12,2017-10-03,"Meetings of Presidents participated in Nowruz with Ali Khamenei - Tehran, Iran (Cropped on Talabani).jpg",Jalal Talabani
Iraq,Prime Minister,Masoud Barzani,Q315927,2004-04-01,2004-04-30,male,1946-08-16,,Masoud Barzani 2019.jpg,Masoud Barzani
Iraq,Prime Minister,Ayad Allawi,Q313816,2004-06-01,2005-05-03,male,1945-05-31,,2014 Allawi.jpg,Ayad Allawi
Iraq,Prime Minister,Ibrahim al-Jaafari,Q316495,2005-05-03,2006-05-20,male,1947-03-25,,Ibrahim al-Jaafari portrait.jpg,Ibrahim al-Jaafari
Iraq,Prime Minister,Nouri al-Maliki,Q57673,2007-05-20,2014-09-08,male,1950-06-20,,"Nouri al-Maliki with Bush, June 2006, cropped.jpg",Nouri al-Maliki
Iraq,Prime Minister,Haider Al-Abadi,Q5639013,2014-09-08,2018-10-25,male,1952-04-25,,Haider al-Abadi January 2015.jpg,Haider al-Abadi
Iraq,Prime Minister,Adil Abdul-Mahdi,Q357116,2018-10-25,2020-02,male,1942-01-01,,Adil Abdul-Mahdi portrait.jpg,Adil Abdul-Mahdi
Iraq,Prime Minister,Mustafa Al-Kadhimi,Q85317569,2020-05-06,,male,1967-07-05,,Mustafa al-Kadhimi (cropped).jpg,Mustafa Al-Kadhimi
Iraq,Deputy Prime Minister,Abd al-Tawab Mullah Huwaysh,Q56867910,2001-07-08,2003-04-09,male,1960-03-14,,,Abd al-Tawab Mullah Huwaysh
Iraq,Deputy Prime Minister,Rowsch Shaways,Q332544,2005-04-07,2006-05-20,male,1947,2021-02-15,Rowsch Shaways.jpg,Rowsch Shaways
Iraq,Deputy Prime Minister,Barham Salih,Q808173,2006-05-20,2009-08-20,male,1960-09-12,,Barham Salih (cropped).jpg,Barham Salih
Iraq,Deputy Prime Minister,Rowsch Shaways,Q332544,2009-08-20,2014-09-08,male,1947,2021-02-15,Rowsch Shaways.jpg,Rowsch Shaways
Iraq,Deputy Prime Minister,Hoshyar Zebari,Q982410,2014-09-08,2018-10-25,male,1953-12-02,,Hoshyar Zebari.jpg,Hoshyar Zebari
Iraq,Deputy Prime Minister,Rowsch Shaways,Q332544,2014-10-18,2015-08-10,male,1947,2021-02-15,Rowsch Shaways.jpg,Rowsch Shaways
Iraq,Minister of Awqaf,Abd al-Munim Ahmad Salih,Q56863174,1993-09-05,2003-04-09,male,1943,,,
Iraq,Minister of Construction and Housing,Bayan Deza'i,Q96165827,2006-05-20,2010-10-22,female,,,,
Iraq,"Minister of Construction, Housing, Municipalities and Public Works",Naznin Shaikh Muhammed,Q96118750,2020-05-07,,female,1959,,,
Iraq,Minister of Culture and Information,Human Abd al-Khaliq Abd al-Ghafur,Q56882698,1998,2001,male,1945,,,
Iraq,Minister of Defence,Sultan Hashim Ahmad al-Tai,Q2508477,1995,2003,male,1945,2020-07-19,"Saddam Hussein's former Defense Minister, Sultan Hashim Ahmad, in Baghdad, Iraq.jpg",Sultan Hashim Ahmad al-Tai
Iraq,Minister of Defence,Najah al-Shammari,Q72306460,2019-06-24,2020-05-06,male,1967,,"Esper, al-Shammari, 2019 (cropped).jpg",Najah al-Shammari
Iraq,Minister of Defence,Juma Inad,Q93654245,2020-05-06,,male,1956,,Joumah Enad.jpg,Juma Inad
Iraq,Minister of Displacement and Migration,Suhaylah Abd-Jaafar,Q42713151,2005,2006,female,1964,,,Suhaylah Abd-Jaafar
Iraq,Minister of Displacement and Migration,Evan Faeq Yacub,Q96115453,2020-06-06,,female,1981,,,
Iraq,Minister of Electricity,Muhsin Shlash,Q57363206,2005-05-03,2006-05-20,male,,,,
Iraq,Minister of Finance,Hoshyar Zebari,Q982410,2014-10-18,2016-09-21,male,1953-12-02,,Hoshyar Zebari.jpg,Hoshyar Zebari
Iraq,Minister of Finance,Fuad Hussein,Q56704276,2018-10-25,2020-05-07,male,1949,,Fuad Hussein in Tehran 20190406.jpg,Fuad Hussein
Iraq,Minister of Foreign Affairs,Muhammad Amin Ahmad,Q108426449,2003,2003,male,,,,
Iraq,Minister of Foreign Affairs,Hoshyar Zebari,Q982410,2003-07-13,2014-07-11,male,1953-12-02,,Hoshyar Zebari.jpg,Hoshyar Zebari
Iraq,Minister of Foreign Affairs,Fuad Hussein,Q56704276,2020-06-06,,male,1949,,Fuad Hussein in Tehran 20190406.jpg,Fuad Hussein
Iraq,Minister of Health,Abdul Mutalib Ali Mohammad,Q69417279,2005-05-03,2006-05-20,male,1956-01-29,,,
Iraq,Minister of Health,Ali al-Shemari,Q4725287,2006-05-22,2007-04-16,male,,,,Ali al-Shemari
Iraq,Minister of Health,Jaffar Allawi,Q92509450,2019-10-10,2020-05-06,male,1947,,"Jaffar Allawi, AlTaghierTV - Apr 5, 2020.jpg",
Iraq,Minister of Health,Hasan Al-Temimi,Q106615936,2020-05-07,2021-05-04,male,1969,,,
Iraq,Minister of Higher Education and Scientific Research,Fahd Salim Shagrah,Q56822723,1997,2003-04-09,male,1949,2008-08,Fahad-alshagra-portrait.jpg,
Iraq,Minister of Higher Education and Scientific Research,Abdul Jabbar Tawfiq,Q59592260,1997,2000,male,1940,,,
Iraq,Minister of Higher Education and Scientific Research,,Q99946596,1998-08-09,2002-06-13,male,1939,,,
Iraq,Minister of Higher Education and Scientific Research,Human Abd al-Khaliq Abd al-Ghafur,Q56882698,2001,2003-04-09,male,1945,,,
Iraq,Minister of Higher Education and Scientific Research,Muhammad Saeed al-Sahhaf,Q360015,2001-08-05,2003-04-09,male,1940-07-30,,Muhammad Saeed al-Sahhaf.png,Muhammad Saeed al-Sahhaf
Iraq,Minister of Higher Education and Scientific Research,Jamal al-Adeli,Q57899668,2018-10-28,,male,1952,,,Jamal al-Adil
