catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Kenya,Member of the National Assembly,Mwai Kibaki,Q57291,1974,2013,male,1931-11-15,,Mwai Kibaki (cropped).jpg,Mwai Kibaki
Kenya,Member of the National Assembly,Kalonzo Musyoka,Q1395018,1985,2013,male,1953-12-24,,Kalonzo Musyoka1.jpg,Kalonzo Musyoka
Kenya,Member of the National Assembly,Martha Karua,Q3295164,1992,2013,female,1957-09-22,,Martha Karua.jpg,Martha Karua
Kenya,Member of the National Assembly,Matthew Adams Karauri,Q65850416,1997,2002,male,,,,
Kenya,Member of the National Assembly,Otieno Kajwang,Q7108730,1998,2013,male,1959-07-15,2014-11-18,"Gerald Otieno Kajwang Tartus, 9. mai 2014 - Foto Lilian Lukka.jpg",Otieno Kajwang
Kenya,Member of the National Assembly,Mohamed Yusuf Haji,Q1030776,2003,2013-03,male,1940-12-23,,Yusufhaji.jpg,Mohamed Yusuf Haji
Kenya,Member of the National Assembly,Uhuru Kenyatta,Q196070,2003-01,2013-01,male,1961-10-26,,Uhuru Kenyatta.jpg,Uhuru Kenyatta
Kenya,Member of the National Assembly,Elijah Lagat,Q346046,2007,2013,male,1966-06-19,,,Elijah Lagat
Kenya,Member of the National Assembly,Beth Wambui Mugo,Q4897658,2007,2013,female,1939-07-11,,,Beth Wambui Mugo
Kenya,Member of the National Assembly,John Harun Mwau,Q6238091,2007,2013,male,1948-06-24,,Harun-mwau.jpg,John Harun Mwau
Kenya,Member of the National Assembly,John Ngata Kariuki,Q6250396,2007-12,2010-10,male,,,,John Ngata Kariuki
Kenya,Member of the National Assembly,Mike Sonko,Q6848880,2010,2013,male,1977-02-27,,,Mike Sonko
Kenya,Member of the National Assembly,Wesley Korir,Q447119,2013,2017-07-16,male,1982-11-15,,Wesley Korir 2012 Boston Marathon.jpg,Wesley Korir
Kenya,Member of the National Assembly,John Ndirangu Kariuki,Q111177826,2013-03-10,2017-07-16,male,,,,
Kenya,Member of the National Assembly,Wanjiku Muhia,Q105642336,2013-03-28,2017-08,female,,,,Wanjiku Muhia
Kenya,Member of the National Assembly,Rachel Shebesh,Q107222476,2013-03-28,2017-08,female,,,,Rachel Shebesh
Kenya,Member of the National Assembly,David Ochieng Ouma,Q111179918,2013-03-28,2017-08,male,,,,
Kenya,Member of the National Assembly,Zipporah Jesang Kurgat Kering,Q111188192,2013-03-28,2017-08,female,,,,
Kenya,Member of the National Assembly,William Maina Kamanda,Q111188194,2013-03-28,2017-08,male,,,,
Kenya,Member of the National Assembly,Abass Sheikh Mohamed,Q111188206,2013-03-28,2017-08,male,,,,
Kenya,Member of the National Assembly,Abdi Noor Mohammed Ali,Q111188207,2013-03-28,2017-08,male,,,,
Kenya,Member of the National Assembly,Abdikadir Omar Aden,Q111188208,2013-03-28,2017-08,male,,,,
Kenya,Member of the National Assembly,Abdikadir Ore Ahmed,Q111188209,2013-03-28,2017-08,male,,,,
Kenya,Member of the National Assembly,Abdulaziz Ali Farah,Q111188210,2013-03-28,2017-08,male,,,,
Kenya,Member of the National Assembly,Abdullahi Jaldesa Banticha,Q111188211,2013-03-28,2017-08,male,,,,
Kenya,Member of the National Assembly,Adan Mohamed Nooru,Q111188212,2013-03-28,2017-08,male,,,,
Kenya,Member of the National Assembly,Alice Nyanchoka Chae,Q111188213,2013-03-28,2017-08,female,,,,
Kenya,Member of the National Assembly,Alice Wambui Ng'ang'a,Q111188214,2013-03-28,2017-08,female,,,,
Kenya,Member of the National Assembly,Amina Abdalla,Q111188215,2013-03-28,2017-08,female,,,,
Kenya,Member of the National Assembly,Andrew Toboso Anyanga,Q111188216,2013-03-28,2017-08,male,,,,
Kenya,Member of the National Assembly,Annah Nyokabi Gathecha,Q111188217,2013-03-28,2017-08,female,,,,
Kenya,Member of the National Assembly,Anthony Mutahi Kimaru,Q111188218,2013-03-28,2017-08,male,,,,
Kenya,Member of the National Assembly,Arthur Papa Odera,Q111188219,2013-03-28,2017-08,male,,,,
Kenya,Member of the National Assembly,Augostinho Neto Oyugi,Q111188220,2013-03-28,2017-08,male,,,,
Kenya,Member of the National Assembly,Benard Kipkirui Bett,Q111188221,2013-03-28,2017-08,male,,,,
Kenya,Member of the National Assembly,Benjamin Andola Andayi,Q111188222,2013-03-28,2017-08,male,,,,
Kenya,Member of the National Assembly,Benjamin Kipkirui Langat,Q111188223,2013-03-28,2017-08,male,,,,
Kenya,Member of the National Assembly,Benson Mutura Kangara,Q111188224,2013-03-28,2017-08,male,,,,
Kenya,Member of the National Assembly,Bernard Munywoki Kitungi,Q111188225,2013-03-28,2017-08,male,,,,
Kenya,Member of the National Assembly,Bishop Robert Mutemi Mutua,Q111188226,2013-03-28,2017-08,male,,,,
Kenya,Member of the National Assembly,Bonface Okhiya Otsiula,Q111188227,2013-03-28,2017-08,male,,,,
Kenya,Member of the National Assembly,Cecilia Chelangat Ngetich,Q111188228,2013-03-28,2017-08,female,,,,
Kenya,Member of the National Assembly,Charles Mongare Geni,Q111188229,2013-03-28,2017-08,male,,,,
Kenya,Member of the National Assembly,Daniel Kazungu Muzee,Q111188230,2013-03-28,2017-08,male,,,,
Kenya,Member of the National Assembly,David Karithi,Q111188231,2013-03-28,2017-08,male,,,,
Kenya,Member of the National Assembly,David Wafula Wekesa,Q111188232,2013-03-28,2017-08,male,,,,
Kenya,Member of the National Assembly,Dennis Kariuki Waweru,Q111188233,2013-03-28,2017-08,male,,,,
Kenya,Member of the National Assembly,Diriye Abdullahi Mohamed,Q111188234,2013-03-28,2017-08,male,,,,
Kenya,Member of the National Assembly,Dorcas Luvalitsa Kedogo,Q111188235,2013-03-28,2017-08,female,,,,
Kenya,Member of the National Assembly,Chris Munga Nyamaratandi Bichage,Q111188236,2013-03-28,2017-08,male,,,,
Kenya,Member of the National Assembly,Hellen Sambili,Q111188237,2013-03-28,2017-08,female,,,,
Kenya,Member of the National Assembly,Reginalda Nakhumicha Wanyonyi,Q111188238,2013-03-28,2017-08,female,,,,
Kenya,Member of the National Assembly,Simon Ogari,Q111188239,2013-03-28,2017-08,male,,,,
Kenya,Member of the National Assembly,Susan Mbinya Musyoka,Q111188240,2013-03-28,2017-08,female,,,,
Kenya,Member of the National Assembly,Edwin Kipruto Barchilei,Q111188241,2013-03-28,2017-08,male,,,,
Kenya,Member of the National Assembly,Ejidius Njogu Barua,Q111188242,2013-03-28,2017-08,male,,,,
Kenya,Member of the National Assembly,Elias Bare Shill,Q111188243,2013-03-28,2017-08,male,,,,
Kenya,Member of the National Assembly,Elijah Mosomi Moindi,Q111188244,2013-03-28,2017-08,male,,,,
Kenya,Member of the National Assembly,Elisha Kipkorir Busienei,Q111188245,2013-03-28,2017-08,male,,,,
Kenya,Member of the National Assembly,John Kiragu Chege,Q111188246,2013-03-28,2017-08,male,,,,
Kenya,Member of the National Assembly,Stephen Muriuki Ngare,Q111188247,2013-03-28,2017-08,male,,,,
Kenya,Member of the National Assembly,Eric Arap Keter,Q111188248,2013-03-28,2017-08,male,,,,
Kenya,Member of the National Assembly,Esther Nyambura Gathogo,Q111188249,2013-03-28,2017-08,female,,,,
Kenya,Member of the National Assembly,Eusilah Jepkosgei Ngeny,Q111188250,2013-03-28,2017-08,female,,,,
Kenya,Member of the National Assembly,Florence Kajuju,Q111188251,2013-03-28,2017-08,female,,,,
Kenya,Member of the National Assembly,Francis Kigo Njenga,Q111188252,2013-03-28,2017-08,male,,,,
Kenya,Member of the National Assembly,Francis Mwangangi Kilonzo,Q111188253,2013-03-28,2017-08,male,,,,
Kenya,Member of the National Assembly,Francis Waweru Nderitu,Q111188254,2013-03-28,2017-08,male,,,,
Kenya,Member of the National Assembly,G.J. Munuve Mati,Q111188255,2013-03-28,2017-08,male,,,,
Kenya,Member of the National Assembly,George Mike Wanjohi,Q111188256,2013-03-28,2017-08,male,,,,
Kenya,Member of the National Assembly,George Oner Ogalo,Q111188257,2013-03-28,2017-08,male,,,,
Kenya,Member of the National Assembly,George Washinton Mallan Omondi,Q111188258,2013-03-28,2017-08,male,,,,
