catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Liechtenstein,member of the Landtag of Liechtenstein,Otmar Hasler,Q238670,1989,2001,male,1953-09-28,,Otmar Hasler.jpg,Otmar Hasler
Liechtenstein,member of the Landtag of Liechtenstein,Peter Wolff,Q2079107,1993,2005,male,1946-05-10,,"ETH-BIB-Dr. Peter Wolff, Fürstentum Liechtenstein-Com LC1501-00W-027-001.tif",Peter Wolff
Liechtenstein,member of the Landtag of Liechtenstein,Klaus Wanger,Q364154,1993,2009,male,1941-02-24,,,Klaus Wanger
Liechtenstein,member of the Landtag of Liechtenstein,Adrian Hasler,Q373092,2001,2004,male,1964-02-11,,Adrian Hasler 01 (cropped).jpg,Adrian Hasler
Liechtenstein,member of the Landtag of Liechtenstein,Arthur Brunhart,Q708779,2005,2013,male,1952-01-23,,,
Liechtenstein,member of the Landtag of Liechtenstein,Gisela Biedermann,Q1527272,2009,2013,female,1948-04-05,,,
Liechtenstein,member of the Landtag of Liechtenstein,Albert Frick,Q1477867,2009-03-18,,male,1948-10-21,,Albert Frick.jpg,Albert Frick (politician)
Liechtenstein,member of the Landtag of Liechtenstein,Christoph Wenaweser,Q15794374,2013,2017,male,1963-06-13,,,
Liechtenstein,member of the Landtag of Liechtenstein,Elfried Hasler,Q15807792,2013,2017,male,1965-06-11,,,
Liechtenstein,member of the Landtag of Liechtenstein,Herbert Elkuch,Q15815202,2013,2021,male,1952-12-30,,,
Liechtenstein,member of the Landtag of Liechtenstein,Jürgen Beck,Q1301159,2017-03-30,2021-02,male,1961-07-22,,,
Liechtenstein,member of the Landtag of Liechtenstein,Erich Hasler,Q15450196,2017-03-30,2021-02-07,male,1956-12-28,,,
Liechtenstein,member of the Landtag of Liechtenstein,Christoph Wenaweser,Q15794374,2017-03-30,2021-02-07,male,1963-06-13,,,
Liechtenstein,member of the Landtag of Liechtenstein,Elfried Hasler,Q15807792,2017-03-30,2021-02-07,male,1965-06-11,,,
Liechtenstein,member of the Landtag of Liechtenstein,Eugen Nägele,Q15808766,2017-03-30,2021-02-07,male,1964-08-10,,,
Liechtenstein,member of the Landtag of Liechtenstein,Frank Konrad,Q15810125,2017-03-30,2021-02-07,male,1967-05-09,,,
Liechtenstein,member of the Landtag of Liechtenstein,Thomas Lageder,Q15850771,2017-03-30,2021-02-07,male,1980-02-05,,,
Liechtenstein,member of the Landtag of Liechtenstein,Violanda Lanter-Koller,Q15852979,2017-03-30,2021-02-07,female,1964-01-01,,,
Liechtenstein,member of the Landtag of Liechtenstein,Harry Quaderer,Q1586701,2017-03-30,2021-02-07,male,1959-09-07,,,Harry Quaderer
Liechtenstein,member of the Landtag of Liechtenstein,Wendelin Lampert,Q1688246,2017-03-30,2021-02-07,male,1970-04-21,,,
Liechtenstein,member of the Landtag of Liechtenstein,Johannes Kaiser,Q1697816,2017-03-30,2021-02-07,male,1958-06-29,,,
Liechtenstein,member of the Landtag of Liechtenstein,Thomas Vogt,Q2427893,2017-03-30,2021-02-07,male,1976-02-24,,,
Liechtenstein,member of the Landtag of Liechtenstein,Gunilla Marxer-Kranz,Q28870122,2017-03-30,2021-02-07,female,1972-05-28,,,Gunilla Marxer-Kranz
Liechtenstein,member of the Landtag of Liechtenstein,Mario Wohlwend,Q28870141,2017-03-30,2021-02-07,male,1973-01-12,,,
Liechtenstein,member of the Landtag of Liechtenstein,Johannes Hasler,Q28870266,2017-03-30,2021-02-07,male,1982-06-10,,,
Liechtenstein,member of the Landtag of Liechtenstein,Susanne Eberle-Strub,Q28870267,2017-03-30,2021-02-07,female,1960-06-10,,,Susanne Eberle-Strub
Liechtenstein,member of the Landtag of Liechtenstein,Daniel Oehry,Q28870268,2017-03-30,2021-02-07,male,1971,,,
Liechtenstein,member of the Landtag of Liechtenstein,Daniel F. Seger,Q28870270,2017-03-30,2021-02-07,male,1977-04-24,,,
Liechtenstein,member of the Landtag of Liechtenstein,Patrick Risch,Q28870273,2017-03-30,2021-02-07,male,1968,,,
Liechtenstein,member of the Landtag of Liechtenstein,Thomas Rehak,Q28870275,2017-03-30,2021-02-07,male,1971-01-21,,,
Liechtenstein,member of the Landtag of Liechtenstein,Georg Kaufmann,Q28870283,2017-03-30,2021-02-07,male,1955-11-22,,,
Liechtenstein,member of the Landtag of Liechtenstein,Manfred Kaufmann,Q28871877,2017-03-30,2021-02-07,male,1978-10-09,,,
Liechtenstein,member of the Landtag of Liechtenstein,Günter Vogt,Q29380602,2017-03-30,2021-02-07,male,1961-08-17,,,
Liechtenstein,member of the Landtag of Liechtenstein,Sebastian Schädler,Q105608616,2021,,male,1987,,,
Liechtenstein,member of the Landtag of Liechtenstein,Bettina Petzold-Mähr,Q105610467,2021,,female,1982,,,
Liechtenstein,member of the Landtag of Liechtenstein,Dietmar Lampert,Q105608614,2021-03-25,,male,1966,,,
Liechtenstein,member of the Landtag of Liechtenstein,Sascha Quaderer,Q105608618,2021-03-25,,male,1974,,,
Liechtenstein,member of the Landtag of Liechtenstein,Peter Frick,Q105608667,2021-03-25,,male,1965-11-29,,,
Liechtenstein,member of the Landtag of Liechtenstein,Walter Frick,Q105608671,2021-03-25,,male,1956,,,
Liechtenstein,member of the Landtag of Liechtenstein,Dagmar Bühler-Nigsch,Q105608677,2021-03-25,,female,1969,,,
Liechtenstein,member of the Landtag of Liechtenstein,Norma Heidegger,Q105608678,2021-03-25,,female,1961,,,
Liechtenstein,member of the Landtag of Liechtenstein,Karin Zech-Hoop,Q105608681,2021-03-25,,female,1973,,,
Liechtenstein,member of the Landtag of Liechtenstein,Franziska Hoop,Q105608683,2021-03-25,,female,1990,,,
Liechtenstein,member of the Landtag of Liechtenstein,Manuela Haldner-Schierscher,Q105608686,2021-03-25,,female,1971-06-26,,,Manuela Haldner-Schierscher
Liechtenstein,member of the Landtag of Liechtenstein,Herbert Elkuch,Q15815202,2021-03-25,,male,1952-12-30,,,
Liechtenstein,member of the Landtag of Liechtenstein,Wendelin Lampert,Q1688246,2021-03-25,,male,1970-04-21,,,
