catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Venezuela,member of the Chamber of Deputies,Ramón Martínez,Q5576708,1998,2000,male,1948-08-31,2022-01-25,RAMON MARTINEZ.jpg,Ramón Martínez (governor)
Venezuela,member of the Chamber of Deputies,Noelí Pocaterra,Q6044372,1999-08,2011-01-05,female,1936-09-18,,,
Venezuela,member of the Chamber of Deputies,Liris Sol Velásquez,Q18419737,2011-01-05,2016-01-05,female,,,,Liris Sol Velásquez
Venezuela,member of the Chamber of Deputies,Hiran Gaviria,Q5898619,2011-02-05,2015-02-08,male,1949,,,
Venezuela,member of the Chamber of Deputies,José Manuel Olivares,Q28005738,2016-01-05,,male,1985-08-19,,José Manuel Olivares2.png,José Manuel Olivares
Venezuela,member of the Chamber of Deputies,Laidy Gómez,Q42210554,2016-01-05,2017-10-23,female,1981-12-09,,,Laidy Gómez
Venezuela,member of the Chamber of Deputies,Romel Guzamana,Q98446275,2016-01-05,,male,1977-11-15,,,
Venezuela,member of the National Assembly,Cilia Flores,Q799556,2000-07-30,2012-02-02,female,1953-01-01,,Cilia Flores 2013.jpg,Cilia Flores
Venezuela,member of the National Assembly,Óscar Figuera,Q22074514,2006-01-05,,male,1954-10-06,,Oscar Figuera.jpg,
Venezuela,member of the National Assembly,María Corina Machado,Q439564,2010,2014,female,1967-10-07,,Maria Corina Machado.jpg,María Corina Machado
Venezuela,member of the National Assembly,Gladys Guaipo,Q106465359,2016-01-05,,female,1954-06-18,,,
Venezuela,member of the National Assembly,Nora Delgado,Q21683673,2016-01-05,,female,1959,,Nora Delgado.jpg,
Venezuela,member of the National Assembly,Juan Guaidó,Q58833335,2016-01-05,2021-01-05,male,1983-07-28,,Juan Guaidó february 2020.jpg,Juan Guaidó
Venezuela,member of the National Assembly,José Brito,Q77361480,2016-01-05,,male,1973-01-15,,,José Brito (politician)
Venezuela,member of the National Assembly,Cilia Flores,Q799556,2016-01-05,2017-06-02,female,1953-01-01,,Cilia Flores 2013.jpg,Cilia Flores
Venezuela,member of the National Assembly,Julio Borges,Q951338,2016-01-05,,male,1969-10-22,,(Julio Borges) Reunión de países que respaldan al Presidente encargado de Venezuela Juan Guaidó.jpg,Julio Borges
Venezuela,member of the National Assembly,Víctor Clark,Q55948349,2016-01-06,2017-10-17,male,1982-09-29,,Víctor Clark.png,
Venezuela,member of the National Assembly,Dante Rivas,Q12162046,2021-01-05,,male,1975-01-19,,,
Venezuela,member of the National Assembly,Henry Ramos Allup,Q5938504,2021-01-05,,male,1952-12-21,,,José Bernabé Gutiérrez
Venezuela,member of the Senate,Carlos Andrés Pérez,Q295790,1999-02-12,2000-03-28,male,1922-10-27,2010-12-25,Carlos Andrés Pérez.jpg,Carlos Andrés Pérez
