catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Ecuador,President,Jamil Mahuad,Q471248,1997-08-10,2000-01-21,male,1949-07-29,,JamilMahuad.jpg,Jamil Mahuad
Ecuador,President,Gustavo Noboa,Q471291,2000-01-22,2003-01-15,male,1937-08-21,2021-02-16,Gustavo noboa bejarano.jpg,Gustavo Noboa
Ecuador,President,Lucio Gutiérrez,Q336234,2003-01-15,2005-04-20,male,1957-03-23,,Lucio Gutiérrez.jpg,Lucio Gutiérrez
Ecuador,President,Alfredo Palacio,Q217555,2005-04-20,2007-01-15,male,1939-01-22,,Luis Alfredo Palacio.png,Alfredo Palacio
Ecuador,President,Rafael Correa Delgado,Q19581,2007-01-15,2017-05-24,male,1963-04-06,,Rafael Correa in France (cropped).jpg,Rafael Correa
Ecuador,President,Lenín Moreno,Q518626,2017-05-24,2021-05-24,male,1953-03-19,,A Lenín Moreno (Transmisión del Mando Presidencial Ecuador 2017) (cropped).jpg,Lenín Moreno
Ecuador,President,Guillermo Lasso,Q4414537,2021-05-24,,male,1955-11-16,,Guillermo Lasso July 2021.jpg,Guillermo Lasso
Ecuador,Vice President,Gustavo Noboa,Q471291,1998-08-10,2000-01-21,male,1937-08-21,2021-02-16,Gustavo noboa bejarano.jpg,Gustavo Noboa
Ecuador,Vice President,Alejandro Serrano Aguilar,Q4714671,2005-05-05,2007-01-15,male,1933-01-13,2019-08-06,,Alejandro Serrano
Ecuador,Vice President,Lenín Moreno,Q518626,2007-01-15,2013-05-24,male,1953-03-19,,A Lenín Moreno (Transmisión del Mando Presidencial Ecuador 2017) (cropped).jpg,Lenín Moreno
Ecuador,Vice President,Jorge Glas,Q5935179,2013-05-24,2018-01-06,male,1969-09-13,,Jorge Glas en 2017.jpg,Jorge Glas
Ecuador,Vice President,María Alejandra Vicuña,Q41603596,2018-01-06,2018-12-06,female,1978-02-13,,"SESIÓN SOLEMNE INFORME A LA NACIÓN, QUITO 24 DE MAYO 2018. (28454543258) (cropped) (cropped).jpg",María Alejandra Vicuña
Ecuador,Vice President,Otto Sonnenholzner,Q59510424,2018-12-11,2020-07-07,male,1983-03-19,,Otto sonnenholzner.jpg,Otto Sonnenholzner
Ecuador,Vice President,María Alejandra Muñoz,Q97477657,2020-07-22,2021-05-24,female,1978-12-18,,María Alejandra Muñoz - Vicepresidenta de la República del Ecuador.jpg,María Alejandra Muñoz
Ecuador,Vice President,Alfredo Borrero Vega,Q106466352,2021-05-24,,male,1955-10-19,,Alfredo Borrero Vega Vicepresidente del Ecuador (cropped).jpg,Alfredo Borrero
Ecuador,Minister of Agriculture,Tanlly Vera Mendoza,Q107014736,2021-05-24,2021-09-15,female,,,Tanlly Vera Mendoza 1 (cropped).jpg,
Ecuador,Minister of Agriculture,Pedro José Álava González,Q111749661,2021-09-15,2022-05-04,male,,,"Comparecencia Pedro Álava, ministro 01.jpg",
Ecuador,Minister of Agriculture,Bernardo Manzano,Q112429559,2022-05-04,,male,,,"Bernardo Manzano, posesión como ministro (cropped).jpg",
Ecuador,Minister of Culture and Heritage,Antonio Preciado,Q16487294,2007-01-15,2008-02-20,male,1941-05-21,,Antonio Preciado.png,
Ecuador,Minister of Culture and Heritage,Guillaume Long,Q23001051,2015-03-25,2016-03,male,1977-02-22,,"CANCILLER GUILLAUME LONG PRESENTA CONFERENCIA SOBRE JUSTICIA, DERECHOS HUMANOS Y ERRADICACIÓN DE PARAÍSOS FISCALES ANTE LA ONU, GINEBRA, SUIZA, 01 DE MAYO 2017 (33998283780).jpg",Guillaume Long
Ecuador,Minister of Culture and Heritage,Juan Fernando Velasco,Q6299728,2019-06-27,2020-09-09,male,1972-01-17,,ECUADOR AQUI ESTOY (26977821375).jpg,Juan Fernando Velasco
Ecuador,Minister of Culture and Heritage,María Elena Machuca Merino,Q114290221,2021-05-24,,,,,,
Ecuador,Minister of Defence,José Gallardo Román,Q113549519,1998,2000,,,,,
Ecuador,Minister of Defence,Hugo Unda Aguirre,Q113549518,2000,2003,,,,,
Ecuador,Minister of Defence,Nelson Herrera Franco,Q113549526,2003,2005,,,,,
Ecuador,Minister of Defence,Guadalupe Larriva,Q268026,2007-01-15,2007-01-24,female,1956-07-28,2007-01-24,Busto de Guadalupe Larriva 2.JPG,Guadalupe Larriva
Ecuador,Minister of Defence,Lorena Escudero Durán,Q113549522,2007-02-02,2007-08-31,female,,,,Lorena Escudero
Ecuador,Minister of Defence,Wellington Sandoval,Q5671593,2007-08-31,2008-04-09,male,,,Wellington Sandoval Cordova 080124-D-7203T-005 0YTVX.jpg,Wellington Sandoval
Ecuador,Minister of Defence,Javier Ponce,Q108023175,2008-04-09,2012-04-23,male,1948-04-28,,"Comisión de Soberanía Alimentaria recibe al Ministro de Agricultura, Javier Ponce Cevallos (7210919102).jpg",
Ecuador,Minister of Defence,Miguel Carvajal,Q22923955,2012-04-23,2012-11-09,male,1960-02-23,,Miguel Carvajal en 2017.jpg,
Ecuador,Minister of Defence,María Fernanda Espinosa,Q460904,2012-11-28,2014-09-23,female,1964-09-07,,Entrevista de Canciller María Fernanda Espinosa (36388035054) (cropped).jpg,María Fernanda Espinosa
Ecuador,Minister of Defence,Fernando Cordero Cueva,Q5444658,2014-09-26,2016-03-01,male,1952-05-27,,Juan-Fernando-Cordero-Cueva (8318629964).jpg,Fernando Cordero Cueva
Ecuador,Minister of Defence,Ricardo Patiño,Q1856805,2016-03-03,2017-05-24,male,1955-05-16,,Ricardo Patiño en 2018.jpg,Ricardo Patiño
Ecuador,Minister of Defence,Miguel Carvajal,Q22923955,2017-05-24,2017-09-15,male,1960-02-23,,Miguel Carvajal en 2017.jpg,
Ecuador,Minister of Defence,Patricio Zambrano,Q27119235,2017-09-15,2018-04-27,male,1969-08-25,,PatricioZambrano.jpg,
Ecuador,Minister of Defence,Oswaldo Jarrín,Q99619857,2018-04-27,2021-05-24,male,,,Gral oswaldo jarrin (cropped).jpg,
Ecuador,Minister of Defence,Alm. Fernando Donoso Morán,Q113549516,2021-05-24,2021-10-18,,,,,
