catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Canada,Deputy Speaker of the House of Commons,Bill Blaikie,Q2903125,2006-04,2008-10,male,1951-06-19,,Bill Blaikie.JPG,Bill Blaikie
Canada,Deputy Speaker of the House of Commons,Andrew Scheer,Q2846724,2008-11-21,2011-06-01,male,1979-05-20,,Andrew Scheer in Delta - 2019 (48898645342) (cropped).jpg,Andrew Scheer
Canada,member of the House of Commons,Herb Gray,Q1548798,1968-06-25,2002-01-14,male,1931-05-25,2014-04-21,"Herb Gray statue, Windsor, ON.jpg",Herb Gray
Canada,member of the House of Commons,Herb Gray,Q1548798,1968-06-25,2002-05-13,male,1931-05-25,2014-04-21,"Herb Gray statue, Windsor, ON.jpg",Herb Gray
Canada,member of the House of Commons,Don Boudria,Q3035737,1984,2006,male,1949-08-30,,DonBourdiaimg846-signed.jpg,Don Boudria
Canada,member of the House of Commons,George Baker,Q5536629,1988,2002,male,1942-09-04,,,George Baker (Canadian politician)
Canada,member of the House of Commons,Bob Kilger,Q888038,1988,2000,male,1944-06-29,2021-11-29,,Bob Kilger
Canada,member of the House of Commons,Lloyd Axworthy,Q556027,1988-11-21,2000-11-27,male,1939-12-21,,Lloyd Axworthy (1999).JPEG,Lloyd Axworthy
Canada,member of the House of Commons,Ethel Blondin-Andrew,Q957119,1988-11-21,2006-01-23,female,1951-03-25,,,Ethel Blondin-Andrew
Canada,member of the House of Commons,Gilles Duceppe,Q205319,1990-08-13,2011-05-01,male,1947-07-22,,Gilles Duceppe.jpg,Gilles Duceppe
Canada,member of the House of Commons,Charlie Penson,Q5085384,1992,2006,male,1942-12-01,,,Charlie Penson
Canada,member of the House of Commons,Peter Adams,Q14915614,1993,2006,male,1936-04-17,2018-09-28,,Peter Adams (politician)
Canada,member of the House of Commons,Andy Mitchell,Q2849149,1993,2006,male,1953-04-21,,,Andy Mitchell (politician)
Canada,member of the House of Commons,Ovid Jackson,Q7114116,1993,2004,male,1939-02-03,,,Ovid Jackson
Canada,member of the House of Commons,Jean Chrétien,Q128543,1993-10-25,2003-12-12,male,1934-01-11,,Jean Chrétien 2010.jpg,Jean Chrétien
Canada,member of the House of Commons,Jane Stewart,Q3161899,1993-10-25,2004-06-28,female,1955-04-25,,,Jane Stewart (politician)
Canada,member of the House of Commons,Stéphane Bergeron,Q3501591,1993-10-25,2005-11-09,male,1965-01-28,,Stephane Bergeron.jpg,Stéphane Bergeron
Canada,member of the House of Commons,Art Eggleton,Q705518,1993-10-25,2004-06-28,male,1943-09-29,,Art Eggleton 1.JPG,Art Eggleton
Canada,member of the House of Commons,Denis Paradis,Q3022854,1995-02-13,2006-01-23,male,1949-04-01,,Denis Paradis.jpg,Denis Paradis
Canada,member of the House of Commons,Eleni Bakopanos,Q3050739,1997,2006,female,1954,,,Eleni Bakopanos
Canada,member of the House of Commons,Mark Assad,Q3293987,1997,2004,male,1940-06-14,,,Mark Assad
Canada,member of the House of Commons,Rob Anders,Q3434145,1997,2000-10-22,male,1972-04-01,,Rob Anders.jpg,Rob Anders
Canada,member of the House of Commons,Benoît Serré,Q4890173,1997,2004,male,1951-04-07,2019-05-11,,Benoît Serré
Canada,member of the House of Commons,Libby Davies,Q513906,1997,2015,female,1953-02-27,,Libby Davies.jpg,Libby Davies
Canada,member of the House of Commons,Lorne Nystrom,Q6020483,1997,2004,male,1946-04-26,,Lorne Nystrom (2012).jpg,Lorne Nystrom
Canada,member of the House of Commons,Ralph Goodale,Q2070905,1997-06-02,2000-11-26,male,1949-10-05,,Ralph Goodale free alternative.jpg,Ralph Goodale
Canada,member of the House of Commons,Carolyn Bennett,Q2403422,1997-06-02,2000-11-26,female,1950-12-20,,Carolyn Bennett at podium-Crop.jpg,Carolyn Bennett
Canada,member of the House of Commons,André Bachand,Q2847182,1997-06-02,2004-06-28,male,1961-12-08,,,André Bachand (Progressive Conservative MP)
Canada,member of the House of Commons,Bill Casey,Q2903153,1997-06-02,2000-11-26,male,1945-02-19,,MP Bill Casey 2018.jpg,Bill Casey
Canada,member of the House of Commons,Denis Coderre,Q3022603,1997-06-02,2000-11-26,male,1963-07-25,,Montréal Mayor Denis Coderre (16930743281) (cropped).jpg,Denis Coderre
Canada,member of the House of Commons,Hedy Fry,Q3129348,1997-06-02,2000-11-26,female,1941-08-06,,Special Representative on Gender Issues Hedy Fry - 2017 (32687209370) (cropped).jpg,Hedy Fry
