catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Wales,Member of the 6th Senedd,Gareth Davies,Q106754536,2021-05-06,,male,,,GarethDaviesMS-Castle.jpg,Gareth Davies (Welsh politician)
Wales,Member of the 6th Senedd,Samuel Kurtz,Q106758061,2021-05-06,,male,,,,Samuel Kurtz
Wales,Member of the 6th Senedd,Sarah Murphy,Q106759834,2021-05-06,,female,,,,
Wales,Member of the 6th Senedd,Peter Fox,Q106760138,2021-05-06,,male,,,Cllr Peter Fox.jpg,
Wales,Member of the 6th Senedd,Elizabeth (Buffy) Williams,Q106761230,2021-05-06,,female,1976-11-01,,,Buffy Williams
Wales,Member of the 6th Senedd,James Evans,Q106762245,2021-05-06,,male,,,,James Evans (Welsh politician)
Wales,Member of the 6th Senedd,Carolyn Thomas,Q106766509,2021-05-06,,female,1965,,,Carolyn Thomas
Wales,Member of the 6th Senedd,Cefin Campbell,Q106766510,2021-05-06,,male,1950,,Cefin Campbell yng Nghaerfyrddin (cropped).jpg,Cefin Campbell
Wales,Member of the 6th Senedd,Sioned Williams,Q106766817,2021-05-06,,female,,,,Sioned Williams
Wales,Member of the 6th Senedd,Rhys ab Owen,Q106767394,2021-05-06,,male,,,Rhys ab Owen AS - Senedd Cymru.jpg,Rhys ab Owen
Wales,Member of the 6th Senedd,Joel James,Q106774276,2021-05-06,,male,1985-03-09,,,Joel James (politician)
Wales,Member of the 6th Senedd,Sam Rowlands,Q106774280,2021-05-06,,male,,,,Sam Rowlands
Wales,Member of the 6th Senedd,Tom Giffard,Q106774287,2021-05-06,,male,,,,Tom Giffard
Wales,Member of the 6th Senedd,Peredur Owen Griffiths,Q106814646,2021-05-06,,male,1978-10,,,Peredur Owen Griffiths
Wales,Member of the 6th Senedd,Laura Anne Jones,Q13129493,2021-05-06,,female,1979-02-02,,Laura Anne Jones MS.jpg,Laura Anne Jones
Wales,Member of the 6th Senedd,Mabon ap Gwynfor,Q13129862,2021-05-06,,male,1978-08-06,,,Mabon ap Gwynfor
