catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Madagascar,President,Didier Ratsiraka,Q315953,1997-02-09,2002-07-05,male,1936-11-04,2021-03-28,Didier Ratsiraka 1997.jpg,Didier Ratsiraka
Madagascar,President,Marc Ravalomanana,Q155554,2002-05-06,2009-03-17,male,1949-12-12,,Marc Ravalomanana.jpg,Marc Ravalomanana
Madagascar,President,Andry Rajoelina,Q57363,2009-03-17,2014-01-25,male,1974-05-30,,Andry Rajoelina portrait UN.jpg,Andry Rajoelina
Madagascar,President,Hyppolite Ramaroson,Q621666,2009-03-17,2009-03-17,male,1951-09-28,,,Hyppolite Ramaroson
Madagascar,President,Hery Rajaonarimampianina,Q15382355,2014-01-25,2018-09-07,male,1958-11-06,,Hery Rajaonarimampianina 2014.jpg,Hery Rajaonarimampianina
Madagascar,President,Rivo Rakotovao,Q56635616,2018-09-07,2019-01-19,male,1960-05-12,,Rivo Rakotovao 2014.jpg,Rivo Rakotovao
Madagascar,President,Andry Rajoelina,Q57363,2019-01-19,,male,1974-05-30,,Andry Rajoelina portrait UN.jpg,Andry Rajoelina
Madagascar,Prime Minister,Tantely Andrianarivo,Q984519,1998-07-23,2002-05-31,male,1954-05-25,,,Tantely Andrianarivo
Madagascar,Prime Minister,Jacques Sylla,Q468825,2002-05-27,2007-01-20,male,1946-07-22,2009-12-26,,Jacques Sylla
Madagascar,Prime Minister,Jean-Jacques Rasolondraibe,Q6064077,2002-05-31,2002-07-05,male,1947,,,
Madagascar,Prime Minister,Charles Rabemananjara,Q455641,2007-01-20,2009-03-17,male,1947-06-09,,"Charles Rabemananjara detail, 12th AU Summit, 090203-N-0506A-616.jpg",Charles Rabemananjara
Madagascar,Prime Minister,Monja Roindefo,Q2724337,2009-03-17,2009-10-10,male,1965,,,Monja Roindefo
Madagascar,Prime Minister,Eugène Mangalaza,Q3056246,2009-10-10,2009-12-18,male,1950-07-13,,,Eugène Mangalaza
Madagascar,Prime Minister,Cécile Manorohanta,Q2067151,2009-12-18,2009-12-20,female,,,Président UNA.jpg,Cécile Manorohanta
Madagascar,Prime Minister,Albert Camille Vital,Q2080781,2009-12-20,2011-11-02,male,1952-07-18,,Albert Camille Vital (IAEA Imagebank) crop.jpg,Albert Camille Vital
Madagascar,Prime Minister,Omer Beriziky,Q57859,2011-11-02,2014-04-16,male,1950-09-09,,Jean Omer Beriziky-IMG 0958.jpg,Omer Beriziky
Madagascar,Prime Minister,Roger Kolo,Q16326590,2014-04-16,2015-01-17,male,1943-09-03,,Roger Kolo 2014.jpg,Roger Kolo
Madagascar,Prime Minister,Jean Ravelonarivo,Q18785199,2015-01-17,2016-04-10,male,1959-04-17,,Жан Равелонариву 1 (20-01-2015) (cropped).png,Jean Ravelonarivo
Madagascar,Prime Minister,Olivier Mahafaly Solonandrasana,Q23782689,2016-04-10,2018-06-06,male,1964-06-21,,Оливье Солонандрасана (14-03-2018).jpg,Olivier Mahafaly Solonandrasana
Madagascar,Prime Minister,Christian Ntsay,Q54806925,2018-06-06,,male,1961-03-27,,Кристиан Нтсай (22-12-2020).jpg,Christian Ntsay
Madagascar,Deputy Prime Minister,Hyppolite Ramaroson,Q621666,2010-02-25,2011-03,male,1951-09-28,,,Hyppolite Ramaroson
Madagascar,Minister of Agriculture,Harison Edmond Randriarimanana,Q114803359,2018-06-11,2019-01-24,,,,,
Madagascar,Minister of Agriculture,Fanomezantsoa Lucien Ranarivelo,Q114804089,2019-01-24,2021-08-15,,,,,
Madagascar,Minister of Agriculture,Harifidy Ramilison,Q114804443,2021-08-15,,male,,,,
Madagascar,Minister of Commerce,Yvette Sylla,Q54805235,2018-06-13,2019-01-24,female,,,,
Madagascar,Minister of Communications,Riana Andriamandavy Vii,Q114803371,2018-06-11,2019-01-24,,,,,
Madagascar,Minister of Communications,Lalatiana Andriatongarivo Rakotondrazafy,Q114804015,2019-01-24,,female,,,,
Madagascar,Minister of Culture,Eléonore Johasy,Q114803354,2018-06-11,2019-01-24,,,,,
Madagascar,Minister of Defence,Béni Xavier Rasolofonirina,Q114803353,2018-06-11,2019-01-24,,,,,
Madagascar,Minister of Defence,Richard Rakotonirina,Q89408569,2019-01-24,,male,1963-04-09,,,
Madagascar,Minister of Economy and Planning,Marcel Arsonaivo Napetoke,Q114803368,2018-06-11,2019-01-24,,,,,
