catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Zambia,President,Frederick Chiluba,Q297057,1991-11-02,2002-01-02,male,1943-04-30,2011-06-18,Frederick Chiluba (P29180).jpg,Frederick Chiluba
Zambia,President,Levy Mwanawasa,Q212058,2002-01-02,2008-08-19,male,1948-09-03,2008-08-19,Levy Mwanawasa.jpg,Levy Mwanawasa
Zambia,President,Rupiah Banda,Q217500,2008-08-08,2011-09-23,male,1937-02-13,2022-03-11,Rupiah Banda.jpg,Rupiah Banda
Zambia,President,Michael Sata,Q299173,2011-09-23,2014-10-28,male,1937-07-06,2014-10-28,Michael Sata.jpg,Michael Sata
Zambia,President,Guy Scott,Q153986,2014-10-28,2015-01-25,male,1944-06-01,,Guy Scott.png,Guy Scott
Zambia,President,Edgar Lungu,Q18352991,2015-01-25,2021-08-24,male,1956-11-11,,Edgar Lungu January 2015.jpg,Edgar Lungu
Zambia,President,Hakainde Hichilema,Q717185,2021-08-24,,male,1962-06-04,,Hakainde Hichilema 2022 (cropped).jpg,Hakainde Hichilema
Zambia,Vice President,Christon Tembo,Q1084438,1997,2001,male,1944-03-06,2009-03-06,,Christon Tembo
Zambia,Vice President,Enoch Kavindele,Q5379308,2001,2003,male,1950-07-07,,,Enoch Kavindele
Zambia,Vice President,Nevers Mumba,Q1982213,2003,2004,male,1960-05-18,,Nevers Mumba 2015.jpg,Nevers Mumba
Zambia,Vice President,Lupando Mwape,Q6704660,2004,2006,male,1950,2019-01-21,,Lupando Mwape
Zambia,Vice President,Rupiah Banda,Q217500,2006-10-09,2008-08-08,male,1937-02-13,2022-03-11,Rupiah Banda.jpg,Rupiah Banda
Zambia,Vice President,George Kunda,Q1507722,2008-11-02,2011-09-23,male,1956-02-26,2012-04-16,George Kunda (cropped).jpg,George Kunda
Zambia,Vice President,Guy Scott,Q153986,2011-09-23,2014-10-28,male,1944-06-01,,Guy Scott.png,Guy Scott
Zambia,Vice President,Inonge Wina,Q18908010,2015-01-25,2021-08-24,female,1941-04-02,,Inonge Wina.jpg,Inonge Wina
Zambia,Vice President,Mutale Nalumango,Q106921003,2021-08-24,,female,1955-01-01,,Mutale Nalumango (cropped).jpg,Mutale Nalumango
Zambia,Minister of Agriculture,Dora Siliya,Q1243653,2016-08-11,2021-08-24,female,1970-10-08,,,Dora Siliya
Zambia,Minister of Agriculture,Reuben Mtolo Phiri,Q109935616,2021-08-27,,male,1964-11-11,,,
Zambia,Minister of Chiefs and Traditional Affairs,Lawrence Sichalwe,Q29556823,2016-08-11,2021-08-24,male,1961-12-24,,,
Zambia,"Minister of Commerce, Trade and Industry",Chipoka Mulenga,Q109935617,2021-08-27,,male,1981-11-10,,,
Zambia,Minister of Community Development and Social Welfare,Emerine Kabanshi,Q29539929,2016-08-11,2021-08-24,female,1964-11-27,,,
Zambia,Minister of Community Development and Social Welfare,Doreen Mwamba,Q109935618,2021-08-27,,female,,,,
Zambia,Minister of Defence,Kalombo Mwansa,Q176394,2009-07-09,2011,male,1955,,,Kalombo Mwansa
Zambia,Minister of Defence,Geoffrey Bwalya Mwamba,Q18720153,2011,2013,male,1959-03-15,,,Geoffrey Bwalya Mwamba
Zambia,Minister of Defence,Edgar Lungu,Q18352991,2013-12-24,2015-01-25,male,1956-11-11,,Edgar Lungu January 2015.jpg,Edgar Lungu
Zambia,Minister of Defence,Davies Chama,Q27063175,2016-08-11,2021-08-24,male,1964-08-21,,,Davies Chama
Zambia,Minister of Defence,Ambrose Lufuma,Q45384113,2021-08-27,,male,1957-10-26,,,Ambrose Lufuma
Zambia,Minister of Energy,David Mabumba,Q29556814,2016-08-11,2021-08-24,male,1971-04-23,,,David Mabumba
Zambia,Minister of Energy,Peter Chibwe Kapala,Q109935620,2021-08-27,,male,,,,
Zambia,Minister of Finance,Situmbeko Musokotwane,Q7532178,2008,2011,male,1956-05-25,,"Musokotwane, Situmbeko (IMF 2009).jpg",Situmbeko Musokotwane
Zambia,Minister of Finance,Felix Mutati,Q1403691,2016-09,2018-02-14,male,1959-01-29,,,Felix Mutati
Zambia,Minister of Finance,Situmbeko Musokotwane,Q7532178,2021-08-27,,male,1956-05-25,,"Musokotwane, Situmbeko (IMF 2009).jpg",Situmbeko Musokotwane
