catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Central African Republic,Member of the National Assembly,Jacob Gbéti,Q106428926,1999-01-01,2003-03-15,male,1946-01-01,,,
Central African Republic,Member of the National Assembly,Charles Massi,Q1065479,1999-10-01,2003-03-15,male,1952-07-25,2010-01-08,,Charles Massi
Central African Republic,Member of the National Assembly,Laurent Gomina-Pampali,Q108292454,1999-10-01,2003-03-15,,,,,
Central African Republic,Member of the National Assembly,Michel Ngako Tomdjo,Q111391184,1999-10-01,2003-03-15,male,,,,
Central African Republic,Member of the National Assembly,Eric Sorongope,Q112062396,1999-10-01,2003-03-15,,1945,,,
Central African Republic,Member of the National Assembly,Jacquesson Mazette,Q112062407,1999-10-01,2003-03-15,,,,,
Central African Republic,Member of the National Assembly,Jean-Michel Mandaba,Q112065543,1999-10-01,2003-03-15,male,,,,
Central African Republic,Member of the National Assembly,Espéré Abraham Langou,Q112066063,1999-10-01,2003-03-15,,,,,
Central African Republic,Member of the National Assembly,Marcel Loudégué,Q112066080,1999-10-01,2003-03-15,,,,,
Central African Republic,Member of the National Assembly,Jean Serge Wafio,Q112074331,1999-10-01,2003-03-15,,,,,
Central African Republic,Member of the National Assembly,Brice Rufin Molomadon,Q112084616,1999-10-01,2003-03-15,,,,,
Central African Republic,Member of the National Assembly,Barthélémy Boua,Q112890843,1999-10-01,2003-03-15,,,,,
Central African Republic,Member of the National Assembly,Jean Marie Bouguinza,Q112890876,1999-10-01,2003-03-15,,,,,
Central African Republic,Member of the National Assembly,Joseph Boykota Zoukétia,Q112890878,1999-10-01,2003-03-15,,,,,
Central African Republic,Member of the National Assembly,Joseph Katékondji,Q112890879,1999-10-01,2003-03-15,,,,,
Central African Republic,Member of the National Assembly,Moctar Samuel Mossambou,Q112890895,1999-10-01,2003-03-15,,,,,
Central African Republic,Member of the National Assembly,Pierre Sélessoui,Q112890913,1999-10-01,2003-03-15,,,,,
Central African Republic,Member of the National Assembly,Roger Gbéda,Q112890918,1999-10-01,2003-03-15,,,,,
Central African Republic,Member of the National Assembly,Thierry Yinifolo Vandenboss,Q112890923,1999-10-01,2003-03-15,,,,,
Central African Republic,Member of the National Assembly,Alain Albert Andjigbo Djanga,Q112892231,1999-10-01,2003-03-15,,,,,
Central African Republic,Member of the National Assembly,Albert Mberio,Q112892232,1999-10-01,2003-03-15,,,,,
Central African Republic,Member of the National Assembly,Albert Ndebouli,Q112892233,1999-10-01,2003-03-15,,,,,
Central African Republic,Member of the National Assembly,Albert Simplice Ganikpio,Q112892234,1999-10-01,2003-03-15,,,,,
Central African Republic,Member of the National Assembly,Alphonse Malendele Laguere,Q112892235,1999-10-01,2003-03-15,,,,,
Central African Republic,Member of the National Assembly,Alphonsine Yangongo Boganda,Q112892236,1999-10-01,2003-03-15,,,,,
Central African Republic,Member of the National Assembly,André Janvier Ngboukouzou,Q112892237,1999-10-01,2003-03-15,,,,,
Central African Republic,Member of the National Assembly,André Nderegandji,Q112892238,1999-10-01,2003-03-15,,,,,
Central African Republic,Member of the National Assembly,Anne Marie Moningue,Q112892239,1999-10-01,2003-03-15,,,,,
Central African Republic,Member of the National Assembly,Antoine Biloko,Q112892240,1999-10-01,2003-03-15,,,,,
Central African Republic,Member of the National Assembly,Baïkoumbou Maguelet Poutya,Q112892241,1999-10-01,2003-03-15,,,,,
Central African Republic,Member of the National Assembly,Bhé Dogo Nendji,Q112892242,1999-10-01,2003-03-15,,,,,
Central African Republic,Member of the National Assembly,Daniel Langandji,Q112892243,1999-10-01,2003-03-15,,,,,
Central African Republic,Member of the National Assembly,Daniel Otokpio,Q112892244,1999-10-01,2003-03-15,,,,,
Central African Republic,Member of the National Assembly,David Gobolo,Q112892245,1999-10-01,2003-03-15,,,,,
Central African Republic,Member of the National Assembly,David Guitouka,Q112892246,1999-10-01,2003-03-15,,,,,
Central African Republic,Member of the National Assembly,David Yaka,Q112892247,1999-10-01,2003-03-15,,,,,
Central African Republic,Member of the National Assembly,Dieudonné Gomitoua,Q112892248,1999-10-01,2003-03-15,,,,,
Central African Republic,Member of the National Assembly,Dieudonné Koudoufara,Q112892249,1999-10-01,2003-03-15,,,,,
Central African Republic,Member of the National Assembly,Emmanuel Dombia Dobele,Q112892250,1999-10-01,2003-03-15,,,,,
Central African Republic,Member of the National Assembly,Etienne Moussa Ndoa,Q112892251,1999-10-01,2003-03-15,,,,,
Central African Republic,Member of the National Assembly,Faustin Montsoki,Q112892252,1999-10-01,2003-03-15,,,,,
Central African Republic,Member of the National Assembly,Fidèle Gbanga,Q112892253,1999-10-01,2003-03-15,,,,,
Central African Republic,Member of the National Assembly,Fidèle Soussou,Q112892254,1999-10-01,2003-03-15,,,,,
Central African Republic,Member of the National Assembly,Félix Orokas,Q112892255,1999-10-01,2003-03-15,,,,,
