catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
France,member of the Senate of France,Jacques Habert,Q3159073,1969-03-21,2012-08-06,male,1919-09-26,2012-08-06,,
France,member of the Senate of France,Jean-Pierre Fourcade,Q1685206,1977-09-25,2011-09-30,male,1929-10-18,,Jean-Pierre Fourcade.jpg,Jean-Pierre Fourcade
France,member of the Senate of France,Hélène Luc,Q3144808,1977-09-25,2007-09-18,female,1932-03-13,,Hélène Luc.jpg,
France,member of the Senate of France,Marcel Henry,Q3289029,1977-09-25,2004-09-30,male,1926-10-30,2021-08-30,,Marcel Henry
France,member of the Senate of France,Jean Puech,Q3174139,1980-09-28,2008-09-30,male,1942-02-22,,Jean Puech.jpg,Jean Puech
France,member of the Senate of France,Louis Souvet,Q3263129,1980-09-28,2008-09-30,male,1931-10-19,2020-06-29,Louis Souvet 2.jpg,
France,member of the Senate of France,Philippe Madrelle,Q3380285,1980-09-28,2019-08-27,male,1937-04-21,2019-08-27,"Président du Conseil général de la Gironde, Philippe Madrelle.jpg",Philippe Madrelle
France,member of the Senate of France,Roland Courteau,Q3440013,1980-10-01,,male,1943-02-24,,"Roland Courteau, Sénateur de l'Aude.png",Roland Courteau
France,member of the Senate of France,Jean Delaneau,Q3171628,1983,2001,male,1933-08-29,2018-10-10,,
France,member of the Senate of France,Philippe Labeyrie,Q3380117,1983,2012-10-13,male,1938-04-29,2012-10-13,,Philippe Labeyrie
France,member of the Senate of France,Daniel Percheron,Q3014544,1983-09-25,2017-10-01,male,1942-08-31,,PortraitDanielPercheron.jpg,Daniel Percheron
France,member of the Senate of France,Lucien Neuwirth,Q3265654,1983-09-25,2001-09-30,male,1924-05-18,2013-11-26,,Lucien Neuwirth
France,member of the Senate of France,Paul Masson,Q3371800,1983-09-25,2001-09-30,male,1920-07-21,2009-05-28,,
France,member of the Senate of France,Michel Souplet,Q3310890,1983-10-02,2001-09-30,male,1929-04-03,2020-05-14,,Michel Souplet
France,member of the Senate of France,Christian Bonnet,Q2965060,1983-10-03,2001-09-30,male,1921-06-14,2020-04-07,Portrait de Christian Bonnet.jpg,Christian Bonnet
France,member of the Senate of France,Guy Penne,Q3122061,1986,2004,male,1925-06-09,2010-07-25,"Cerisier-ben Guiga, Penne et Yung.jpg",
France,member of the Senate of France,Claude Estier,Q2977355,1986-09-28,2004-09-30,male,1925-06-08,2016-03-10,"Claude Estier (19e Maghreb des Livres, Paris, 16 fév. 2013) (cropped).jpg",Claude Estier
France,member of the Senate of France,Henri de Raincourt,Q3132361,1986-09-28,2009-07-23,male,1948-11-17,,Henri de Raincourt-IMG 3640.jpg,Henri de Raincourt
France,member of the Senate of France,Jean-Luc Mélenchon,Q5829,1986-09-28,,male,1951-08-19,,"Jean Luc MELENCHON in the European Parliament in Strasbourg, 2016 (cropped).jpg",Jean-Luc Mélenchon
France,member of the Senate of France,Alain Gérard,Q2829903,1986-09-29,2008-09-30,male,1937-12-02,2018-02-26,,
France,member of the Senate of France,Lucien Lanier,Q3265585,1988,2004,male,1919-10-16,2015-02-07,,
France,member of the Senate of France,Claude Saunier,Q2978132,1989,2008,male,1943-02-26,,,
France,member of the Senate of France,Bernard Seillier,Q2898602,1989-09-24,2008-09-30,male,1941-07-12,,,
France,member of the Senate of France,Jean Pépin,Q3174163,1989-09-24,2008-09-30,male,1939-11-23,2015-05-03,,
France,member of the Senate of France,Claude Belot,Q2976977,1989-10-01,2014-09-30,male,1936-07-11,,Claude Belot.png,Claude Belot
France,member of the Senate of France,Philippe Adnot,Q2155506,1989-10-02,,male,1945-08-25,,,Philippe Adnot
France,member of the Senate of France,Gérard César,Q3123874,1990-06-15,2017-10-01,male,1934-12-19,,,Gérard César
France,member of the Senate of France,Léon Fatous,Q3270953,1992,2001,male,1926-02-11,,,
France,member of the Senate of France,Paul Blanc,Q3370659,1992,2011,male,1937-01-29,,,Paul Blanc
France,member of the Senate of France,Monique Cerisier-ben Guiga,Q3320818,1992-09,2011-10-01,female,1942-06-20,2021-05-09,Monique Cerisier-ben Guiga.jpg,Monique Cerisier-ben Guiga
France,member of the Senate of France,Jean-Paul Delevoye,Q3168448,1992-09-27,2002-06-07,male,1947-01-22,,Jean-Paul Delevoye.jpg,Jean-Paul Delevoye
France,member of the Senate of France,Marcel Charmant,Q3288791,1992-09-27,2001-09-30,male,1944-07-26,,Charmant 1.JPG,
France,member of the Senate of France,Michel Charasse,Q3309244,1992-09-27,2010-03-06,male,1941-07-08,2020-02-21,,Michel Charasse
France,member of the Senate of France,Philippe Richert,Q3380642,1992-09-27,2004-11-26,male,1953-05-22,,Philippe Richert par Claude Truong-Ngoc janvier 2016.jpg,Philippe Richert
France,member of the Senate of France,Simon Loueckhote,Q3484356,1992-09-27,2011-09-30,male,1957-05-07,,,Simon Loueckhote
France,member of the Senate of France,Pierre Mauroy,Q156511,1992-10-02,2011-09-30,male,1928-07-05,2013-06-07,Pierre Mauroy 1990.jpg,Pierre Mauroy
France,member of the Senate of France,Alain Lambert,Q429805,1992-10-02,2002-06-07,male,1946-07-20,,Alain Lambert.jpg,Alain Lambert
France,member of the Senate of France,Bertrand Delanoë,Q256294,1995-09-24,2001-03-27,male,1950-05-30,,Socialist rally Zenith 2007 05 29 n7.jpg,Bertrand Delanoë
France,member of the Senate of France,Annick Bocandé,Q2851565,1995-09-24,2004-09-30,female,1946-04-23,,,
France,member of the Senate of France,Charles Revet,Q2960112,1995-09-24,2019-09-30,male,1937-11-09,2021-11-30,,Charles Revet
France,member of the Senate of France,Gilbert Chabroux,Q3105647,1995-09-24,2004-09-30,male,1933-12-27,2017-12-01,,Gilbert Chabroux
France,member of the Senate of France,Jacques Dominati,Q3158751,1995-09-24,2004-09-30,male,1927-03-11,2016-09-08,,Jacques Dominati
France,member of the Senate of France,Robert Badinter,Q336046,1995-09-24,2011-09-30,male,1928-03-30,,Robert Badinter.jpg,Robert Badinter
France,member of the Senate of France,Xavier Dugoin,Q3570661,1995-09-24,2001-01-16,male,1947-03-27,,Xavier-Dugoin-Villabé- 2016-01-16 - IMG 1062.jpg,
France,member of the Senate of France,Jean-Luc Mélenchon,Q5829,1995-09-24,2000-04-27,male,1951-08-19,,"Jean Luc MELENCHON in the European Parliament in Strasbourg, 2016 (cropped).jpg",Jean-Luc Mélenchon
France,member of the Senate of France,Claude Haut,Q651393,1995-09-24,,male,1944-12-22,,"Claude Haut, Président du Conseil Général et Sénateur de Vaucluse.JPG",Claude Haut
France,member of the Senate of France,Jean-Patrick Courtois,Q3168316,1995-10-01,2015-06-11,male,1951-05-20,,Jean Patrick Courtois août 2016 02.jpg,Jean-Patrick Courtois
France,member of the Senate of France,Philippe Arnaud,Q3379238,1996,2008,male,1949-02-01,2018-09-16,,
France,member of the Senate of France,Jean Bizet,Q3170787,1996-07-07,2020-11-30,male,1947-08-30,,Jean Bizet (18915097545).jpg,Jean Bizet
France,member of the Senate of France,Odette Terrade,Q3349217,1997-06-13,2004-09-30,female,1949-02-21,,Odette Terrade.jpg,Odette Terrade
France,member of the Senate of France,Pierre Lefebvre,Q23057013,1997-06-20,2001-09-30,male,1938-09-11,,,
France,member of the Senate of France,Bernard Fournier,Q2897913,1997-11-19,,male,1946-09-13,,Bernard Fournier.jpg,Bernard Fournier
France,member of the Senate of France,Louis Le Pensec,Q497610,1998,2008,male,1937-01-08,,Louis-Le-Pensec (1).jpg,Louis Le Pensec
France,member of the Senate of France,Jean-Pierre Bel,Q1393994,1998-09-27,2014-09-30,male,1951-12-30,,Jean-Pierre Bel.jpg,Jean-Pierre Bel
France,member of the Senate of France,Claude Domeizel,Q2977303,1998-09-27,2014-09-30,male,1940-05-16,,Claude Domeizel.jpg,Claude Domeizel
France,member of the Senate of France,François Marc,Q3085285,1998-09-27,2017-09-24,male,1950-03-19,,FrançoisMARC.jpg,François Marc
France,member of the Senate of France,Louis de Broissia,Q3263401,1998-09-27,2008-09-30,male,1943-06-01,,Louis de Broissia.jpg,
France,member of the Senate of France,Philippe Nogrix,Q3380452,1998-09-27,2008-09-21,male,1942-06-03,,Philippe Nogrix Saint-Méen-le-Grand 2007.jpg,
France,member of the Senate of France,Pierre Jarlier,Q3385575,1998-09-27,2015-06-11,male,1954-07-14,,,Pierre Jarlier
France,member of the Senate of France,Serge Lepeltier,Q3479423,1998-09-27,2004-04-30,male,1953-10-12,,Serge Lepeltier.jpg,Serge Lepeltier
France,member of the Senate of France,Yves Rispat,Q3573932,1998-09-27,2008-09-30,male,1931-09-17,2015-01-15,Yves Rispat - Sarkozy's meeting in Toulouse for the 2007 French presidential election 0029 2007-04-12.jpg,Yves Rispat
France,member of the Senate of France,Simon Sutour,Q2287847,1998-10-01,2020-09-30,male,1952-08-18,,Simon sutour.jpg,Simon Sutour
France,member of the Senate of France,Gérard Cornu,Q3123859,1998-10-01,2008-09-30,male,1952-02-06,,Gérard Cornu.jpg,Gérard Cornu
France,member of the Senate of France,Jean-François Picheral,Q3165822,1998-10-01,2008-09-30,male,1934-02-26,,,Jean-François Picheral
France,member of the Senate of France,Patrick Lassourd,Q3369594,1998-10-01,2003-08-28,male,1942-09-03,2003-08-28,,
France,member of the Senate of France,Thierry Foucaud,Q3524252,1998-10-03,,male,1954-01-18,,,Thierry Foucaud
France,member of the Senate of France,Gérard Collomb,Q12956,1999-11-02,2017-06-17,male,1947-06-20,,Gérard Collomb à La Confluence (Lyon) (cropped).jpg,Gérard Collomb
France,member of the Senate of France,Philippe Leroy,Q3380226,2001,2017,male,1940-02-03,2019-08-19,,Philippe Leroy (politician)
France,member of the Senate of France,Yves Coquelle,Q3573573,2001,2007,male,1939-12-19,2015-04-07,,
France,member of the Senate of France,Louis Mermaz,Q976492,2001,2011,male,1931-08-20,,Louis MERMAZ.jpg,Louis Mermaz
France,member of the Senate of France,Jean-Yves Mano,Q3170180,2001-03-28,2004-09-30,male,1947-09-25,,Jean-Yves Mano.jpg,
France,member of the Senate of France,Marie-Christine Blandin,Q274196,2001-09-23,2011-09-25,female,1952-09-22,,MC Blandin.JPG,Marie-Christine Blandin
France,member of the Senate of France,François Zocchetto,Q3086080,2001-09-23,2017-10-01,male,1958-12-14,,François Zocchetto 11 janvier 2015.jpg,François Zocchetto
France,member of the Senate of France,Jean-Pierre Masseret,Q3169556,2001-09-23,2011-09-30,male,1944-08-23,,Jean-Pierre Masseret par Claude Truong-Ngoc septembre 2015.jpg,Jean-Pierre Masseret
France,member of the Senate of France,Monique Papon,Q3320908,2001-09-23,2011-09-25,female,1934-10-05,2018-06-06,,Monique Papon
France,member of the Senate of France,Yves Dauge,Q3573596,2001-09-23,2011-09-30,male,1935-01-26,,Yves Dauge par Claude Truong-Ngoc mars 2013.jpg,Yves Dauge
France,member of the Senate of France,Daniel Reiner,Q588867,2001-09-23,2011-10-01,male,1941-01-17,,,Daniel Reiner
France,member of the Senate of France,Jean-Paul Alduy,Q2020016,2001-10-01,2011-09-30,male,1942-05-07,,Jean-paul Alduy.jpg,Jean-Paul Alduy
France,member of the Senate of France,André Trillard,Q2410939,2001-10-01,2017-10-01,male,1947-10-24,,,André Trillard
France,member of the Senate of France,Annie David,Q2851645,2001-10-01,2017-10-02,female,1963-01-17,,,Annie David
France,member of the Senate of France,Bernard Saugey,Q2898592,2001-10-01,2017-10-01,male,1943-03-03,,,Bernard Saugey
France,member of the Senate of France,Bruno Sido,Q2926985,2001-10-01,,male,1951-02-19,,BrunoSido2012.jpg,Bruno Sido
France,member of the Senate of France,Jacqueline Gourault,Q3157735,2001-10-01,2017-07-22,female,1950-11-20,,Informal meeting of justice and home affairs ministers.Arrivals (Home Affairs) Jacqueline Gourault (34910260564) (cropped).jpg,Jacqueline Gourault
France,member of the Senate of France,Jean-Claude Frécon,Q3164977,2001-10-01,2016-12-10,male,1944-09-03,2016-12-10,,Jean-Claude Frécon
France,member of the Senate of France,Jean-Marc Todeschini,Q3167502,2001-10-01,2014-12-21,male,1952-03-12,,Jean-Marc Todeschini par Claude Truong-Ngoc février 2015.jpg,Jean-Marc Todeschini
France,member of the Senate of France,Joseph Kergueris,Q3185162,2001-10-01,2011-09-30,male,1938-10-02,,,Joseph Kergueris
France,member of the Senate of France,Yves Détraigne,Q3573637,2001-10-01,,male,1954-12-21,,Yves Détraigne 07626.JPG,Yves Détraigne
France,member of the Senate of France,Brigitte Bout,Q2925414,2002-06-08,2011-09-30,female,1941-01-26,,,Brigitte Bout
