catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Saint Vincent and the Grenadines,monarch,Elizabeth II,Q9682,1979-10-27,2022-09-08,female,1926-04-21,2022-09-08,Queen Elizabeth II official portrait for 1959 tour (retouched) (cropped) (3-to-4 aspect ratio).jpg,Elizabeth II
Saint Vincent and the Grenadines,monarch,Charles III,Q43274,2022-09-08,,male,1948-11-14,,"Charles, Prince of Wales in 2021 (cropped) (3).jpg",Charles III
Saint Vincent and the Grenadines,Governor-General,Charles Antrobus,Q3560964,1996-06-01,2002-06-03,male,1933-05-14,2002-06-03,,Charles Antrobus
Saint Vincent and the Grenadines,Governor-General,Monica Dacon,Q6899931,2002-06-03,2002-09-02,female,1934-06-04,,Dame Monica Dacon (cropped).JPG,Monica Dacon
Saint Vincent and the Grenadines,Governor-General,Frederick Ballantyne,Q354705,2002-09-02,2019-08-01,male,1936-07-05,2020-01-23,Frederick Ballantyne (cropped).jpg,Frederick Ballantyne
Saint Vincent and the Grenadines,Governor-General,Susan Dougan,Q66088003,2019-08-01,,female,1955-03-03,,Susan Dougan 2019.jpg,Susan Dougan
Saint Vincent and the Grenadines,Prime Minister,James Fitz-Allen Mitchell,Q1281056,1984-07-30,2000-10-27,male,1931-05-15,2021-11-23,James F. Mitchell 1986 (cropped).jpg,James Fitz-Allen Mitchell
Saint Vincent and the Grenadines,Prime Minister,Arnhim Eustace,Q1268324,2000-10-27,2001-03-29,male,1944-10-05,,Arnhim Eustace.jpg,Arnhim Eustace
Saint Vincent and the Grenadines,Prime Minister,Ralph Gonsalves,Q57800,2001-03-28,,male,1946-08-08,,Ralph Gonsalves (cropped).jpg,Ralph Gonsalves
Saint Vincent and the Grenadines,Deputy Prime Minister,Girlyn Miguel,Q86713407,2010-12-14,2015-12-09,female,1948,,Hon. Girlyn Miguel (cropped).jpg,Girlyn Miguel
Saint Vincent and the Grenadines,Deputy Prime Minister,Louis Straker,Q58248,2015-12-10,2020-11-07,male,1944-02-23,,Louis Straker with Obamas cropped.jpg,Louis Straker
Saint Vincent and the Grenadines,Deputy Prime Minister,Montgomery Daniel,Q101693621,2020-12-07,,male,,,,Montgomery Daniel
Saint Vincent and the Grenadines,Minister of Agriculture,Saboto Caesar,Q42386929,2020-11-10,,male,1980-12-21,,Saboto Caesar (cropped).jpg,Saboto Caesar
Saint Vincent and the Grenadines,Minister of Education and National Reconciliation,Curtis King,Q114739574,2020-11-10,,male,,,,
Saint Vincent and the Grenadines,Minister of Finance,Camillo Gonsalves,Q5026702,2020-11-10,,male,1972-06-12,,Camillo Gonsalves 2017.jpg,Camillo Gonsalves
Saint Vincent and the Grenadines,Minister of Foreign Affairs,Allan Cruickshank,Q108461902,1998,2001,male,,,,
Saint Vincent and the Grenadines,Minister of Foreign Affairs,Mike Browne,Q108461903,2005,2005,male,,,,
Saint Vincent and the Grenadines,Minister of Foreign Affairs,Douglas Slater,Q108461905,2010,2013,male,,,,
Saint Vincent and the Grenadines,Minister of Foreign Affairs,Ralph Gonsalves,Q57800,2020-11-10,,male,1946-08-08,,Ralph Gonsalves (cropped).jpg,Ralph Gonsalves
Saint Vincent and the Grenadines,Minister of Health,St. Clair Prince,Q28382039,2020-11-10,,male,,,,
Saint Vincent and the Grenadines,Minister of Information,Ralph Gonsalves,Q57800,2020-11-10,,male,1946-08-08,,Ralph Gonsalves (cropped).jpg,Ralph Gonsalves
Saint Vincent and the Grenadines,Minister of Legal Affairs,Ralph Gonsalves,Q57800,2020-11-10,,male,1946-08-08,,Ralph Gonsalves (cropped).jpg,Ralph Gonsalves
Saint Vincent and the Grenadines,Minister of National Mobilization,Orando Brewster,Q114739577,2020-11-10,,male,,,,
Saint Vincent and the Grenadines,Minister of National Security,Ralph Gonsalves,Q57800,2020-11-10,,male,1946-08-08,,Ralph Gonsalves (cropped).jpg,Ralph Gonsalves
Saint Vincent and the Grenadines,Minister of Public Service,Frederick Stephenson,Q114739575,2020-11-10,,male,,,,
Saint Vincent and the Grenadines,Minister of Tourism,Carlos James,Q28382042,2020-11-10,,male,,,,
Saint Vincent and the Grenadines,Minister of Transport,Montgomery Daniel,Q101693621,2020-11-10,,male,,,,Montgomery Daniel
Saint Vincent and the Grenadines,Minister of Urban Development,Julian Francis,Q114739576,2020-11-10,,male,,,,
Saint Vincent and the Grenadines,Attorney General,Jaundy Martin,Q114740002,2017-09-18,,male,,,,
