catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Malaysia,Yang di_pertuan Agong (Monarch),Salahuddin of Selangor,Q654886,1999-04-26,2001-11-21,male,1926-03-08,2001-11-21,Salahuddin Abdul Aziz (1965).jpg,Salahuddin of Selangor
Malaysia,Yang di_pertuan Agong (Monarch),Sirajuddin of Perlis,Q460568,2001-12-13,2006-12-12,male,1943-05-17,,Sirajuddin2.jpg,Sirajuddin of Perlis
Malaysia,Yang di_pertuan Agong (Monarch),Mizan Zainal Abidin of Terengganu,Q299530,2006-12-13,2011-12-13,male,1962-01-22,,Tuanku Mizan 2011.jpg,Mizan Zainal Abidin of Terengganu
Malaysia,Yang di_pertuan Agong (Monarch),Abdul Halim of Kedah,Q57550,2011-12-13,2016-12-12,male,1927-11-28,2017-09-11,Abdul Halim of Kedah.jpg,Abdul Halim of Kedah
Malaysia,Yang di_pertuan Agong (Monarch),Muhammad V of Kelantan,Q5244614,2016-12-13,2019-01-06,male,1969-10-06,,Мухаммед 5.png,Muhammad V of Kelantan
Malaysia,Yang di_pertuan Agong (Monarch),Abdullah of Pahang,Q15467111,2019-01-31,,male,1959-07-30,,King Abdullah of Pahang at the Enthronement of Naruhito (1).jpg,Abdullah of Pahang
Malaysia,Prime Minister,Mahathir Mohamad,Q181383,1981-07-16,2003-10-31,male,1925-07-10,,Malaysian Prime Minister Mahathir Mohamad (42910851015) (cropped).jpg,Mahathir Mohamad
Malaysia,Prime Minister,Abdullah Ahmad Badawi,Q272588,2003-10-31,2009-04-03,male,1939-11-26,,Pak Lah.jpg,Abdullah Ahmad Badawi
Malaysia,Prime Minister,Najib Razak,Q57675,2009-04-03,2018-05-10,male,1953-07-23,,Najib Razak 2008-08-21.jpg,Najib Razak
Malaysia,Prime Minister,Mahathir Mohamad,Q181383,2018-05-10,2020-03-01,male,1925-07-10,,Malaysian Prime Minister Mahathir Mohamad (42910851015) (cropped).jpg,Mahathir Mohamad
Malaysia,Prime Minister,Muhyiddin Yassin,Q1060949,2020-03-01,2021-08-16,male,1947-05-15,,Muhyiddin Yassin (51087589446) (cropped).jpg,Muhyiddin Yassin
